Gene1	Gene2	EdgeWeight
NR0B1	SRY	360
CTNNB1	UGR	360
RSPO1	UGR	359
CBX2	UGR	359
NR5A1	UGR	358
WT1pKTS	WT1pKTS	358
WNT4	SRY	357
NR5A1	NR0B1	356
PGD2	NR0B1	355
GATA4	RSPO1	354
CBX2	FOXL2	354
WT1pKTS	SRY	353
UGR	RSPO1	353
WT1pKTS	CTNNB1	352
NR5A1	FOXL2	352
RSPO1	CTNNB1	351
RSPO1	FOXL2	350
DHH	WNT4	350
UGR	SRY	349
UGR	WNT4	349
NR5A1	SRY	348
AMH	NR0B1	348
CBX2	SOX9	347
WNT4	WNT4	346
CBX2	CBX2	346
PGD2	RSPO1	345
WNT4	AMH	345
WNT4	RSPO1	344
SOX9	DHH	344
WT1mKTS	RSPO1	343
SRY	NR0B1	343
FGF9	CTNNB1	342
SRY	FOXL2	342
NR5A1	SOX9	341
RSPO1	NR5A1	341
WT1pKTS	DKK1	340
CTNNB1	RSPO1	340
UGR	DMRT1	339
FOXL2	CTNNB1	338
AMH	FOXL2	338
AMH	SRY	337
WT1mKTS	FOXL2	337
GATA4	DMRT1	336
SOX9	WNT4	336
FOXL2	WT1pKTS	335
SOX9	AMH	335
FOXL2	FOXL2	334
WT1mKTS	FGF9	334
GATA4	AMH	333
GATA4	FOXL2	333
DKK1	CTNNB1	332
NR0B1	CTNNB1	332
SRY	FGF9	331
NR5A1	RSPO1	330
WT1mKTS	DHH	330
FGF9	WNT4	329
CTNNB1	NR5A1	328
WT1pKTS	FOXL2	328
WT1mKTS	PGD2	327
AMH	DMRT1	327
DHH	PGD2	326
NR5A1	WT1pKTS	326
WNT4	NR5A1	325
GATA4	DHH	325
WT1pKTS	AMH	324
FGF9	NR0B1	324
UGR	FGF9	323
DMRT1	UGR	323
FGF9	RSPO1	322
DHH	NR0B1	322
DKK1	CBX2	321
GATA4	PGD2	320
SOX9	CBX2	320
FOXL2	NR0B1	319
RSPO1	RSPO1	319
AMH	RSPO1	318
CTNNB1	FOXL2	317
DKK1	SRY	317
AMH	WNT4	316
SRY	DMRT1	316
NR5A1	CBX2	315
SRY	RSPO1	315
SRY	SRY	314
PGD2	FOXL2	313
FGF9	SOX9	313
WT1mKTS	SOX9	312
SRY	CTNNB1	312
NR0B1	NR0B1	311
DHH	SOX9	311
DMRT1	FGF9	310
UGR	UGR	309
NR5A1	AMH	309
WT1mKTS	DMRT1	308
GATA4	SOX9	307
FOXL2	DMRT1	306
GATA4	FGF9	305
RSPO1	DMRT1	304
DMRT1	FOXL2	304
UGR	NR0B1	303
SRY	WT1pKTS	302
FOXL2	DKK1	301
WT1mKTS	DKK1	300
DMRT1	WT1pKTS	299
FGF9	PGD2	299
PGD2	DHH	298
DHH	SRY	297
NR0B1	GATA4	297
WT1mKTS	AMH	296
SOX9	PGD2	296
DHH	AMH	295
DMRT1	RSPO1	295
WT1pKTS	FGF9	294
SRY	DKK1	294
SOX9	NR5A1	293
UGR	NR5A1	293
DMRT1	CTNNB1	292
NR5A1	WNT4	291
CBX2	SRY	291
SOX9	SOX9	290
SRY	UGR	290
CTNNB1	DKK1	289
PGD2	CTNNB1	289
DKK1	UGR	288
FGF9	FOXL2	287
