	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
E20_7_209	9.5252117302	9.7156916366	2.8673148373	9.540795871	1.5690127733	9.818772227	9.7284759846	9.5251772507	9.8592202605	3.9886186225	2.4015049387	9.4127788441	2.8230478206	9.3814365433	10.101605693	0.3855318918	1.9926434884	9.8608267717	9.7457057143
E70_2_163	9.3059970218	0.0314674227	9.500928783	2.7238320629	8.1400835326	2.6162835348	9.8207205022	10.4015651693	9.4363382522	9.5908930711	7.9917186547	6.4052029494	10.2966746461	8.6404044066	10.2896389177	2.674539408	2.8109614809	6.9814795212	10.2958755741
E107_6_328	9.7832620975	9.8575623272	2.2524568202	9.2323674769	1.5599182092	9.9696879995	9.7119780578	10.1361379503	9.4500201792	1.0652443645	2.4863000572	9.2406982778	7.2887104946	9.9264341028	9.5958263176	0.6394637954	5.4720650175	9.1831227885	9.6286617765
E131_7_61	3.0236037308	5.2022594036	10.5350301153	4.94032473	10.5735039399	2.0169621553	10.803746334	3.861476795	4.740635191	10.010948901	0.7321328003	2.3921907721	10.1089049931	3.6881657509	6.9690319617	10.5759316829	2.7336050302	1.8605409332	10.3275973548
E135_3_524	10.208445132	6.0694674857	3.5843736916	3.4992747986	3.5775780695	3.6215007907	10.1152362138	10.2328763377	10.1274518432	4.8658809048	1.0463061603	3.9582892482	10.2850645549	9.3442814284	10.3903567571	1.0936072522	2.4177619025	9.6834726694	10.1967480637
E106_4_886	4.0440122223	5.0865576986	9.789962044	3.4527543601	10.3676775722	3.6057905801	10.7726859615	2.9098394026	0.2072393101	10.648931899	5.3456893678	3.51008582	10.290193845	3.4881455356	5.1395736563	10.5340006988	5.9667612377	4.0382817682	10.5145133006
E37_5_687	2.0862759758	0.4289981227	10.1124609412	2.3387157636	10.5632604855	2.6029442825	10.3820243162	1.292007776	3.9906773384	10.9917362651	3.371666152	1.3278753595	10.4180198342	4.1367326705	6.0139367793	10.2746499659	3.6987463239	3.7521683035	10.3045474405
E108_5_527	0.5901120692	4.88615517	10.5941800843	6.095315806	10.7306082826	0.6358309548	10.4002959339	5.0894146347	4.3179071243	10.4335002985	0.5463469749	4.6693693347	10.1652933244	2.6938033264	3.5688269767	10.0249836806	1.111587309	6.0277537112	10.6273385995
E51_5_767	9.7482905062	9.7155463854	1.5659662337	9.1167786497	2.4218295407	9.6596593685	9.6881231689	9.6902328124	9.4857031394	1.5714402006	1.2539419237	9.7353112478	7.0562384457	9.330229364	9.7892192868	3.7375610094	3.427276994	10.1290080277	9.8371601828
E12_1_362	3.7316747013	5.5928961723	3.7267578517	1.355430531	4.4810267002	3.8355164411	10.2284640732	5.7123495874	4.7837574581	9.8680685898	9.797452523	1.7077574917	9.7359414461	10.8908418716	10.3033845686	2.7578555725	9.3163342128	6.1399799546	11.0138566131
E136_6_008	9.6570229992	9.5398229438	4.1894562639	9.6215114753	4.846839296	9.9656865787	9.5436476723	9.4785736245	9.672643427	5.3428881257	4.3816717688	9.3425833912	1.0942511374	9.8248687672	9.7073217005	3.3673719257	4.7310259424	9.5684346687	10.1097951397
E40_5_767	3.5976266157	2.5054320128	10.3774761884	3.8139847263	10.7597453018	2.5953119998	10.4716849123	0.3114160379	4.9988403837	10.6073159336	3.5295241172	5.0827232316	10.3799053446	5.2334448052	4.6940361869	10.2121651076	3.9129850005	4.8786875072	10.2664206275
