TF	target	importance
FOXL2	WT1pKTS	141.33243948720786
DKK1	DMRT1	134.976211699876
CTNNB1	FOXL2	118.19600992361813
DMRT1	DKK1	106.57949818843518
UGR	CBX2	106.05866757290053
CBX2	UGR	100.23738889380114
NR5A1	CBX2	92.99630719234406
NR5A1	WT1pKTS	85.86810099358179
WNT4	CTNNB1	85.18580536316898
CTNNB1	NR5A1	79.83008487694387
RSPO1	CTNNB1	79.20189049596868
CTNNB1	RSPO1	76.54212052579526
RSPO1	FOXL2	76.06381642221716
WNT4	RSPO1	75.04133420694824
RSPO1	NR5A1	74.61152830083087
SRY	DKK1	74.09889603304316
FOXL2	NR5A1	73.44120040910653
WT1pKTS	FOXL2	71.78541749587674
NR5A1	FOXL2	71.436807998297
WNT4	NR0B1	70.82817200779994
UGR	NR0B1	70.7735294730116
WT1pKTS	NR5A1	67.28879636258085
NR5A1	RSPO1	67.16341355173795
RSPO1	SRY	65.9208829886013
SRY	DMRT1	65.6119910164059
DKK1	SRY	65.40011239090346
DHH	NR0B1	64.18700807093359
CTNNB1	WT1pKTS	63.67611195068256
CTNNB1	SRY	62.05967399080484
NR0B1	WNT4	61.143069770460734
RSPO1	WT1pKTS	60.96265908928818
DMRT1	SRY	60.47923982492549
FGF9	NR0B1	58.54644709236499
SOX9	DMRT1	56.86049539142893
FOXL2	SRY	56.737757083820874
UGR	WT1mKTS	55.53214128580272
WNT4	UGR	55.4808757812108
DKK1	SOX9	55.36742030698015
SOX9	WNT4	54.632601069983856
WT1pKTS	SRY	54.05790223982901
CTNNB1	WNT4	53.8905558403025
NR0B1	RSPO1	53.609093822527726
FGF9	DHH	53.5628526895444
RSPO1	WNT4	53.397122485062525
FGF9	AMH	52.905017893384205
AMH	WNT4	52.61838082308234
DHH	AMH	51.94208208720383
DHH	WT1mKTS	51.405633784624065
FGF9	PGD2	49.94102975285052
NR0B1	UGR	49.92826100274102
NR5A1	CTNNB1	49.873108052965065
WT1mKTS	GATA4	49.66377125066214
WT1pKTS	CBX2	48.8154818260077
CTNNB1	CBX2	48.14940647281641
RSPO1	CBX2	47.84827825403837
GATA4	WT1mKTS	46.56971395975216
UGR	GATA4	45.39401918502885
CBX2	NR5A1	45.35427289040649
DKK1	GATA4	45.31792134876261
DMRT1	WNT4	44.86102339079751
FOXL2	RSPO1	44.83997630467954
PGD2	FGF9	44.824277534328694
SOX9	DHH	44.75112858908035
SOX9	DKK1	44.558814233795545
SOX9	FGF9	44.21112412587579
DMRT1	FOXL2	44.08342692414181
NR5A1	UGR	44.0536293222041
DHH	PGD2	43.60769559633999
AMH	NR0B1	43.588440735050256
NR0B1	CTNNB1	42.311958781060135
DHH	FGF9	41.872332083227114
SRY	WT1pKTS	41.84500361510388
PGD2	DHH	41.18221913683904
FOXL2	CBX2	41.004686236161994
AMH	SOX9	40.78590202505928
CBX2	SRY	40.67016054834794
AMH	WT1mKTS	40.29919348438193
PGD2	GATA4	39.09582040744569
FGF9	SOX9	38.733633234998926
DHH	DMRT1	38.65328960075236
FOXL2	CTNNB1	38.34335195296942
FGF9	WNT4	37.94480138313145
FGF9	WT1mKTS	37.786664946551085
NR0B1	CBX2	37.68718836914758
AMH	FGF9	37.61871768986991
RSPO1	UGR	37.258044698114674
DMRT1	SOX9	37.14512340687817
WT1pKTS	CTNNB1	37.141004705158124
CBX2	NR0B1	37.12120533950707
SRY	FOXL2	37.0769116332373
WNT4	DKK1	36.709253935151
NR5A1	DMRT1	36.60994736245101
NR5A1	GATA4	36.403096957289996
SRY	SOX9	36.28050457937819
