Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	153.26964601115975
DMRT1	DKK1	136.2508786118524
RSPO1	CTNNB1	126.88043736871944
DKK1	DMRT1	112.18989528308876
FOXL2	NR5A1	107.4544558681498
WT1pKTS	NR5A1	103.32086278078756
CTNNB1	FOXL2	102.24515681809852
UGR	CBX2	95.64362375222176
NR5A1	WT1pKTS	95.2318453009786
NR5A1	CBX2	92.9158522929017
WT1pKTS	FOXL2	92.25376965555044
RSPO1	NR5A1	82.9099447579451
WNT4	RSPO1	78.84412493676794
RSPO1	FOXL2	78.56193529210248
CTNNB1	WT1pKTS	78.02596425539983
CBX2	UGR	72.06035313657489
PGD2	WT1mKTS	68.94657905289888
SRY	FOXL2	68.78772653961218
NR0B1	WNT4	66.92854222874423
CTNNB1	SRY	66.64430718478698
CTNNB1	RSPO1	65.8503913925866
DKK1	SRY	65.54361089358258
WNT4	CTNNB1	64.82553207503882
DMRT1	SOX9	64.11016988785572
CTNNB1	NR5A1	61.82920218041122
CBX2	NR5A1	59.11579114570073
WT1mKTS	GATA4	58.96882215292349
AMH	DHH	58.652151989044775
WNT4	NR0B1	58.58241266011376
RSPO1	WT1pKTS	58.38391683584186
SRY	WT1pKTS	57.60302830164566
GATA4	WT1mKTS	57.18826830405357
NR5A1	FOXL2	56.85923482538425
WT1pKTS	SRY	56.17975683390648
NR5A1	RSPO1	55.059021253314405
GATA4	DMRT1	54.62282848523144
DMRT1	SRY	54.53443239792398
UGR	NR0B1	54.51711188089029
CTNNB1	WNT4	54.504941642368735
SRY	DMRT1	53.653929315609986
RSPO1	CBX2	53.50300465629337
WNT4	DMRT1	52.894473408522
NR5A1	UGR	52.54336861421937
SOX9	DKK1	50.64286674948938
FGF9	AMH	49.87377557969995
NR0B1	CBX2	49.02298918660524
AMH	WNT4	48.564521667164165
DHH	WT1mKTS	48.33296291297817
WT1pKTS	CBX2	47.474988999292854
SOX9	DMRT1	47.36239214203971
PGD2	NR0B1	47.1539698689346
UGR	GATA4	46.87512031197221
UGR	WT1mKTS	46.72429269818805
FOXL2	SRY	46.61859286691378
RSPO1	WNT4	46.16479743411277
SOX9	WNT4	45.818416626555376
DKK1	WNT4	45.10674366262027
WNT4	NR5A1	44.84781883521971
FGF9	SOX9	44.05752198997929
AMH	WT1mKTS	43.58404096439656
SOX9	PGD2	43.34474128552713
AMH	NR0B1	43.09776175490986
RSPO1	UGR	42.82118225630126
DKK1	SOX9	42.06387182315499
SOX9	RSPO1	41.35519103461432
FGF9	GATA4	41.211677776179926
DHH	PGD2	41.164352782365185
WNT4	UGR	40.975479046696435
NR0B1	UGR	40.90593221755823
NR5A1	DMRT1	40.80396626586088
NR0B1	RSPO1	40.662230319910584
DKK1	UGR	40.61307201800433
PGD2	AMH	40.47756884127936
PGD2	DHH	40.45080660354985
PGD2	FGF9	40.44990100115026
GATA4	FGF9	40.4081647356945
FOXL2	RSPO1	40.29723070121039
DHH	SOX9	40.09019608337451
FGF9	WT1mKTS	39.290824790474915
RSPO1	SRY	38.8840862306671
PGD2	WNT4	38.799027378325114
WT1pKTS	DMRT1	37.99991051203661
AMH	PGD2	37.370640851608634
FGF9	DHH	37.28649715710075
SRY	UGR	37.2163978421617
UGR	SRY	37.086681620762334
RSPO1	NR0B1	36.903187404749666
CTNNB1	CBX2	36.4305384507619
NR0B1	FGF9	36.11690087292566
WT1mKTS	SRY	35.94456110658447
WT1mKTS	DMRT1	35.7516072566938
WNT4	SOX9	35.73069890606318
FOXL2	DKK1	35.67817952459305
WNT4	CBX2	35.61725700102161
WT1pKTS	CTNNB1	35.466344969579104
GATA4	NR0B1	35.3821351547648
UGR	RSPO1	35.24058449698472
WT1mKTS	DHH	35.20297406371656
SRY	NR5A1	35.19386913773165
WNT4	SRY	35.07668555362079
AMH	FGF9	35.06284249702759
WT1mKTS	DKK1	34.86200654411031
CBX2	RSPO1	34.71265165608382
DHH	NR0B1	34.01540912334007
UGR	WNT4	33.70653802151955
CTNNB1	DMRT1	33.625356053452414
WT1pKTS	RSPO1	33.525167416274854
WT1mKTS	FGF9	33.51078504068546
SRY	GATA4	33.47659904394448
SRY	DKK1	33.3153812104013
GATA4	WNT4	33.00375092282138
NR0B1	AMH	32.43344939812752
FGF9	NR0B1	32.279810308612454
WT1mKTS	NR0B1	31.865701599845597
DHH	FGF9	31.78795101129579
DHH	DKK1	31.67237401504096
DMRT1	CTNNB1	31.63542534314175
WT1pKTS	DKK1	31.54386673056845
SOX9	SRY	31.52682376010171
NR5A1	WNT4	31.501297796764653
DMRT1	FOXL2	31.122856982627404
DMRT1	WNT4	31.10714559554672
WT1mKTS	AMH	31.02028548442819
FGF9	PGD2	30.974655434097063
FOXL2	CTNNB1	30.96152110352966
SOX9	NR0B1	30.93740135307184
SOX9	CBX2	30.916891818297735
DKK1	CBX2	30.732649513426196
PGD2	SRY	30.657032081873435
CBX2	CTNNB1	30.626427780136208
WT1mKTS	PGD2	30.57753481406676
SOX9	CTNNB1	30.442525425616388
PGD2	SOX9	30.420259305818963
NR5A1	CTNNB1	30.337624429955262
DMRT1	GATA4	30.04507599134327
WT1pKTS	WT1mKTS	29.962504345109103
WNT4	WT1mKTS	29.556285734626726
FOXL2	WNT4	29.48857348627243
CBX2	DMRT1	28.94154974672587
NR5A1	SRY	28.824863529191337
CTNNB1	UGR	28.792937994323513
NR5A1	NR0B1	28.770751641648033
CTNNB1	DKK1	28.766905194917907
DKK1	WT1mKTS	28.703100499678907
NR5A1	WT1mKTS	28.680474177538507
PGD2	GATA4	28.62574991415727
WT1mKTS	SOX9	28.30804623509791
PGD2	DMRT1	28.25679012994937
NR0B1	FOXL2	28.17866744469176
GATA4	SRY	27.96639468290768
RSPO1	DKK1	27.77499345899423
SOX9	FGF9	27.631043854230892
GATA4	DHH	27.297382276155012
CBX2	NR0B1	27.22044923435976
WT1pKTS	UGR	26.955149206456316
DKK1	PGD2	26.8843921944628
WNT4	DKK1	26.85842960069597
NR5A1	SOX9	26.78075850470234
DKK1	GATA4	26.65042286814423
CBX2	FOXL2	26.374189140479277
SOX9	UGR	26.321021598984228
DMRT1	UGR	26.279655453143157
PGD2	RSPO1	26.27331415574937
NR0B1	NR5A1	26.149895317605292
FOXL2	DMRT1	26.080396716292313
RSPO1	SOX9	26.071705726907776
DHH	RSPO1	26.045410075895667
AMH	CTNNB1	25.979707874263237
WNT4	DHH	25.93343690127927
PGD2	DKK1	25.91261170862016
DMRT1	PGD2	25.795833690876563
DHH	GATA4	25.696522188609816
CBX2	WT1pKTS	25.442010226912977
CBX2	DKK1	25.37185541474886
NR5A1	DKK1	25.32671697698203
SRY	CTNNB1	25.302075585984184
DHH	WNT4	25.228189246964572
SRY	WT1mKTS	25.201674989498333
NR0B1	PGD2	25.165680686944473
DMRT1	WT1mKTS	25.10557409844273
NR0B1	CTNNB1	24.62054343570229
FOXL2	CBX2	24.505931343906376
NR0B1	DHH	24.433155033547273
CBX2	WT1mKTS	24.401210748088182
UGR	CTNNB1	24.331578267485774
CTNNB1	NR0B1	24.261937181445415
SOX9	WT1mKTS	23.924655251398622
SOX9	AMH	23.86865662213276
DKK1	FOXL2	23.714525976411004
GATA4	AMH	23.600334295650903
NR5A1	GATA4	23.47975469945932
WT1pKTS	GATA4	23.447256720184573
AMH	SOX9	23.379349703862665
GATA4	CBX2	23.26252662590956
FOXL2	SOX9	23.193800396044583
WT1pKTS	NR0B1	23.153497897113603
AMH	DKK1	22.838298481807954
SRY	RSPO1	22.82796970859199
CTNNB1	WT1mKTS	22.725079917374316
NR0B1	SOX9	22.61213663031153
DMRT1	CBX2	22.412707171832313
WT1pKTS	WNT4	22.37818417332676
UGR	WT1pKTS	22.37708475110458
DKK1	FGF9	22.114262133164093
DKK1	CTNNB1	22.047310558912447
FGF9	WNT4	22.025635222561345
WNT4	GATA4	22.013379580794016
DMRT1	WT1pKTS	21.78275687457645
WT1pKTS	SOX9	21.77558935095445
FGF9	DKK1	21.76855884269803
RSPO1	FGF9	21.410709845080504
UGR	NR5A1	21.354118676288874
AMH	DMRT1	21.25006323623957
RSPO1	PGD2	21.23009412599204
CBX2	WNT4	21.0942790360316
RSPO1	WT1mKTS	21.066171863268067
FOXL2	UGR	21.042191211594027
AMH	GATA4	20.9090474626703
WNT4	PGD2	20.621380769250536
SOX9	DHH	20.532391058492045
GATA4	SOX9	20.513929342129728
SRY	SOX9	20.505116009997415
DKK1	DHH	20.25479180609103
DHH	CBX2	20.251471210817687
FGF9	RSPO1	20.13348308603812
SOX9	GATA4	19.845027750678256
SRY	DHH	19.744238148513848
GATA4	PGD2	19.665029160434347
WNT4	WT1pKTS	19.641733184146705
WNT4	FGF9	19.45454528265388
WNT4	FOXL2	19.410898918925824
CTNNB1	DHH	19.38657073660784
GATA4	DKK1	19.231032451192288
NR0B1	SRY	19.15847777297433
PGD2	CBX2	18.97541873940294
NR5A1	AMH	18.848062068259473
FGF9	CTNNB1	18.778286617156105
CBX2	SRY	18.684912670987845
DHH	DMRT1	18.600894777353023
NR5A1	DHH	18.404359272475705
NR0B1	DMRT1	18.399822750314293
AMH	CBX2	18.29771978790443
DMRT1	DHH	18.27648552198845
SRY	NR0B1	18.164425864001785
DMRT1	NR5A1	18.13351409701372
CTNNB1	SOX9	17.983472500280623
NR5A1	PGD2	17.90356138053505
WNT4	AMH	17.88218689567751
DHH	AMH	17.720607967901664
FGF9	SRY	17.62045256195222
DMRT1	AMH	17.61018969689421
SRY	CBX2	17.58774882592618
DMRT1	FGF9	17.184360798226102
GATA4	UGR	16.85092176808481
DMRT1	RSPO1	16.83102045184246
UGR	DKK1	16.780216203346683
NR0B1	WT1pKTS	16.677531693632044
DKK1	RSPO1	16.43566213783135
RSPO1	AMH	16.266118678945688
DKK1	NR5A1	16.1561118704794
WT1mKTS	WNT4	16.141666079606605
FGF9	NR5A1	16.06548085412956
NR0B1	WT1mKTS	16.021657712400966
GATA4	FOXL2	15.866929517401632
RSPO1	DMRT1	15.848957655025773
WT1mKTS	CBX2	15.628112607753932
NR0B1	GATA4	15.23092553425072
WT1pKTS	AMH	15.14734277373741
SOX9	NR5A1	15.079786642688106
FOXL2	GATA4	15.050567672509604
WT1mKTS	NR5A1	15.029673889092669
UGR	DMRT1	14.90365986947865
GATA4	RSPO1	14.818306664851772
CTNNB1	FGF9	14.809734048441769
CBX2	SOX9	14.746716282826217
CTNNB1	PGD2	14.743480045055168
DMRT1	NR0B1	14.583799759851887
PGD2	NR5A1	14.568210402406551
GATA4	NR5A1	14.55057858374887
SRY	WNT4	14.437749778693778
WT1pKTS	FGF9	14.30343970288153
CBX2	GATA4	14.160058036950444
DHH	UGR	14.068685960669876
DKK1	WT1pKTS	14.01398626798762
FGF9	CBX2	13.82056801572416
FGF9	DMRT1	13.813506396085588
SOX9	FOXL2	13.80373907283862
FOXL2	WT1mKTS	13.584641939585362
DKK1	AMH	13.371559451968269
RSPO1	DHH	13.342717504396038
SOX9	WT1pKTS	13.320576058627784
RSPO1	GATA4	13.114440881653955
WT1pKTS	PGD2	13.065812221937074
SRY	FGF9	13.053867196121235
WT1mKTS	UGR	12.707608147455938
UGR	SOX9	12.65666132063808
FGF9	UGR	12.527892229796729
UGR	FOXL2	11.76222016618615
FOXL2	NR0B1	11.439423024719632
PGD2	FOXL2	11.321068202719063
DHH	CTNNB1	11.27385841438635
GATA4	CTNNB1	11.246129290981075
PGD2	CTNNB1	11.22421850617602
CTNNB1	AMH	11.181337741696602
SRY	AMH	11.146279400449425
DHH	SRY	11.01681501744316
SRY	PGD2	10.754389665966444
DKK1	NR0B1	10.670814287626982
CBX2	PGD2	10.614755448096812
WT1pKTS	DHH	10.60137659857274
AMH	RSPO1	10.52501638993699
NR0B1	DKK1	10.404828279940018
DHH	NR5A1	10.097591990395156
WT1mKTS	RSPO1	9.56322412151454
NR5A1	FGF9	9.390091577947317
FOXL2	FGF9	9.234551047507471
CBX2	AMH	9.150888351293354
CBX2	DHH	9.127417032005454
PGD2	UGR	8.860476166607379
DHH	FOXL2	8.794719921131607
CBX2	FGF9	8.793462441362754
AMH	FOXL2	8.700062939569028
FOXL2	PGD2	8.467882337383319
AMH	UGR	8.45767513136781
CTNNB1	GATA4	8.19955141357413
WT1mKTS	FOXL2	7.66093352327476
FGF9	WT1pKTS	7.60344904231691
GATA4	WT1pKTS	7.587080543964189
FGF9	FOXL2	7.58136506299609
AMH	NR5A1	7.143092970206061
AMH	SRY	7.0315132338197435
WT1mKTS	WT1pKTS	6.883152190435458
FOXL2	DHH	6.542698823304685
WT1mKTS	CTNNB1	6.020452953235924
FOXL2	AMH	5.96855984652428
UGR	PGD2	5.65578310540059
UGR	DHH	5.53054947315863
UGR	FGF9	5.283386913603214
PGD2	WT1pKTS	5.147145554515994
AMH	WT1pKTS	5.109376787195727
DHH	WT1pKTS	4.899716119557952
UGR	AMH	4.432796905333401
