Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,UGR,91.41206382444668,1.0,1.0,1.0,3.12221850935379,2.313085602935362,3.7553991116503878,30,30,30,1
FOXL2,WT1pKTS,149.3826049013217,0.9980392156862745,1.0,0.9980392156862745,3.1225262042503164,2.569059733342149,3.5694176384531753,30,30,30,1
DKK1,DMRT1,110.45683346846414,0.996078431372549,1.0,0.996078431372549,3.2496336371953145,2.370258236350833,3.730773512037967,30,30,30,1
DMRT1,DKK1,106.57890388003243,0.996078431372549,1.0,0.996078431372549,3.2313724104849926,2.348425582807937,3.880767909020647,30,30,30,1
UGR,CBX2,97.07792511589973,0.9862745098039216,1.0,0.9862745098039216,2.614051674012264,1.5910425131574075,3.2591159427395864,30,30,30,1
RSPO1,CTNNB1,81.79532033899451,0.9823529411764705,1.0,0.9823529411764705,2.521503452665186,1.7027869592444684,3.415032854367688,30,30,30,1
WNT4,NR0B1,69.45488499735363,0.9764705882352941,1.0,0.9764705882352941,2.211166226543104,1.3036589073459024,3.017227394304707,30,30,30,1
WT1pKTS,FOXL2,99.88857209344829,0.9764705882352941,1.0,0.9764705882352941,2.396435066992217,1.4163613970593292,2.999515177464557,30,30,30,1
CTNNB1,RSPO1,82.56167422021379,0.9686274509803922,1.0,0.9686274509803922,2.2528014721653853,1.2522370402240157,2.8571122452702458,30,30,30,1
WT1mKTS,GATA4,53.423230288074855,0.9549019607843138,1.0,0.9549019607843138,1.8925910110665667,0.8108506094139388,3.2334863081866194,30,30,30,1
NR5A1,CBX2,86.05199533539104,0.9529411764705882,1.0,0.9529411764705882,2.171170671270488,1.4256621915538927,3.0908154232340452,30,30,30,1
UGR,GATA4,54.625036571500345,0.9450980392156862,1.0,0.9450980392156862,1.987571506654785,0.5817619338461959,3.1845444194581667,30,30,30,1
GATA4,WT1mKTS,62.31860086176256,0.9411764705882353,1.0,0.9411764705882353,2.0840460904394766,0.45497035549699993,3.1805194110267,30,30,30,1
WT1pKTS,NR5A1,87.73782684922803,0.9392156862745098,1.0,0.9392156862745098,1.8527840200555432,1.0716817807249681,2.8017747890847655,30,30,30,1
UGR,WT1mKTS,58.961683069742016,0.9352941176470588,1.0,0.9352941176470588,1.8498108954803147,0.5614865418512248,3.4392589126956006,30,30,30,1
NR0B1,WNT4,70.1270511512822,0.9333333333333333,1.0,0.9333333333333333,1.954229089894664,0.49186044314373917,3.274396783937881,30,30,30,1
SRY,DMRT1,68.375796776163,0.9333333333333333,1.0,0.9333333333333333,1.4554713101360044,0.4173825880812976,2.819002680701816,30,30,30,1
NR5A1,RSPO1,71.83695403946078,0.9313725490196079,1.0,0.9313725490196079,1.7285225554993409,1.062992334079568,2.7055788512185095,30,30,30,1
PGD2,DHH,42.06182128839794,0.9294117647058824,1.0,0.9294117647058824,1.6459671158487845,0.5875850338389683,2.5471137893443183,30,30,30,1
FOXL2,NR5A1,84.37444223440791,0.9274509803921569,1.0,0.9274509803921569,1.7492155506941711,0.8997394047632015,2.500958867785716,30,30,30,1
DHH,PGD2,43.15441467512244,0.9235294117647059,1.0,0.9235294117647059,1.7540582597822814,0.41469231052330535,3.1599004804565682,30,30,30,1
DMRT1,SOX9,46.38278300570767,0.9176470588235294,1.0,0.9176470588235294,1.6972027699708412,0.5092030070242706,2.7981178606726385,30,30,30,1
SRY,DKK1,63.74824282383096,0.9176470588235294,1.0,0.9176470588235294,1.3905567018227452,0.17430944222335235,2.6042653128463487,30,30,30,1
DKK1,SOX9,46.552503082058884,0.9156862745098039,1.0,0.9156862745098039,1.6588977546661166,0.6713743550106374,2.7894327064926543,30,30,30,1
UGR,NR0B1,57.24870411122268,0.9137254901960784,1.0,0.9137254901960784,1.4643842083178467,0.6923926136874275,2.2974183876866805,30,30,30,1
PGD2,AMH,41.87109135195677,0.9098039215686274,1.0,0.9098039215686274,1.5212418506167065,0.6066776484930945,2.4061182905646143,30,30,30,1
NR5A1,WT1pKTS,80.93076771123239,0.907843137254902,1.0,0.907843137254902,1.2800203624090283,0.6282366303336177,2.117280164403816,30,30,30,1
WNT4,CTNNB1,58.750634357110506,0.903921568627451,1.0,0.903921568627451,1.3547542522579548,0.537484209463537,2.491058174095435,30,30,30,1
AMH,PGD2,40.30020639386396,0.9,1.0,0.9,1.5073125952738275,0.3478578725530767,2.7945147899709495,30,30,30,1
CTNNB1,FOXL2,75.05151830333413,0.9,1.0,0.9,1.488526381798526,0.5874065433217022,2.513494289233943,30,30,30,1
FGF9,DHH,40.29962172517944,0.9,1.0,0.9,1.5114118061957103,0.4938309993042235,2.4762775762812326,30,30,30,1
RSPO1,NR5A1,80.08696515427845,0.9,1.0,0.9,1.5859212991142075,0.9298837713426767,2.6982872986727715,30,30,30,1
DHH,AMH,43.78539180699541,0.8941176470588236,1.0,0.8941176470588236,1.6358746898009753,-0.08546242764276446,2.601269884518058,30,30,30,1
DHH,FGF9,40.79288520922008,0.8941176470588236,1.0,0.8941176470588236,1.475887526591052,0.3590147200660363,2.9199682723922065,30,30,30,1
NR5A1,FOXL2,71.53520157163446,0.8941176470588236,1.0,0.8941176470588236,1.384087711914454,0.6265451227837165,1.9709783006067747,30,30,30,1
CTNNB1,SRY,61.15845855593186,0.8921568627450981,1.0,0.8921568627450981,1.4501818300159073,0.3778407518559828,2.408095638235524,30,30,30,1
PGD2,FGF9,41.47796105688615,0.8921568627450981,1.0,0.8921568627450981,1.5384268391851377,0.3574346828243682,2.7040923625987685,30,30,30,1
WNT4,RSPO1,64.49620077008339,0.8921568627450981,1.0,0.8921568627450981,1.4041165908119653,0.2732040770561716,2.489608346733077,30,30,30,1
FGF9,AMH,43.531330652439436,0.888954248366013,0.9666666666666667,0.9196078431372549,1.6474731443514785,-0.0735663946236604,2.578623606515568,29,30,30,1
