Gene1	Gene2	EdgeWeight
GATA4	GATA4	1.0
GATA4	GATA4	1.0
SRY	SRY	1.0
CBX2	RSPO1	1.0
GATA4	WT1mKTS	1.0
WT1pKTS	WT1mKTS	1.0
WT1mKTS	WT1mKTS	1.0
WT1mKTS	WT1mKTS	1.0
NR5A1	RSPO1	1.0
NR5A1	DMRT1	1.0
DMRT1	DMRT1	1.0
WT1mKTS	GATA4	1.0
NR5A1	DKK1	1.0
WNT4	UGR	1.0
WT1pKTS	FOXL2	1.0
WT1pKTS	WT1pKTS	1.0
WT1mKTS	WT1pKTS	1.0
CBX2	CTNNB1	1.0
FOXL2	NR5A1	1.0
GATA4	CBX2	1.0
CBX2	CBX2	1.0
FOXL2	SRY	1.0
WT1pKTS	SRY	1.0
GATA4	WT1mKTS	1.0
NR0B1	AMH	1.0
WT1pKTS	GATA4	1.0
WT1mKTS	GATA4	1.0
UGR	UGR	1.0
DKK1	CBX2	1.0
GATA4	WT1pKTS	1.0
WT1pKTS	WT1pKTS	1.0
WT1mKTS	WT1pKTS	1.0
NR0B1	NR0B1	1.0
WT1mKTS	UGR	0.999999
NR5A1	FOXL2	0.999997
SRY	UGR	0.999995
FOXL2	WT1pKTS	0.999995
NR0B1	UGR	0.999994
UGR	NR0B1	0.999993
AMH	PGD2	0.999976
UGR	WNT4	0.999944
UGR	CBX2	0.999914
DMRT1	NR5A1	0.999895
CBX2	DKK1	0.999814
DMRT1	CBX2	0.999795
DKK1	WNT4	0.999715
NR0B1	FGF9	0.999459
WNT4	SOX9	0.999455
GATA4	FGF9	0.999404
SRY	CBX2	0.999178
CTNNB1	CBX2	0.999037
SOX9	CBX2	0.998328
WT1mKTS	FOXL2	0.99824
DHH	PGD2	0.996998
WT1mKTS	SRY	0.99665
SOX9	WNT4	0.993435
RSPO1	SRY	0.992237
WT1mKTS	DKK1	0.991576
DMRT1	WNT4	0.990247
WNT4	DKK1	0.986239
CTNNB1	UGR	0.982841
NR0B1	DHH	0.976695
WT1mKTS	SOX9	0.973865
WT1pKTS	DHH	0.967607
UGR	SRY	0.965009
GATA4	CTNNB1	0.956989
DKK1	DMRT1	0.956799
FGF9	PGD2	0.940336
CTNNB1	SRY	0.927398
DKK1	NR5A1	0.920578
SRY	NR0B1	0.912601
GATA4	DHH	0.903923
RSPO1	FGF9	0.887982
CTNNB1	NR5A1	0.87299
GATA4	SOX9	0.807328
WT1pKTS	UGR	0.804272
WNT4	SRY	0.795171
SOX9	RSPO1	0.769174
DHH	RSPO1	0.761536
PGD2	PGD2	0.729116
WT1pKTS	PGD2	0.726433
FGF9	RSPO1	0.721325
AMH	CBX2	0.71025
NR5A1	WNT4	0.697201
CBX2	UGR	0.650335
RSPO1	NR5A1	0.637159
RSPO1	CBX2	0.62665
SRY	FOXL2	0.586401
UGR	CTNNB1	0.584318
NR0B1	SRY	0.574173
UGR	RSPO1	0.572066
PGD2	WNT4	0.553915
RSPO1	UGR	0.551779
DHH	CTNNB1	0.531134
CBX2	DMRT1	0.528054
WT1mKTS	PGD2	0.500386
NR0B1	DKK1	0.487468
FOXL2	UGR	0.474793
RSPO1	DHH	0.450082
GATA4	UGR	0.42623
RSPO1	CTNNB1	0.411093
DHH	WNT4	0.405193
WT1pKTS	NR0B1	0.384314
UGR	FOXL2	0.364171
CBX2	NR0B1	0.358451
GATA4	FOXL2	0.340919
FGF9	SRY	0.330378
UGR	DKK1	0.324639
WT1pKTS	AMH	0.322823
UGR	AMH	0.293511
CBX2	WNT4	0.289385
DKK1	SRY	0.278825
AMH	DKK1	0.271268
DKK1	FGF9	0.267956
CBX2	SOX9	0.264725
WNT4	NR0B1	0.24308
AMH	NR0B1	0.235399
DHH	NR0B1	0.230369
PGD2	NR0B1	0.229803
AMH	WNT4	0.226473
WNT4	NR5A1	0.215788
DKK1	CTNNB1	0.209981
NR0B1	DMRT1	0.208555
DMRT1	FOXL2	0.206944
NR0B1	PGD2	0.205346
WNT4	AMH	0.203043
NR0B1	RSPO1	0.202198
WNT4	DHH	0.197199
FGF9	NR0B1	0.196109
GATA4	SRY	0.195909
NR5A1	CBX2	0.194219
DMRT1	CTNNB1	0.193267
FOXL2	DKK1	0.189027
DMRT1	DHH	0.188429
DMRT1	PGD2	0.188133
FGF9	CBX2	0.185498
SOX9	PGD2	0.183012
UGR	SOX9	0.1804
SOX9	CTNNB1	0.178733
GATA4	DMRT1	0.170102
CBX2	SRY	0.162999
SRY	RSPO1	0.160135
UGR	FGF9	0.157744
UGR	DHH	0.154921
RSPO1	SOX9	0.152276
DHH	SRY	0.151626
NR5A1	WT1pKTS	0.15052
WT1pKTS	SOX9	0.148995
CBX2	FOXL2	0.148884
WNT4	DMRT1	0.148805
AMH	DHH	0.147755
SOX9	SRY	0.146256
FOXL2	FGF9	0.145144
NR5A1	CTNNB1	0.144792
WT1mKTS	DMRT1	0.142014
PGD2	WT1pKTS	0.138498
CTNNB1	WNT4	0.136265
AMH	FGF9	0.134461
NR5A1	PGD2	0.133688
WT1mKTS	FGF9	0.133662
NR5A1	SOX9	0.132821
NR0B1	CBX2	0.13206
RSPO1	AMH	0.130493
DKK1	SOX9	0.129905
WNT4	FOXL2	0.128206
SRY	WT1pKTS	0.127652
UGR	WT1pKTS	0.127275
SOX9	DHH	0.12659
DMRT1	SRY	0.124432
CBX2	FGF9	0.122957
WT1mKTS	CBX2	0.122492
DMRT1	SOX9	0.122268
UGR	PGD2	0.122218
NR5A1	NR0B1	0.120736
DMRT1	FGF9	0.118298
FGF9	SOX9	0.117025
WT1mKTS	DHH	0.115732
GATA4	PGD2	0.113521
FOXL2	DHH	0.113263
FGF9	FGF9	0.112404
SOX9	FGF9	0.112327
DKK1	WT1pKTS	0.11029
DKK1	FOXL2	0.110225
SRY	PGD2	0.10922
FOXL2	PGD2	0.109065
FOXL2	DMRT1	0.108998
FOXL2	FOXL2	0.107583
NR0B1	WT1pKTS	0.105499
FGF9	DHH	0.105485
DHH	WT1pKTS	0.105429
CTNNB1	DHH	0.104947
SOX9	UGR	0.100547
RSPO1	WT1pKTS	0.100337
PGD2	UGR	0.099478
PGD2	SRY	0.098817
UGR	DMRT1	0.098196
SOX9	DMRT1	0.098145
DHH	FOXL2	0.096072
SRY	CTNNB1	0.095913
PGD2	DMRT1	0.094789
SOX9	FOXL2	0.094583
DKK1	PGD2	0.094432
CTNNB1	FOXL2	0.094423
WNT4	WT1pKTS	0.094342
NR0B1	SOX9	0.094279
WNT4	CBX2	0.093314
NR5A1	SRY	0.093106
AMH	SOX9	0.092657
NR5A1	UGR	0.092262
DKK1	UGR	0.091301
FOXL2	SOX9	0.089936
FOXL2	GATA4	0.089587
FOXL2	AMH	0.089431
DMRT1	UGR	0.089164
CTNNB1	SOX9	0.087352
SOX9	NR0B1	0.087334
RSPO1	PGD2	0.087307
CTNNB1	FGF9	0.086895
DHH	WT1mKTS	0.086891
WT1pKTS	WNT4	0.086835
SOX9	SOX9	0.086648
PGD2	SOX9	0.086506
DMRT1	NR0B1	0.086488
CTNNB1	WT1pKTS	0.0863
WNT4	PGD2	0.086142
WNT4	FGF9	0.085641
FGF9	WT1mKTS	0.085027
NR5A1	FGF9	0.084189
DHH	DHH	0.084035
FOXL2	CBX2	0.084035
FGF9	DMRT1	0.0835
PGD2	GATA4	0.082047
RSPO1	DMRT1	0.081608
AMH	FOXL2	0.080741
SOX9	GATA4	0.080468
