DMRT1,FGF9,RSPO1,DHH,CTNNB1,PGD2,WT1mKTS,SRY,DKK1,WNT4,CBX2,AMH,NR0B1,NR5A1,WT1pKTS,FOXL2,UGR,SOX9,GATA4,Time,Experiment
9.5252117302,9.7156916366,2.8673148373,9.540795871,1.5690127733,9.818772227,9.7284759846,9.5251772507,9.8592202605,3.9886186225,2.4015049387,9.4127788441,2.8230478206,9.3814365433,10.101605693,0.3855318918,1.9926434884,9.8608267717,9.7457057143,148.607726925672,1
9.3059970218,0.0314674227,9.500928783,2.7238320629,8.1400835326,2.6162835348,9.8207205022,10.4015651693,9.4363382522,9.5908930711,7.9917186547,6.4052029494,10.2966746461,8.6404044066,10.2896389177,2.674539408,2.8109614809,6.9814795212,10.2958755741,78.7270899249429,1
9.7832620975,9.8575623272,2.2524568202,9.2323674769,1.5599182092,9.9696879995,9.7119780578,10.1361379503,9.4500201792,1.0652443645,2.4863000572,9.2406982778,7.2887104946,9.9264341028,9.5958263176,0.6394637954,5.4720650175,9.1831227885,9.6286617765,137.630003498493,1
10.208445132,6.0694674857,3.5843736916,3.4992747986,3.5775780695,3.6215007907,10.1152362138,10.2328763377,10.1274518432,4.8658809048,1.0463061603,3.9582892482,10.2850645549,9.3442814284,10.3903567571,1.0936072522,2.4177619025,9.6834726694,10.1967480637,109.3077700521,1
9.4749214259,9.6371667141,3.0008111046,9.3579434041,4.6928291715,9.9321979836,9.8113796525,9.5298919645,9.9846325643,2.3938574364,3.5204460392,9.4928893326,1.2873820697,10.0836578437,9.7271874167,0.558228176,4.0723970361,9.6249526402,9.477561875,139.848139256052,1
9.7482905062,9.7155463854,1.5659662337,9.1167786497,2.4218295407,9.6596593685,9.6881231689,9.6902328124,9.4857031394,1.5714402006,1.2539419237,9.7353112478,7.0562384457,9.330229364,9.7892192868,3.7375610094,3.427276994,10.1290080277,9.8371601828,151.456469814385,1
5.3305126345,4.74288311,4.4877420466,1.8169831741,1.4270755622,0.5743427111,10.9526673833,0.0977007792,4.2315161306,5.1149731399,10.6415557512,3.0337625946,4.2330928733,10.4888123872,10.4973486162,0.3651770659,10.8847712343,5.5932700038,10.4900258,21.357577476349,1
3.7316747013,5.5928961723,3.7267578517,1.355430531,4.4810267002,3.8355164411,10.2284640732,5.7123495874,4.7837574581,9.8680685898,9.797452523,1.7077574917,9.7359414461,10.8908418716,10.3033845686,2.7578555725,9.3163342128,6.1399799546,11.0138566131,42.723617310101,1
9.6570229992,9.5398229438,4.1894562639,9.6215114753,4.846839296,9.9656865787,9.5436476723,9.4785736245,9.672643427,5.3428881257,4.3816717688,9.3425833912,1.0942511374,9.8248687672,9.7073217005,3.3673719257,4.7310259424,9.5684346687,10.1097951397,146.360396099063,1
8.188088733,0.62831494,9.6270268569,4.5109084358,9.0329683072,3.0945712483,10.1077186844,10.1983712421,8.0154803125,10.0969519875,7.0692456246,2.6906590402,10.3217061129,10.0189783163,10.3751321286,5.0963762459,5.3147577321,6.9561357936,9.5760415323,60.0191576873968,1
