Gene1	Gene2	Score
WT1pKTS	WT1mKTS	0.879423486213425
WT1mKTS	WT1pKTS	0.879423486213425
UGR	WNT4	0.867554293009251
GATA4	WT1pKTS	0.848100719879413
WT1pKTS	GATA4	0.848100719879413
UGR	DKK1	-0.847159442311689
GATA4	WT1mKTS	0.844630824400179
WT1mKTS	GATA4	0.844630824400179
NR0B1	DKK1	0.841184141300531
NR0B1	DMRT1	0.840275781796307
UGR	DMRT1	-0.836591659242141
DKK1	DMRT1	0.82692333641743
DMRT1	DKK1	0.82692333641743
UGR	FGF9	-0.82190443604118
UGR	SOX9	-0.812628764738058
DKK1	NR0B1	-0.812091925065495
UGR	DHH	-0.811314371279212
UGR	PGD2	-0.811139067336365
DKK1	FGF9	0.809130378013863
DMRT1	NR0B1	-0.808528973063611
DMRT1	DHH	0.80657524449705
DMRT1	FGF9	0.806401740284563
DKK1	DHH	0.80445387724939
DMRT1	AMH	0.801637234097971
NR0B1	UGR	-0.800092329582451
DMRT1	PGD2	0.799982294526325
DKK1	PGD2	0.79980507797516
DKK1	WNT4	-0.798303729378834
DKK1	AMH	0.797073074698513
UGR	AMH	-0.790540775004983
UGR	CBX2	0.789679941155843
SRY	UGR	-0.786863163032762
NR0B1	WNT4	-0.784254519082806
SRY	WNT4	-0.784225526353874
NR0B1	SRY	0.783700420977811
DMRT1	WNT4	-0.777321791308996
UGR	SRY	-0.775437164932048
SRY	DKK1	0.77437150664584
SRY	DMRT1	0.770350916098206
CBX2	WNT4	0.757479678871162
UGR	NR0B1	0.750653445283936
DMRT1	SOX9	0.745374362533464
DKK1	SOX9	0.744586630551841
SRY	NR0B1	0.744139349507287
CBX2	NR0B1	0.740615855337493
CBX2	FGF9	-0.740564932986439
CBX2	PGD2	-0.73891661433589
CBX2	DHH	-0.73582790482801
CBX2	DKK1	-0.733884993884678
NR0B1	SOX9	0.733816067141516
SRY	DHH	0.731293357744583
SRY	FGF9	0.729140433271456
SRY	CBX2	-0.727795602099366
SRY	SOX9	0.726209599314485
NR0B1	CBX2	-0.724977276143085
CBX2	UGR	0.724760112806214
CBX2	AMH	-0.724098282258583
CBX2	DMRT1	-0.722212092978127
SRY	PGD2	0.720965376691011
DKK1	CBX2	-0.709765504398028
CBX2	SOX9	-0.705781733366657
DMRT1	CBX2	-0.705383292228667
UGR	RSPO1	0.69378469778425
RSPO1	NR5A1	-0.690277944976914
SRY	RSPO1	-0.68884341524148
SRY	AMH	0.682517359500704
UGR	GATA4	0.680843056810975
NR5A1	WNT4	0.679553547432072
UGR	WT1pKTS	0.678387769384676
NR5A1	NR0B1	0.672157630958975
NR5A1	FGF9	-0.663317905754323
NR5A1	DKK1	-0.661909638424295
DKK1	NR5A1	-0.661909638424295
NR5A1	DMRT1	-0.660976106027952
DMRT1	NR5A1	-0.660976106027952
NR5A1	DHH	-0.655962870802595
NR0B1	CTNNB1	-0.655729372972129
SRY	CTNNB1	-0.655095285911646
NR5A1	AMH	-0.644347253301456
NR5A1	PGD2	-0.64380737571491
NR0B1	FGF9	0.640966623219606
UGR	WT1mKTS	0.640097166209786
NR0B1	PGD2	0.639004488743088
WNT4	DKK1	0.629710778839438
NR0B1	DHH	0.627655265052114
CBX2	SRY	-0.627530273658539
WNT4	DMRT1	0.621545041584549
UGR	CTNNB1	0.621000514497915
DMRT1	WT1pKTS	-0.618601226974141
RSPO1	FGF9	0.617562069151697
DKK1	GATA4	-0.615568059342761
RSPO1	DMRT1	0.615455644178178
RSPO1	DKK1	0.614907671098298
WNT4	NR0B1	0.612799718620105
DKK1	WT1pKTS	-0.61275148404852
NR5A1	SOX9	-0.611735589851215
DMRT1	WT1mKTS	-0.610285097681399
CBX2	GATA4	0.609458943062348
DKK1	WT1mKTS	-0.609220711221575
DMRT1	GATA4	-0.608139383627727
CBX2	WT1pKTS	0.607182085871047
RSPO1	DHH	0.606361895128875
CBX2	RSPO1	0.605147587526283
CTNNB1	RSPO1	0.602966252717465
CTNNB1	NR5A1	-0.601437604900558
RSPO1	WNT4	-0.600973407931766
RSPO1	PGD2	0.600474638627089
SRY	GATA4	-0.598840346196792
SRY	WT1pKTS	-0.598759128213965
RSPO1	AMH	0.598493641447815
NR0B1	AMH	0.597961652043691
NR0B1	RSPO1	-0.596061829172896
RSPO1	CTNNB1	0.589711828253989
NR5A1	CBX2	0.587784058910168
CBX2	NR5A1	0.587784058910168
WNT4	RSPO1	0.587297491159501
RSPO1	SOX9	0.579818001094795
NR0B1	GATA4	-0.576184803003328
CBX2	WT1mKTS	0.574854313165586
DKK1	UGR	-0.572885929144482
RSPO1	NR0B1	-0.568372720494291
DMRT1	UGR	-0.567880183882212
UGR	NR5A1	0.559308039011514
NR0B1	WT1pKTS	-0.558871088938578
DKK1	RSPO1	-0.556629399588291
DMRT1	RSPO1	-0.553776395102281
DKK1	SRY	0.552099938044096
WNT4	UGR	-0.550830586706106
NR5A1	WT1pKTS	0.541265714081661
WNT4	SRY	0.535218923534224
SRY	WT1mKTS	-0.534027466449182
DMRT1	SRY	0.533522680147777
CBX2	CTNNB1	0.515210455003113
SOX9	NR0B1	-0.515192749491728
NR0B1	WT1mKTS	-0.514164133674633
SOX9	AMH	0.514077568866767
NR5A1	RSPO1	-0.513754577215933
SOX9	PGD2	0.511206619102907
RSPO1	UGR	-0.504643017431613
SOX9	DHH	0.50133396942639
WNT4	NR5A1	-0.500806144769448
WNT4	SOX9	0.499913974958272
RSPO1	CBX2	-0.49946382568835
NR5A1	WT1mKTS	0.495832772747291
SOX9	FGF9	0.495297681485907
SOX9	DKK1	0.489339294389125
WNT4	CTNNB1	0.486641822693167
WNT4	CBX2	-0.486565043420156
NR5A1	GATA4	0.484690449162692
