Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.880288013254998
RSPO1	CTNNB1	0.880288013254998
UGR	FOXL2	0.870535284281439
WNT4	FOXL2	0.869246702290257
UGR	WNT4	0.869041458300848
WNT4	RSPO1	0.867407384734967
WT1mKTS	WT1pKTS	0.866896339695545
WT1pKTS	WT1mKTS	0.866896339695545
NR0B1	FOXL2	0.865022220979246
UGR	RSPO1	0.863006366279338
RSPO1	FOXL2	0.85968120049063
CTNNB1	FOXL2	0.857904588467079
UGR	CTNNB1	0.857568924568237
NR0B1	CTNNB1	0.854610575133462
WNT4	CTNNB1	0.853446070491092
WNT4	NR0B1	0.852924012497085
NR0B1	WNT4	0.852924012497085
UGR	DKK1	0.852602137100614
GATA4	WT1mKTS	0.852572323807437
WT1mKTS	GATA4	0.852572323807437
WT1pKTS	GATA4	0.851475908817194
GATA4	WT1pKTS	0.851475908817194
NR0B1	RSPO1	0.850858082730089
NR0B1	DMRT1	0.847745430065259
UGR	DMRT1	0.846812688643425
CBX2	FOXL2	0.845626694846796
UGR	CBX2	0.844013148305172
UGR	FGF9	0.843707043793413
DMRT1	DKK1	0.841931556583353
DKK1	DMRT1	0.841931556583353
CTNNB1	CBX2	0.840021267341643
NR0B1	DKK1	0.839483071058898
RSPO1	CBX2	0.837982378296304
CBX2	NR5A1	0.837830299647903
UGR	PGD2	0.835980248816912
CBX2	RSPO1	0.835857534647841
UGR	NR5A1	0.834277910457919
CBX2	CTNNB1	0.831744341636144
DKK1	FGF9	0.829998636975637
UGR	DHH	0.829830040417707
CTNNB1	NR5A1	0.82907118153384
RSPO1	NR5A1	0.825964348959325
NR5A1	WT1pKTS	0.825876777655539
DMRT1	FGF9	0.825749249705106
NR5A1	FOXL2	0.824836942138265
CBX2	WT1pKTS	0.821310976951011
DKK1	NR0B1	0.819428591148169
UGR	AMH	0.817844367771049
DKK1	DHH	0.817613599172452
UGR	WT1pKTS	0.816823630677112
UGR	SOX9	0.815350210015581
DMRT1	DHH	0.815169507973528
WNT4	UGR	0.814492620715069
DMRT1	NR0B1	0.813656205889857
NR0B1	UGR	0.813531800863921
DMRT1	PGD2	0.810424424212458
DKK1	PGD2	0.809820696336497
DKK1	AMH	0.808651850849067
DKK1	WNT4	0.808154476767403
DMRT1	AMH	0.806536796400919
RSPO1	WT1pKTS	0.80456460464715
CTNNB1	WT1pKTS	0.804484225076847
NR0B1	CBX2	0.802032293948304
WNT4	CBX2	0.80136487809581
SRY	WNT4	0.800607222977556
SRY	UGR	0.796248987609574
FOXL2	NR5A1	0.796128363432238
FOXL2	WT1pKTS	0.793954976464099
UGR	SRY	0.788007431605668
DMRT1	WNT4	0.787792244864314
NR0B1	SRY	0.787759924516712
SRY	DMRT1	0.785717592673969
SRY	DKK1	0.785699885228561
WNT4	NR5A1	0.784213091869466
NR0B1	NR5A1	0.783735351691571
CBX2	DHH	0.781531867550396
CBX2	WNT4	0.778328395870514
UGR	NR0B1	0.77685920875273
NR0B1	WT1pKTS	0.77683888601935
CBX2	NR0B1	0.776714076439742
CBX2	FGF9	0.774434356796635
WNT4	WT1pKTS	0.771225363823581
DMRT1	SOX9	0.77112579673234
DKK1	SOX9	0.769315905468939
