	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
DMRT1	1.0	0.5178819180987954	-0.45613985691200887	0.50956397578053	-0.5510025682582064	0.5470015865305005	-0.43380713695288886	0.7293484536329358	0.8448341754139229	-0.6052941069285481	-0.2894254391969988	0.5208741468884156	-0.373463941190458	0.3203622980322765	0.4248985199826168	-0.5677873422628367	-0.28087844455583344	0.7091174565997813	-0.4572716971990158
FGF9	0.5178819180987954	1.0	-0.549812376151889	0.7690368610171743	-0.48724047355206374	0.7653914045593662	-0.4828089456227955	0.4119314886341104	0.5125979583359396	-0.6777795383903362	-0.2506401361023986	0.7549657043525936	-0.6328718332701286	0.33518659183191746	0.2051166297309962	-0.36054720177565913	-0.1485064514784532	0.6729019541273337	-0.48724171217052564
RSPO1	-0.45613985691200887	-0.549812376151889	1.0	-0.538333260774255	0.8544080918207917	-0.5401316176910105	0.26302743744304746	-0.5210318421076765	-0.4643328940244062	0.7646455182503971	-0.2939057935538155	-0.5189173227854481	0.6573982346967826	-0.7429432104201015	-0.6020667103007408	0.6927319632686805	-0.30380327647752364	-0.5896754390046116	0.2548388396179971
DHH	0.50956397578053	0.7690368610171743	-0.538333260774255	1.0	-0.48809133592673093	0.7640913752459144	-0.47443845987448274	0.4043001851483241	0.5171613713518982	-0.6622142985505285	-0.2507927233771166	0.759050421296403	-0.6197557565695581	0.328311077100866	0.20716336034680527	-0.34983420699926177	-0.16024547516661664	0.6605889173586582	-0.4910100288429913
CTNNB1	-0.5510025682582064	-0.48724047355206374	0.8544080918207917	-0.48809133592673093	1.0	-0.500022673044008	0.2537051390898634	-0.5889436535878723	-0.5471037129519062	0.7428019021260029	-0.27979907707177165	-0.4819542442113441	0.6088426203384771	-0.7209353918978475	-0.6588435877002843	0.7522670733774771	-0.2910521495033917	-0.5742005956038353	0.2502983386571514
PGD2	0.5470015865305005	0.7653914045593662	-0.5401316176910105	0.7640913752459144	-0.500022673044008	1.0	-0.4913847892637649	0.4419256394816862	0.5540214341234874	-0.6842570284059001	-0.2759785463437357	0.7586033480460409	-0.6243565327305755	0.34246159991881153	0.237647509258776	-0.381826357740397	-0.178587611763247	0.6809474852865844	-0.49711289387955543
WT1mKTS	-0.43380713695288886	-0.4828089456227955	0.26302743744304746	-0.47443845987448274	0.2537051390898634	-0.4913847892637649	1.0	-0.3940946876756594	-0.45020987001774054	0.36269224410087436	0.19805668545045357	-0.48300224777826756	0.31424921650714766	-0.15945037612313973	-0.10616508472110003	0.24747584606669742	0.05069112239935286	-0.4751083491832375	0.7874666848033791
SRY	0.7293484536329358	0.4119314886341104	-0.5210318421076765	0.4043001851483241	-0.5889436535878723	0.4419256394816862	-0.3940946876756594	1.0	0.7389703613434825	-0.46359054943647293	-0.07400394195382663	0.41369350742784816	-0.25334876562887365	0.48967815706156015	0.5598902143191128	-0.6980193053540356	-0.20308798171241604	0.6065608093182931	-0.3843606433365247
DKK1	0.8448341754139229	0.5125979583359396	-0.4643328940244062	0.5171613713518982	-0.5471037129519062	0.5540214341234874	-0.45020987001774054	0.7389703613434825	1.0	-0.5940417967674972	-0.30132701676507945	0.5279138300667013	-0.37063898187297983	0.32683654846741583	0.4215538375478751	-0.5816777720982823	-0.27906121916878307	0.7196471694630752	-0.4569472884083235
WNT4	-0.6052941069285481	-0.6777795383903362	0.7646455182503971	-0.6622142985505285	0.7428019021260029	-0.6842570284059001	0.36269224410087436	-0.46359054943647293	-0.5940417967674972	1.0	-0.011878120654513538	-0.6470412662449054	0.7614525627619676	-0.5611485740588736	-0.45399083498426535	0.5616468953507286	-0.12627621228528005	-0.7098330005998743	0.3721224771266939
CBX2	-0.2894254391969988	-0.2506401361023986	-0.2939057935538155	-0.2507927233771166	-0.27979907707177165	-0.2759785463437357	0.19805668545045357	-0.07400394195382663	-0.30132701676507945	-0.011878120654513538	1.0	-0.2504432438854366	-0.15819425487503083	0.44600478582636577	0.35885928457441985	-0.2803477020944031	0.7195694451285374	-0.273160780007522	0.23063271036236788
AMH	0.5208741468884156	0.7549657043525936	-0.5189173227854481	0.759050421296403	-0.4819542442113441	0.7586033480460409	-0.48300224777826756	0.41369350742784816	0.5279138300667013	-0.6470412662449054	-0.2504432438854366	1.0	-0.6341331695781968	0.31550325813927843	0.21218886415783836	-0.3736291069735074	-0.15664299296805653	0.6334244221492342	-0.49099987878069346
NR0B1	-0.373463941190458	-0.6328718332701286	0.6573982346967826	-0.6197557565695581	0.6088426203384771	-0.6243565327305755	0.31424921650714766	-0.25334876562887365	-0.37063898187297983	0.7614525627619676	-0.15819425487503083	-0.6341331695781968	1.0	-0.5176672289005513	-0.3870966345636527	0.46271898313426735	-0.2941559859250129	-0.4969294300641374	0.3131888030942187
NR5A1	0.3203622980322765	0.33518659183191746	-0.7429432104201015	0.328311077100866	-0.7209353918978475	0.34246159991881153	-0.15945037612313973	0.48967815706156015	0.32683654846741583	-0.5611485740588736	0.44600478582636577	0.31550325813927843	-0.5176672289005513	1.0	0.7453929390700259	-0.7633422354409372	0.35859970258026447	0.43172062601017785	-0.13223356168016348
WT1pKTS	0.4248985199826168	0.2051166297309962	-0.6020667103007408	0.20716336034680527	-0.6588435877002843	0.237647509258776	-0.10616508472110003	0.5598902143191128	0.4215538375478751	-0.45399083498426535	0.35885928457441985	0.21218886415783836	-0.3870966345636527	0.7453929390700259	1.0	-0.8091206276824665	0.2724907955399365	0.3327598333153742	-0.09054897927491468
FOXL2	-0.5677873422628367	-0.36054720177565913	0.6927319632686805	-0.34983420699926177	0.7522670733774771	-0.381826357740397	0.24747584606669742	-0.6980193053540356	-0.5816777720982823	0.5616468953507286	-0.2803477020944031	-0.3736291069735074	0.46271898313426735	-0.7633422354409372	-0.8091206276824665	1.0	-0.18842456556971293	-0.5100847390099205	0.22582078329579927
