Gene1	Gene2	EdgeWeight
RSPO1	CTNNB1	0.8590243060786441
CTNNB1	RSPO1	0.8590243060786441
DKK1	DMRT1	0.8427670543083748
DMRT1	DKK1	0.8427670543083748
FOXL2	WT1pKTS	-0.8094936722248318
WT1pKTS	FOXL2	-0.8094936722248318
GATA4	WT1mKTS	0.7875681462247651
WT1mKTS	GATA4	0.7875681462247651
FGF9	DHH	0.7760147874793208
DHH	FGF9	0.7760147874793208
WNT4	NR0B1	0.7746728955058649
NR0B1	WNT4	0.7746728955058649
PGD2	DHH	0.773002222281046
DHH	PGD2	0.773002222281046
FOXL2	NR5A1	-0.7722548146747789
NR5A1	FOXL2	-0.7722548146747789
FGF9	PGD2	0.7681764360953506
PGD2	FGF9	0.7681764360953506
AMH	PGD2	0.7625163601465724
PGD2	AMH	0.7625163601465724
RSPO1	WNT4	0.7603327129387087
WNT4	RSPO1	0.7603327129387087
AMH	DHH	0.7599155077426477
DHH	AMH	0.7599155077426477
WT1pKTS	NR5A1	0.7577604865799876
NR5A1	WT1pKTS	0.7577604865799876
CTNNB1	WNT4	0.756590367686289
WNT4	CTNNB1	0.756590367686289
FGF9	AMH	0.7493874409033657
AMH	FGF9	0.7493874409033657
FOXL2	CTNNB1	0.7467710508936409
CTNNB1	FOXL2	0.7467710508936409
RSPO1	NR5A1	-0.7420256663880529
NR5A1	RSPO1	-0.7420256663880529
DKK1	SOX9	0.7336214941860708
SOX9	DKK1	0.7336214941860708
SRY	DKK1	0.7321598035808209
DKK1	SRY	0.7321598035808209
CBX2	UGR	0.7260818610142421
UGR	CBX2	0.7260818610142421
CTNNB1	NR5A1	-0.7254137506876653
NR5A1	CTNNB1	-0.7254137506876653
SRY	DMRT1	0.7184683276246264
DMRT1	SRY	0.7184683276246264
SOX9	DMRT1	0.7141364759938438
DMRT1	SOX9	0.7141364759938438
WNT4	SOX9	-0.6961501375086738
SOX9	WNT4	-0.6961501375086738
FOXL2	SRY	-0.6942687249868259
SRY	FOXL2	-0.6942687249868259
SOX9	FGF9	0.6918943232483351
FGF9	SOX9	0.6918943232483351
FOXL2	RSPO1	0.6878244060080277
RSPO1	FOXL2	0.6878244060080277
PGD2	SOX9	0.6862438506019429
SOX9	PGD2	0.6862438506019429
WNT4	FGF9	-0.6849613351600109
FGF9	WNT4	-0.6849613351600109
PGD2	WNT4	-0.6840859879867452
WNT4	PGD2	-0.6840859879867452
DHH	SOX9	0.6780941503710504
SOX9	DHH	0.6780941503710504
DHH	WNT4	-0.6719227110662909
WNT4	DHH	-0.6719227110662909
RSPO1	NR0B1	0.6607489911618453
NR0B1	RSPO1	0.6607489911618453
WT1pKTS	CTNNB1	-0.6560825672223148
CTNNB1	WT1pKTS	-0.6560825672223148
WNT4	AMH	-0.6430635285322631
AMH	WNT4	-0.6430635285322631
SOX9	AMH	0.6410605102597239
AMH	SOX9	0.6410605102597239
NR0B1	CTNNB1	0.6256565120221121
CTNNB1	NR0B1	0.6256565120221121
FGF9	NR0B1	-0.621846461834998
NR0B1	FGF9	-0.621846461834998
NR0B1	AMH	-0.6207091609996419
AMH	NR0B1	-0.6207091609996419
PGD2	NR0B1	-0.6173016982538405
NR0B1	PGD2	-0.6173016982538405
SOX9	SRY	0.613060821344085
SRY	SOX9	0.613060821344085
NR0B1	DHH	-0.6064671716161577
DHH	NR0B1	-0.6064671716161577
WT1pKTS	RSPO1	-0.6026434231393698
RSPO1	WT1pKTS	-0.6026434231393698
WNT4	DMRT1	-0.6013672536152731
DMRT1	WNT4	-0.6013672536152731
SRY	CTNNB1	-0.5883108788799936
CTNNB1	SRY	-0.5883108788799936
DKK1	WNT4	-0.5871231280890532
WNT4	DKK1	-0.5871231280890532
SOX9	RSPO1	-0.570640704492552
RSPO1	SOX9	-0.570640704492552
DKK1	FOXL2	-0.5661920607409601
FOXL2	DKK1	-0.5661920607409601
SOX9	CTNNB1	-0.5652275870199711
CTNNB1	SOX9	-0.5652275870199711
WNT4	NR5A1	-0.5617908893485639
NR5A1	WNT4	-0.5617908893485639
RSPO1	FGF9	-0.559590925773023
FGF9	RSPO1	-0.559590925773023
WT1pKTS	SRY	0.5588813174435585
SRY	WT1pKTS	0.5588813174435585
DMRT1	FOXL2	-0.5587813084814974
FOXL2	DMRT1	-0.5587813084814974
PGD2	DKK1	0.5584496207556973
DKK1	PGD2	0.5584496207556973
WNT4	FOXL2	0.5557009832226004
FOXL2	WNT4	0.5557009832226004
CTNNB1	DMRT1	-0.5553032186223985
DMRT1	CTNNB1	-0.5553032186223985
DMRT1	PGD2	0.5499528795414785
PGD2	DMRT1	0.5499528795414785
DKK1	CTNNB1	-0.5480074475531496
CTNNB1	DKK1	-0.5480074475531496
DHH	DKK1	0.5457626098300783
DKK1	DHH	0.5457626098300783
DHH	RSPO1	-0.5416647345639035
RSPO1	DHH	-0.5416647345639035
RSPO1	PGD2	-0.5395361202106406
PGD2	RSPO1	-0.5395361202106406
FGF9	DMRT1	0.5375859541439284
DMRT1	FGF9	0.5375859541439284
DHH	DMRT1	0.5315297310429714
DMRT1	DHH	0.5315297310429714
FGF9	DKK1	0.5307022932426718
DKK1	FGF9	0.5307022932426718
AMH	DKK1	0.5265816251245118
DKK1	AMH	0.5265816251245118
NR5A1	NR0B1	-0.524116310794995
NR0B1	NR5A1	-0.524116310794995
RSPO1	SRY	-0.5227075734580684
SRY	RSPO1	-0.5227075734580684
AMH	DMRT1	0.5215443759776862
DMRT1	AMH	0.5215443759776862
RSPO1	AMH	-0.5172854637752197
AMH	RSPO1	-0.5172854637752197
FGF9	CTNNB1	-0.5112150772276477
CTNNB1	FGF9	-0.5112150772276477
PGD2	CTNNB1	-0.5028195874648088
CTNNB1	PGD2	-0.5028195874648088
DHH	CTNNB1	-0.5021282130822842
CTNNB1	DHH	-0.5021282130822842
SOX9	GATA4	-0.4979941672401865
GATA4	SOX9	-0.4979941672401865
NR5A1	SRY	0.4971755573411904
SRY	NR5A1	0.4971755573411904
FOXL2	SOX9	-0.4959106626149684
SOX9	FOXL2	-0.4959106626149684
PGD2	GATA4	-0.494426327372571
GATA4	PGD2	-0.494426327372571
WT1mKTS	PGD2	-0.4913725524880799
PGD2	WT1mKTS	-0.4913725524880799
GATA4	DHH	-0.4904908802354809
DHH	GATA4	-0.4904908802354809
SOX9	NR0B1	-0.4883669807234878
NR0B1	SOX9	-0.4883669807234878
AMH	GATA4	-0.4870555929599691
GATA4	AMH	-0.4870555929599691
GATA4	FGF9	-0.4857054074777893
FGF9	GATA4	-0.4857054074777893
AMH	CTNNB1	-0.4826306435099521
CTNNB1	AMH	-0.4826306435099521
WT1mKTS	FGF9	-0.4824122533986921
FGF9	WT1mKTS	-0.4824122533986921
