Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,UGR,1.9934300829534577,1.0,1.0,1.0,2.308002677722556,2.102055343747683,2.440779867793818,30,30,30,1
CTNNB1,RSPO1,1.9167337389446968,1.0,1.0,1.0,1.4072983576158473,1.3824711825526308,1.4279766370055103,30,30,30,1
DKK1,DMRT1,1.9745994729382597,1.0,1.0,1.0,1.6656939379471964,1.6056332231136416,1.8158053910571794,30,30,30,1
DKK1,SRY,1.8976188732557238,1.0,1.0,1.0,1.6573719842350378,1.6093193784962325,1.7166279531614794,30,30,30,1
DMRT1,DKK1,1.9745994729382597,1.0,1.0,1.0,1.6992699902083013,1.6330770002730701,1.8036824960283413,30,30,30,1
FOXL2,WT1pKTS,1.9503938776970915,1.0,1.0,1.0,1.671531899188867,1.6044282984545437,1.7557708022364231,30,30,30,1
NR0B1,WNT4,1.8943092304001174,1.0,1.0,1.0,1.711397759415484,1.623796219657791,1.7770698476055802,30,30,30,1
RSPO1,CTNNB1,1.9167337389446968,1.0,1.0,1.0,1.3675953400239527,1.339846925245299,1.3988001069600053,30,30,30,1
UGR,CBX2,1.9934300829534577,1.0,1.0,1.0,2.142869706433155,1.965704147679654,2.227340735461643,30,30,30,1
WNT4,NR0B1,1.8943092304001174,1.0,1.0,1.0,1.5396978694440402,1.4675144213602764,1.6027138011557898,30,30,30,1
WT1pKTS,FOXL2,1.9503938776970915,1.0,1.0,1.0,1.5047517719320667,1.4648316529273648,1.5450476350016258,30,30,30,1
RSPO1,NR5A1,1.8641909580937623,0.9901960784313726,1.0,0.9901960784313726,1.3853211550951585,1.331898862307948,1.4314533650540207,30,30,30,1
FGF9,GATA4,1.6647417648518605,0.9882352941176471,1.0,0.9882352941176471,1.223956594958198,1.0932010197777493,1.3011173870601707,30,30,30,1
FGF9,DHH,1.8517398303019503,0.9784313725490196,1.0,0.9784313725490196,1.3489530731285109,1.3049022035780822,1.3925654395531508,30,30,30,1
DKK1,SOX9,1.7487240104444615,0.9745098039215686,1.0,0.9745098039215686,1.2066547214264323,1.126542662668323,1.272947565690165,30,30,30,1
PGD2,WT1mKTS,1.608692656526537,0.9725490196078431,1.0,0.9725490196078431,1.155556128471391,1.097627793452507,1.2208650397444463,30,30,30,1
FGF9,AMH,1.8511130571788645,0.9705882352941176,1.0,0.9705882352941176,1.3604437661028672,1.320208031012224,1.4065241228161518,30,30,30,1
FGF9,PGD2,1.84820791163716,0.9686274509803922,1.0,0.9686274509803922,1.3341505773037028,1.2878257680309526,1.3770377877505333,30,30,30,1
DMRT1,SOX9,1.7462275241970575,0.9666666666666667,1.0,0.9666666666666667,1.2021415751780893,1.1228301306004662,1.2509461443891798,30,30,30,1
DHH,WT1mKTS,1.600783763506108,0.9549019607843138,1.0,0.9549019607843138,1.142148631199261,1.0798055443834031,1.2273364408823721,30,30,30,1
DHH,FGF9,1.8517398303019503,0.9529411764705882,1.0,0.9529411764705882,1.3589416190430998,1.3163758751452554,1.3981924986750087,30,30,30,1
AMH,FGF9,1.8511130571788645,0.9509803921568627,1.0,0.9509803921568627,1.3579455412072032,1.305690242966015,1.4068990773650536,30,30,30,1
AMH,DHH,1.8466071785867395,0.9431372549019608,1.0,0.9431372549019608,1.3408280435690982,1.3062670106385932,1.387093458862081,30,30,30,1
DHH,AMH,1.8466071785867395,0.9431372549019608,1.0,0.9431372549019608,1.3532814224146463,1.3079064792495971,1.4013838247119417,30,30,30,1
DMRT1,SRY,1.8758590829553639,0.9411764705882353,1.0,0.9411764705882353,1.6163004630228315,1.5637312540184165,1.6848987737069188,30,30,30,2
SRY,DKK1,1.8976188732557238,0.9411764705882353,1.0,0.9411764705882353,1.5566512719831747,1.4859973620356586,1.6517380971675852,30,30,30,2
SRY,DMRT1,1.8758590829553639,0.9411764705882353,1.0,0.9411764705882353,1.4833325277093374,1.424031473774423,1.6337395388447613,30,30,30,2
FOXL2,CTNNB1,1.840739698198641,0.9392156862745098,1.0,0.9392156862745098,1.2514709237597514,1.2197690881741592,1.2938476872895566,30,30,30,2
RSPO1,WNT4,1.8357047919694527,0.9333333333333333,1.0,0.9333333333333333,1.5911544538213838,1.5251943919788447,1.6548038360135282,30,30,30,2
NR5A1,RSPO1,1.8641909580937623,0.9313725490196079,1.0,0.9313725490196079,1.3236487795361718,1.2551852169293392,1.356927879424383,30,30,30,2
AMH,PGD2,1.84278859958964,0.9274509803921569,1.0,0.9274509803921569,1.325517331444531,1.2859988666848048,1.3749123320195977,30,30,30,1
CTNNB1,FOXL2,1.840739698198641,0.9274509803921569,1.0,0.9274509803921569,1.3396545594291027,1.3057591723339697,1.3798912641954824,30,30,30,2
DHH,PGD2,1.8429562868232394,0.9274509803921569,1.0,0.9274509803921569,1.3257726535699397,1.2898360048790352,1.3670689791865538,30,30,30,1
FOXL2,NR5A1,1.8253704756783,0.9274509803921569,1.0,0.9274509803921569,1.3242515576112754,1.1996932213031823,1.387638766559107,30,30,30,2
RSPO1,NR0B1,1.7201670648623952,0.9274509803921569,1.0,0.9274509803921569,1.2350780375338328,1.176627806030422,1.3140919810321223,30,30,30,2
NR5A1,WT1pKTS,1.7999467672382552,0.9215686274509804,1.0,0.9215686274509804,1.3809361672604445,1.2704572855054161,1.4593496928081562,30,30,30,2
NR5A1,CBX2,1.5869380152050054,0.9196078431372549,1.0,0.9196078431372549,1.410358276213559,1.1549521668360399,1.9106395998748094,30,30,30,2
PGD2,FGF9,1.84820791163716,0.9196078431372549,1.0,0.9196078431372549,1.3531626535898558,1.3031284528444618,1.3957947403597237,30,30,30,1
PGD2,AMH,1.84278859958964,0.9098039215686274,1.0,0.9098039215686274,1.3471515075760092,1.3106113192580642,1.3999225346875865,30,30,30,1
PGD2,GATA4,1.6471148394234407,0.9058823529411765,1.0,0.9058823529411765,1.1932991073841457,1.0821723006338422,1.2761007627739285,30,30,30,1
PGD2,DHH,1.8429562868232394,0.9019607843137255,1.0,0.9019607843137255,1.3350311000960773,1.2995880155211839,1.3785487201917277,30,30,30,1
CTNNB1,WT1pKTS,1.793902643196464,0.8960784313725491,1.0,0.8960784313725491,1.3683996343304436,1.2364684889596682,1.435716390879536,30,30,30,2
CTNNB1,WNT4,1.826775012825479,0.8901960784313725,1.0,0.8901960784313725,1.572838209377348,1.511360239466244,1.6447808746055654,30,30,30,2
NR5A1,FOXL2,1.8253704756783,0.8901960784313725,1.0,0.8901960784313725,1.3166189849947538,1.2083413184508052,1.379071745905612,30,30,30,2
NR5A1,NR0B1,1.6791863384351515,0.8862745098039215,1.0,0.8862745098039215,1.1621759778966942,0.7584176882173829,1.2589437675379236,30,30,30,2
NR5A1,UGR,1.4188201868975208,0.8862745098039215,1.0,0.8862745098039215,1.2135739305448539,0.8856519136099509,1.9088948014008298,30,30,30,2
WNT4,RSPO1,1.8357047919694527,0.8862745098039215,1.0,0.8862745098039215,1.2781194331827936,1.245610314577036,1.2996237220929663,30,30,30,2
FOXL2,SRY,1.6503065195177653,0.8823529411764706,1.0,0.8823529411764706,1.1902839327645869,1.0667990436427215,1.2757185385754117,30,30,30,3
SOX9,DKK1,1.7487240104444615,0.8823529411764706,1.0,0.8823529411764706,1.2808137518968798,1.1880653965158599,1.3476002823179165,30,30,30,3
SOX9,DMRT1,1.7462275241970575,0.8823529411764706,1.0,0.8823529411764706,1.243764638038392,1.1625001553708172,1.3319720282160477,30,30,30,3
WNT4,UGR,1.390522631218804,0.8823529411764706,1.0,0.8823529411764706,1.1678265600714097,0.7812978034243712,1.4002739318038477,30,30,30,2
WNT4,CTNNB1,1.826775012825479,0.8784313725490196,1.0,0.8784313725490196,1.2301731896780266,1.2012668219458091,1.26829730572056,30,30,30,2
AMH,GATA4,1.6402159377531433,0.8764705882352941,1.0,0.8764705882352941,1.1811656045175856,1.0452947866872437,1.2655058235726409,30,30,30,2
DHH,GATA4,1.6386797196052438,0.8764705882352941,1.0,0.8764705882352941,1.178466887990201,1.0700212763183048,1.259679658313386,30,30,30,1
FGF9,WT1mKTS,1.5792694057415815,0.8686274509803922,1.0,0.8686274509803922,1.105648508883697,1.031448054903917,1.1917806579119827,30,30,30,1
WT1pKTS,CBX2,1.4893961158734426,0.8647058823529412,1.0,0.8647058823529412,1.237818523026762,1.001720516432873,1.610393685410904,30,30,30,2
WT1pKTS,NR5A1,1.7999467672382552,0.8588235294117648,1.0,0.8588235294117648,1.2863963020147333,1.18865742373233,1.3707153754726669,30,30,30,3
RSPO1,CBX2,1.4498528118646599,0.8529411764705882,1.0,0.8529411764705882,1.168518032158025,1.0538806615783476,1.291373813529094,30,30,30,2
PGD2,SOX9,1.668200259005476,0.8509803921568627,1.0,0.8509803921568627,1.0595931202650204,1.0076412082874011,1.109780768700126,30,30,30,3
FGF9,SOX9,1.6650242270672053,0.8470588235294118,1.0,0.8470588235294118,1.0537267808349322,0.9973708681369406,1.10983394191358,30,30,30,3
AMH,WT1mKTS,1.5737876249348717,0.8372549019607843,1.0,0.8372549019607843,1.096206968954472,1.0176575412330382,1.1815349441384129,30,30,30,2
NR0B1,UGR,1.3027243509482094,0.8352941176470589,1.0,0.8352941176470589,1.0007976830099516,0.78780068538582,1.18146953126921,30,30,30,2
