Gene1	Gene2	EdgeWeight
DMRT1	DMRT1	1.0
CBX2	CBX2	1.0
GATA4	GATA4	1.0
SOX9	SOX9	1.0
UGR	UGR	1.0
FOXL2	FOXL2	1.0
WT1pKTS	WT1pKTS	1.0
NR5A1	NR5A1	1.0
NR0B1	NR0B1	1.0
FGF9	FGF9	1.0
AMH	AMH	1.0
WNT4	WNT4	1.0
DKK1	DKK1	1.0
SRY	SRY	1.0
WT1mKTS	WT1mKTS	1.0
PGD2	PGD2	1.0
CTNNB1	CTNNB1	1.0
DHH	DHH	1.0
RSPO1	RSPO1	1.0
WT1pKTS	NR5A1	0.368539913078148
NR5A1	WT1pKTS	0.368539913078148
WT1pKTS	FOXL2	-0.332028580649844
FOXL2	WT1pKTS	-0.332028580649844
RSPO1	NR5A1	-0.32593681842731
NR5A1	RSPO1	-0.32593681842731
DMRT1	DKK1	0.276113688589719
DKK1	DMRT1	0.276113688589719
RSPO1	CTNNB1	0.246710505383165
CTNNB1	RSPO1	0.246710505383165
WT1mKTS	SRY	-0.228085336946685
SRY	WT1mKTS	-0.228085336946685
DMRT1	NR5A1	-0.224661732493701
NR5A1	DMRT1	-0.224661732493701
DKK1	SRY	0.217257632684769
SRY	DKK1	0.217257632684769
NR0B1	WNT4	0.216367194487712
WNT4	NR0B1	0.216367194487712
UGR	CBX2	0.214298166667629
CBX2	UGR	0.214298166667629
CTNNB1	WNT4	0.201368257274237
WNT4	CTNNB1	0.201368257274237
DKK1	NR5A1	-0.192960817999277
NR5A1	DKK1	-0.192960817999277
SRY	DMRT1	0.188641003566968
DMRT1	SRY	0.188641003566968
FOXL2	SRY	-0.186709848876498
SRY	FOXL2	-0.186709848876498
DMRT1	WNT4	-0.181642619308138
WNT4	DMRT1	-0.181642619308138
SRY	RSPO1	-0.163324191980192
RSPO1	SRY	-0.163324191980192
CBX2	NR5A1	0.1616339457042
NR5A1	CBX2	0.1616339457042
NR5A1	FOXL2	-0.158385111148099
FOXL2	NR5A1	-0.158385111148099
DMRT1	CTNNB1	-0.156739719416445
CTNNB1	DMRT1	-0.156739719416445
SRY	UGR	-0.151428283816521
UGR	SRY	-0.151428283816521
SRY	NR0B1	0.146977740807142
NR0B1	SRY	0.146977740807142
GATA4	SRY	-0.144636956896285
SRY	GATA4	-0.144636956896284
CTNNB1	NR5A1	-0.141901100803684
NR5A1	CTNNB1	-0.141901100803684
UGR	NR0B1	-0.139626316012863
NR0B1	UGR	-0.139626316012863
GATA4	DHH	-0.137740750351223
DHH	GATA4	-0.137740750351223
WNT4	FGF9	-0.136493160483059
FGF9	WNT4	-0.136493160483059
NR0B1	FGF9	-0.135161107931022
FGF9	NR0B1	-0.135161107931022
DKK1	CBX2	-0.134135442637959
CBX2	DKK1	-0.134135442637959
DHH	AMH	0.133522800149866
AMH	DHH	0.133522800149866
WT1pKTS	SOX9	-0.132967787232355
SOX9	WT1pKTS	-0.132967787232354
WT1mKTS	GATA4	0.131962024410995
GATA4	WT1mKTS	0.131962024410995
AMH	PGD2	0.131295415224605
PGD2	AMH	0.131295415224605
WT1pKTS	WT1mKTS	0.131013613285385
WT1mKTS	WT1pKTS	0.131013613285385
AMH	GATA4	-0.130415573442839
GATA4	AMH	-0.130415573442839
NR5A1	NR0B1	-0.13010821853677
NR0B1	NR5A1	-0.13010821853677
WT1pKTS	FGF9	-0.12938742303438
FGF9	WT1pKTS	-0.12938742303438
DKK1	FOXL2	-0.128490368926568
FOXL2	DKK1	-0.128490368926568
AMH	NR0B1	-0.126353146356946
NR0B1	AMH	-0.126353146356946
RSPO1	DHH	-0.12508243248106
DHH	RSPO1	-0.12508243248106
PGD2	NR0B1	-0.124890219101983
NR0B1	PGD2	-0.124890219101983
WT1mKTS	AMH	-0.124602933345365
AMH	WT1mKTS	-0.124602933345365
CTNNB1	WT1pKTS	-0.124311754497408
WT1pKTS	CTNNB1	-0.124311754497408
SOX9	WNT4	-0.122313559730476
WNT4	SOX9	-0.122313559730476
PGD2	WT1mKTS	-0.121742122558156
WT1mKTS	PGD2	-0.121742122558155
DMRT1	GATA4	-0.120550149943713
GATA4	DMRT1	-0.120550149943713
SRY	DHH	-0.119628100287793
DHH	SRY	-0.119628100287793
WNT4	RSPO1	0.118041584009259
RSPO1	WNT4	0.118041584009259
NR0B1	DHH	-0.116019629477517
DHH	NR0B1	-0.116019629477517
DMRT1	UGR	-0.114298951276795
UGR	DMRT1	-0.114298951276795
AMH	RSPO1	-0.113850944155243
RSPO1	AMH	-0.113850944155243
WNT4	DKK1	-0.113732304980678
DKK1	WNT4	-0.113732304980678
PGD2	DHH	0.113704405841783
DHH	PGD2	0.113704405841783
SRY	CTNNB1	-0.113084726771406
CTNNB1	SRY	-0.113084726771406
CBX2	SOX9	-0.11105805090977
SOX9	CBX2	-0.11105805090977
GATA4	SOX9	-0.108325958099121
SOX9	GATA4	-0.108325958099121
SRY	WT1pKTS	0.108034299039236
WT1pKTS	SRY	0.108034299039236
DHH	FGF9	0.106370247460506
FGF9	DHH	0.106370247460506
GATA4	DKK1	-0.105351855616629
DKK1	GATA4	-0.105351855616629
WT1mKTS	FGF9	-0.105273103492673
FGF9	WT1mKTS	-0.105273103492673
FGF9	CBX2	-0.105065204636189
CBX2	FGF9	-0.105065204636189
WT1pKTS	UGR	0.104479605480365
UGR	WT1pKTS	0.104479605480365
SOX9	DKK1	0.10357066867028
DKK1	SOX9	0.10357066867028
FGF9	RSPO1	-0.102760424682459
RSPO1	FGF9	-0.102760424682459
WT1pKTS	AMH	-0.0998604330707461
AMH	WT1pKTS	-0.0998604330707461
SOX9	DMRT1	0.0968511919420055
DMRT1	SOX9	0.0968511919420055
SOX9	RSPO1	-0.0910076025243762
RSPO1	SOX9	-0.0910076025243761
RSPO1	DKK1	-0.0909257164699823
DKK1	RSPO1	-0.0909257164699822
PGD2	FGF9	0.0905167586040962
FGF9	PGD2	0.0905167586040962
SOX9	WT1mKTS	-0.0893181760615487
WT1mKTS	SOX9	-0.0893181760615486
GATA4	WT1pKTS	0.0886341906590385
WT1pKTS	GATA4	0.0886341906590383
SOX9	NR5A1	0.0883916203808232
NR5A1	SOX9	0.0883916203808232
CBX2	NR0B1	-0.0877849448804483
NR0B1	CBX2	-0.0877849448804482
FGF9	GATA4	-0.0875584673735714
GATA4	FGF9	-0.0875584673735714
WNT4	NR5A1	-0.0861209967778994
