Gene1	Gene2	corVal	pValue
DMRT1	DMRT1	1	0
FGF9	FGF9	1	0
RSPO1	RSPO1	1	0
DHH	DHH	1	0
CTNNB1	CTNNB1	1	0
PGD2	PGD2	1	0
WT1mKTS	WT1mKTS	1	0
SRY	SRY	1	0
DKK1	DKK1	1	0
WNT4	WNT4	1	0
CBX2	CBX2	1	0
AMH	AMH	1	0
NR0B1	NR0B1	1	0
NR5A1	NR5A1	1	0
WT1pKTS	WT1pKTS	1	0
FOXL2	FOXL2	1	0
UGR	UGR	1	0
SOX9	SOX9	1	0
GATA4	GATA4	1	0
NR5A1	WT1pKTS	0.358728727406732	2.84300211127981e-49
WT1pKTS	NR5A1	0.358728727406732	2.84300211128001e-49
DMRT1	DKK1	0.274211134321208	1.05895061460481e-28
DKK1	DMRT1	0.274211134321208	1.05895061460484e-28
RSPO1	CTNNB1	0.249307133792339	7.44017027031492e-24
CTNNB1	RSPO1	0.249307133792338	7.44017027031584e-24
DKK1	SRY	0.231532036637421	1.04132069758335e-20
SRY	DKK1	0.231532036637421	1.04132069758337e-20
WNT4	NR0B1	0.220319818550804	7.43964738947033e-19
NR0B1	WNT4	0.220319818550804	7.43964738947038e-19
CBX2	UGR	0.211670660057649	1.7140744345003e-17
UGR	CBX2	0.211670660057649	1.71407443450033e-17
CTNNB1	WNT4	0.195092176992358	4.82645635910249e-15
WNT4	CTNNB1	0.195092176992357	4.82645635910305e-15
NR5A1	CBX2	0.187205587351352	5.96122680306557e-14
CBX2	NR5A1	0.187205587351351	5.96122680306607e-14
DMRT1	SRY	0.176880958896395	1.36114030503388e-12
SRY	DMRT1	0.176880958896395	1.36114030503394e-12
WT1mKTS	GATA4	0.146425457528912	4.83395749172671e-09
GATA4	WT1mKTS	0.146425457528912	4.83395749172682e-09
DHH	FGF9	0.146411393978047	4.85050787078624e-09
FGF9	DHH	0.146411393978047	4.85050787078627e-09
SRY	NR0B1	0.144836215897743	7.09823599767499e-09
NR0B1	SRY	0.144836215897743	7.0982359976753e-09
RSPO1	WNT4	0.143734994922811	9.24071064928591e-09
WNT4	RSPO1	0.143734994922811	9.24071064928598e-09
WT1pKTS	WT1mKTS	0.133386419292513	1.00033734629468e-07
WT1mKTS	WT1pKTS	0.133386419292513	1.00033734629469e-07
DHH	AMH	0.133067587250972	1.07353153736578e-07
AMH	DHH	0.133067587250971	1.0735315373658e-07
SRY	WT1pKTS	0.11293457108451	6.66274669789148e-06
WT1pKTS	SRY	0.11293457108451	6.66274669789155e-06
PGD2	AMH	0.112542490761839	7.17434282025867e-06
AMH	PGD2	0.112542490761839	7.17434282025882e-06
SOX9	DKK1	0.104185444501587	3.27783716565179e-05
DKK1	SOX9	0.104185444501587	3.2778371656518e-05
DMRT1	SOX9	0.101337275650016	5.36530531854343e-05
SOX9	DMRT1	0.101337275650016	5.36530531854355e-05
FOXL2	CTNNB1	0.0976466467243771	9.97111101339551e-05
CTNNB1	FOXL2	0.097646646724377	9.97111101339563e-05
GATA4	WT1pKTS	0.0924850785047456	0.000228980901058028
WT1pKTS	GATA4	0.0924850785047455	0.000228980901058029
DHH	PGD2	0.0920582466418912	0.00024482615468699
PGD2	DHH	0.0920582466418911	0.000244826154686995
UGR	WT1pKTS	0.0920181250472433	0.000246367274126398
WT1pKTS	UGR	0.0920181250472433	0.000246367274126399
DMRT1	WT1pKTS	0.0879385022600847	0.00046034808556166
WT1pKTS	DMRT1	0.0879385022600847	0.000460348085561664
AMH	FGF9	0.0865698302364075	0.00056454071737108
FGF9	AMH	0.0865698302364074	0.000564540717371085
SOX9	NR5A1	0.0858089480428824	0.000631565957678163
NR5A1	SOX9	0.0858089480428824	0.000631565957678163
PGD2	FGF9	0.0838176064043444	0.00084357521658674
FGF9	PGD2	0.0838176064043443	0.000843575216586751
CTNNB1	NR0B1	0.0815991216805017	0.00115634892674265
NR0B1	CTNNB1	0.0815991216805017	0.00115634892674265
SOX9	DHH	0.0732023464897635	0.00356708356724239
DHH	SOX9	0.0732023464897635	0.00356708356724239
CBX2	WT1pKTS	0.0672498892696031	0.00743770008964227
WT1pKTS	CBX2	0.0672498892696028	0.00743770008964245
WT1mKTS	FOXL2	0.0584024446865892	0.0201360966392719
FOXL2	WT1mKTS	0.0584024446865892	0.020136096639272
PGD2	SOX9	0.0540974428346156	0.0313778917521292
SOX9	PGD2	0.0540974428346156	0.0313778917521292
SOX9	FGF9	0.0496399155738119	0.0483047861728396
FGF9	SOX9	0.0496399155738118	0.04830478617284
RSPO1	FOXL2	0.0476067620612215	0.0582642371114899
FOXL2	RSPO1	0.0476067620612213	0.0582642371114909
NR0B1	RSPO1	0.0386455141437736	0.124306530862554
RSPO1	NR0B1	0.0386455141437735	0.124306530862555
