Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
AMH,AMH,1.0,1.0,1.0,1.0,4.116159451688293,4.096605137406747,4.1345239446703665,30,30,30,1
CBX2,CBX2,1.0,1.0,1.0,1.0,4.0640831665232815,4.045583812802731,4.08122588575998,30,30,30,1
CTNNB1,CTNNB1,1.0,1.0,1.0,1.0,4.0036353490775385,3.9805117848635394,4.0284399503828645,30,30,30,1
DHH,DHH,1.0,1.0,1.0,1.0,4.1175406825678165,4.101131966932922,4.136674358537331,30,30,30,1
DKK1,DKK1,1.0,1.0,1.0,1.0,3.9561347166961394,3.9263616171707456,3.983620676265195,30,30,30,1
DMRT1,DMRT1,1.0,1.0,1.0,1.0,3.9231842193707402,3.897698928516834,3.9468311893223484,30,30,30,1
FGF9,FGF9,1.0,1.0,1.0,1.0,4.107195637817435,4.090184894065324,4.127943288390313,30,30,30,1
FOXL2,FOXL2,1.0,1.0,1.0,1.0,3.9264778648082292,3.9071776293444103,3.9558231170632676,30,30,30,1
GATA4,GATA4,1.0,1.0,1.0,1.0,4.089894685646689,4.0748814643762605,4.102514027888817,30,30,30,1
NR0B1,NR0B1,1.0,1.0,1.0,1.0,4.03702097375211,4.012775382370999,4.058303627834416,30,30,30,1
NR5A1,NR5A1,1.0,1.0,1.0,1.0,3.7146815236622777,3.6798123145887587,3.7600377068915862,30,30,30,1
PGD2,PGD2,1.0,1.0,1.0,1.0,4.142127616348325,4.126475788572483,4.158410745946761,30,30,30,1
RSPO1,RSPO1,1.0,1.0,1.0,1.0,3.9370489917574587,3.9150417235520445,3.971783279304492,30,30,30,1
SOX9,SOX9,1.0,1.0,1.0,1.0,4.133168339595997,4.12064906875947,4.149917859154496,30,30,30,1
SRY,SRY,1.0,1.0,1.0,1.0,3.977507116610045,3.9491069574106854,4.002913695053596,30,30,30,1
UGR,UGR,1.0,1.0,1.0,1.0,4.079903044860155,4.065589218350419,4.099938649924375,30,30,30,1
WNT4,WNT4,1.0,1.0,1.0,1.0,4.013021897731716,3.9826743391865573,4.046870560020672,30,30,30,1
WT1mKTS,WT1mKTS,1.0,1.0,1.0,1.0,4.062326845287822,4.044804354148268,4.080252606929269,30,30,30,1
WT1pKTS,WT1pKTS,1.0,1.0,1.0,1.0,3.821689980852163,3.7840387908659388,3.846735041130793,30,30,30,1
