Gene1	Gene2	EdgeWeight
SRY	GATA4	12.3282715721017
SRY	WT1mKTS	10.5339446418577
SRY	PGD2	9.4654585921857
SRY	AMH	8.99771455455621
NR0B1	GATA4	6.95320381410491
WNT4	WT1mKTS	6.94389026586967
SRY	DKK1	6.84481459452859
SRY	FGF9	6.82608955286276
WNT4	GATA4	6.8102592820285
NR0B1	WT1mKTS	6.67523576731817
WNT4	AMH	5.88291430827303
NR0B1	PGD2	5.82703705222165
NR0B1	AMH	5.74929865284694
WNT4	PGD2	5.69989397568332
WNT4	FGF9	5.56102499073356
FOXL2	GATA4	5.47971863660715
NR0B1	FGF9	5.45752266099644
DKK1	DKK1	5.06590889238807
WNT4	DKK1	4.65420494393883
SRY	CTNNB1	4.65174705914314
NR5A1	GATA4	4.2036087162694
NR0B1	DKK1	4.12929340960993
FOXL2	WT1mKTS	4.03572951485216
FOXL2	WT1pKTS	3.97438827227566
FOXL2	WNT4	3.9249737896216
SRY	WT1pKTS	3.90789699987657
NR5A1	WT1pKTS	3.73993610847793
DMRT1	DMRT1	3.72240824853255
CBX2	NR0B1	3.71396317246259
WNT4	SRY	3.70596983814946
FGF9	FGF9	3.62603140594743
CTNNB1	WNT4	3.60614294853213
CTNNB1	NR0B1	3.59203961845641
RSPO1	WNT4	3.4697189130746
CTNNB1	GATA4	3.42801923683543
RSPO1	NR0B1	3.38190019719422
WNT4	UGR	3.34930729321772
WT1pKTS	WT1pKTS	3.34710924752155
CTNNB1	WT1pKTS	3.31346448483811
RSPO1	GATA4	3.30099198627112
DHH	DHH	3.28036255765462
SRY	DMRT1	3.24842579928118
NR0B1	SRY	3.19683963228945
CBX2	WNT4	3.15663241366305
SRY	SRY	3.09079091207887
SRY	NR5A1	3.08813039781499
WT1pKTS	SRY	3.08466908556364
WT1mKTS	WT1mKTS	3.08449803278083
WNT4	CTNNB1	3.06387825457932
SRY	UGR	3.04472836288473
SRY	WNT4	2.97676677111254
FOXL2	AMH	2.93322604763423
UGR	DKK1	2.89524615769635
WNT4	DMRT1	2.89243725478753
SOX9	SOX9	2.87748380737147
NR5A1	WNT4	2.86028610879741
FOXL2	PGD2	2.84573448633306
AMH	AMH	2.81681398819419
CBX2	WT1pKTS	2.77559728985451
NR0B1	UGR	2.7237510822974
WT1mKTS	AMH	2.68282553505082
UGR	FOXL2	2.66411661538668
WT1mKTS	DKK1	2.66352725000195
GATA4	WT1mKTS	2.65006378742906
WT1mKTS	PGD2	2.6451187138492
NR5A1	SRY	2.64306231097231
RSPO1	WT1pKTS	2.63042754804843
DKK1	WT1mKTS	2.62516005160929
WT1mKTS	GATA4	2.59955873094204
SOX9	GATA4	2.59479283260483
WT1pKTS	FGF9	2.59067265801975
SOX9	FGF9	2.59058727964939
