Gene1	Gene2	EdgeWeight
SRY	GATA4	14.0030932930894
WNT4	UGR	13.4496053253151
SRY	UGR	10.4417490801444
WNT4	FOXL2	10.1738055936102
FOXL2	GATA4	9.83530030301855
SRY	AMH	9.0982345079145
CTNNB1	UGR	8.78166726960143
WNT4	WT1pKTS	8.73761327987386
SRY	WT1mKTS	8.68313970476202
FOXL2	WT1pKTS	8.16999758352972
WT1pKTS	WT1pKTS	7.86030846288316
WNT4	WT1mKTS	7.67665614309181
WNT4	GATA4	7.61085649426528
SRY	CTNNB1	7.45314061352736
SRY	FOXL2	7.31316942636906
NR5A1	GATA4	6.9352054968492
NR0B1	UGR	6.76054142628846
WT1pKTS	FGF9	6.71355898940271
RSPO1	RSPO1	6.47578138453287
SRY	WT1pKTS	6.45514280712103
FOXL2	WNT4	6.42636799412984
SRY	DHH	6.30456747879036
NR5A1	WT1pKTS	6.18933005872865
AMH	UGR	6.14602766827741
SRY	SRY	6.08987450364702
WT1pKTS	DMRT1	6.06631899339578
CBX2	UGR	6.04841514138645
CTNNB1	FOXL2	6.04400344660803
WNT4	AMH	6.00274382143233
SRY	PGD2	5.99191342672557
WNT4	DKK1	5.8068295967308
NR0B1	WT1mKTS	5.67068444497784
WNT4	DHH	5.64351764916432
WT1mKTS	UGR	5.59690777433261
NR0B1	GATA4	5.5212568806836
NR0B1	DHH	5.49839072277015
WT1pKTS	GATA4	5.49525421640705
FOXL2	CTNNB1	5.48204864119925
SRY	NR0B1	5.41970370794215
GATA4	UGR	5.39987560598752
RSPO1	UGR	5.3374669588299
NR0B1	AMH	5.27642239293821
WT1pKTS	UGR	5.18278539120523
WT1pKTS	DHH	5.17586603071923
NR5A1	WNT4	5.12616651663454
FOXL2	FGF9	5.09273832088794
UGR	UGR	4.95773444326488
FGF9	UGR	4.93366294414117
SRY	DKK1	4.88645773700505
UGR	FOXL2	4.86245119691554
NR0B1	WT1pKTS	4.8314311717545
WT1pKTS	SRY	4.80489325216884
CTNNB1	WT1pKTS	4.75512532021157
PGD2	UGR	4.68658383637345
FOXL2	DMRT1	4.67893269886965
WNT4	SRY	4.67485373591336
DHH	UGR	4.66419653831131
SRY	WNT4	4.61603752069993
NR0B1	SRY	4.59666544432181
NR0B1	FOXL2	4.59324295000025
WNT4	RSPO1	4.58157253492888
CTNNB1	WNT4	4.38481318594025
RSPO1	FOXL2	4.36400010879662
AMH	FOXL2	4.33301150342792
NR5A1	FGF9	4.32597884503634
FOXL2	AMH	4.29066319652441
WT1pKTS	CBX2	4.25526320187117
WNT4	CBX2	4.24033135872062
WNT4	NR0B1	4.15928270834848
RSPO1	WNT4	4.08230352952897
WT1pKTS	CTNNB1	4.07574873604809
NR0B1	DKK1	4.07400824935799
CTNNB1	WT1mKTS	4.06817845898254
CTNNB1	GATA4	4.01070980045804
DHH	DHH	3.93817592142374
CBX2	WNT4	3.88180766992369
CBX2	FOXL2	3.86223784609511
WT1mKTS	FOXL2	3.86004142342448
CTNNB1	DKK1	3.78773823122308
WT1pKTS	WNT4	3.76850500731716
GATA4	FOXL2	3.74897709498886
PGD2	FOXL2	3.72491928151816
FOXL2	NR5A1	3.68342679176597
DKK1	DKK1	3.68220653046116
WNT4	WNT4	3.66927012582203
FOXL2	FOXL2	3.66888753863212
DMRT1	GATA4	3.62871480480346
CTNNB1	RSPO1	3.62496746208121
UGR	GATA4	3.5717428542131
NR5A1	DMRT1	3.52704864127102
FGF9	FOXL2	3.52689999214267
AMH	WT1pKTS	3.51925621668331
WT1pKTS	FOXL2	3.44668089830022
WNT4	CTNNB1	3.36710545202639
AMH	GATA4	3.33943614731897
UGR	WT1pKTS	3.3287794059962
UGR	CTNNB1	3.32509865466957
WNT4	PGD2	3.31710092499432
FOXL2	DKK1	3.25566866688489
AMH	AMH	3.23426936800031
NR0B1	PGD2	3.22430543042013
AMH	WT1mKTS	3.201867731592
WNT4	FGF9	3.17388987266631
GATA4	DHH	3.16986476055425
UGR	NR0B1	3.1324481188309
WNT4	DMRT1	3.1153301334475
NR5A1	CTNNB1	3.10081859959247
