Gene1	Gene2	EdgeWeight
SOX9	CBX2	0.107145010526818
NR0B1	WT1mKTS	0.106653160579128
WNT4	CBX2	0.105179789545949
DKK1	SRY	0.10094628441236
CBX2	UGR	0.0995231720044307
FGF9	GATA4	0.0990667369317966
DHH	SRY	0.096442842235578
AMH	SRY	0.0957306458765796
NR0B1	DMRT1	0.0950429423289801
FGF9	WT1mKTS	0.0932679265853185
RSPO1	DMRT1	0.0932231592016284
FGF9	DMRT1	0.0890435663340705
CTNNB1	DKK1	0.0870677495567881
FGF9	SRY	0.0869795201928817
WT1pKTS	NR5A1	0.08638006579941
NR0B1	SRY	0.0849094156972015
DKK1	GATA4	0.0828787824613618
RSPO1	NR5A1	0.0828410371519059
DHH	WT1mKTS	0.0814133486760662
SOX9	NR5A1	0.0812309410677942
RSPO1	CBX2	0.0809740310067165
NR0B1	GATA4	0.0809375687652077
WNT4	DMRT1	0.0807823063653764
DHH	NR5A1	0.0804453013216207
DMRT1	SRY	0.0800194214393712
DKK1	CBX2	0.0796094643043638
AMH	WT1mKTS	0.0789872680021967
RSPO1	UGR	0.0778777472136027
DKK1	WT1pKTS	0.077191836841893
FGF9	DKK1	0.0770608604634893
SRY	WT1mKTS	0.0763418448713743
SRY	GATA4	0.0757530075776457
UGR	NR0B1	0.0755518156548943
DHH	CBX2	0.0752394192618989
WNT4	SRY	0.0742384228849981
DKK1	DMRT1	0.0740140476507389
CBX2	GATA4	0.0739316908133469
AMH	CBX2	0.0737324850168766
DKK1	UGR	0.0736700455727406
PGD2	SRY	0.0732975297780363
SOX9	RSPO1	0.0718104437313934
NR0B1	CBX2	0.0715592428828792
NR0B1	WT1pKTS	0.071399964996
FOXL2	NR5A1	0.0710593166662483
CTNNB1	NR0B1	0.0710365502134852
CTNNB1	UGR	0.0709992151721849
UGR	GATA4	0.0707710143751596
PGD2	DKK1	0.0701978494426615
GATA4	WT1mKTS	0.0701109215585685
FGF9	CBX2	0.0698988869120407
DMRT1	CBX2	0.0698941391079761
UGR	CBX2	0.0698518237396176
UGR	SRY	0.0692134406526654
DMRT1	GATA4	0.0690417101193565
WT1pKTS	GATA4	0.0688385388104496
SOX9	SRY	0.068424733665294
WNT4	WT1mKTS	0.0678449983135969
AMH	DKK1	0.0676809234575782
UGR	CTNNB1	0.0669691310580521
CTNNB1	DMRT1	0.0667448972083353
RSPO1	DKK1	0.0665676274849838
RSPO1	WT1mKTS	0.0656952683685194
AMH	NR5A1	0.0654671704682223
NR5A1	GATA4	0.0654065793957354
DHH	WNT4	0.0651279785588938
WT1pKTS	DMRT1	0.0643873554801352
