Gene1	Gene2	EdgeWeight
SOX9	WT1mKTS	2.46094590221489
DMRT1	WT1mKTS	2.0596927972064
PGD2	WT1mKTS	1.8841483838522
DKK1	WT1mKTS	1.49762318077594
GATA4	WT1mKTS	1.28800058106176
FGF9	WT1mKTS	1.27055028243199
FOXL2	SRY	1.24965329859467
DHH	WT1mKTS	1.18857258477199
GATA4	SRY	1.09847319524512
CBX2	RSPO1	1.02275214900846
NR5A1	WT1pKTS	1.0
CBX2	CTNNB1	1.0
NR5A1	FOXL2	0.947160651729717
CBX2	NR5A1	0.790648824918557
WNT4	RSPO1	0.770894761482875
WNT4	WT1mKTS	0.762751085573348
WT1pKTS	SRY	0.750079389454933
WT1pKTS	WT1mKTS	0.725863259436185
NR0B1	WT1mKTS	0.717645599007267
PGD2	SRY	0.696205358190021
CTNNB1	CTNNB1	0.640572912558228
CTNNB1	FOXL2	0.637505016009944
WT1mKTS	WT1mKTS	0.620078117811397
WNT4	CTNNB1	0.617544862938254
AMH	SRY	0.609341471088561
FOXL2	WT1mKTS	0.608746899993642
CBX2	CBX2	0.58281483607507
RSPO1	FOXL2	0.580355477163843
WT1mKTS	SRY	0.578389334362318
FGF9	SRY	0.576762582120998
WNT4	CBX2	0.571663703641104
SRY	CBX2	0.543277402953414
UGR	CBX2	0.536326434344511
SRY	SRY	0.531255051890611
RSPO1	CTNNB1	0.516952737793257
UGR	CTNNB1	0.508563617078461
RSPO1	NR5A1	0.505472032263362
AMH	WT1mKTS	0.499966198026546
DHH	SRY	0.480459118959665
SOX9	NR5A1	0.476929361305753
NR0B1	SRY	0.452359845133677
CTNNB1	RSPO1	0.435207630575109
CTNNB1	NR5A1	0.434403689220757
WT1mKTS	CTNNB1	0.42578878472392
UGR	RSPO1	0.425701649978166
CTNNB1	WT1pKTS	0.401978292704795
GATA4	FOXL2	0.39795970804414
RSPO1	WT1pKTS	0.396011991822762
SRY	CTNNB1	0.39317727824945
UGR	NR5A1	0.388759278877727
FOXL2	UGR	0.365768814904795
FOXL2	CBX2	0.358818194751276
WT1mKTS	CBX2	0.338936334802852
DHH	FOXL2	0.337778501762293
NR0B1	CBX2	0.33170886372967
FGF9	FOXL2	0.329131962028739
SRY	RSPO1	0.327803222777074
FOXL2	WT1pKTS	0.322681318662167
DHH	PGD2	0.318250944373391
FOXL2	FOXL2	0.314348185519115
PGD2	FOXL2	0.261009005364446
SOX9	DKK1	0.255199000253223
WT1pKTS	FOXL2	0.252346246856273
FGF9	PGD2	0.236942116672896
WT1pKTS	WT1pKTS	0.222657405044611
AMH	FOXL2	0.222195112948792
PGD2	PGD2	0.208777822818417
SRY	UGR	0.20819279572456
SOX9	FOXL2	0.188986295547408
GATA4	PGD2	0.177412953314829
NR0B1	RSPO1	0.169724571756681
NR5A1	NR5A1	0.164123647174426
WT1mKTS	FOXL2	0.159860358931553
SRY	FOXL2	0.153177214080609
SRY	WT1pKTS	0.146070440602956
SOX9	PGD2	0.144627849791306
UGR	SRY	0.138377554004911
UGR	UGR	0.135949334310838
NR0B1	CTNNB1	0.132709100253037
WT1pKTS	CBX2	0.130915705882021
NR0B1	FOXL2	0.126118414946857
WNT4	PGD2	0.116251271440083
CBX2	UGR	0.112853761818448
PGD2	DKK1	0.107982783448628
GATA4	DKK1	0.106355544617358
DKK1	FOXL2	0.103062457018743
WNT4	DKK1	0.0972501428997162
AMH	PGD2	0.0962398186980753
DMRT1	PGD2	0.0953423179814777
WNT4	UGR	0.0897213474135265
WT1mKTS	PGD2	0.0890879295385013
DMRT1	FOXL2	0.085447092338796
NR0B1	UGR	0.0832708677563718
NR0B1	PGD2	0.0827459157307582
NR0B1	DKK1	0.0791340480278362
CTNNB1	WT1mKTS	0.0783675380319342
WT1mKTS	UGR	0.0614755966435885
DHH	NR0B1	0.0598130496287331
SOX9	NR0B1	0.0561294516891479
SOX9	SRY	0.0485454451194321
FGF9	NR0B1	0.0473986658700378
WT1pKTS	PGD2	0.0452521921307482
AMH	NR0B1	0.0422491689903045
WT1pKTS	UGR	0.0414945869673018
PGD2	NR0B1	0.039969239563257
DMRT1	DKK1	0.0342634287475893
RSPO1	WT1mKTS	0.0338558327510378
WT1mKTS	DKK1	0.0333207369993596
FGF9	DKK1	0.0316459613356878
FOXL2	NR0B1	0.028414350570989
SOX9	CTNNB1	0.0214458110668792
DKK1	SRY	0.0200549226744256
RSPO1	DMRT1	0.0191074248998078
CTNNB1	CBX2	0.017815323173164
DMRT1	SRY	0.0165367277870668
DMRT1	NR0B1	0.0161622984894243
CBX2	SRY	0.0159420189073771
SRY	NR5A1	0.0137420295282422
GATA4	NR0B1	0.0127034763751829
AMH	UGR	0.0124712994053867
NR5A1	DMRT1	0.0116978868592126
WT1mKTS	RSPO1	0.0112238747920709
CTNNB1	DMRT1	0.0111010695696558
WNT4	NR0B1	0.0098829223960658
SOX9	DMRT1	0.0096982318007694
WT1mKTS	NR5A1	0.0094719755045492
DMRT1	NR5A1	0.0093913908671103
DKK1	NR5A1	0.008867478322417
NR5A1	PGD2	0.0078548548589232
GATA4	RSPO1	0.0078498281424947
DMRT1	AMH	0.0078040587471341
GATA4	DMRT1	0.0070322557145976
DKK1	AMH	0.0068425506440225
CBX2	DMRT1	0.0057416942817379
SOX9	RSPO1	0.0056368166947891
PGD2	RSPO1	0.0055562829258052
GATA4	AMH	0.0052965993076702
DKK1	RSPO1	0.0050291627739761
WNT4	DMRT1	0.0049166042116339
PGD2	AMH	0.0046898141792369
SOX9	AMH	0.0044873283479772
RSPO1	SRY	0.0044485582629058
DHH	AMH	0.0041930507408466
PGD2	DMRT1	0.0039059350447242
NR0B1	DMRT1	0.0039007564729611
WT1mKTS	AMH	0.0038493697678824
FGF9	AMH	0.0034173508426605
RSPO1	DKK1	0.0031328215416149
UGR	NR0B1	0.0030835240434865
WT1mKTS	DMRT1	0.0029639342081908
DMRT1	DMRT1	0.0024988012059092
WT1pKTS	DMRT1	0.0023603622404423
NR0B1	AMH	0.0022056430374791
WNT4	NR5A1	0.0021470932440495
WNT4	AMH	0.0019800765228833
CTNNB1	DKK1	0.0019552180036515
FOXL2	AMH	0.0019352993044826
UGR	DKK1	0.0018439133007944
DKK1	NR0B1	0.0017059022413944
CTNNB1	SRY	0.0016780068541923
WT1pKTS	AMH	0.0016476728404138
FGF9	DMRT1	0.0015631837309014
RSPO1	PGD2	0.0014025796292744
CBX2	DKK1	0.0011826038101826
CTNNB1	AMH	0.0011303928709162
WT1pKTS	NR0B1	0.0008934345068793
NR5A1	NR0B1	0.0007631936574355
RSPO1	AMH	0.0006156154218868
NR0B1	NR0B1	0.0004915700457547
RSPO1	RSPO1	0.0004232473729545
AMH	AMH	0.0002360428163447
DKK1	DMRT1	0.0001927649351665
DHH	WNT4	2.37035563646905e-35
DHH	UGR	2.1193940968309302e-35
SOX9	GATA4	1.994231524134e-35
FGF9	UGR	1.74848508766785e-35
FOXL2	WNT4	1.40704726235461e-35
PGD2	UGR	1.21823107999261e-35
AMH	WNT4	1.17072470614023e-35
SOX9	DHH	1.0837740723803e-35
FGF9	WNT4	1.05819831027865e-35
SOX9	FGF9	9.52271757097846e-36
GATA4	DHH	8.83974971210124e-36
WT1pKTS	WNT4	8.63865221334345e-36
PGD2	DHH	8.45167588710268e-36
PGD2	GATA4	8.10451118120232e-36
DHH	GATA4	7.43345321618328e-36
CBX2	WNT4	7.183329937377449e-36
NR5A1	AMH	7.06917434815662e-36
WT1pKTS	GATA4	6.98338055744323e-36
FGF9	DHH	6.778450517514509e-36
PGD2	CBX2	6.690559134258859e-36
DMRT1	GATA4	6.33293020220627e-36
AMH	DHH	5.9823241345970896e-36
SOX9	WT1pKTS	5.3610179508811295e-36
NR5A1	DKK1	5.35661422229374e-36
WNT4	GATA4	5.2806671504989e-36
PGD2	FGF9	5.12156203956582e-36
DHH	DHH	5.04080327331428e-36
SRY	WNT4	5.0213699771841394e-36
UGR	WNT4	4.96511189241679e-36
FGF9	GATA4	4.9123036216483494e-36
FGF9	WT1pKTS	4.72457168807539e-36
FGF9	FGF9	4.4579767490406394e-36
DHH	WT1pKTS	4.05006203405583e-36
DHH	FGF9	3.57646753151978e-36
AMH	FGF9	3.14758987331246e-36
DMRT1	SOX9	2.9561123706846697e-36
WT1pKTS	DHH	2.9161008402159398e-36
DMRT1	WNT4	2.7729344827534498e-36
WNT4	WNT4	2.7724793410426298e-36
CTNNB1	WNT4	2.76721698371147e-36
WT1mKTS	WNT4	2.7445012602540596e-36
GATA4	GATA4	2.60409838568565e-36
DKK1	SOX9	2.46868290169279e-36
NR5A1	FGF9	2.4314886619167597e-36
PGD2	WT1pKTS	2.4213386119646298e-36
UGR	WT1mKTS	2.3109829501880598e-36
WT1pKTS	FGF9	2.3084256929930598e-36
AMH	GATA4	2.2306379407868397e-36
FOXL2	GATA4	2.20787509473299e-36
FOXL2	DHH	2.10953935562345e-36
AMH	WT1pKTS	2.1024213655143597e-36
DMRT1	FGF9	2.0860038679437898e-36
WT1pKTS	DKK1	1.9581942468603598e-36
GATA4	FGF9	1.8573992531554198e-36
WNT4	FGF9	1.78728880330375e-36
NR5A1	DHH	1.77626348566337e-36
DMRT1	DHH	1.5757348213712398e-36
CBX2	WT1mKTS	1.4159563307236199e-36
PGD2	WNT4	1.3831494620505698e-36
UGR	SOX9	1.3557652465826898e-36
WNT4	DHH	1.2718282232933699e-36
WNT4	SOX9	1.0567357186169899e-36
CTNNB1	SOX9	9.83607312048508e-37
NR0B1	DHH	9.30569091282967e-37
SRY	WT1mKTS	8.41844809094282e-37
GATA4	WT1pKTS	8.34223181606355e-37
FOXL2	FGF9	7.70291597720668e-37
DKK1	WNT4	5.74792348110084e-37
NR0B1	WT1pKTS	5.03662859983684e-37
NR0B1	FGF9	7.97343468974935e-38
DKK1	FGF9	2.10054859173853e-38
DHH	DKK1	3.86118614480756e-39
DMRT1	RSPO1	0.0
WT1pKTS	NR5A1	0.0
UGR	FOXL2	0.0
CBX2	FOXL2	0.0
WNT4	FOXL2	0.0
