SourceGENES,TargetGENES,Interaction,Edges
UGR,FOXL2,1,activation
UGR,SRY,0.403734107212575,repression
CBX2,SRY,0.321047793877604,repression
CTNNB1,SRY,0.312504621209105,activation
SRY,FOXL2,0.295754580583084,repression
DKK1,CTNNB1,0.277225803954128,repression
DKK1,RSPO1,0.270179387309833,repression
UGR,UGR,0.268704446589421,activation
NR5A1,CBX2,0.257900235567376,activation
CTNNB1,CBX2,0.257125696568664,activation
CBX2,UGR,0.239013002135329,activation
CBX2,NR0B1,0.238998984454145,repression
NR5A1,DMRT1,0.227296887604784,repression
CBX2,WNT4,0.223095418282433,repression
SRY,GATA4,0.222119914802913,repression
NR5A1,CTNNB1,0.221427965868269,repression
SRY,PGD2,0.208339586665592,repression
CTNNB1,CTNNB1,0.20414601916321,activation
UGR,NR0B1,0.199002625674403,repression
UGR,WNT4,0.198576357885222,repression
DKK1,SOX9,0.195892216111567,activation
DKK1,NR5A1,0.193584396984501,repression
CTNNB1,UGR,0.173528552541669,repression
DKK1,CBX2,0.168286767074893,repression
SRY,DHH,0.161687800581896,repression
SRY,WT1pKTS,0.156587069399674,repression
SRY,SRY,0.150501504753131,activation
SRY,AMH,0.150018387597849,repression
UGR,WT1mKTS,0.143177065728536,activation
CBX2,CTNNB1,0.141927548786064,activation
SRY,NR0B1,0.139196377467675,activation
SRY,WT1mKTS,0.137091649119305,repression
SRY,FGF9,0.132868589751472,repression
NR5A1,DKK1,0.127051675245161,repression
CTNNB1,WNT4,0.123344348829792,activation
CTNNB1,NR0B1,0.122081795617701,repression
FOXL2,DHH,0.0901908523722263,activation
FOXL2,FOXL2,0.0880643128095772,activation
UGR,WT1pKTS,0.076791948203856,repression
UGR,AMH,0.0726409857731165,repression
CTNNB1,WT1mKTS,0.0702176565151195,repression
FOXL2,FGF9,0.0686846954851249,repression
FOXL2,GATA4,0.068088908732839,repression
CTNNB1,DMRT1,0.0677500036522994,repression
FOXL2,WT1pKTS,0.065972041339818,repression
CBX2,CBX2,0.0641239395001135,activation
SRY,UGR,0.0632098994240942,repression
FOXL2,AMH,0.0630149654632913,activation
FOXL2,PGD2,0.0623431412728448,activation
NR5A1,WNT4,0.0540046171628164,repression
UGR,PGD2,0.0413192840064898,repression
NR5A1,SRY,0.0388965297058895,repression
FOXL2,SRY,0.038037944751441,repression
UGR,GATA4,0.0356909019016361,repression
DKK1,SRY,0.0329143629077959,activation
NR5A1,NR0B1,0.0308869807628102,repression
FOXL2,WT1mKTS,0.0291889930172174,repression
SRY,SOX9,0.0236501548237481,activation
SRY,WNT4,0.0225530220591985,repression
DKK1,UGR,0.0221761973403147,repression
CTNNB1,GATA4,0.0144754638625287,repression
NR5A1,NR5A1,0.0142717799807545,activation
NR0B1,FOXL2,0.0138350938580456,activation
NR5A1,UGR,0.00969442586271499,repression
CBX2,WT1mKTS,0.00953391622096447,activation
FOXL2,DKK1,0.00887925524812214,repression
NR0B1,SOX9,0.00813136227248102,activation
FOXL2,NR0B1,0.00725917588018734,activation
DHH,SOX9,0.00578096825590817,activation
NR0B1,PGD2,0.00544281697074613,repression
FGF9,SOX9,0.00490257268337298,activation
NR5A1,GATA4,0.00479973228959411,activation
FOXL2,DMRT1,0.00470180483975458,repression
NR0B1,AMH,0.00432174837399127,repression
DHH,PGD2,0.00389965688296325,activation
CBX2,WT1pKTS,0.00379661088270848,repression
NR0B1,FGF9,0.00366856399313006,repression
DMRT1,RSPO1,0.00360601746908418,activation
DHH,FGF9,0.00349201862120004,activation
NR0B1,WNT4,0.00327516872204726,activation
WT1mKTS,SOX9,0.0030474510761878,repression
NR0B1,DHH,0.00290337323001216,repression
DMRT1,CTNNB1,0.00289382554012786,repression
DMRT1,SOX9,0.00284686510760545,activation
DHH,AMH,0.00270947382010558,activation
FGF9,NR5A1,0.00220579990626413,activation
DMRT1,NR5A1,0.00217646825567352,repression
WT1mKTS,WNT4,0.00215337877010502,repression
FGF9,FGF9,0.00205576770080949,activation
DHH,DHH,0.00205277889676427,activation
NR0B1,UGR,0.00199160896544367,repression
FGF9,PGD2,0.00183748301739031,activation
