DMRT1,FGF9,RSPO1,DHH,CTNNB1,PGD2,WT1mKTS,SRY,DKK1,WNT4,CBX2,AMH,NR0B1,NR5A1,WT1pKTS,FOXL2,UGR,SOX9,GATA4,Time
1.3153049633,3.6700745934,10.4224650117,0.5561610827,10.7552006545,2.5989992134,10.4159753356,1.669019193,5.0067772884,10.4987458739,0.2312258435,0.5323436702,10.540069817,1.6245025464,7.4128245988,9.8211734269,4.9035663255,3.5082948693,10.4879078268,115.64699999999999
4.2577291802,4.9363372643,10.3956286881,3.9915981763,10.6740284865,3.3948272157,10.0294757118,6.2799504823,1.4002697358,10.6200793234,5.0806527052,4.514938649,10.3218095265,3.7459937021,3.318825561,10.3352182946,0.5517329631,2.5006352756,10.6471263452,93.352
3.0236037308,5.2022594036,10.5350301153,4.94032473,10.5735039399,2.0169621553,10.803746334,3.861476795,4.740635191,10.010948901,0.7321328003,2.3921907721,10.1089049931,3.6881657509,6.9690319617,10.5759316829,2.7336050302,1.8605409332,10.3275973548,93.352
4.0440122223,5.0865576986,9.789962044,3.4527543601,10.3676775722,3.6057905801,10.7726859615,2.9098394026,0.2072393101,10.648931899,5.3456893678,3.51008582,10.290193845,3.4881455356,5.1395736563,10.5340006988,5.9667612377,4.0382817682,10.5145133006,122.54599999999999
0.9582001099,1.1729417255,10.6516623909,2.6544133525,10.3793079379,5.2351290697,10.1472272359,1.8445821536,3.4290548198,10.7331715518,1.9823894058,3.9072803565,10.7768476433,0.2172962606,1.566295083,10.3118276282,4.1286405332,1.0770985089,10.1181710462,132.784
2.0862759758,0.4289981227,10.1124609412,2.3387157636,10.5632604855,2.6029442825,10.3820243162,1.292007776,3.9906773384,10.9917362651,3.371666152,1.3278753595,10.4180198342,4.1367326705,6.0139367793,10.2746499659,3.6987463239,3.7521683035,10.3045474405,93.352
0.5901120692,4.88615517,10.5941800843,6.095315806,10.7306082826,0.6358309548,10.4002959339,5.0894146347,4.3179071243,10.4335002985,0.5463469749,4.6693693347,10.1652933244,2.6938033264,3.5688269767,10.0249836806,1.111587309,6.0277537112,10.6273385995,108.937
5.0385944209,4.6196249812,10.4431908674,2.9170190482,10.1645706074,5.2829757519,10.4937724289,3.9358738772,3.0613884946,10.5345856816,1.9080032364,1.6933566532,10.6066807548,3.2864268961,6.1936607564,10.60850504,1.998882984,5.8689745369,10.1715309799,115.64699999999999
3.7316747013,5.5928961723,3.7267578517,1.355430531,4.4810267002,3.8355164411,10.2284640732,5.7123495874,4.7837574581,9.8680685898,9.797452523,1.7077574917,9.7359414461,10.8908418716,10.3033845686,2.7578555725,9.3163342128,6.1399799546,11.0138566131,53.9345
2.250549686,0.0709946021,10.2366298591,2.5147230941,10.5014329863,0.2404926601,10.6285041755,4.4284767982,5.6000345262,10.455144398,4.3071822287,3.5524301909,10.4990576493,5.786807214,5.0968549869,10.2381855119,1.9559653748,1.2345825044,10.5613308588,122.54599999999999
8.188088733,0.62831494,9.6270268569,4.5109084358,9.0329683072,3.0945712483,10.1077186844,10.1983712421,8.0154803125,10.0969519875,7.0692456246,2.6906590402,10.3217061129,10.0189783163,10.3751321286,5.0963762459,5.3147577321,6.9561357936,9.5760415323,53.9345
3.8762660226,3.0195288576,1.0398194487,5.0235399752,0.2244247129,0.0307334229,10.5063745491,8.0804858433,5.9494417787,8.7572025666,10.7473677901,4.3457976193,8.4108915738,10.4543402504,10.7544164549,4.8693785552,9.58591919,5.560790427,10.7181620515,38.161
5.0155802011,0.3469589351,10.7249748323,1.0185386762,10.1120179263,1.4745536082,10.2968701203,5.4646381591,5.9996050144,10.254364424,0.4626737011,5.4262614017,10.5602472222,8.0070185233,10.4501613841,5.5527990027,5.6978168068,3.507278658,10.3141105857,71.25750000000001
