Gene1,Gene2,EdgeWeight,Confidence,Stability,MeanPercentile,MeanZ,ZCILower,ZCIUpper,SelectedRuns,ObservedRuns,RunCount,BestRank
CBX2,NR5A1,0.7898182973025251,0.9987179487179486,1.0,0.9987179487179486,3.2427509385557673,2.502307760364951,3.9194691213050348,30,30,30,1
CBX2,CTNNB1,0.6718847708679135,0.9949595712929046,1.0,0.9949595712929046,3.0846872838768675,2.383399052335996,3.809532481686202,30,30,30,1
FOXL2,UGR,0.8219049362134749,0.9888888888888889,1.0,0.9888888888888889,3.8979794611833958,1.9263256696525555,4.602095135305611,30,30,30,1
NR5A1,WT1pKTS,0.5549613692192049,0.9793148880105402,1.0,0.9793148880105402,3.3553701687923208,0.12431497432633076,4.043032911137669,30,30,30,1
CBX2,RSPO1,0.46967351240000765,0.9788509021842355,1.0,0.9788509021842355,2.7391843731486434,1.1938331144933743,3.552533761400452,30,30,30,1
SOX9,FGF9,0.01172513304443768,0.9687671434845347,1.0,0.9687671434845347,2.958601653720948,0.2227561475594413,4.134987001101951,30,30,30,1
PGD2,DHH,0.10820807211747473,0.9572393808553229,1.0,0.9572393808553229,2.3316670482158535,1.2279125292963693,3.7455927141257566,30,30,30,1
RSPO1,NR5A1,0.5739854943469196,0.9541016909127854,1.0,0.9541016909127854,2.2065781421716326,1.3623388347464571,2.9736289710088966,30,30,30,2
PGD2,WT1mKTS,2.2197490853090756,0.9533811802232854,1.0,0.9533811802232854,2.2240311151342427,0.6370234099464087,3.260616000607081,30,30,30,1
PGD2,GATA4,0.04563605282896791,0.9489900697799248,1.0,0.9489900697799248,2.3795537331688172,-0.17277895553345501,3.7124619822282887,30,30,30,1
PGD2,FGF9,0.032201097237953516,0.9487873111488804,1.0,0.9487873111488804,2.0887802557709416,0.4291586210864756,3.8627857898136986,30,30,30,1
SOX9,NR0B1,0.0833314565766184,0.9355090971830102,1.0,0.9355090971830102,1.9793827238475639,0.4646630189532151,3.3076929717201207,30,30,30,1
SRY,UGR,0.3311880976665919,0.9349813350900308,1.0,0.9349813350900308,1.3357150476508848,0.5962563652534534,2.297845146343962,30,30,30,2
UGR,CBX2,0.3803745966588185,0.9335525376302488,1.0,0.9335525376302488,1.951061950203097,1.210184851831483,2.5873534731955172,30,30,30,1
PGD2,PGD2,0.09362883392170569,0.9292679778621807,1.0,0.9292679778621807,1.83396180716129,0.200947312138687,3.2038604541645013,30,30,30,1
SRY,CBX2,0.37496151200265965,0.9251381284327311,1.0,0.9251381284327311,1.9765337051422058,0.8207511541179762,3.328444448866341,30,30,30,1
CTNNB1,CTNNB1,0.384512611270842,0.9234753226764721,1.0,0.9234753226764721,1.6258819251745,0.3302452469294961,2.1631600846478642,30,30,30,2
WNT4,CBX2,0.34535979062786903,0.9184131104980681,1.0,0.9184131104980681,1.800767605009806,1.0939219376905591,2.688541624316521,30,30,30,1
AMH,NR0B1,0.06975483502043918,0.9142289980550851,1.0,0.9142289980550851,1.801173474114108,0.738045562672412,2.8257972848810375,30,30,30,1
WNT4,RSPO1,0.37401149087260865,0.9127092344048866,1.0,0.9127092344048866,1.9218253697789167,0.4356215725007285,2.7558897730688314,30,30,30,1
SOX9,DHH,0.08563504126285602,0.9094611330698288,1.0,0.9094611330698288,2.0567352934228125,-0.6010266847872556,3.756183990730399,30,30,30,1
PGD2,NR0B1,0.07015440270845481,0.909374302026476,1.0,0.909374302026476,1.754024496377002,0.6870331161820726,2.9828450285228567,30,30,30,1
UGR,CTNNB1,0.4370423364229873,0.9063035123667308,1.0,0.9063035123667308,1.6795611849553291,1.1828839245234128,2.9178001058807683,30,30,30,1
CTNNB1,NR5A1,0.449550898024528,0.8996546096101318,1.0,0.8996546096101318,1.6106682169697926,0.9098074294915599,2.1716130462736745,30,30,30,2
UGR,UGR,0.21075452053748184,0.8908008344312692,1.0,0.8908008344312692,0.7124446390735641,0.41751012377675933,1.1184575527218208,30,30,30,2
UGR,NR5A1,0.3954953650115158,0.8884175405174906,1.0,0.8884175405174906,1.34247969797014,0.7507661785469608,1.8970699685241463,30,30,30,2
DMRT1,WT1mKTS,1.8113285752169952,0.8839354320143794,0.9666666666666667,0.9144159641528062,1.747784101314168,0.18013338201187754,2.5749094425141807,29,30,30,1
FOXL2,SRY,0.6720096262371442,0.8731594516594517,0.9666666666666667,0.9032683982683983,1.8230876862632799,-0.08241819889564306,3.468924162754096,29,30,30,1
UGR,RSPO1,0.25395171806311323,0.8712438251496223,1.0,0.8712438251496223,1.1794261755283975,0.7320917148259457,2.2908358762700667,30,30,30,1
WNT4,CTNNB1,0.32309664171797076,0.8685251942608264,1.0,0.8685251942608264,1.166504698981096,0.46779212578303675,1.9192815233259757,30,30,30,2
SRY,CTNNB1,0.3303543702288415,0.868263006469903,1.0,0.868263006469903,1.347322666949741,0.3902970317614731,2.8162390726501965,30,30,30,1
AMH,WNT4,0.01918057029704672,0.86733924790355,0.9333333333333333,0.9292920513252321,2.149048709980404,-0.6786446794320883,4.240591750419709,28,32,30,1
DMRT1,AMH,0.14530928267396456,0.8649697457668472,0.9333333333333333,0.9267532990359076,1.7810059950078303,-0.5086305715497477,3.032789046768044,28,31,30,1
FGF9,NR0B1,0.0585132313120298,0.8620208607817303,1.0,0.8620208607817303,1.2378951393660982,0.34834610355896733,2.1543023605547433,30,30,30,2
DHH,PGD2,0.0836028635544618,0.8617515336247221,0.9666666666666667,0.8914671037497125,1.4582653728225514,0.08261574486884557,2.7579178340974555,29,30,30,1
AMH,PGD2,0.09508955982106758,0.8502269181703964,0.9666666666666667,0.8795450877624791,1.5925762689948795,-0.18821506832994614,3.690634451857778,29,30,30,1
SOX9,GATA4,0.03957175422807246,0.8465246962377396,0.9333333333333333,0.9069907459690068,2.0135912797546016,-0.35261850601619893,3.9638296262027657,28,30,30,1
CBX2,CBX2,0.2677509643642072,0.8442290682090782,1.0,0.8442290682090782,1.2065104450450879,0.3175078577047238,2.344534355146978,30,30,30,1
NR0B1,CBX2,0.2799627702877118,0.842249746107817,1.0,0.842249746107817,1.351304119128629,0.5112209892666968,2.23784361912766,30,30,30,2
WT1mKTS,CBX2,0.24191651520717436,0.8370521326638268,1.0,0.8370521326638268,1.085936184541325,-0.35976606754409873,2.501933351197573,30,30,30,1
RSPO1,WT1pKTS,0.27490591594617514,0.835515819565828,0.9333333333333333,0.8951955209633871,1.379256362572797,-0.409614691838438,2.0958298730346097,28,30,30,2
DHH,NR0B1,0.05052227483771265,0.8317941840767928,1.0,0.8317941840767928,1.0484889912032842,0.1468170944048133,2.967702275283907,30,30,30,1
