DMRT1,FGF9,RSPO1,DHH,CTNNB1,PGD2,WT1mKTS,SRY,DKK1,WNT4,CBX2,AMH,NR0B1,NR5A1,WT1pKTS,FOXL2,UGR,SOX9,GATA4,PseudoTime
9.3059970218,0.0314674227,9.500928783,2.7238320629,8.1400835326,2.6162835348,9.8207205022,10.4015651693,9.4363382522,9.5908930711,7.9917186547,6.4052029494,10.2966746461,8.6404044066,10.2896389177,2.674539408,2.8109614809,6.9814795212,10.2958755741,78.7270899249429
9.7832620975,9.8575623272,2.2524568202,9.2323674769,1.5599182092,9.9696879995,9.7119780578,10.1361379503,9.4500201792,1.0652443645,2.4863000572,9.2406982778,7.2887104946,9.9264341028,9.5958263176,0.6394637954,5.4720650175,9.1831227885,9.6286617765,137.630003498493
10.208445132,6.0694674857,3.5843736916,3.4992747986,3.5775780695,3.6215007907,10.1152362138,10.2328763377,10.1274518432,4.8658809048,1.0463061603,3.9582892482,10.2850645549,9.3442814284,10.3903567571,1.0936072522,2.4177619025,9.6834726694,10.1967480637,109.3077700521
9.7482905062,9.7155463854,1.5659662337,9.1167786497,2.4218295407,9.6596593685,9.6881231689,9.6902328124,9.4857031394,1.5714402006,1.2539419237,9.7353112478,7.0562384457,9.330229364,9.7892192868,3.7375610094,3.427276994,10.1290080277,9.8371601828,151.456469814385
3.7316747013,5.5928961723,3.7267578517,1.355430531,4.4810267002,3.8355164411,10.2284640732,5.7123495874,4.7837574581,9.8680685898,9.797452523,1.7077574917,9.7359414461,10.8908418716,10.3033845686,2.7578555725,9.3163342128,6.1399799546,11.0138566131,42.723617310101
2.6519496741,3.8363323636,4.0000998756,1.4735784495,2.9568843831,2.8178791034,10.1439476267,0.6520625929,5.9682066441,10.3571292825,9.7851390606,3.0880508303,10.008803119,10.9881051169,10.3816971593,3.2824343717,8.4989185243,3.8075509831,10.8022718954,44.780607528439
8.188088733,0.62831494,9.6270268569,4.5109084358,9.0329683072,3.0945712483,10.1077186844,10.1983712421,8.0154803125,10.0969519875,7.0692456246,2.6906590402,10.3217061129,10.0189783163,10.3751321286,5.0963762459,5.3147577321,6.9561357936,9.5760415323,60.0191576873968
9.7398815946,4.2548424222,10.1140657725,2.774773578,6.4811711571,4.0259820706,10.20531442,9.6374851936,10.159737159,10.1507829862,3.1057888395,2.2510422745,10.1203038531,4.6711426871,10.4644916164,2.7873111603,3.1816435736,4.6451279668,10.0505209413,81.9394754135205
3.8762660226,3.0195288576,1.0398194487,5.0235399752,0.2244247129,0.0307334229,10.5063745491,8.0804858433,5.9494417787,8.7572025666,10.7473677901,4.3457976193,8.4108915738,10.4543402504,10.7544164549,4.8693785552,9.58591919,5.560790427,10.7181620515,30.9786755058899
10.2902868843,2.6212309913,7.6328691373,1.4410090949,7.253586413,2.9079166363,10.8202309634,10.2744416138,10.0510313105,5.7787542244,6.270874888,3.4478881469,10.2105373295,3.1006589906,10.5671616766,1.2647398729,4.3637954526,3.5764522669,10.4545459979,97.2699325968294
9.9053666488,9.4721025552,0.7961818781,9.5668471716,2.3627225451,9.6268291553,9.7719352235,9.5565131482,9.6689601348,4.9075495609,1.1410599154,9.7406527878,1.4980075437,9.8010353402,9.6288387668,3.284792912,3.6478935455,9.7849038313,9.7711113767,149.780984931776
4.3873883526,5.1062699673,2.5506719267,1.2728758465,2.11212088,3.6254346365,10.85400985,5.6220358554,5.6513077723,6.2811548954,10.4005199855,3.1240298104,0.3955035991,10.6604887953,10.5051943774,0.4510725733,10.9930013414,5.7073171109,10.4358532591,21.4185160206422
9.856469332,9.6811379897,1.7775011465,9.5644365404,3.6328803146,9.0957441994,9.6148074128,9.7847146241,10.1683623139,4.2954603674,1.3752907524,9.7104763594,7.0703115153,9.760052812,9.5096327773,4.0382100386,5.362612187,9.4586875601,9.6117427085,138.348018668789
9.8286223353,9.4468402753,3.9191458082,9.4832339607,2.1841901659,9.5622018853,10.0228242213,9.3404483957,9.6924300896,1.5963610734,4.289115543,9.9866221183,6.9220863431,9.8984201422,9.4831430557,2.7631234335,3.2128478457,9.3729142336,9.8088589076,152.210858836886
4.3331423815,6.4726076953,6.2833755151,6.2105750517,4.5021017241,4.6388836838,10.5609780298,2.0003648839,0.5260110313,5.1866864294,10.3526526312,1.5477368504,3.6247814439,10.705836691,10.4869433772,5.4791938647,11.0976896022,4.9087990724,10.5153992631,13.9059141833768
9.9158728256,2.2441267737,5.193525796,2.4445761004,5.552965154,4.8578068514,10.3804384876,10.1176123212,10.6127899844,5.5198588269,0.6717097159,1.3393025036,10.3295888439,8.4935968361,10.3265150781,3.2349613022,2.3900971575,9.4006326105,10.2860292562,107.056799762522
10.2840075031,1.5761164876,8.4086695023,1.1620501703,5.0286606331,1.8846270205,10.5256812707,10.2764869601,10.2720777628,8.0175950902,3.1975704344,3.5611459738,10.2172038051,2.904528421,10.6510943404,0.4449917442,3.0736954406,4.3416606109,10.3703947417,96.7236079611692
9.8368377943,9.5950420745,2.6358126088,9.7781583497,2.3434296262,9.6839684213,9.6138636123,9.6698456682,9.8026626244,3.2439263446,2.7895118022,9.6482066538,6.6679183723,9.7628311554,9.7579073383,2.731470252,1.8275301111,9.4613338565,9.5657928963,147.53440040324
4.2633201779,5.2204388793,0.6697813881,5.5017574514,3.1714571026,2.4952980685,10.4062060349,7.6057661185,2.9695187913,7.6435111163,10.3795336472,4.0492995145,10.1601450316,10.4725292996,10.7010822838,1.7492225319,9.5647832513,3.5291082982,10.8062696443,34.3074335588947
9.2390069382,9.7356762659,4.082176987,9.5575680582,1.1385453511,9.7397930026,9.8664139196,9.902659749,9.8684612486,3.8352871475,0.3017982017,9.8299384596,4.3782671212,9.6433498973,9.5118157051,3.2683549836,3.8680931225,9.3712662307,9.8862868611,142.716973304025
3.5718918272,4.3382571549,2.8578766749,1.731624056,4.5229682357,2.9031986073,10.220409878,4.0217231866,3.3547914399,4.1170677848,11.0258900838,2.8941210582,6.6417093129,10.4287218805,10.5561597668,2.2296243014,10.8673689885,2.74331802,10.7757174602,12.8172499098315
9.5784247863,9.6795060091,3.8318209696,9.5722846022,2.6206952472,9.8805682908,9.6742034717,9.4754043222,9.9519946666,4.7695094092,5.1581450269,9.1454747913,5.1730450697,9.672152874,9.878262996,1.3042732067,6.439678194,9.856290578,9.5550901724,149.437809576809
2.5158029031,5.2523559385,5.9482734666,3.1182956921,4.5691528452,0.7559262816,10.8053654033,4.9626923415,5.0695743051,7.3824927483,10.5407973274,1.3866460331,8.8392607765,10.8099313299,10.6309392576,2.1229919066,10.0080693346,5.0019067271,10.5124892781,28.7107520889937
3.5550059474,2.608294279,1.8614739816,6.5406729253,3.6488896784,0.5156370542,10.3019550183,9.7979764299,2.63220186,10.0538839633,10.3716690674,0.8624697931,10.2617910216,10.6481441653,10.2503673243,3.9517139252,6.7312209854,3.8225665716,10.1743432769,47.2731233580355
9.7043683519,9.6406820865,0.6929957898,9.9045376607,0.4726014281,10.0827163199,9.6006167891,9.9093955029,9.2435955621,1.6672986091,2.5201821344,9.5724812894,0.3686591887,9.476865394,9.7726726768,3.354933141,3.534104514,9.6511652142,9.664724345,157.223220316029
3.2603326966,6.4633652665,0.8955789154,4.7700506577,1.9374547012,3.4595364158,10.5102229168,5.039405189,1.2628167309,4.2389129144,10.5213616108,6.8804934765,6.4525303848,10.2835083486,10.6278755854,2.6563453908,11.0622793356,4.2368446266,10.7289219542,9.82486356795398
5.8816071712,3.3655434393,1.6250335984,3.6930404359,5.2156550845,2.5804998726,10.6518737784,7.0723561577,6.2925802805,4.5403612616,10.4630716202,4.7870130975,3.3336216204,10.7377789412,10.0668053877,5.615917819,11.1573014342,6.1282291755,10.4646403058,0.0
9.8625114094,9.2945329107,0.927267336,9.3823765943,3.2464227659,9.7203742361,9.7663304823,10.0669873716,9.662100322,4.8355097136,3.6424564077,9.5549259253,0.7760574699,9.3296779377,9.983052562,5.2601557617,1.4217116066,9.5714359799,9.8638542016,140.96110246925
9.7893864313,9.7785066497,3.0746414368,9.5901358549,1.0132869672,9.6902871295,9.5601510359,9.5274004014,9.510809084,5.1686427249,0.578455563,9.30658381,3.2884194289,9.6667974849,10.0467006264,4.0936853586,2.9498332765,10.1006175309,9.5552280167,153.652253837345
9.3418916777,3.4686559934,9.4773802226,7.0114230874,9.1362758282,1.8283739165,9.9688434388,9.5542966262,8.7209566486,10.1950753314,7.871399368,2.3899774786,10.4485466785,9.6666030869,10.0908913369,1.8845581537,3.5908623202,6.1144255332,9.9330541036,71.0648737171235
10.4178632821,2.2579198874,3.3520983574,3.4279462048,4.2760515841,3.5069891557,10.5555999762,10.3298630087,10.498465535,5.5053428256,1.0521094512,0.3328294817,10.3863672411,5.3538732515,10.4380647172,3.5985967964,4.3637167763,6.0161021336,10.4947763621,99.2718654099155
9.9094002786,7.4826315134,1.8316694564,7.9210402353,1.2842164061,7.2906831161,9.9413391309,9.9135791663,10.008452722,2.3471199278,0.6252585343,7.6504037579,9.756893148,9.8698890839,10.0837115861,1.1739064875,1.4724410761,10.3503607793,10.0924267278,117.959221718091
0.2617265349,3.3984848737,3.4236029468,3.7812627322,2.934215152,4.0974326783,10.7480673896,2.1380186513,1.3166409945,6.259422321,10.3336868196,4.2943524518,10.0241889519,10.3903008831,10.6991395703,1.0113638683,10.3023340497,4.6691901371,10.5588404565,31.3030815128752
4.5290994814,4.4242124139,5.0941442826,4.1194803812,2.6824435721,5.6963592342,10.525157236,5.7510705331,4.2802982916,4.5667125527,10.4591116988,5.9235466478,3.450398338,10.6546532928,10.7446909807,4.1631279221,11.021557944,3.5280042972,10.4289526981,10.2805638376074
3.1349670375,1.1034867048,2.909336162,4.7205851152,1.5990683177,2.0827775149,10.8565300198,9.0528404258,6.2974127195,8.6699590708,10.6954563922,2.4988717442,9.4607502933,10.3831229177,10.788224483,2.9596324195,8.2578114898,1.1382426825,10.352317209,33.1463931716562
4.4841806833,4.6766733659,4.4085103354,3.6920736774,3.3625117559,5.2880308877,10.2645659515,6.6049676128,4.3240252768,9.5503561106,10.5171497144,0.9292288751,9.3879352041,10.1830157107,10.3092143612,5.7705437228,10.3294050612,3.327213691,10.8691072016,29.5065173203147
9.3490974377,9.824890179,1.6186818364,9.5191126073,2.3476134762,9.4765058234,10.0774880433,10.0464764204,9.7045856863,0.4948542728,0.3715180588,9.3437244965,4.9185877765,9.4790531164,9.8722503541,4.1942441345,4.5126986117,9.5537953796,9.8248047995,144.35894491277
4.1138153888,5.098123088,0.5479502494,5.5012178426,0.5242765512,3.3681882259,10.5431342781,9.6392994377,4.7103380149,10.3289427942,10.1846179713,0.9906566619,10.0190617331,10.4381568063,10.3229199262,3.2022449649,8.987095642,3.4684443366,9.8258053808,44.3338831286183
10.3523141894,2.1898801058,9.3255383216,2.5170253088,3.7490414923,2.5539771098,10.3960990252,10.0640705315,10.2073446338,9.2486696755,4.3733126469,3.3945870449,10.4671498911,4.4952731273,9.7377707331,1.965771755,1.2953534471,0.9328123172,10.5512345161,87.9770456609557
0.5770297165,3.6234196342,3.5597608618,5.9419168735,3.6942869329,2.3665372382,10.5033748645,4.6826209059,1.5109292986,4.7824131575,10.6114302387,3.6613116261,2.284664034,10.5688624356,10.7854400032,2.1030678653,10.8762365043,4.7795499372,10.6696992874,14.9133682167479
9.6951661336,9.6169536663,3.2906159694,9.8550338827,3.5372204101,9.9531318457,9.886075899,9.4445729819,9.9122009914,3.257206678,4.6115694131,9.5013193173,5.6180262741,9.5865368451,9.7931401648,2.5662194019,2.051380889,9.4385268144,9.4338277849,146.851975615899
5.4188315272,3.9246183971,1.5467324977,5.0787243354,4.4112532158,3.945887611,10.2472642056,4.5911233349,3.0093454174,6.28756835,10.7794326164,2.4994785397,6.6423186093,10.8671050319,10.431957864,5.3690462285,10.469584247,1.1916018528,10.9570641659,26.7566624835553
9.712708566,9.5334161279,4.3739561611,9.3467676439,1.2034801845,10.0263240612,9.9974129637,9.851416531,10.1496035995,2.2868061434,4.3422418523,9.3405193318,6.1410411757,9.3411696881,9.7607376701,4.7913138295,2.8992719201,9.4660288715,9.3162466836,146.171136846264
6.3091152166,5.4475643103,3.3411811188,5.3929061583,2.4040316781,4.8061149855,10.6668402394,9.2268747067,4.1173482788,9.9691930172,10.3534422845,1.0884739575,9.7984975818,10.5686082339,10.3692634583,2.4559045643,8.8339950795,4.5457242066,10.0203651396,39.8581344391912
3.5359887755,4.3107836757,2.0430424983,2.983775409,0.8801123152,3.9729352373,10.3845047993,7.7995214388,3.3215897242,10.2045732613,10.2864594513,4.6725736066,9.7431029832,10.7109867809,10.6246130503,2.3897383681,8.8598444323,4.4666153206,10.3773220937,44.1692172988459
3.4941661286,1.9958285634,1.1872439757,5.1068003685,2.9099096639,6.4405006944,10.518083025,5.8206747559,1.5720975268,2.8664150043,10.893312292,4.5786582689,6.342923436,10.4844997294,11.0236368422,2.8312554621,10.534260029,5.2053921487,10.3341310293,13.6821884181518
10.1498974606,9.7903203477,4.7130309345,9.4745788536,0.9361307083,9.7580707297,9.8228344733,9.3375108935,9.3883398441,2.1766782112,1.2523647843,9.1235539841,7.9898476038,9.6235055278,9.5110705072,5.6700253148,2.4765359055,9.9105104666,9.6669738063,134.298932445936
10.3754122887,5.1567098518,4.5555647202,7.4637630063,2.8705205157,5.9224196399,10.084114274,10.0978568959,9.9598327695,2.8296978225,0.6090287553,6.5813966854,9.8789547563,9.9975626358,10.1610802274,2.864360424,1.2340837589,10.1052300429,9.7902108321,113.83629902265
7.0622117693,5.8875862826,4.809076347,3.7700243723,1.7084738424,4.5159340952,10.3701352081,1.1163927346,0.7160897612,5.518189432,11.0381264108,3.541758402,5.0607939348,10.7381752692,10.6236751809,3.1699221387,10.4628417819,2.5053081731,10.5750203867,23.6175165760605
9.439871629,9.9968444402,2.7971900687,9.6528559196,3.5975362992,9.5250949534,10.0212144267,9.8457584545,10.0064643874,2.6418805586,0.0903248881,9.4237583069,4.3628997296,9.6569973182,9.5689705503,0.8844417721,1.0916812382,9.4542022271,9.5830119503,144.699691836643
10.0931203729,9.8149270959,2.5077092919,9.7017279648,4.6944072041,9.2953911742,9.8395641394,9.9023284066,9.2931135589,4.5975109461,0.1531051975,9.2475963874,4.9903805578,9.5521747818,10.0992379928,0.452452302,1.6631532744,9.9425654055,9.0542287061,145.195907157592
4.5395081018,6.5084627154,1.3113307805,4.5657065172,3.9583589193,3.1250224972,10.44865729,8.4329407518,2.558857667,9.0844238309,10.6225135183,0.7727476895,7.257754057,10.8585897372,10.4670803641,5.7202587021,10.2955288727,4.6950348707,10.2567629279,28.1944907473764
6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,6.4219934744,13.0490957479,6.4219934744,6.4219934744,0.0
8.3853743447,0.3755998162,9.9958282045,0.9330367012,9.5715186414,3.3551065436,10.5526001072,9.1708637797,7.4637808352,10.1302417144,6.4796227959,3.9949862596,9.7796216345,10.349199285,9.8769781502,0.8994609373,0.2024749835,3.3664341516,10.3123089841,63.0108160371183
9.6928798466,2.4963073895,9.5986950861,3.0029247451,8.1161869497,4.992004896,10.054143558,9.9699880737,9.525444637,10.320284285,4.3633604913,2.4947466525,9.9657687193,8.8237750327,10.008452568,2.3654254565,1.1379936949,6.8393693311,10.4307130888,79.8150558913771
4.1895892988,1.8912270167,4.4231140319,5.6178147702,2.3788334169,3.6503441413,10.8351797902,1.9895068904,2.9349853616,10.2803262526,7.9483974404,2.5702794727,10.5841304044,10.3980873436,11.0393249808,4.3429113812,4.0217256951,0.0793342485,10.5952253693,51.2481432754468
4.1849295058,2.4911578036,7.8868832377,2.6420697829,7.4110473517,0.7529795654,10.0853415925,10.0041260936,2.3746221244,10.1439458626,10.0609959018,0.1763733893,10.1642917736,10.2707190315,10.3035221798,3.5879443279,0.2557488482,2.9094182099,10.6381459926,51.6564033075805
9.6754107008,9.755077783,0.0848790181,9.9032578699,4.6808210247,9.6546558199,9.398411448,9.5723344252,9.5451102873,2.3628843036,2.5884743444,9.2027177809,5.1492370139,9.9721363846,9.7223236741,0.6785891521,2.9226324508,9.9707800115,9.7582114799,144.952179760185
10.3163441312,2.1215450533,2.941632641,2.0799947028,2.1245304215,1.5935930779,10.2810482686,9.9482588327,10.3673177451,1.2782985462,0.1375944026,0.1149078613,10.537370586,9.4145593715,10.2984106444,2.0963434901,5.0717952217,9.342959707,10.0326113665,108.374575587159
10.2856129895,5.4280502932,2.0022844828,4.0777088559,2.6997926291,6.6309701897,9.9879195958,9.9421713453,9.9954969286,2.9916110568,0.1614490157,3.6023619699,9.9338629161,9.9904478996,10.0753514179,2.8942426617,1.7753041261,10.3541585594,10.1873174993,115.07499366734
5.0138061565,6.6057166501,0.8962732662,5.5633388505,3.9997671338,1.8136024611,10.379221799,1.6636649648,4.9740085395,5.7345982649,11.026185576,4.0793817037,3.7114784109,10.5477662032,9.90091687,2.7890665669,11.1523578037,6.2697073108,10.5238623304,11.7979696824034
9.6845334044,9.8164977305,1.1864153129,9.6979958251,2.0273165692,9.7013827501,9.7491000983,10.040270572,9.6002218731,6.2896851986,1.733966241,9.0309273866,8.8086836525,9.2738907581,9.2061303528,3.5569587408,2.7050889306,9.7159828554,9.6674634676,129.780745924461
1.7267164049,2.1186677004,1.7494433307,1.4037294936,1.7961042266,3.9172571838,10.3424666153,9.4456120684,2.8543517904,10.3870703208,10.3234266081,0.3573046114,10.3089216643,10.3092452389,10.4306313332,3.1409783605,8.3355707124,3.0769419557,10.1090123313,46.9499530536156
0.3199396654,3.4287998914,3.3540412005,1.2003343992,5.2838725236,4.3053595824,10.836508067,2.7891782109,3.5409236235,1.7925900658,10.2447319132,3.7882874668,0.9807452256,10.8246560113,10.4789415491,4.2478909241,10.9178571917,3.3740327149,10.6893228795,11.9144269803586
4.1215349199,1.485727486,7.9372323349,1.9214925319,6.7805834207,2.727259602,10.5429767383,9.9268386792,4.5722173749,10.3957128121,8.3606231803,4.3484143714,10.4427283441,10.561592008,10.60602301,3.3895887278,2.9452657182,3.5765569424,9.9011629559,53.53487976941
9.7431633148,9.482104228,3.8501814486,9.9141490416,0.7083741721,9.8539369023,9.6278100036,9.5101045004,9.974882446,2.4546352694,0.2830938478,9.5612410309,5.6802882929,9.675132696,9.472027146,2.9811708515,0.5421284231,9.4153548441,9.9374761504,145.459304289592
6.2416316499,5.6824300975,4.9216811067,4.9115864627,2.0700289204,4.1715356346,10.9610486801,4.8062284256,4.183441418,2.3509324667,10.7764906623,3.6757096434,3.2589306696,10.8581751696,10.4929177318,2.7845553548,10.5977872662,2.0621317528,10.142284561,5.27745975686708
9.5299277376,9.6333146852,0.320905645,9.626859927,1.3741975668,9.7280624457,9.8223468925,9.8030336843,9.3051039561,2.4334284369,0.5160859545,10.0882800768,4.1365589011,9.5561419938,9.8672166549,2.3080636733,1.0122698744,9.6852299961,9.6104783793,159.019663424484
10.4984118477,2.4271223279,6.9480709021,2.8153031849,4.370099178,1.8341127584,10.2464533425,10.4212522285,9.9523321821,4.61071661,3.96398243,6.4042938214,10.3301594817,8.6225850566,10.5972145485,0.3638620583,1.6428703093,7.8594074272,10.2803659661,100.188227265119
9.5994899298,9.7984291357,1.9609403038,9.6550218946,2.8941804432,9.5804047946,9.7339921653,9.561507459,9.6922787373,4.8961583713,1.3350464344,9.8293685867,2.3961728315,9.6125299076,10.0137432169,3.0565877526,3.3584887971,9.5991804137,9.6017585536,158.528611810719
