Gene1	Gene2	EdgeWeight
GATA4	NR0B1	6.0
WT1pKTS	UGR	6.0
GATA4	UGR	1.5
WT1pKTS	NR0B1	1.5
GATA4	CBX2	0.66666
GATA4	AMH	0.66666
GATA4	FGF9	0.375
WT1mKTS	CBX2	0.375
GATA4	DHH	0.24
GATA4	WNT4	0.24
WT1pKTS	SRY	0.16666
GATA4	CTNNB1	0.16666
GATA4	WT1pKTS	0.12244
WT1pKTS	RSPO1	0.12244
WT1mKTS	WT1pKTS	0.09375
WT1mKTS	PGD2	0.09375
WT1mKTS	WNT4	0.07407
WT1mKTS	NR5A1	0.07407
WT1pKTS	DMRT1	0.06
WT1mKTS	DKK1	0.06
WT1mKTS	RSPO1	0.04958
GATA4	SRY	0.04166
WT1mKTS	FGF9	0.04166
GATA4	RSPO1	0.0355
WT1mKTS	DHH	0.0355
WT1pKTS	NR5A1	0.03061
GATA4	NR5A1	0.03061
GATA4	PGD2	0.02666
AMH	CBX2	0.02666
WT1pKTS	WNT4	0.02343
WT1mKTS	DMRT1	0.02076
WT1pKTS	SOX9	0.02076
WT1pKTS	DHH	0.01851
WT1mKTS	AMH	0.01851
DHH	FOXL2	0.015
WT1pKTS	DKK1	0.015
WT1mKTS	SOX9	0.0136
WT1pKTS	FGF9	0.0136
DKK1	FOXL2	0.01239
WT1mKTS	CTNNB1	0.01134
WT1mKTS	NR0B1	0.01134
FOXL2	WT1pKTS	0.01041
AMH	SOX9	0.00887
SRY	UGR	0.00887
SRY	CBX2	0.00823
WT1pKTS	CBX2	0.00765
FGF9	NR0B1	0.00765
GATA4	DKK1	0.00713
FOXL2	NR5A1	0.00713
FGF9	CBX2	0.00666
WT1mKTS	UGR	0.00624
FGF9	UGR	0.00624
WT1pKTS	PGD2	0.00585
FGF9	RSPO1	0.00585
CTNNB1	NR5A1	0.00519
SRY	NR0B1	0.00519
SOX9	NR5A1	0.00489
SOX9	CTNNB1	0.00438
SOX9	RSPO1	0.00415
AMH	UGR	0.00415
PGD2	FGF9	0.00394
NR5A1	CBX2	0.00394
NR0B1	UGR	0.00375
SOX9	UGR	0.00356
WNT4	CBX2	0.00356
AMH	RSPO1	0.0034
AMH	CTNNB1	0.00324
WT1mKTS	FOXL2	0.00309
FGF9	WNT4	0.00296
NR0B1	DKK1	0.00296
DHH	NR5A1	0.00283
UGR	AMH	0.00283
FOXL2	UGR	0.00271
GATA4	SOX9	0.00271
AMH	FGF9	0.0026
SOX9	CBX2	0.00249
NR0B1	DMRT1	0.00249
RSPO1	NR5A1	0.0024
NR5A1	NR0B1	0.0024
NR5A1	WT1pKTS	0.0023
DKK1	DHH	0.0023
DMRT1	FOXL2	0.00221
SRY	RSPO1	0.00221
PGD2	NR0B1	0.00213
PGD2	DMRT1	0.00205
WT1mKTS	SRY	0.00205
DHH	WT1pKTS	0.00198
UGR	FGF9	0.00198
NR0B1	CTNNB1	0.00191
NR0B1	CTNNB1	0.00191
FOXL2	AMH	0.00184
NR0B1	CBX2	0.00178
DHH	SOX9	0.00172
RSPO1	NR0B1	0.00172
GATA4	DMRT1	0.00166
DHH	UGR	0.00161
SRY	PGD2	0.00161
UGR	PGD2	0.00156
DHH	RSPO1	0.00156
NR0B1	WNT4	0.00151
DMRT1	CBX2	0.00151
PGD2	UGR	0.00146
SRY	DMRT1	0.00146
FOXL2	CTNNB1	0.00142
FGF9	CTNNB1	0.00142
DKK1	AMH	0.00137
NR0B1	FGF9	0.00133
SRY	NR5A1	0.00133
AMH	DHH	0.00129
SRY	CTNNB1	0.00126
WT1pKTS	AMH	0.00126
RSPO1	UGR	0.00122
NR0B1	SRY	0.00122
UGR	DHH	0.00119
FGF9	WT1pKTS	0.00119
DHH	DMRT1	0.00115
UGR	RSPO1	0.00115
DKK1	UGR	0.00112
CTNNB1	UGR	0.00112
NR5A1	SRY	0.00109
DMRT1	NR5A1	0.00106
DKK1	DMRT1	0.00106
RSPO1	CBX2	0.00103
DKK1	PGD2	0.00103
PGD2	CTNNB1	0.00101
FGF9	AMH	0.00098
PGD2	AMH	0.00096
CTNNB1	WNT4	0.00093
DKK1	RSPO1	0.00093
DKK1	NR0B1	0.00091
FGF9	FOXL2	0.00089
NR5A1	UGR	0.00087
WNT4	SRY	0.00087
SRY	FOXL2	0.00085
DKK1	SRY	0.00085
RSPO1	CTNNB1	0.00083
FOXL2	CBX2	0.00081
SOX9	NR0B1	0.00081
UGR	NR0B1	0.00079
DKK1	FGF9	0.00077
PGD2	WNT4	0.00075
AMH	PGD2	0.00074
FOXL2	RSPO1	0.00074
CBX2	FOXL2	0.00072
CBX2	PGD2	0.00072
DMRT1	UGR	0.0007
DKK1	WNT4	0.00069
WT1pKTS	CTNNB1	0.00069
UGR	CBX2	0.00067
SRY	SOX9	0.00066
