Regulator	Target	SINGE_Score
WT1mKTS	RSPO1	6
WT1mKTS	CBX2	1.5
WT1mKTS	CTNNB1	0.66666
WT1mKTS	UGR	0.375
WT1mKTS	NR0B1	0.24
WT1mKTS	NR5A1	0.16666
GATA4	FOXL2	0.12244
GATA4	DHH	0.09375
WT1mKTS	WNT4	0.07407
WT1mKTS	AMH	0.06
GATA4	CBX2	0.04958
GATA4	NR5A1	0.04166
GATA4	SRY	0.0355
WT1mKTS	FOXL2	0.03061
WT1mKTS	DKK1	0.02666
WT1mKTS	DMRT1	0.02343
WT1mKTS	WT1pKTS	0.02076
WT1mKTS	PGD2	0.01851
GATA4	SOX9	0.01662
GATA4	WT1pKTS	0.015
GATA4	PGD2	0.0136
WT1mKTS	FGF9	0.01239
NR5A1	UGR	0.01134
GATA4	UGR	0.01041
DMRT1	NR5A1	0.0096
SRY	CBX2	0.00887
NR5A1	CBX2	0.00823
GATA4	NR0B1	0.00765
GATA4	CTNNB1	0.00713
DMRT1	CBX2	0.00666
GATA4	AMH	0.00624
DMRT1	FOXL2	0.00585
GATA4	RSPO1	0.0055
RSPO1	UGR	0.00489
WNT4	RSPO1	0.00462
SRY	UGR	0.00438
DMRT1	CTNNB1	0.00415
FGF9	SRY	0.00394
SRY	CTNNB1	0.00375
WNT4	WT1pKTS	0.00356
GATA4	FGF9	0.0034
CBX2	UGR	0.00324
FGF9	FOXL2	0.00309
GATA4	DKK1	0.00296
UGR	RSPO1	0.00283
WNT4	CTNNB1	0.00271
NR0B1	NR5A1	0.0026
DMRT1	SRY	0.00249
DMRT1	UGR	0.0024
NR0B1	CBX2	0.0023
DKK1	SRY	0.00221
FGF9	NR5A1	0.00213
NR5A1	CTNNB1	0.00205
AMH	UGR	0.00198
DMRT1	WT1pKTS	0.00191
DMRT1	RSPO1	0.00184
CTNNB1	WT1pKTS	0.00172
NR5A1	RSPO1	0.00166
PGD2	WT1pKTS	0.00161
FGF9	WT1pKTS	0.00156
SRY	NR0B1	0.00151
SRY	RSPO1	0.00142
DHH	SRY	0.00137
NR0B1	FOXL2	0.00133
DMRT1	WNT4	0.00129
NR5A1	WNT4	0.00126
DHH	UGR	0.00122
SOX9	CBX2	0.00119
DHH	WT1pKTS	0.00112
RSPO1	NR0B1	0.00106
WNT4	DKK1	0.00103
SRY	WT1pKTS	0.00101
WNT4	UGR	0.00098
UGR	SRY	0.00096
WNT4	NR0B1	0.00091
WT1mKTS	DHH	0.00089
SRY	NR5A1	0.00087
FGF9	UGR	0.00083
CTNNB1	FOXL2	0.00081
AMH	WT1pKTS	0.00079
PGD2	WNT4	0.00077
DMRT1	NR0B1	0.00075
DKK1	NR5A1	0.00074
CBX2	RSPO1	0.00072
SOX9	UGR	0.0007
AMH	SRY	0.00069
