TF	target	importance
FOXL2	WT1pKTS	0.3375087441400808
DMRT1	DKK1	0.3138573231382588
DKK1	DMRT1	0.3089071098625579
WT1pKTS	FOXL2	0.2748622786067805
RSPO1	CTNNB1	0.255855547051275
CBX2	UGR	0.2529473032517385
CTNNB1	RSPO1	0.25193958069637773
UGR	CBX2	0.22368713287698502
PGD2	DHH	0.21779131872426924
DHH	PGD2	0.21575684895511882
PGD2	FGF9	0.20802904468498137
FOXL2	NR5A1	0.20322205237836555
WNT4	NR0B1	0.19010274765388296
NR5A1	RSPO1	0.1900932327583243
FGF9	PGD2	0.18675603732941792
DHH	AMH	0.1832079074889506
DHH	FGF9	0.18303144165657553
CTNNB1	FOXL2	0.17957904134663843
NR5A1	CBX2	0.17741334717568238
PGD2	AMH	0.1749474303976684
NR0B1	WNT4	0.1740902931347714
SRY	DKK1	0.16989526785416414
WT1mKTS	GATA4	0.1690548474216601
WNT4	CTNNB1	0.16723035989713156
FGF9	DHH	0.16525367911533634
RSPO1	NR5A1	0.16396401229752902
DMRT1	SRY	0.16332744668648516
GATA4	WT1mKTS	0.16155026873362663
DKK1	SOX9	0.160815729638643
UGR	WT1mKTS	0.16041630931997639
SRY	DMRT1	0.15980968164613027
DKK1	SRY	0.15648925109890646
UGR	GATA4	0.15242242141173434
RSPO1	WNT4	0.15228182669032028
WT1pKTS	NR5A1	0.15011497036074622
CTNNB1	WT1pKTS	0.1491635153782341
FGF9	AMH	0.14878362591712807
DMRT1	SOX9	0.1474330462092091
SOX9	WNT4	0.14467236405398146
AMH	FGF9	0.13819166054496895
AMH	DHH	0.13690102358263181
WNT4	RSPO1	0.13481602231761633
AMH	PGD2	0.13355972904212693
CTNNB1	NR5A1	0.12447447648142232
NR5A1	WT1pKTS	0.12355848337145758
AMH	NR0B1	0.12052691026990422
NR5A1	FOXL2	0.11863280263995635
RSPO1	FOXL2	0.11550168364895497
FOXL2	SRY	0.11009158184005467
DHH	SOX9	0.10978154168474315
DHH	GATA4	0.1084023804058298
RSPO1	WT1pKTS	0.10711060632717047
FOXL2	CTNNB1	0.10682119859099216
SOX9	DMRT1	0.10593874701771272
NR5A1	UGR	0.10563456234812701
SOX9	DKK1	0.10513976719972776
PGD2	WT1mKTS	0.1027935260047474
PGD2	SOX9	0.10200631565103839
SOX9	DHH	0.09833782271753572
NR5A1	CTNNB1	0.09671137501896489
UGR	NR0B1	0.09493865218809582
SOX9	FGF9	0.09408940823718437
PGD2	GATA4	0.09365138895766709
SOX9	AMH	0.09305874905176087
SOX9	PGD2	0.09295861595740414
DHH	WT1mKTS	0.0907393007165714
CTNNB1	SRY	0.0903082025410299
PGD2	NR0B1	0.08591885768997191
FGF9	GATA4	0.08297304289646029
RSPO1	NR0B1	0.08066699944947738
SRY	FOXL2	0.07984734686933159
FGF9	WT1mKTS	0.07837765853608304
NR0B1	UGR	0.0769139951021778
FGF9	SOX9	0.07566653916207747
CTNNB1	WNT4	0.07531300648382226
NR0B1	RSPO1	0.07470405145645866
GATA4	AMH	0.0731674709460961
WT1pKTS	CBX2	0.07305950636466246
RSPO1	CBX2	0.0724885523336477
WT1pKTS	SRY	0.07115406802029652
DKK1	CBX2	0.06937073240544873
AMH	GATA4	0.0689247640224882
GATA4	PGD2	0.06879274088116455
SRY	UGR	0.06879176802491443
WNT4	SOX9	0.06810119993622982
GATA4	FGF9	0.06772228877961375
FGF9	WNT4	0.06702808944208229
UGR	SRY	0.06629733042049542
GATA4	DHH	0.06591693511409061
WT1pKTS	CTNNB1	0.06589486446039121
FGF9	NR0B1	0.06576160050879586
CTNNB1	CBX2	0.06330312499971737
FOXL2	RSPO1	0.06276644684836531
PGD2	WNT4	0.06188787224186473
WNT4	UGR	0.06009198815929691
DHH	NR0B1	0.05951027619982286
RSPO1	UGR	0.05791924285858864
AMH	WT1mKTS	0.057504474608995666
DMRT1	CBX2	0.05667495963069183
SRY	WT1pKTS	0.055997304828353814
RSPO1	SRY	0.05543478104638068
WT1pKTS	UGR	0.055023214095401556
NR0B1	CTNNB1	0.054998280176814775
UGR	WNT4	0.05442091370043189
PGD2	DMRT1	0.05381750145501418
WT1mKTS	AMH	0.05316322995932114
AMH	SOX9	0.05261788688605061
WT1mKTS	PGD2	0.0523442289752459
