TF	target	importance
FOXL2	WT1pKTS	205.92876424729107
UGR	CBX2	127.30151271529391
NR5A1	CBX2	116.44632609619077
RSPO1	CTNNB1	114.50731729448917
CBX2	UGR	110.31704220702025
NR5A1	WT1pKTS	105.85048995238931
NR5A1	RSPO1	101.46065375315821
WT1pKTS	NR5A1	97.33540010454844
CTNNB1	WT1pKTS	93.5574095426695
WT1pKTS	FOXL2	92.62257836777692
RSPO1	NR5A1	91.6311456404537
FOXL2	NR5A1	85.84476885973613
DKK1	DMRT1	84.71202312066
CTNNB1	FOXL2	84.55997290384568
DMRT1	DKK1	83.71153993018012
CTNNB1	NR5A1	80.16924775302823
NR5A1	FOXL2	79.70638324439932
SOX9	WNT4	79.32495152079845
CTNNB1	RSPO1	77.31998363511576
WNT4	CTNNB1	77.08375748570715
FOXL2	SRY	75.88240843154408
GATA4	WT1mKTS	73.64695270934212
WNT4	NR0B1	72.04649272915984
SRY	DMRT1	70.77506562276602
SRY	DKK1	69.13435868272539
RSPO1	FOXL2	68.70284912271535
WNT4	RSPO1	68.27149216869444
UGR	WT1mKTS	68.24336095768
FGF9	AMH	66.87788888527153
FOXL2	RSPO1	66.30338068324765
RSPO1	WT1pKTS	64.87592369941687
NR0B1	UGR	64.12807457255988
DHH	PGD2	63.14615706784346
NR0B1	WNT4	62.17355087603484
CTNNB1	WNT4	61.93099959543572
SOX9	DKK1	61.22349403303844
AMH	NR0B1	60.36841824324556
FOXL2	CTNNB1	59.22493833157063
UGR	NR0B1	59.077153712208215
PGD2	GATA4	58.92852038757695
SOX9	DMRT1	57.90119888917031
PGD2	WNT4	57.64483937952926
WT1pKTS	RSPO1	57.40866256859689
SRY	SOX9	56.9891260554886
PGD2	DHH	56.047565027377544
DMRT1	SRY	54.23656682954343
DKK1	SRY	54.10092018616358
RSPO1	SRY	53.306102491655096
NR0B1	RSPO1	51.33543146181611
DHH	FGF9	51.22381265826218
WT1mKTS	GATA4	51.17288007475812
NR5A1	CTNNB1	50.97331457704736
CTNNB1	CBX2	50.276733426388255
FGF9	PGD2	50.25096131051718
PGD2	FGF9	50.01885363173963
WT1pKTS	CBX2	49.9527369054846
DMRT1	GATA4	49.92180550202125
WNT4	NR5A1	49.420638259970325
RSPO1	UGR	48.375082466653005
RSPO1	WNT4	48.14138894654416
DHH	AMH	48.047556002516046
SOX9	DHH	48.02133439848843
AMH	FGF9	47.92126930318343
DMRT1	SOX9	47.66280062920446
WT1pKTS	SRY	47.34313086521704
PGD2	SOX9	46.78282301405367
CTNNB1	SRY	46.78229063646163
AMH	SOX9	46.659891892671844
DMRT1	WNT4	45.98151904274715
RSPO1	NR0B1	45.77862319560428
CBX2	RSPO1	44.80671092965329
SRY	WT1pKTS	44.75198689929375
NR5A1	UGR	43.63779137440261
SRY	FOXL2	42.57436896094937
FGF9	NR0B1	42.48644038740977
RSPO1	CBX2	41.95263897649285
NR5A1	NR0B1	41.6566128789307
AMH	PGD2	41.609078938275324
GATA4	DKK1	41.46930429910238
SRY	CTNNB1	41.36405184392403
AMH	DHH	40.475253838683756
SOX9	FGF9	40.27225997742308
CTNNB1	NR0B1	39.80119076479046
PGD2	WT1mKTS	39.778797047693516
WNT4	UGR	39.62164547964845
NR5A1	WNT4	39.36464103382985
UGR	RSPO1	39.25960478383385
PGD2	NR0B1	39.12587358182267
CTNNB1	DMRT1	39.083699908717534
SOX9	WT1mKTS	39.06381547819704
CBX2	WT1pKTS	38.04701205074093
DKK1	WT1mKTS	38.017561272970504
SRY	UGR	37.92528765268824
RSPO1	DMRT1	37.59092505160272
WT1mKTS	SOX9	37.55925267739723
DMRT1	FOXL2	37.25801372662963
NR0B1	NR5A1	37.16818044710489
UGR	WNT4	37.16232409728168
WNT4	FOXL2	37.15580029195648
DHH	GATA4	36.92766017112316
AMH	WNT4	36.667923560573755
DHH	WT1mKTS	36.6339011817975
UGR	GATA4	36.30513419572082
DKK1	SOX9	36.19662501681426
FGF9	WNT4	35.75978207167737
FGF9	WT1mKTS	35.58584628122328
GATA4	SOX9	35.2310616857356
FGF9	GATA4	35.1455904707003
GATA4	FGF9	35.012041618116605
AMH	RSPO1	34.77843678051924
WNT4	SOX9	34.41308811310774
NR0B1	AMH	34.367584611763256
CBX2	NR5A1	34.17438234433176
CBX2	CTNNB1	34.070971372825746
FGF9	DHH	33.978258575998076
WT1pKTS	CTNNB1	33.92902758890255
WT1mKTS	DHH	33.87824320131918
WT1pKTS	WT1mKTS	33.87727779788493
DHH	WNT4	33.74937086517977
GATA4	NR0B1	33.731293273486386
WT1pKTS	GATA4	33.603138654862384
SOX9	SRY	33.344568968725824
FOXL2	WNT4	32.96803405802651
WNT4	DKK1	32.955000804664905
SOX9	RSPO1	32.95164212480488
PGD2	CTNNB1	32.77895609732576
DHH	NR0B1	32.64731623221914
WT1mKTS	AMH	32.35482146145493
WNT4	PGD2	32.298163726943244
DKK1	GATA4	32.19212780067538
WNT4	SRY	32.183933610272014
NR5A1	SRY	32.17253932635186
DMRT1	WT1mKTS	32.08734884464842
WT1pKTS	DKK1	31.8730695655946
AMH	DMRT1	31.772411870076493
SRY	RSPO1	31.304850919771173
FGF9	DMRT1	31.193271391892385
WT1mKTS	NR0B1	31.183472279126722
SRY	WT1mKTS	31.164166798436256
FOXL2	DKK1	31.154190682018832
DHH	RSPO1	31.105724910513466
DMRT1	WT1pKTS	30.991733118759438
AMH	WT1mKTS	30.976879029974015
PGD2	AMH	30.591424568927298
UGR	CTNNB1	30.51564306382507
GATA4	DMRT1	30.467873518437116
NR0B1	CBX2	30.448900145305675
FOXL2	CBX2	30.211960359562894
CTNNB1	UGR	30.13993611364274
FOXL2	GATA4	30.118146942773883
NR5A1	DKK1	29.98765543605448
WT1mKTS	PGD2	29.97219771295058
NR0B1	CTNNB1	29.894998299828995
DMRT1	CBX2	29.887346307568073
UGR	SRY	29.839832343256905
SOX9	AMH	29.368417098248486
GATA4	PGD2	29.335024796921036
CBX2	NR0B1	29.214746621159954
DKK1	PGD2	29.11112665139308
UGR	NR5A1	29.037314718222277
SOX9	CBX2	28.827958978412788
DHH	SOX9	28.790051931143054
CTNNB1	DKK1	28.75073782474957
DMRT1	UGR	28.48004423673364
WNT4	GATA4	28.321688836515506
DHH	DKK1	28.30318084482785
WT1pKTS	NR0B1	28.182384035984153
WT1pKTS	WNT4	28.06895903100732
SOX9	GATA4	27.71641640211788
WNT4	WT1pKTS	27.364239884426986
SRY	NR5A1	27.307288506424147
SOX9	NR0B1	27.233379410054656
AMH	GATA4	27.213112026338145
GATA4	WNT4	26.909580425069763
RSPO1	GATA4	26.697197897263017
WT1mKTS	SRY	26.536568399925294
WNT4	CBX2	26.40644907349789
SOX9	PGD2	26.297651364264066
RSPO1	WT1mKTS	26.15379599220106
NR0B1	DHH	26.125432932004557
NR0B1	WT1pKTS	26.04026384640102
GATA4	SRY	25.94178125400266
GATA4	DHH	25.87258567041133
PGD2	RSPO1	25.82245737528091
PGD2	DMRT1	25.71534816268324
DKK1	WNT4	25.70057206510407
WNT4	DMRT1	25.672648340979745
NR0B1	SRY	25.527405077576873
WT1mKTS	DKK1	25.313886826774237
FOXL2	WT1mKTS	25.310583113687635
DHH	DMRT1	25.261529784554703
WT1mKTS	DMRT1	25.01547999099612
DMRT1	CTNNB1	24.962474542335762
WT1mKTS	RSPO1	24.73374273924124
NR5A1	DMRT1	24.232323024304097
WT1pKTS	DMRT1	24.001094330765547
CBX2	DKK1	23.944190771585124
RSPO1	DHH	23.928238106945653
NR5A1	WT1mKTS	23.859608421880523
FGF9	SOX9	23.685295060511418
PGD2	SRY	23.55822202517929
NR5A1	SOX9	23.55256755556112
NR0B1	WT1mKTS	23.154066201242017
GATA4	CTNNB1	23.01046763800696
FGF9	RSPO1	22.96957887077844
SRY	WNT4	22.654698927068985
DHH	CBX2	22.4594254144913
NR0B1	FGF9	22.44995673161138
CBX2	FOXL2	22.35110014547217
CBX2	SRY	22.238302182603153
CBX2	DMRT1	22.219943364483992
DKK1	CBX2	22.15100674240633
UGR	WT1pKTS	22.09448542337172
WT1pKTS	UGR	21.921163234170976
WNT4	AMH	21.748116027463514
DKK1	CTNNB1	21.667981588744126
WNT4	DHH	21.611800546905233
NR5A1	GATA4	21.4201493512809
PGD2	DKK1	21.408965779606778
DHH	SRY	21.345444568876744
DMRT1	PGD2	21.276407473615066
RSPO1	SOX9	20.97231897197655
FOXL2	SOX9	20.72997445099553
GATA4	RSPO1	20.611819262220823
SRY	NR0B1	20.56294533562108
SOX9	CTNNB1	20.16857608233801
NR5A1	AMH	20.082099936808316
DKK1	RSPO1	20.05912046795827
PGD2	UGR	20.046923578328204
NR0B1	PGD2	19.848667320705296
