	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
DMRT1	1.0	0.5244442106424727	-0.4422851663921351	0.5089354433099907	-0.5464632775379026	0.5429588916820534	-0.4270879825665333	0.7174639874344917	0.8443192061953616	-0.5971323063667594	-0.2931558981731932	0.5087672095525242	-0.3650671061205407	0.3056375274419591	0.40944030625520056	-0.5595900359037819	-0.2742081850622056	0.7053450579991736	-0.4541682298121419
FGF9	0.5244442106424727	1.0	-0.5543534331709623	0.763870392736529	-0.490950185430073	0.7665510129754116	-0.4754019917531832	0.41922816752212283	0.5198719776279778	-0.6799841085139298	-0.2577176798361023	0.7476303952235632	-0.6155360362920524	0.3360570629813998	0.2088988685227982	-0.3594669591398143	-0.14951816278283891	0.679476718218993	-0.48485332070412884
RSPO1	-0.4422851663921351	-0.5543534331709623	1.0	-0.5416524141305229	0.853778835059073	-0.5461561993138763	0.25105502578322536	-0.5179535662892067	-0.4508402278229418	0.7642140055012643	-0.29997007452296115	-0.5245653999510482	0.6551960698410101	-0.7415077284128505	-0.5989829475618641	0.6860105780444234	-0.3188338650389442	-0.5748101407167276	0.25105589474733436
DHH	0.5089354433099907	0.763870392736529	-0.5416524141305229	1.0	-0.4857047198569335	0.7643633592165092	-0.4631589552458008	0.39976861933861946	0.5174307031293542	-0.6658559355936988	-0.2514586983715719	0.7502607664142558	-0.6064678142626153	0.33102694945010186	0.21033139963418407	-0.3457143654026728	-0.15290246901725793	0.6708505529169624	-0.48623390415300727
CTNNB1	-0.5464632775379026	-0.490950185430073	0.853778835059073	-0.4857047198569335	1.0	-0.5016086500483772	0.2467048269072123	-0.5897058294242186	-0.5452703659157695	0.7447441305178742	-0.2858801379117336	-0.48304164197190846	0.6136533179844237	-0.7155083964296088	-0.6581419823101812	0.7489521280824221	-0.3033502270246839	-0.5610553826263056	0.24702350995734007
PGD2	0.5429588916820534	0.7665510129754116	-0.5461561993138763	0.7643633592165092	-0.5016086500483772	1.0	-0.4833169502693067	0.43586988381235464	0.5471655710843198	-0.6879834880551718	-0.27044843607784824	0.7606316975197293	-0.6188297275391293	0.34171912387494546	0.23891002194047437	-0.3775771251451517	-0.17183807370879492	0.6869230839849112	-0.4930035992604277
WT1mKTS	-0.4270879825665333	-0.4754019917531832	0.25105502578322536	-0.4631589552458008	0.2467048269072123	-0.4833169502693067	1.0	-0.3833793774395688	-0.44000381125552324	0.3520152495079478	0.19768315413496582	-0.4691881925175459	0.3016094287189904	-0.14583897051966074	-0.0952166509507	0.23226945471563334	0.04529525541136182	-0.4678623773127138	0.7972416668149912
SRY	0.7174639874344917	0.41922816752212283	-0.5179535662892067	0.39976861933861946	-0.5897058294242186	0.43586988381235464	-0.3833793774395688	1.0	0.7301388312962341	-0.4549895467503631	-0.06463683905656663	0.4080902930024318	-0.24363290401064136	0.4938909681145583	0.5645984550324389	-0.6998298573138275	-0.19426224602662734	0.5943127742591702	-0.37555954719196455
DKK1	0.8443192061953616	0.5198719776279778	-0.4508402278229418	0.5174307031293542	-0.5452703659157695	0.5471655710843198	-0.44000381125552324	0.7301388312962341	1.0	-0.5890040909626625	-0.2981336171783209	0.5173415499639222	-0.36484095210404704	0.31763099313596577	0.4131039733421191	-0.5729940653411633	-0.2702040686182179	0.7175091485338062	-0.4535080684181202
WNT4	-0.5971323063667594	-0.6799841085139298	0.7642140055012643	-0.6658559355936988	0.7447441305178742	-0.6879834880551718	0.3520152495079478	-0.4549895467503631	-0.5890040909626625	1.0	-0.012984935106763603	-0.6523567918078761	0.7632886155987686	-0.5538596524710009	-0.44882307283232226	0.5542212254250595	-0.13759363100801977	-0.7058592812111532	0.36842751853853417
CBX2	-0.2931558981731932	-0.2577176798361023	-0.29997007452296115	-0.2514586983715719	-0.2858801379117336	-0.27044843607784824	0.19768315413496582	-0.06463683905656663	-0.2981336171783209	-0.012984935106763603	1.0	-0.24158683265603245	-0.16203010987193076	0.4472439017834753	0.3660104802262579	-0.2831545125609272	0.7205679191960747	-0.2872561014797645	0.2299715315983108
AMH	0.5087672095525242	0.7476303952235632	-0.5245653999510482	0.7502607664142558	-0.48304164197190846	0.7606316975197293	-0.4691881925175459	0.4080902930024318	0.5173415499639222	-0.6523567918078761	-0.24158683265603245	1.0	-0.6293190885685832	0.32132019518718297	0.2146139563718932	-0.36860212946275367	-0.1482750477709363	0.6370807855397739	-0.48347654476171903
NR0B1	-0.3650671061205407	-0.6155360362920524	0.6551960698410101	-0.6064678142626153	0.6136533179844237	-0.6188297275391293	0.3016094287189904	-0.24363290401064136	-0.36484095210404704	0.7632886155987686	-0.16203010987193076	-0.6293190885685832	1.0	-0.5171198405440557	-0.38566545041332007	0.45487394757231353	-0.3028020007643346	-0.49413591689253616	0.3046172501223307
NR5A1	0.3056375274419591	0.3360570629813998	-0.7415077284128505	0.33102694945010186	-0.7155083964296088	0.34171912387494546	-0.14583897051966074	0.4938909681145583	0.31763099313596577	-0.5538596524710009	0.4472439017834753	0.32132019518718297	-0.5171198405440557	1.0	0.7504838588873906	-0.7658532761753719	0.36889307794376536	0.4133671273232542	-0.12483069871553577
WT1pKTS	0.40944030625520056	0.2088988685227982	-0.5989829475618641	0.21033139963418407	-0.6581419823101812	0.23891002194047437	-0.0952166509507	0.5645984550324389	0.4131039733421191	-0.44882307283232226	0.3660104802262579	0.2146139563718932	-0.38566545041332007	0.7504838588873906	1.0	-0.8123922165877087	0.28470428016049065	0.31901103068724684	-0.0797047621223311
FOXL2	-0.5595900359037819	-0.3594669591398143	0.6860105780444234	-0.3457143654026728	0.7489521280824221	-0.3775771251451517	0.23226945471563334	-0.6998298573138275	-0.5729940653411633	0.5542212254250595	-0.2831545125609272	-0.36860212946275367	0.45487394757231353	-0.7658532761753719	-0.8123922165877087	1.0	-0.1982486043243244	-0.4934324844946674	0.21394321754324547
UGR	-0.2742081850622056	-0.14951816278283891	-0.3188338650389442	-0.15290246901725793	-0.3033502270246839	-0.17183807370879492	0.04529525541136182	-0.19426224602662734	-0.2702040686182179	-0.13759363100801977	0.7205679191960747	-0.1482750477709363	-0.3028020007643346	0.36889307794376536	0.28470428016049065	-0.1982486043243244	1.0	-0.2184606670984388	0.05584346056687286
SOX9	0.7053450579991736	0.679476718218993	-0.5748101407167276	0.6708505529169624	-0.5610553826263056	0.6869230839849112	-0.4678623773127138	0.5943127742591702	0.7175091485338062	-0.7058592812111532	-0.2872561014797645	0.6370807855397739	-0.49413591689253616	0.4133671273232542	0.31901103068724684	-0.4934324844946674	-0.2184606670984388	1.0	-0.4901271901295379
GATA4	-0.4541682298121419	-0.48485332070412884	0.25105589474733436	-0.48623390415300727	0.24702350995734007	-0.4930035992604277	0.7972416668149912	-0.37555954719196455	-0.4535080684181202	0.36842751853853417	0.2299715315983108	-0.48347654476171903	0.3046172501223307	-0.12483069871553577	-0.0797047621223311	0.21394321754324547	0.05584346056687286	-0.4901271901295379	1.0
