TF	target	importance
WT1pKTS	FOXL2	0.34683277236374244
DMRT1	DKK1	0.3257002130631158
DKK1	DMRT1	0.3150509207542091
FOXL2	WT1pKTS	0.29832413789979845
UGR	CBX2	0.29556384614826164
CTNNB1	RSPO1	0.2728634575123772
FGF9	PGD2	0.25880169847285306
CBX2	UGR	0.2548561641995634
PGD2	AMH	0.2480045525694163
PGD2	DHH	0.245214353004779
DHH	FGF9	0.2452073821861717
RSPO1	CTNNB1	0.24508709628605507
DHH	PGD2	0.2418150383567526
PGD2	FGF9	0.2374230033633689
DHH	AMH	0.23355896479739305
DMRT1	SRY	0.22653377959550813
RSPO1	WNT4	0.22385605324580263
DKK1	SRY	0.22366805433964607
RSPO1	NR5A1	0.21157005747495522
FGF9	DHH	0.20691076862113114
FOXL2	CTNNB1	0.20380462639687827
SRY	DMRT1	0.20337004903803782
FGF9	SOX9	0.1968216462374936
CTNNB1	FOXL2	0.19058522640015002
AMH	FGF9	0.18751931202978986
SRY	DKK1	0.18286653797380079
AMH	DHH	0.18265550670587355
FGF9	AMH	0.182349477458758
PGD2	SOX9	0.1790241316428686
AMH	PGD2	0.17756549149697012
WNT4	NR0B1	0.17747960642764013
GATA4	WT1mKTS	0.1772453027876388
WNT4	RSPO1	0.16958377015410928
WT1mKTS	GATA4	0.16744856796437452
CTNNB1	WNT4	0.16438161675767804
NR0B1	WNT4	0.1582347428159674
RSPO1	NR0B1	0.1544615368131242
DHH	SOX9	0.15105429602812837
NR5A1	RSPO1	0.1498772768346022
SOX9	DKK1	0.13785801792536226
SRY	UGR	0.1368565791515297
CTNNB1	WT1pKTS	0.13634637862599583
SOX9	DMRT1	0.1344289670282472
NR5A1	FOXL2	0.12590417993253925
FOXL2	NR5A1	0.12237472733365336
NR5A1	WT1pKTS	0.12209178264165294
CTNNB1	NR5A1	0.12121348995242362
FOXL2	RSPO1	0.12030907343684324
SRY	WT1pKTS	0.11909109715343537
SOX9	DHH	0.117935572919852
AMH	SOX9	0.11775586244924795
SOX9	FGF9	0.11107179534621049
SOX9	SRY	0.10536964785906652
NR0B1	UGR	0.10450594951140209
NR5A1	CTNNB1	0.10174155846184355
WT1pKTS	WT1mKTS	0.10076314575684789
WT1pKTS	NR5A1	0.09978129357792458
SOX9	AMH	0.09920077108813972
SOX9	PGD2	0.09816006465804836
RSPO1	FOXL2	0.0959878277621408
UGR	GATA4	0.09506097114177908
