TF	target	importance
FOXL2	WT1pKTS	0.3478524600113274
DKK1	DMRT1	0.30965161907496547
DMRT1	DKK1	0.30422801025476126
WT1pKTS	FOXL2	0.2832786792130213
CBX2	UGR	0.2661483010639147
CTNNB1	RSPO1	0.25286979571451396
RSPO1	CTNNB1	0.24841784097978456
UGR	CBX2	0.21579579170531288
PGD2	DHH	0.21446978329593813
DHH	PGD2	0.20722013255868785
PGD2	FGF9	0.2056194439741649
FOXL2	NR5A1	0.1994323764468572
PGD2	AMH	0.19523694896239402
FGF9	PGD2	0.18720519897159776
DHH	AMH	0.18564219921624242
WNT4	NR0B1	0.18511101447490355
DKK1	SRY	0.18413325464196192
NR5A1	RSPO1	0.1838759728782743
NR0B1	WNT4	0.18254748173169666
DHH	FGF9	0.1806715426608798
UGR	WT1mKTS	0.1748511150182235
RSPO1	NR5A1	0.17308278474052666
NR5A1	CBX2	0.1696689385563067
FGF9	DHH	0.16809616342455727
SRY	DKK1	0.16757243647477785
WT1mKTS	GATA4	0.16311094079279181
CTNNB1	FOXL2	0.1621778877542149
DKK1	SOX9	0.1620694198747753
GATA4	WT1mKTS	0.1597301496740221
WNT4	CTNNB1	0.15861883015465858
SRY	DMRT1	0.15746918180729186
SOX9	WNT4	0.1532262918978394
FGF9	AMH	0.1478267335488018
RSPO1	WNT4	0.14686766177698843
DMRT1	SRY	0.14590437989116642
WNT4	RSPO1	0.14532760067804085
DMRT1	SOX9	0.14497548065028323
UGR	GATA4	0.14096515582548327
WT1pKTS	NR5A1	0.13987701565855334
CTNNB1	WT1pKTS	0.13527690980596951
AMH	PGD2	0.135111886897218
AMH	DHH	0.1345437198315495
AMH	FGF9	0.1335451190655859
NR5A1	WT1pKTS	0.12607269792978065
RSPO1	FOXL2	0.12543585880933278
CTNNB1	NR5A1	0.1231979453721019
NR5A1	FOXL2	0.11993426438931082
NR5A1	UGR	0.11523514757213559
AMH	NR0B1	0.10986495877827014
DHH	GATA4	0.10906352272493351
FOXL2	CTNNB1	0.10873716557001657
PGD2	SOX9	0.108558364465275
FOXL2	SRY	0.10795774236085401
DHH	SOX9	0.10706009342707591
NR5A1	CTNNB1	0.10692871555976516
