Gene1	Gene2	EdgeWeight
DKK1	DMRT1	150.83916637696836
FOXL2	WT1pKTS	150.61702473035635
UGR	CBX2	147.49662585555066
FOXL2	NR5A1	125.3588217430964
NR5A1	CBX2	112.70182159372524
WT1pKTS	FOXL2	110.03266417167396
UGR	WT1mKTS	108.77731212666274
CTNNB1	NR5A1	105.90788754185844
DMRT1	DKK1	105.66111870863531
CTNNB1	FOXL2	105.19992288159622
NR5A1	WT1pKTS	99.72648318500156
SRY	DKK1	97.48465607997228
NR5A1	FOXL2	96.1570654469708
CBX2	UGR	95.71210627267271
CTNNB1	RSPO1	93.68767256806272
CTNNB1	SRY	91.62197316916382
WNT4	NR0B1	87.71724079194641
RSPO1	CTNNB1	82.14485444672879
RSPO1	FOXL2	78.67862393891139
SOX9	WNT4	77.7990296782808
SRY	DMRT1	76.16483811118258
CTNNB1	WT1pKTS	75.75934072476598
WNT4	RSPO1	73.6831474836231
RSPO1	WNT4	69.9701608264344
RSPO1	WT1pKTS	69.09451207414843
FOXL2	SRY	66.86731606893707
NR5A1	CTNNB1	66.77887444409039
NR5A1	RSPO1	66.52665891790205
RSPO1	NR5A1	65.51726562721163
SRY	FOXL2	65.44934089803088
DKK1	SOX9	65.36704877539403
GATA4	WT1mKTS	65.2936956949883
AMH	PGD2	65.1244659192973
FGF9	DHH	64.73967075144647
CBX2	NR5A1	64.28890842059295
UGR	NR0B1	63.967571678937816
WT1pKTS	CTNNB1	62.91085190966045
DMRT1	SRY	62.531068909428605
CTNNB1	WNT4	62.175289154969114
RSPO1	CBX2	62.12263192577487
FGF9	NR0B1	59.6992053596935
WT1pKTS	NR5A1	59.07964895714646
WNT4	NR5A1	58.52530849929038
DHH	WNT4	58.130577236014936
WNT4	CTNNB1	57.09385625959709
PGD2	WT1mKTS	54.66055392097428
FGF9	AMH	54.635829965198134
PGD2	AMH	54.28701555427928
SOX9	AMH	52.920967170080154
UGR	GATA4	52.36358892638002
NR0B1	WNT4	52.31860556152809
SOX9	DKK1	50.41926904477896
AMH	NR0B1	50.103442599574485
NR0B1	CBX2	49.96129713213892
FGF9	PGD2	49.544277974209955
PGD2	WNT4	49.08732039631271
DKK1	CBX2	48.77214999287161
NR5A1	UGR	48.65071552482442
NR0B1	RSPO1	48.4784413491598
FGF9	WNT4	48.24376343110536
DKK1	SRY	48.06784920644304
WT1pKTS	UGR	46.96254052405983
AMH	DHH	46.94837932202742
DKK1	CTNNB1	46.44392765365143
DHH	WT1mKTS	45.59195627892717
WT1pKTS	CBX2	45.32546696256387
RSPO1	SRY	45.06822157067579
DMRT1	SOX9	44.53368618470134
AMH	WNT4	44.43809699619668
AMH	FGF9	44.342647438936126
DMRT1	WNT4	43.960487712743024
WNT4	SOX9	43.894065490854715
WNT4	FOXL2	43.85611320890472
AMH	SOX9	43.7685870039769
NR0B1	NR5A1	43.60136402644545
DMRT1	FOXL2	43.483920990821936
SOX9	WT1mKTS	43.152070872949515
CTNNB1	CBX2	42.97556959897825
DMRT1	WT1mKTS	42.56087339049888
NR5A1	NR0B1	42.099160218485984
WT1pKTS	RSPO1	41.71464852336475
DHH	NR0B1	41.69131415842793
CTNNB1	UGR	41.67130029786173
WT1pKTS	SRY	41.65585825238076
WNT4	UGR	41.648439864375355
WT1pKTS	GATA4	41.49669992310668
NR5A1	DKK1	40.85293899322582
DHH	PGD2	40.781245899375165
FOXL2	CTNNB1	40.77342146911115
DKK1	FOXL2	39.818204811684886
WT1mKTS	GATA4	39.76084777691531
GATA4	SOX9	39.54837271317958
NR5A1	DMRT1	39.39527974733966
UGR	WNT4	39.34185613312761
UGR	NR5A1	39.31021534429765
CBX2	CTNNB1	38.92321803742426
AMH	WT1mKTS	38.79865757393765
PGD2	SOX9	38.61683676145474
DHH	SOX9	38.45675944894211
NR0B1	FOXL2	38.15255116582408
FGF9	DKK1	38.14513576524193
SOX9	DMRT1	38.1008248745058
CBX2	RSPO1	38.01197615201932
SRY	WT1pKTS	37.93338470740475
DKK1	GATA4	37.92447223701181
CTNNB1	NR0B1	37.860793377792895
DKK1	UGR	37.74305945948443
CTNNB1	DMRT1	37.71346213732909
SRY	UGR	37.61425164901007
PGD2	GATA4	37.5955094108926
SOX9	RSPO1	37.1783092659836
DMRT1	GATA4	37.04876105989727
RSPO1	DKK1	36.79667704681315
WT1pKTS	WT1mKTS	36.73062184387643
RSPO1	UGR	36.714627632755395
DKK1	WNT4	36.70227278815399
WT1pKTS	DMRT1	36.66798038202844
FGF9	GATA4	36.64875791534549
DHH	FGF9	36.39973906074466
DMRT1	CBX2	36.349851113476035
NR0B1	AMH	35.986254306850235
NR0B1	PGD2	35.90085885005511
PGD2	FGF9	35.356572940672045
FGF9	SOX9	35.35129451578169
CBX2	NR0B1	35.18056594024136
NR0B1	UGR	35.179700856431644
FOXL2	WT1mKTS	34.90308989082524
AMH	GATA4	34.90071004790225
SOX9	FOXL2	34.89421681692224
WT1mKTS	WNT4	34.87809416508408
GATA4	NR0B1	34.851812827935404
PGD2	NR0B1	34.654813070156834
WT1mKTS	DHH	34.5497459402344
RSPO1	SOX9	34.27274024566015
WNT4	DMRT1	34.20642015182295
GATA4	DMRT1	34.198927285732694
WT1mKTS	FGF9	34.15498409203805
NR0B1	DHH	33.81291192430567
DMRT1	CTNNB1	33.80942453152516
SOX9	DHH	33.76158063540714
FOXL2	WNT4	33.707324386885546
CBX2	FOXL2	33.658602797267996
WNT4	WT1pKTS	33.379491019550905
SRY	RSPO1	33.1616553277156
WNT4	DKK1	32.97372152466519
FOXL2	RSPO1	32.89820656065139
SRY	NR5A1	32.77993029464754
GATA4	SRY	32.742237167971474
SOX9	FGF9	32.717209193500224
WT1mKTS	SRY	32.64757509207527
FOXL2	DKK1	32.61166482055
AMH	DMRT1	32.46543375609
WT1mKTS	DMRT1	32.18131638538761
AMH	RSPO1	32.11946585899246
PGD2	DHH	32.06618143123453
WT1mKTS	PGD2	32.00464491603343
CBX2	WT1pKTS	31.898541481559896
WT1mKTS	NR0B1	31.49501041195866
AMH	SRY	31.127927489170553
GATA4	UGR	30.944046222900905
NR5A1	WNT4	30.909178927715104
NR0B1	CTNNB1	30.908972867397832
NR5A1	WT1mKTS	30.869521858807403
WNT4	PGD2	30.848990016680325
GATA4	AMH	30.830268388735117
SOX9	NR0B1	30.8082938796491
RSPO1	WT1mKTS	30.6300769297496
RSPO1	NR0B1	29.99675599979859
UGR	RSPO1	29.953761110968525
FOXL2	DMRT1	29.913541724995188
RSPO1	DMRT1	29.407775717125915
NR0B1	SRY	28.584094908307108
SRY	WT1mKTS	28.367935579633727
CBX2	WNT4	28.33715019239227
WNT4	WT1mKTS	28.15467981216228
NR5A1	GATA4	28.062398251563895
NR0B1	WT1pKTS	27.956248202824806
CTNNB1	DKK1	27.91260107720237
GATA4	FGF9	27.61916397395259
GATA4	PGD2	27.586318165313298
WNT4	GATA4	27.31511181327654
NR5A1	PGD2	27.19042262932548
DHH	DMRT1	27.18544481774636
DKK1	WT1pKTS	27.086718329410697
DMRT1	UGR	26.961874948589063
WNT4	SRY	26.94064049056624
DHH	AMH	26.838992261264146
NR0B1	GATA4	26.568942074295997
CBX2	DMRT1	26.562863499069273
UGR	WT1pKTS	26.335693070905524
SOX9	SRY	26.228099520371487
WT1pKTS	WNT4	26.17326610519586
