TF	target	importance
WT1pKTS	FOXL2	0.34698432395063755
DKK1	DMRT1	0.32665672461440864
DMRT1	DKK1	0.31642101726340754
FOXL2	WT1pKTS	0.30074021355360336
UGR	CBX2	0.27774466051578656
CTNNB1	RSPO1	0.2740675941642749
PGD2	FGF9	0.25875076598784924
DHH	FGF9	0.257793999706324
CBX2	UGR	0.24790627180706415
FGF9	PGD2	0.2430923211425563
RSPO1	CTNNB1	0.2428015993397973
PGD2	DHH	0.24213694818798065
RSPO1	WNT4	0.23543757749468724
DHH	AMH	0.23343283744146665
DHH	PGD2	0.23227545652756937
FGF9	DHH	0.2312061052304732
PGD2	AMH	0.23111985484605516
DKK1	SRY	0.23083286924854668
DMRT1	SRY	0.213909269620492
FGF9	SOX9	0.21191093194444888
RSPO1	NR5A1	0.20682553751351374
AMH	DHH	0.1999565368764373
SRY	DMRT1	0.19751708891613692
AMH	PGD2	0.19545516930877066
FGF9	AMH	0.19075871229681843
FOXL2	CTNNB1	0.18807920510988296
SRY	DKK1	0.1834632741113877
CTNNB1	FOXL2	0.18015474757031932
WT1mKTS	GATA4	0.17747157664187677
WNT4	RSPO1	0.17550083313745415
CTNNB1	WNT4	0.17407061432367762
WNT4	NR0B1	0.17324564766020717
PGD2	SOX9	0.1707761624398607
GATA4	WT1mKTS	0.16921005849650983
AMH	FGF9	0.16314756135427785
RSPO1	NR0B1	0.16162259012354205
DHH	SOX9	0.1511222085568079
SRY	UGR	0.14737131250726884
NR0B1	WNT4	0.13603730854898513
CTNNB1	WT1pKTS	0.13072416031318734
SOX9	DKK1	0.13023666825367428
NR5A1	RSPO1	0.1277585798021107
FOXL2	NR5A1	0.12680138979324074
FOXL2	RSPO1	0.126346906799678
CTNNB1	NR5A1	0.12614930980177372
NR5A1	FOXL2	0.12355761515945357
SOX9	DMRT1	0.12236709699056117
NR5A1	WT1pKTS	0.12033857620620464
SOX9	PGD2	0.11803504550598463
SRY	WT1pKTS	0.11741789473440332
AMH	SOX9	0.11541263964791142
SOX9	SRY	0.11301058121739084
WT1pKTS	CTNNB1	0.1070452857143236
RSPO1	FOXL2	0.10673278068085375
SOX9	FGF9	0.10652092833875813
SOX9	DHH	0.1046938975573402
WT1pKTS	NR5A1	0.10412366816617712
WT1pKTS	WT1mKTS	0.10231390807939508
SOX9	AMH	0.10156135328372301
NR5A1	CTNNB1	0.10073571958197049
NR0B1	UGR	0.09842355455815589
UGR	GATA4	0.09481459181208528
WNT4	CTNNB1	0.09265075666860889
NR5A1	CBX2	0.09098686427955882
UGR	WT1mKTS	0.09079513797097173
WT1pKTS	SRY	0.0901562769559016
DKK1	SOX9	0.0877995937205117
DKK1	CBX2	0.08578140126413776
CTNNB1	NR0B1	0.08502253805318566
WT1pKTS	GATA4	0.08099075943811482
DMRT1	CBX2	0.07957245732519608
NR5A1	GATA4	0.0770101969364469
UGR	NR0B1	0.07443136470806445
NR0B1	GATA4	0.07411499358195968
NR5A1	WT1mKTS	0.07302951998056048
FGF9	DKK1	0.07230685230329832
DMRT1	SOX9	0.07221027247654344
RSPO1	CBX2	0.07197119316152467
CBX2	WT1mKTS	0.07130514356195383
WNT4	UGR	0.06990338273132819
AMH	NR0B1	0.06961226219378158
NR0B1	WT1mKTS	0.06942972488406168
SOX9	WNT4	0.06719258694343115
NR0B1	RSPO1	0.06596273492114137
RSPO1	WT1pKTS	0.06477339786553307
NR0B1	AMH	0.06323662293196719
FOXL2	WNT4	0.06270169759034934
CBX2	GATA4	0.06067803138508094
DKK1	DHH	0.060314086837482475
DHH	DMRT1	0.060293947811454224
PGD2	DKK1	0.05968842941302245
NR5A1	WNT4	0.059676375037338664
SRY	FOXL2	0.05909176377715139
DHH	DKK1	0.05902482380175223
SRY	NR0B1	0.05761010757134849
FGF9	DMRT1	0.057570586284275596
NR5A1	NR0B1	0.05701198646883956
SRY	CTNNB1	0.05645055871635707
DKK1	PGD2	0.05576031296441707
DKK1	AMH	0.05573959450916931
PGD2	DMRT1	0.05563403837097053
RSPO1	UGR	0.055285236832749836
CTNNB1	CBX2	0.054790169660040355
DKK1	FGF9	0.05462386746652564
WT1pKTS	RSPO1	0.05373542537278358
DKK1	UGR	0.053610386955850735
PGD2	NR0B1	0.053491702177153024
SOX9	NR5A1	0.053248466393629554
WNT4	GATA4	0.05265356785176852
DHH	NR0B1	0.05243192563199173
NR0B1	NR5A1	0.05230099283709126
SRY	GATA4	0.05144188192447355
WNT4	FOXL2	0.05065058752285215
NR0B1	CTNNB1	0.04970713706850838
DKK1	CTNNB1	0.04745040072016389
DMRT1	UGR	0.046887299522069714
SOX9	CBX2	0.04672658683088691
NR5A1	SOX9	0.0461642129404367
DMRT1	DHH	0.045485834295503416
DMRT1	PGD2	0.04520801019104432
SRY	WT1mKTS	0.045064607819714664
DKK1	WT1pKTS	0.044948255829708544
WNT4	WT1mKTS	0.044757500446792504
CTNNB1	UGR	0.04463274149241553
FGF9	NR0B1	0.04462131786238552
FGF9	SRY	0.04454292816966365
SRY	NR5A1	0.04425756073959341
CBX2	NR5A1	0.043596757139009366
DMRT1	WT1mKTS	0.04283410305706098
CTNNB1	SRY	0.04254520390522514
WT1pKTS	CBX2	0.04249535448503236
DMRT1	AMH	0.04246195500784993
SRY	SOX9	0.04241089399871082
WNT4	NR5A1	0.041549648760605996
WT1mKTS	UGR	0.0412767562521165
UGR	WNT4	0.04083714501473826
DKK1	WNT4	0.040261539234996944
DMRT1	FGF9	0.040112682805728855
DKK1	WT1mKTS	0.039177367105584684
RSPO1	GATA4	0.03916162093020271
DHH	SRY	0.03891450545982845
SRY	CBX2	0.038896274104788145
NR0B1	PGD2	0.037976222656406065
DMRT1	WT1pKTS	0.037852479135568065
CTNNB1	GATA4	0.03737418414974888
DMRT1	GATA4	0.03736268757805611
RSPO1	WT1mKTS	0.03730505477474832
DMRT1	CTNNB1	0.036882276162228535
GATA4	UGR	0.036699507993305146
WT1mKTS	WT1pKTS	0.03640180805227684
CTNNB1	WT1mKTS	0.03586910195499162
DKK1	GATA4	0.035440759789471664
WNT4	SOX9	0.035200314704230705
NR0B1	FGF9	0.0350113570056295
NR0B1	DHH	0.03430058790264372
PGD2	SRY	0.034101332536790346
SOX9	WT1mKTS	0.0340066022490622
SOX9	UGR	0.033889042560092356
SOX9	GATA4	0.033425330522406545
WT1mKTS	CBX2	0.03308213448967495
DMRT1	WNT4	0.032961681527021974
FOXL2	WT1mKTS	0.03295211936891328
AMH	DMRT1	0.03223668757775494
UGR	SRY	0.03166982773351993
DKK1	NR5A1	0.030945731604275484
CBX2	NR0B1	0.030917667259651754
PGD2	GATA4	0.030444934703880624
DHH	WT1mKTS	0.03024602449182668
FOXL2	GATA4	0.030112243601946854
DMRT1	NR5A1	0.030015865939893478
CBX2	RSPO1	0.029903681919537236
DHH	GATA4	0.02960943527768692
AMH	GATA4	0.029484609375776818
FOXL2	CBX2	0.02910193744058715
AMH	WT1mKTS	0.028586431050117406
CTNNB1	DKK1	0.028408658682790498
FGF9	GATA4	0.028408594499016362
GATA4	WT1pKTS	0.027732894873230628
WNT4	CBX2	0.027571180776332825
PGD2	WT1mKTS	0.027127778326711222
AMH	DKK1	0.027105974378346297
DMRT1	FOXL2	0.026210388349122187
FGF9	WT1mKTS	0.025989816381023982
SOX9	RSPO1	0.02560959908016332
NR0B1	FOXL2	0.025529708377615534
FGF9	WNT4	0.024869377712563062
WT1pKTS	DMRT1	0.02486272483322366
CBX2	DKK1	0.02472867333089056
NR0B1	SRY	0.02463465541579934
CTNNB1	DMRT1	0.024108287052726277
FOXL2	SRY	0.023879067663065728
SRY	WNT4	0.023859166642238926
WNT4	DMRT1	0.023846398811903813
GATA4	CBX2	0.023831188369271786
SRY	RSPO1	0.023644651918491195
NR0B1	CBX2	0.023559073388819143
DMRT1	NR0B1	0.023439967399465394
CBX2	SRY	0.02339586267873715
WT1mKTS	NR0B1	0.023184437552833153
PGD2	CBX2	0.02308165195494544
WT1pKTS	DKK1	0.02291095991412541
GATA4	NR5A1	0.02274869836612209
FGF9	NR5A1	0.022705973685923617
CBX2	WT1pKTS	0.02229090635731785
SRY	FGF9	0.02227202068791359
DHH	UGR	0.022207119276706377
CBX2	DMRT1	0.02202923388698087
NR5A1	UGR	0.02201647999667922
GATA4	NR0B1	0.02200137797116304
SRY	DHH	0.021986010191357933
DHH	CBX2	0.021873327320067294
NR5A1	SRY	0.021457657054900478
WNT4	FGF9	0.02129374428958427
WNT4	DKK1	0.02128058770517299
DKK1	NR0B1	0.020626692429214877
PGD2	NR5A1	0.02061972773052379
WNT4	WT1pKTS	0.02060753577095254
FGF9	UGR	0.020548467883713444
CBX2	CTNNB1	0.020321972767961785
RSPO1	SOX9	0.02009745347465574
DKK1	FOXL2	0.020033524032466166
WNT4	DHH	0.019827105989089076
WNT4	AMH	0.01960191856130935
PGD2	WNT4	0.01960100492925156
AMH	NR5A1	0.01951086698347398
DHH	NR5A1	0.01938066996479507
SRY	AMH	0.019357194505652108
WT1mKTS	NR5A1	0.01931384888918224
SRY	PGD2	0.019156497136097676
AMH	SRY	0.01906457608874828
UGR	RSPO1	0.01844587893238144
SOX9	NR0B1	0.018300789250196885
PGD2	UGR	0.018146437355913137
CBX2	WNT4	0.017941459895792385
WNT4	PGD2	0.017763777260930903
SOX9	WT1pKTS	0.017477705225496593
FOXL2	NR0B1	0.017261439201313088
DHH	WNT4	0.016891653084917184
RSPO1	SRY	0.01637488382358976
WNT4	SRY	0.01609050655844585
DMRT1	RSPO1	0.015976805884091082
UGR	NR5A1	0.015905285691175237
UGR	CTNNB1	0.01548321220445388
WT1pKTS	UGR	0.015282139162163626
DKK1	RSPO1	0.01521910625815514
WT1pKTS	NR0B1	0.015166186485662604
AMH	CBX2	0.014856062314946182
AMH	UGR	0.014081772510111642
FGF9	CBX2	0.014078482318403505
NR0B1	WT1pKTS	0.014062217214040447
UGR	WT1pKTS	0.01310808399521891
WT1pKTS	WNT4	0.01300464578799122
NR5A1	DHH	0.012748554393372864
WT1mKTS	WNT4	0.012597616668441874
NR5A1	DMRT1	0.012547090318452773
NR5A1	AMH	0.012383959262368292
FGF9	RSPO1	0.012176696299570624
NR5A1	DKK1	0.012102247668347133
CBX2	FOXL2	0.011999478510359807
FOXL2	UGR	0.01183209060229555
UGR	DKK1	0.011521650507373417
NR5A1	FGF9	0.011371310780566387
CTNNB1	SOX9	0.01114463817598833
GATA4	WNT4	0.011084731679322604
AMH	WNT4	0.010973817884254826
NR5A1	PGD2	0.010911165046215606
FOXL2	DKK1	0.009738043784923675
UGR	DMRT1	0.009540973332567544
SOX9	CTNNB1	0.009476273868355194
PGD2	WT1pKTS	0.009435852813559648
RSPO1	DKK1	0.009375578736282393
WT1mKTS	FOXL2	0.009022166842477052
FOXL2	DMRT1	0.008932729676607264
UGR	FOXL2	0.00884811756544906
RSPO1	DMRT1	0.008662648699706623
PGD2	RSPO1	0.008228966250614358
SOX9	FOXL2	0.0078336031811607
FGF9	WT1pKTS	0.00781895276953961
GATA4	SRY	0.007805988238224111
WT1mKTS	SRY	0.007614007631130679
RSPO1	PGD2	0.0075379053910322675
NR0B1	SOX9	0.007498676737820367
DHH	WT1pKTS	0.007496322287400492
CBX2	SOX9	0.007277734623955536
GATA4	RSPO1	0.0072394742717659345
RSPO1	FGF9	0.00718420536524642
RSPO1	DHH	0.00703135811492724
DHH	RSPO1	0.00693237439358191
RSPO1	AMH	0.006921510404238377
AMH	RSPO1	0.006900464941894297
AMH	WT1pKTS	0.0067727430027580676
GATA4	CTNNB1	0.006401821091793514
WT1mKTS	RSPO1	0.006350225652310812
UGR	SOX9	0.006322534484305236
GATA4	FOXL2	0.0063050414066348525
NR0B1	DMRT1	0.006285482740041299
WT1mKTS	CTNNB1	0.006233139694478206
FGF9	CTNNB1	0.005992889158000078
NR0B1	DKK1	0.0052163417672858245
CBX2	AMH	0.005063910414252074
PGD2	CTNNB1	0.004918075340626964
DHH	CTNNB1	0.004803152958897212
AMH	CTNNB1	0.004566523833591995
PGD2	FOXL2	0.004543008672230986
CTNNB1	FGF9	0.004511632300872159
DHH	FOXL2	0.004508144134307279
CTNNB1	PGD2	0.004100008366111191
FGF9	FOXL2	0.00406746738738067
CTNNB1	AMH	0.004039224260845776
WT1pKTS	SOX9	0.003997675409311023
AMH	FOXL2	0.00392753287952792
UGR	FGF9	0.0038856933956809524
FOXL2	SOX9	0.0038032221185650165
CTNNB1	DHH	0.0036632369931338294
WT1mKTS	DMRT1	0.0036403069746804165
CBX2	DHH	0.0035511546730484815
UGR	AMH	0.0035455851374262292
GATA4	SOX9	0.003433887638742921
WT1mKTS	SOX9	0.00341694690719353
CBX2	FGF9	0.0033037881613393687
GATA4	DMRT1	0.003267953107547472
WT1mKTS	DKK1	0.0032665834331603427
GATA4	DKK1	0.0032036349447589056
WT1pKTS	DHH	0.003092977881088546
WT1pKTS	AMH	0.003066650134808974
GATA4	FGF9	0.002912987314841694
WT1mKTS	AMH	0.0028949905982014923
UGR	DHH	0.002881441597454845
WT1pKTS	FGF9	0.0028165640489527717
FOXL2	DHH	0.0025659398254444716
UGR	PGD2	0.0025433014642794196
FOXL2	FGF9	0.00244897625368662
WT1pKTS	PGD2	0.002418017204819557
WT1mKTS	DHH	0.0024167886110338364
GATA4	AMH	0.002414517909843523
FOXL2	AMH	0.0023996084940042595
CBX2	PGD2	0.0022565560069470907
GATA4	DHH	0.002141434842188078
WT1mKTS	FGF9	0.002037914736222643
FOXL2	PGD2	0.0019003088386081387
WT1mKTS	PGD2	0.001840662612815698
GATA4	PGD2	0.0017692623753939771
