TF	target	importance
CBX2	UGR	193.37711790654427
UGR	CBX2	186.68232042096952
WT1pKTS	FOXL2	170.02627248794604
DKK1	DMRT1	169.35010978249153
FOXL2	WT1pKTS	155.41103712947105
DMRT1	DKK1	153.462098957281
SRY	DMRT1	140.53417829263662
PGD2	FGF9	122.45296332848152
NR0B1	UGR	119.94581660274173
RSPO1	WNT4	115.0488447940189
WT1pKTS	NR5A1	114.02334280808091
GATA4	WT1mKTS	113.41277537608586
SRY	DKK1	109.3775169214339
FOXL2	NR5A1	102.5514973111235
RSPO1	CBX2	102.49354289528445
DKK1	SRY	102.45824560763997
CTNNB1	NR5A1	102.07022569625919
FOXL2	CTNNB1	101.02305433520499
CTNNB1	RSPO1	100.22515812461069
PGD2	DHH	97.85155053245612
SRY	WT1pKTS	97.53570229113728
SOX9	DMRT1	96.51780843464759
PGD2	AMH	94.86334520453113
SOX9	DKK1	93.69097427854228
DHH	AMH	93.3927589098411
AMH	DHH	92.35534499999731
CTNNB1	WNT4	90.18402480645916
FGF9	DHH	90.18226214802473
SOX9	NR5A1	89.22646088850756
FGF9	AMH	89.16888223743678
NR5A1	RSPO1	87.362476491078
CTNNB1	SRY	87.17513921707145
WNT4	RSPO1	86.41520157440586
SOX9	FGF9	86.2799820945047
AMH	PGD2	86.07070628238246
FGF9	PGD2	85.61700842496438
NR5A1	WT1pKTS	84.56590161337738
NR0B1	RSPO1	83.53487112818128
RSPO1	CTNNB1	81.0170778103422
FOXL2	RSPO1	80.92648835112142
WT1mKTS	GATA4	80.75606031598967
DMRT1	SRY	80.37899170298675
WT1pKTS	RSPO1	79.41707775082283
AMH	FGF9	79.25990816310254
WNT4	NR0B1	79.13529208614737
RSPO1	NR5A1	78.34643480269604
SOX9	AMH	76.90783922433569
WNT4	CTNNB1	75.30004129272173
DHH	DMRT1	75.27809474920831
UGR	RSPO1	74.23408022837597
DHH	PGD2	74.03627380345353
CTNNB1	FOXL2	72.96748902362012
RSPO1	NR0B1	72.88969421351618
NR0B1	WNT4	72.83262386991193
PGD2	DMRT1	72.39374732516046
WNT4	NR5A1	72.08478525345207
CTNNB1	CBX2	71.85715138279386
CTNNB1	UGR	70.82375984689915
CBX2	NR5A1	70.25885477166862
NR5A1	FOXL2	70.18857744857003
SOX9	SRY	69.42944012807328
NR5A1	CBX2	69.33756700520688
CTNNB1	DMRT1	69.21937162705407
CTNNB1	WT1pKTS	68.47470000889383
PGD2	DKK1	67.63490446871545
DHH	FGF9	64.99798317747657
WNT4	UGR	64.57800982928484
DKK1	PGD2	62.69210856561244
NR0B1	FGF9	62.64560587100938
RSPO1	UGR	62.155261906794436
AMH	SOX9	61.45236142158231
PGD2	NR0B1	61.10054880792336
SOX9	RSPO1	60.35810536132237
UGR	WT1mKTS	60.24650744280306
DKK1	AMH	59.322351319991185
SOX9	WNT4	58.81650927990139
DKK1	CBX2	58.65412495354216
SRY	NR5A1	56.99188333647627
PGD2	SOX9	55.492638153422625
NR0B1	WT1mKTS	54.44530054117303
UGR	NR0B1	53.54607204681416
AMH	DMRT1	53.381339696008666
SOX9	DHH	53.2845017961659
NR5A1	SOX9	53.021597811239275
FGF9	SOX9	52.613584099546856
UGR	GATA4	52.50801639552402
NR0B1	AMH	52.38718623818931
DKK1	UGR	52.21298518406489
SRY	CTNNB1	52.15789141874962
RSPO1	FOXL2	51.56084498778494
WT1pKTS	CTNNB1	51.48148556538586
FGF9	NR0B1	51.317442328447925
NR0B1	PGD2	51.26891400107853
FGF9	DKK1	50.35061877321246
RSPO1	WT1pKTS	49.28104863313998
SRY	UGR	49.273681332633934
AMH	DKK1	49.07868234683419
FGF9	SRY	49.054734257082856
DMRT1	CBX2	48.91420325890565
NR0B1	CTNNB1	48.42714962014124
DMRT1	WNT4	48.3882903868623
FOXL2	DKK1	48.27443911864454
CTNNB1	NR0B1	48.15615022903958
DMRT1	FGF9	48.00413788489396
UGR	WNT4	47.93949422275203
AMH	NR0B1	47.91066769071386
DKK1	DHH	47.199485026043675
FOXL2	WNT4	47.01413538678315
AMH	NR5A1	47.01090467910674
FGF9	DMRT1	46.88361203726864
NR0B1	DHH	46.318782470780576
WT1pKTS	CBX2	45.876418383753915
DHH	DKK1	45.16296442429519
DMRT1	WT1pKTS	44.821891942888385
DMRT1	SOX9	43.291850066298984
DKK1	CTNNB1	43.177674027273994
DKK1	FGF9	42.66710718444349
WT1pKTS	GATA4	42.51573972548543
SRY	FOXL2	42.07804083284507
CBX2	DKK1	41.64278395806778
UGR	SRY	40.85666485465626
NR0B1	CBX2	40.706291700600566
DKK1	WNT4	40.35539878639415
NR5A1	UGR	40.237202506355786
CBX2	WT1mKTS	40.09472810038536
WNT4	AMH	40.013563321335106
CTNNB1	DKK1	39.871123576079
NR5A1	NR0B1	39.28302165332686
WNT4	GATA4	39.193554670286254
WNT4	FOXL2	38.889744410047925
DKK1	SOX9	38.82399965827354
PGD2	WNT4	38.80608984963667
SOX9	PGD2	38.7031864713719
FGF9	WNT4	38.42031464006318
SRY	RSPO1	37.9989258271636
DHH	NR5A1	37.936118439522865
DKK1	NR5A1	37.910007345938354
CBX2	RSPO1	37.65271060346636
WT1pKTS	SRY	37.3266114316699
CTNNB1	WT1mKTS	37.1418696592439
DMRT1	PGD2	37.01157598883655
WNT4	SRY	36.94847158300105
RSPO1	SRY	36.81805783195209
FOXL2	CBX2	36.466206967963195
WNT4	FGF9	35.83104937061537
GATA4	UGR	35.698877901247506
NR5A1	PGD2	35.58203234416363
NR5A1	WT1mKTS	35.57740563462535
WT1pKTS	WT1mKTS	35.464216812203176
FGF9	NR5A1	35.45384969754859
NR0B1	GATA4	35.34545247342772
DKK1	WT1pKTS	35.09617693289347
NR5A1	DMRT1	34.79398682330793
WNT4	DKK1	34.75114350226327
NR5A1	CTNNB1	34.278434670135546
FOXL2	SRY	34.02790673965194
SRY	WNT4	33.804695481565226
GATA4	NR0B1	33.75616301066883
SOX9	CBX2	33.46771993158604
NR5A1	GATA4	33.425603674675365
UGR	NR5A1	33.272398238008805
PGD2	SRY	32.5522831244149
DHH	SOX9	32.46342596808944
WNT4	CBX2	32.185506905421434
SRY	SOX9	32.02127161419819
DHH	CBX2	31.673924744573085
WNT4	WT1mKTS	31.568042364263075
DMRT1	DHH	31.437014996615137
UGR	CTNNB1	31.03729932676126
DMRT1	NR5A1	30.992282487473418
DHH	NR0B1	30.897701966859366
PGD2	RSPO1	30.891304722684396
CBX2	DMRT1	30.715732166447197
UGR	DMRT1	30.53224225208165
SRY	CBX2	30.35837941039274
NR5A1	WNT4	29.996782408333882
CTNNB1	GATA4	29.96123833150521
SRY	GATA4	29.676543129890142
DMRT1	WT1mKTS	29.38982975420336
NR0B1	NR5A1	29.318310382949875
RSPO1	GATA4	29.00091665010176
WNT4	DMRT1	28.935826654583174
PGD2	CBX2	28.842249737342676
SRY	PGD2	28.598997275673067
CBX2	CTNNB1	28.454563004764278
DHH	SRY	28.401949932629712
RSPO1	WT1mKTS	28.26169714601286
WNT4	WT1pKTS	28.184115200712885
FOXL2	UGR	28.168952059149895
WNT4	PGD2	27.941391494654024
SOX9	WT1pKTS	27.394905247185704
NR5A1	SRY	27.13162040902867
DMRT1	AMH	26.639076275639624
DHH	UGR	26.63414958433873
WT1pKTS	DMRT1	26.44324284409951
WT1mKTS	NR0B1	26.429827204041665
WNT4	SOX9	25.878117236778255
CBX2	WT1pKTS	25.72429173948655
WT1pKTS	UGR	25.13431464248251
NR5A1	DKK1	25.022577688114023
WT1pKTS	DKK1	24.88147084535739
CBX2	SRY	24.867150527242046
DMRT1	CTNNB1	24.758828659633508
SOX9	NR0B1	24.646382143761564
SRY	AMH	24.53356290570116
RSPO1	SOX9	24.493677998256192
DKK1	WT1mKTS	24.48369673121649
AMH	SRY	24.411846380576595
CBX2	NR0B1	24.350670207789328
SRY	NR0B1	24.293864219725883
PGD2	NR5A1	24.139230636143317
DKK1	NR0B1	23.713670952802367
SRY	WT1mKTS	23.1496143217947
AMH	WNT4	23.09383384276214
AMH	UGR	22.908818321283245
CBX2	FOXL2	22.80785986405101
DKK1	GATA4	22.760464449057146
NR5A1	FGF9	22.571351690117332
NR5A1	DHH	22.561730375707064
CBX2	GATA4	22.40372153118802
DMRT1	RSPO1	22.35884202161372
SRY	FGF9	22.268254192589854
CTNNB1	PGD2	22.20418009122769
FGF9	UGR	22.062936274348978
SOX9	CTNNB1	21.945966528360756
FGF9	CBX2	21.80263837532034
DMRT1	UGR	21.755661425842536
WT1pKTS	NR0B1	21.627850416233183
RSPO1	FGF9	21.578207817823255
FOXL2	NR0B1	21.538439637694104
WT1mKTS	UGR	21.024201161266372
RSPO1	AMH	20.978346971337192
CBX2	SOX9	20.897609784727962
FOXL2	DMRT1	20.092953228345504
NR0B1	DKK1	19.6884404051768
RSPO1	DKK1	19.591357759076516
SOX9	UGR	19.588193120561257
UGR	DKK1	19.531040137100817
NR0B1	SOX9	19.41635681375585
DKK1	RSPO1	19.213784771421917
CTNNB1	FGF9	19.150077452615186
FGF9	RSPO1	18.964939670779362
WT1mKTS	CBX2	18.840658300599127
DMRT1	FOXL2	18.806868883179582
RSPO1	DMRT1	18.688810059648258
RSPO1	PGD2	18.687340838037343
WNT4	DHH	18.4371589733021
GATA4	CBX2	18.304741688308813
WT1mKTS	WNT4	18.269906957708972
SRY	DHH	18.26358701279294
GATA4	WNT4	18.097440763141677
SOX9	GATA4	18.051559918878112
NR0B1	SRY	17.941480408858112
NR0B1	FOXL2	17.655241631961594
WT1pKTS	WNT4	17.632608749835608
AMH	CBX2	17.53635393743565
FOXL2	GATA4	17.497147199421658
FGF9	CTNNB1	17.263051801245975
FOXL2	WT1mKTS	17.216145083052066
CTNNB1	SOX9	16.98980460498967
CBX2	WNT4	16.408330216412
WT1mKTS	NR5A1	16.379185287229507
FGF9	WT1pKTS	16.321869903796756
AMH	RSPO1	16.261508843159362
NR5A1	AMH	16.13581625664508
RSPO1	DHH	16.13038856773946
DKK1	FOXL2	16.00060314215884
DMRT1	GATA4	15.612004786584796
FGF9	WT1mKTS	15.470964588578097
DHH	RSPO1	15.341265992750646
CBX2	PGD2	15.315705916872304
GATA4	WT1pKTS	15.232225199495197
SOX9	FOXL2	15.165773716102464
DHH	WNT4	14.89067555745752
NR0B1	DMRT1	14.657161320334696
WT1mKTS	WT1pKTS	14.622026101394262
CTNNB1	AMH	14.42951314454441
PGD2	UGR	14.420060394159933
FGF9	GATA4	14.004004127147748
NR0B1	WT1pKTS	13.872929061195645
FGF9	FOXL2	13.780165559044757
DHH	CTNNB1	13.595797484104171
PGD2	GATA4	13.458307447627561
SOX9	WT1mKTS	13.281382860479129
AMH	WT1pKTS	12.961945423799037
CBX2	FGF9	12.807811665673302
WT1pKTS	SOX9	12.491546966845231
UGR	FOXL2	12.478418914312467
DMRT1	NR0B1	12.406541184494445
GATA4	NR5A1	12.034227937814402
WT1mKTS	SRY	11.809613741394521
GATA4	RSPO1	11.72657658028059
WT1mKTS	CTNNB1	11.663532960586602
AMH	GATA4	11.637026126004297
AMH	CTNNB1	11.36282239890569
AMH	WT1mKTS	11.238730667619064
DHH	GATA4	11.192639047205187
DHH	WT1mKTS	11.090568341924069
CBX2	AMH	11.047974614781698
UGR	DHH	11.014208504972926
WT1mKTS	DKK1	10.670812995977274
UGR	PGD2	10.397151638711678
UGR	AMH	10.341871117949085
CTNNB1	DHH	10.285137576526614
WT1mKTS	RSPO1	10.116681956761795
PGD2	CTNNB1	9.895312544243438
GATA4	DMRT1	9.783118089828413
WT1pKTS	AMH	9.608212568803138
DHH	WT1pKTS	9.563467821406565
UGR	WT1pKTS	9.41569780923066
CBX2	DHH	9.339376995506855
UGR	SOX9	8.975975608745326
WT1mKTS	DMRT1	8.798664616847754
WT1pKTS	FGF9	8.746795232271344
PGD2	WT1pKTS	8.520067940495261
FOXL2	FGF9	8.514720007396846
PGD2	WT1mKTS	8.466524574337388
AMH	FOXL2	8.265332990773388
GATA4	CTNNB1	8.160016551439108
PGD2	FOXL2	8.071858194328533
GATA4	SRY	7.409792122069841
UGR	FGF9	7.239536250901211
WT1pKTS	PGD2	7.097268641795421
WT1pKTS	DHH	6.938458409348216
FOXL2	DHH	6.828459688041683
GATA4	FGF9	6.414015598639052
WT1mKTS	AMH	6.375474479514077
GATA4	DKK1	6.3170498438281335
FOXL2	SOX9	6.191725859925521
GATA4	FOXL2	5.774989780284403
FOXL2	AMH	5.679234398746077
FOXL2	PGD2	5.619232598700983
GATA4	DHH	5.552017120421005
GATA4	AMH	5.174990810678166
WT1mKTS	FOXL2	4.486042168039958
GATA4	SOX9	4.0905688661214645
DHH	FOXL2	3.9958759649489157
WT1mKTS	FGF9	3.570493017445048
WT1mKTS	PGD2	3.130976298321768
GATA4	PGD2	3.025949324142314
WT1mKTS	SOX9	2.3938874672033283
WT1mKTS	DHH	2.0205348055577272
