Gene1	Gene2	EdgeWeight
FGF9	PGD2	0.9674079224902232
PGD2	FGF9	0.9674079224902232
FGF9	DHH	0.9654248350463672
DHH	FGF9	0.9654248350463672
DHH	PGD2	0.9651443553013276
PGD2	DHH	0.9651443553013276
PGD2	AMH	0.9607803916922224
AMH	PGD2	0.9607803916922224
AMH	FGF9	0.9605962599810056
FGF9	AMH	0.9605962599810056
AMH	DHH	0.9605275972089544
DHH	AMH	0.9605275972089544
DKK1	DMRT1	0.959897660222236
DMRT1	DKK1	0.959897660222236
RSPO1	CTNNB1	0.8894643047172152
CTNNB1	RSPO1	0.8894643047172152
PGD2	SOX9	0.8815186327668952
SOX9	PGD2	0.8815186327668952
FGF9	SOX9	0.8794126095151928
SOX9	FGF9	0.8794126095151928
DHH	SOX9	0.8784173462199119
SOX9	DHH	0.8784173462199119
WT1pKTS	FOXL2	-0.8690516440740962
FOXL2	WT1pKTS	-0.8690516440740962
SRY	DMRT1	0.8679223504818715
DMRT1	SRY	0.8679223504818715
SRY	DKK1	0.867758109461259
DKK1	SRY	0.867758109461259
AMH	SOX9	0.8662490431761567
SOX9	AMH	0.8662490431761567
FOXL2	CTNNB1	0.8431130658021765
CTNNB1	FOXL2	0.8431130658021765
SOX9	DKK1	0.8192054799008012
DKK1	SOX9	0.8192054799008012
WNT4	RSPO1	0.8182871400182692
RSPO1	WNT4	0.8182871400182692
SOX9	DMRT1	0.8110824548474167
DMRT1	SOX9	0.8110824548474167
RSPO1	NR5A1	-0.7935321531233738
NR5A1	RSPO1	-0.7935321531233738
RSPO1	FOXL2	0.7688627369024368
FOXL2	RSPO1	0.7688627369024368
NR0B1	WNT4	0.7672485328463747
WNT4	NR0B1	0.7672485328463747
CTNNB1	WNT4	0.762968463845067
WNT4	CTNNB1	0.762968463845067
UGR	CBX2	0.7534166285505625
CBX2	UGR	0.7534166285505625
NR5A1	CTNNB1	-0.7447973927255636
CTNNB1	NR5A1	-0.7447973927255636
CTNNB1	WT1pKTS	-0.742617608090649
WT1pKTS	CTNNB1	-0.742617608090649
SOX9	SRY	0.7242746352590327
SRY	SOX9	0.7242746352590327
PGD2	DKK1	0.7172555845444072
DKK1	PGD2	0.7172555845444072
FGF9	DKK1	0.7160161079317834
DKK1	FGF9	0.7160161079317834
DKK1	DHH	0.7158394774127875
DHH	DKK1	0.7158394774127875
DMRT1	PGD2	0.7126012403785275
PGD2	DMRT1	0.7126012403785275
WT1pKTS	NR5A1	0.7092379484480645
NR5A1	WT1pKTS	0.7092379484480645
DMRT1	FGF9	0.708716315564676
FGF9	DMRT1	0.708716315564676
DHH	DMRT1	0.7084494058020246
DMRT1	DHH	0.7084494058020246
DKK1	AMH	0.7081796056859639
AMH	DKK1	0.7081796056859639
FOXL2	NR5A1	-0.705683728532289
NR5A1	FOXL2	-0.705683728532289
NR0B1	RSPO1	0.7045928839491009
RSPO1	NR0B1	0.7045928839491009
DMRT1	AMH	0.7002667788361215
AMH	DMRT1	0.7002667788361215
WT1pKTS	SRY	0.6760467460365513
SRY	WT1pKTS	0.6760467460365513
RSPO1	WT1pKTS	-0.657075332378244
WT1pKTS	RSPO1	-0.657075332378244
CTNNB1	NR0B1	0.6435726400325282
NR0B1	CTNNB1	0.6435726400325282
SOX9	WNT4	-0.630404616546015
WNT4	SOX9	-0.630404616546015
PGD2	SRY	0.628941256996641
SRY	PGD2	0.628941256996641
DHH	SRY	0.6272071282803514
SRY	DHH	0.6272071282803514
FGF9	SRY	0.6260106180372025
SRY	FGF9	0.6260106180372025
WNT4	FOXL2	0.6228144163469694
FOXL2	WNT4	0.6228144163469694
AMH	SRY	0.6160725671598011
SRY	AMH	0.6160725671598011
AMH	NR0B1	-0.6112125264297799
NR0B1	AMH	-0.6112125264297799
PGD2	NR0B1	-0.6094174392957352
NR0B1	PGD2	-0.6094174392957352
FGF9	NR0B1	-0.6074352315425097
NR0B1	FGF9	-0.6074352315425097
NR0B1	DHH	-0.6055826379558895
DHH	NR0B1	-0.6055826379558895
CTNNB1	SRY	-0.601102175686467
SRY	CTNNB1	-0.601102175686467
NR5A1	WNT4	-0.5973155186924084
WNT4	NR5A1	-0.5973155186924084
NR5A1	NR0B1	-0.5868822696341321
NR0B1	NR5A1	-0.5868822696341321
NR5A1	SOX9	0.5792734136962757
SOX9	NR5A1	0.5792734136962757
DKK1	WNT4	-0.5772223982484446
WNT4	DKK1	-0.5772223982484446
DKK1	WT1pKTS	0.5711172121926799
WT1pKTS	DKK1	0.5711172121926799
WNT4	DMRT1	-0.5707248669722724
DMRT1	WNT4	-0.5707248669722724
FOXL2	SRY	-0.5697115787484902
SRY	FOXL2	-0.5697115787484902
DMRT1	WT1pKTS	0.5659656253238856
WT1pKTS	DMRT1	0.5659656253238856
WNT4	PGD2	-0.5644143042584658
PGD2	WNT4	-0.5644143042584658
WNT4	FGF9	-0.5636512550600836
FGF9	WNT4	-0.5636512550600836
WNT4	DHH	-0.5622858808902194
DHH	WNT4	-0.5622858808902194
AMH	WNT4	-0.5554886236494175
WNT4	AMH	-0.5554886236494175
DKK1	CTNNB1	-0.5547913128382745
CTNNB1	DKK1	-0.5547913128382745
CTNNB1	DMRT1	-0.553790555341971
DMRT1	CTNNB1	-0.553790555341971
SRY	NR5A1	0.5354943509314927
