Gene1	Gene2	EdgeWeight
DKK1	DMRT1	169.57012876902198
FOXL2	WT1pKTS	166.64359123945383
UGR	CBX2	120.15732558572634
CBX2	UGR	119.56744768773764
DMRT1	DKK1	118.66632030010425
FOXL2	NR5A1	115.467823764507
WT1pKTS	FOXL2	102.19260650920404
RSPO1	NR5A1	96.50707198744288
CTNNB1	NR5A1	93.06873417956928
NR0B1	RSPO1	91.61510491765485
AMH	NR0B1	89.61841880092864
SRY	DKK1	88.4510676714638
CTNNB1	FOXL2	84.17636609433697
NR0B1	WNT4	83.27435547381053
WT1pKTS	NR5A1	83.16271177431393
CTNNB1	RSPO1	78.96052750976921
WNT4	RSPO1	78.71668696121715
DMRT1	SRY	77.69935236764638
NR5A1	CBX2	77.0928910904095
SRY	DMRT1	72.74732943548138
RSPO1	WNT4	71.44825898398183
NR5A1	RSPO1	71.05276313275799
GATA4	WT1mKTS	70.89512076949366
UGR	NR0B1	69.68301093097257
UGR	WT1mKTS	69.4050148387132
RSPO1	WT1pKTS	68.8302369452268
RSPO1	CTNNB1	68.53140958883331
WT1pKTS	CBX2	68.20848618952027
SOX9	DKK1	68.18265388003256
FGF9	DHH	68.08988986458778
WT1pKTS	RSPO1	67.98749686062622
SOX9	WNT4	67.70270527408663
WNT4	NR0B1	66.09382618711726
SOX9	DMRT1	63.186473124704946
FOXL2	SRY	62.9041451229736
WNT4	CTNNB1	61.978274082321185
WT1mKTS	GATA4	59.60817672257554
CTNNB1	NR0B1	59.58705300872094
RSPO1	CBX2	57.73966828131588
CTNNB1	WNT4	57.55169619265217
FGF9	NR0B1	57.46369103460193
DMRT1	SOX9	56.58093017316814
FOXL2	CTNNB1	56.47988262751302
AMH	PGD2	56.13705865285441
NR5A1	FOXL2	55.861453978253934
NR0B1	NR5A1	55.83739052679381
CTNNB1	SRY	55.31777002700678
DKK1	SRY	53.86020941675114
RSPO1	FOXL2	52.79882463245514
NR5A1	CTNNB1	51.91479049054449
CBX2	NR5A1	51.88554203746484
AMH	WT1mKTS	51.60405053505533
PGD2	DHH	51.41614438481683
AMH	SOX9	50.997665476173395
RSPO1	SRY	50.58573999060202
PGD2	AMH	50.413381701139855
NR5A1	WT1pKTS	50.391712752501576
DMRT1	WNT4	49.61819189400816
NR5A1	UGR	49.20005544748399
PGD2	NR0B1	48.90256381599101
WT1pKTS	SRY	48.36807597472519
DHH	AMH	48.32649590776272
DKK1	CBX2	48.30224099739679
UGR	GATA4	48.11955013813876
WNT4	UGR	48.099799990947105
CTNNB1	CBX2	47.16054666228526
WNT4	NR5A1	46.97907006130603
AMH	DKK1	46.93414445432825
WT1pKTS	DKK1	46.794297628250725
PGD2	FGF9	46.71988998018995
CBX2	RSPO1	46.5934508036441
WT1pKTS	DMRT1	44.940277119217825
CTNNB1	WT1pKTS	43.92935477891818
DHH	PGD2	43.908922554875176
FOXL2	RSPO1	43.401558430142714
NR0B1	UGR	43.31391709256089
SRY	FOXL2	42.63219892850101
NR0B1	CTNNB1	41.96300932998629
WT1pKTS	GATA4	41.94861007402914
SOX9	NR0B1	41.492262039767574
WNT4	CBX2	41.09017065000519
NR5A1	WNT4	40.871928359024366
DHH	WNT4	40.74253409008849
FGF9	DMRT1	40.61573454560361
SRY	GATA4	40.45414149487423
DHH	DMRT1	40.13019562365743
WT1pKTS	CTNNB1	39.932464736261814
DKK1	CTNNB1	39.914554831702304
FOXL2	CBX2	39.63093998623228
NR0B1	CBX2	39.6087675542878
WT1mKTS	NR0B1	39.601553273367735
AMH	GATA4	39.45344324205783
PGD2	WT1mKTS	39.134415768722576
SOX9	AMH	38.94773273911406
SOX9	PGD2	38.8087486076095
DKK1	GATA4	38.79699730984844
GATA4	AMH	38.78809495846665
PGD2	WNT4	38.73295184277151
WNT4	DMRT1	38.628403607010846
SOX9	DHH	38.047102206349365
DMRT1	CBX2	37.96474317614744
FGF9	GATA4	37.94335101300335
FOXL2	DMRT1	37.91192312287766
SOX9	RSPO1	37.89521895670616
DKK1	SOX9	37.23388526784349
DHH	WT1mKTS	37.060469129233745
FOXL2	DKK1	37.00376458117457
UGR	CTNNB1	36.95951057145281
SRY	RSPO1	36.85432677472868
SOX9	FGF9	36.82758091465902
RSPO1	NR0B1	36.82480670627828
DHH	FGF9	36.64762157236328
NR5A1	SRY	36.63343200580067
WNT4	FOXL2	36.086302495385354
RSPO1	DKK1	35.93766305947512
CBX2	NR0B1	35.767067225822636
NR5A1	NR0B1	35.71725431493415
RSPO1	UGR	35.60748700721869
WNT4	SRY	35.59498678776325
DKK1	WT1mKTS	35.335571650326244
WNT4	DKK1	34.97286103658939
SRY	WT1pKTS	34.79223687376409
CTNNB1	UGR	34.64206795639549
SRY	NR5A1	34.628410596395696
DHH	GATA4	34.282333489856576
SOX9	GATA4	34.04323989441406
GATA4	NR0B1	33.925956613823125
WT1mKTS	DKK1	33.85024082282783
UGR	SRY	33.51303999939088
AMH	FGF9	33.24293302894173
GATA4	WNT4	33.09871970806974
GATA4	DKK1	33.073297590968444
CBX2	CTNNB1	32.93377189244894
FGF9	PGD2	32.9336242653415
DHH	NR0B1	32.872161552005615
GATA4	DMRT1	32.451502136714666
DKK1	WNT4	32.38097337715847
SRY	CTNNB1	32.305449803788825
DHH	SOX9	32.09350383728679
CTNNB1	DMRT1	31.346639102618244
GATA4	FGF9	31.240561050394824
FGF9	WT1mKTS	31.205879050563993
SRY	UGR	31.152270936784124
SOX9	WT1mKTS	30.892148888313653
