Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	0.3515337418423843
DMRT1	DKK1	0.3175683100627643
DKK1	DMRT1	0.3083474446057958
WT1pKTS	FOXL2	0.2673532803693502
CBX2	UGR	0.2620554994494745
RSPO1	CTNNB1	0.2517138083606844
CTNNB1	RSPO1	0.2343115039476468
UGR	CBX2	0.2179138550894193
DHH	PGD2	0.2151589975549834
FOXL2	NR5A1	0.2139796621185695
PGD2	FGF9	0.2014683689597316
PGD2	DHH	0.1904362717501359
WNT4	NR0B1	0.1897341364894287
DHH	AMH	0.1894378442939035
NR5A1	RSPO1	0.1883532085855763
NR5A1	CBX2	0.1865437560397438
CTNNB1	FOXL2	0.1862238178217919
PGD2	AMH	0.1855073592032626
DHH	FGF9	0.1814682311545749
FGF9	PGD2	0.1797279811362381
GATA4	WT1mKTS	0.1773128391826681
FGF9	DHH	0.1751959215752257
RSPO1	NR5A1	0.1707429559813906
NR0B1	WNT4	0.1691801658440179
SRY	DMRT1	0.1671947450055279
SRY	DKK1	0.1658821775832354
DKK1	SRY	0.1649332129626328
DKK1	SOX9	0.1602786714277145
WNT4	RSPO1	0.1579319858316338
WT1mKTS	GATA4	0.157341971715193
SOX9	WNT4	0.1565997115152968
DMRT1	SRY	0.1553549039213882
UGR	WT1mKTS	0.1532914594896627
UGR	GATA4	0.1527748100038569
AMH	DHH	0.1524113617159484
RSPO1	WNT4	0.1489442278442109
FGF9	AMH	0.1485372612798314
WNT4	CTNNB1	0.1479824740722981
WT1pKTS	NR5A1	0.1475941086788508
AMH	FGF9	0.1435257388302085
DMRT1	SOX9	0.1419609802757667
NR5A1	WT1pKTS	0.1414287060875782
RSPO1	FOXL2	0.1361366623133796
AMH	PGD2	0.1316899697538003
FOXL2	CTNNB1	0.1311491727168447
CTNNB1	WT1pKTS	0.1266781487467256
SOX9	DMRT1	0.1159588913540726
PGD2	SOX9	0.1144787126200557
SOX9	DKK1	0.1142830102133268
AMH	NR0B1	0.1133885561565826
CTNNB1	NR5A1	0.1128620946884067
NR5A1	UGR	0.1107807269078849
NR5A1	FOXL2	0.1055225619673081
DHH	GATA4	0.1050869706691999
CTNNB1	SRY	0.1032030460862371
PGD2	GATA4	0.1027234242810765
PGD2	WT1mKTS	0.1018607932297946
NR5A1	CTNNB1	0.1012905415591535
SOX9	FGF9	0.1007569597398942
UGR	NR0B1	0.1005840962962339
RSPO1	WT1pKTS	0.1004259777890568
DHH	SOX9	0.0993548197046936
SOX9	PGD2	0.0975815996619371
FOXL2	SRY	0.0962509045644711
SOX9	DHH	0.0910039339603623
DHH	WT1mKTS	0.0907503720896327
SOX9	AMH	0.0833013165956798
FGF9	SOX9	0.082857707795653
CTNNB1	WNT4	0.0804290999063076
PGD2	NR0B1	0.0803510842311811
WT1pKTS	CBX2	0.0786317909785149
FGF9	WNT4	0.0780356531065024
FGF9	NR0B1	0.0779217306569183
NR0B1	RSPO1	0.0750920396236401
FGF9	WT1mKTS	0.0749283929386764
FGF9	GATA4	0.0747639145560644
RSPO1	NR0B1	0.0745463094818218
SRY	FOXL2	0.0737471311649808
NR0B1	UGR	0.0718291026137116
RSPO1	CBX2	0.0693910168785835
AMH	GATA4	0.0687441381317287
UGR	SRY	0.068112659850066
GATA4	DHH	0.0680801512210527
AMH	WT1mKTS	0.0675486325540405
DHH	NR0B1	0.0670978243421723
CTNNB1	CBX2	0.0664871261905163
GATA4	FGF9	0.0661385051971841
GATA4	AMH	0.0661349499322897
SRY	UGR	0.065847060845307
WT1pKTS	CTNNB1	0.0655774630096506
WT1pKTS	SRY	0.0655674146254056
DKK1	CBX2	0.0633461745936595
WNT4	SOX9	0.0622492141150298
WNT4	UGR	0.0617214462234512
FOXL2	RSPO1	0.061707418100289
GATA4	PGD2	0.0598748417038161
AMH	SOX9	0.0570647381328395
RSPO1	SRY	0.0563343902322125
WT1pKTS	UGR	0.0562404119908169
UGR	WNT4	0.0557747468635407
