Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	184.7688577341804
FOXL2	NR5A1	134.261273997171
UGR	CBX2	125.09798415940028
DKK1	DMRT1	120.93428907470552
RSPO1	NR5A1	111.65300471
CTNNB1	RSPO1	106.42944245415131
DMRT1	DKK1	105.26718636006184
NR0B1	WNT4	105.04955170976582
WT1pKTS	FOXL2	100.45479668320944
SRY	DKK1	96.9181804376428
NR5A1	WT1pKTS	92.09835163787857
CBX2	UGR	90.5158851286184
NR5A1	RSPO1	89.27200099938536
GATA4	WT1mKTS	88.83074418128531
UGR	WT1mKTS	87.11038767890668
WNT4	RSPO1	85.82435241735955
DMRT1	SRY	85.33709305768673
CTNNB1	SRY	83.75562669591054
NR5A1	CBX2	79.5613032938376
FOXL2	CTNNB1	77.55062019473417
SRY	DMRT1	77.44732561100648
CTNNB1	NR5A1	75.69237169424117
NR5A1	FOXL2	75.40633859357156
RSPO1	CTNNB1	75.0602273973293
DHH	WT1mKTS	73.13872467844955
NR0B1	RSPO1	72.21302493869773
SOX9	DMRT1	71.57402460743853
CTNNB1	WNT4	68.86987242727218
SOX9	WNT4	67.35402870352245
WT1pKTS	SRY	67.0663411753755
FOXL2	SRY	64.16687754305349
RSPO1	WT1pKTS	63.57278118660955
DKK1	SOX9	63.17849605547546
RSPO1	WNT4	61.86615080773525
FGF9	PGD2	59.98789245053622
CBX2	RSPO1	58.59873752490044
CTNNB1	FOXL2	58.581310434851574
DHH	FGF9	58.55227933797113
AMH	DHH	58.34845023142058
WT1pKTS	CBX2	58.30733659548699
AMH	FGF9	58.08941523666497
NR5A1	CTNNB1	56.54384094471097
UGR	NR0B1	55.793124692328945
RSPO1	UGR	55.71188767003556
DHH	NR0B1	55.71085257196418
DKK1	WT1mKTS	55.48526181235694
CTNNB1	CBX2	55.32103954973391
WT1pKTS	CTNNB1	55.075402741187226
WT1pKTS	NR5A1	54.880248129316726
FGF9	NR0B1	54.43411454355121
PGD2	NR0B1	54.11482137168606
NR5A1	WNT4	53.71259795976278
NR5A1	UGR	51.61991034705987
DKK1	SRY	51.01325616816682
AMH	WNT4	50.64972726677289
WNT4	NR0B1	50.5639918878769
SOX9	RSPO1	50.37764701559106
SRY	FOXL2	50.24496143123478
AMH	PGD2	50.157421494906615
DHH	PGD2	50.13044885199984
SOX9	DKK1	49.62051687704693
CTNNB1	WT1pKTS	49.56004100453671
FGF9	DKK1	48.8297115206988
RSPO1	CBX2	48.74038470979774
RSPO1	FOXL2	47.43172665234176
PGD2	WT1mKTS	47.27987650527918
FGF9	WNT4	47.18699858435505
DKK1	GATA4	47.05769493183211
GATA4	SRY	46.61663452846839
UGR	GATA4	46.28553203583241
WT1pKTS	RSPO1	45.94148254558869
NR0B1	CTNNB1	45.854152888495925
DMRT1	CBX2	45.77211405353569
UGR	RSPO1	45.29528022929174
RSPO1	SOX9	45.29378632558649
FOXL2	RSPO1	44.82512629651843
AMH	WT1mKTS	44.31471777233382
WNT4	NR5A1	44.08296844816043
PGD2	DHH	43.51818433497179
WT1mKTS	SRY	43.441297964038114
CBX2	NR5A1	42.80277680193794
SOX9	GATA4	42.7544857711079
RSPO1	DKK1	42.63020117830612
DKK1	WNT4	42.501247568132264
WNT4	SRY	42.42456148754432
FOXL2	WT1mKTS	41.853077761201
AMH	NR0B1	41.68077613364577
NR0B1	FGF9	41.451595988032174
PGD2	AMH	41.32687606699423
FGF9	WT1mKTS	41.12597942869179
NR5A1	SRY	41.02756369271106
WNT4	CBX2	40.19025293891104
CBX2	NR0B1	39.90347518792456
FOXL2	CBX2	39.633607110894
FGF9	SOX9	39.326594296513534
DMRT1	WT1mKTS	39.32346586211936
CTNNB1	DKK1	38.981023173678565
AMH	GATA4	38.86408737568345
FGF9	AMH	38.75305104203548
WNT4	SOX9	38.63598384031262
RSPO1	SRY	38.248967568297104
FGF9	DHH	38.22323640260738
DMRT1	FOXL2	38.18499790520982
FGF9	GATA4	38.01144598332751
PGD2	RSPO1	37.94884597919045
NR0B1	UGR	37.84881089313621
WT1pKTS	WT1mKTS	37.771441169935336
SOX9	CBX2	37.74614307860617
WT1mKTS	NR0B1	37.744708670585666
WNT4	FOXL2	37.73934669066693
DMRT1	SOX9	37.58236874305051
SOX9	FGF9	37.253210155810706
SRY	NR5A1	37.206018697697054
NR0B1	PGD2	36.90230275281186
RSPO1	NR0B1	36.81884070918923
