TF	target	importance
FOXL2	WT1pKTS	158.97118525263994
DKK1	DMRT1	125.53691620600793
WT1pKTS	FOXL2	116.66317034717656
UGR	CBX2	111.41445850946286
DMRT1	DKK1	110.37690839506804
FOXL2	NR5A1	100.81245809473265
NR5A1	CBX2	96.65678500704371
CBX2	UGR	92.86677052414964
SRY	DKK1	89.46634460354547
RSPO1	NR5A1	85.91360672106524
WT1pKTS	NR5A1	85.5199747679336
CTNNB1	WT1pKTS	84.97330335052999
NR0B1	WNT4	81.58327280301421
CTNNB1	RSPO1	76.45660572758376
CTNNB1	NR5A1	75.76069634799167
NR5A1	WT1pKTS	74.50012542819039
CTNNB1	SRY	72.01754333870254
WNT4	RSPO1	71.92537867481946
DMRT1	SRY	69.96652991533362
RSPO1	CBX2	67.27787044435739
SRY	DMRT1	67.2125993494832
WNT4	NR0B1	67.11336765347252
UGR	NR0B1	65.49860890750134
SRY	WT1pKTS	64.43917136968638
DHH	AMH	62.53678800404643
CTNNB1	FOXL2	62.20784744716174
NR5A1	CTNNB1	62.08050797711196
NR5A1	RSPO1	61.98552968181068
FGF9	SOX9	61.677085856198644
DKK1	SRY	61.44853038984653
RSPO1	SRY	60.946597624775244
RSPO1	WT1pKTS	60.7506575075374
WT1pKTS	CBX2	60.15247415438547
FGF9	AMH	59.59712012013958
RSPO1	CTNNB1	58.878472132183504
GATA4	WT1mKTS	58.3257882557341
NR5A1	FOXL2	56.80296791467757
CTNNB1	CBX2	56.58764320350545
PGD2	FGF9	55.92216297622326
FOXL2	SRY	54.75569637187892
WNT4	NR5A1	54.5410076372773
GATA4	DKK1	51.565113635345234
DHH	NR0B1	51.21132944262377
PGD2	NR0B1	51.13580316848462
CBX2	WT1pKTS	50.94180052184848
SOX9	WNT4	50.16080873438902
FGF9	DHH	49.66498640237663
RSPO1	FOXL2	49.42595748497849
WNT4	DKK1	49.38364679281339
PGD2	WNT4	49.05358611828401
WT1pKTS	CTNNB1	48.84844412554342
NR5A1	UGR	48.45072844985624
SOX9	DKK1	47.82196215052459
RSPO1	NR0B1	47.200539961284285
WNT4	UGR	46.97853909510416
RSPO1	WNT4	46.877076093497415
DHH	WNT4	46.392186762759664
FGF9	NR0B1	46.38108164541701
