Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.8544864687157382
RSPO1	CTNNB1	0.8544864687157382
DKK1	DMRT1	0.8511556006505498
DMRT1	DKK1	0.8511556006505498
GATA4	WT1mKTS	0.8201305863114341
WT1mKTS	GATA4	0.8201305863114341
WT1pKTS	FOXL2	-0.8099500623930196
FOXL2	WT1pKTS	-0.8099500623930196
DHH	PGD2	0.7711393471927412
PGD2	DHH	0.7711393471927412
PGD2	FGF9	0.7707259928266323
FGF9	PGD2	0.7707259928266323
FOXL2	NR5A1	-0.7695832794928564
NR5A1	FOXL2	-0.7695832794928564
DHH	FGF9	0.7677916011008706
FGF9	DHH	0.7677916011008706
PGD2	AMH	0.7666746579042355
AMH	PGD2	0.7666746579042355
RSPO1	WNT4	0.7642158656662134
WNT4	RSPO1	0.7642158656662134
WNT4	NR0B1	0.760245546330253
NR0B1	WNT4	0.760245546330253
DHH	AMH	0.7564764939127041
AMH	DHH	0.7564764939127041
CTNNB1	FOXL2	0.7554001522661206
FOXL2	CTNNB1	0.7554001522661206
WT1pKTS	NR5A1	0.754512177988761
NR5A1	WT1pKTS	0.754512177988761
AMH	FGF9	0.7527008938366193
FGF9	AMH	0.7527008938366193
RSPO1	NR5A1	-0.7482238053577716
NR5A1	RSPO1	-0.7482238053577716
CTNNB1	WNT4	0.7441067123306603
WNT4	CTNNB1	0.7441067123306603
DKK1	SRY	0.7370475234840469
SRY	DKK1	0.7370475234840469
DMRT1	SRY	0.7223202510849394
SRY	DMRT1	0.7223202510849394
UGR	CBX2	0.72175055135643
CBX2	UGR	0.72175055135643
NR5A1	CTNNB1	-0.7203545284288686
CTNNB1	NR5A1	-0.7203545284288686
SOX9	DKK1	0.709536201758065
DKK1	SOX9	0.709536201758065
FOXL2	SRY	-0.7055262925621669
SRY	FOXL2	-0.7055262925621669
WNT4	SOX9	-0.7039738449705673
SOX9	WNT4	-0.7039738449705673
DMRT1	SOX9	0.7005002950180649
SOX9	DMRT1	0.7005002950180649
PGD2	SOX9	0.6883160763637003
SOX9	PGD2	0.6883160763637003
RSPO1	FOXL2	0.6874372742829357
FOXL2	RSPO1	0.6874372742829357
FGF9	SOX9	0.6831507715924227
SOX9	FGF9	0.6831507715924227
PGD2	WNT4	-0.6815640730903985
WNT4	PGD2	-0.6815640730903985
SOX9	DHH	0.6756593588012785
DHH	SOX9	0.6756593588012785
WNT4	FGF9	-0.6747843053388308
FGF9	WNT4	-0.6747843053388308
WNT4	DHH	-0.6631079990461141
DHH	WNT4	-0.6631079990461141
WT1pKTS	CTNNB1	-0.658193810903039
CTNNB1	WT1pKTS	-0.658193810903039
NR0B1	RSPO1	0.6525699401793075
RSPO1	NR0B1	0.6525699401793075
AMH	WNT4	-0.6500557739067355
WNT4	AMH	-0.6500557739067355
AMH	SOX9	0.6436568644202229
SOX9	AMH	0.6436568644202229
NR0B1	AMH	-0.6271455711631293
AMH	NR0B1	-0.6271455711631293
PGD2	NR0B1	-0.6177200025060422
NR0B1	PGD2	-0.6177200025060422
NR0B1	CTNNB1	0.615250524721867
CTNNB1	NR0B1	0.615250524721867
NR0B1	FGF9	-0.6072452823585118
FGF9	NR0B1	-0.6072452823585118
DHH	NR0B1	-0.6035470783645553
NR0B1	DHH	-0.6035470783645553
DMRT1	WNT4	-0.6004104959870645
WNT4	DMRT1	-0.6004104959870645
WT1pKTS	RSPO1	-0.600140634685368
RSPO1	WT1pKTS	-0.600140634685368
CTNNB1	SRY	-0.5987339491398689
SRY	CTNNB1	-0.5987339491398689
DKK1	WNT4	-0.5908992877952817
WNT4	DKK1	-0.5908992877952817
SOX9	SRY	0.5899633676451762
SRY	SOX9	0.5899633676451762
DKK1	FOXL2	-0.5809177796355353
FOXL2	DKK1	-0.5809177796355353
SRY	WT1pKTS	0.5691467454601163
WT1pKTS	SRY	0.5691467454601163
RSPO1	SOX9	-0.5689300228887338
SOX9	RSPO1	-0.5689300228887338
FOXL2	DMRT1	-0.5626754915678662
DMRT1	FOXL2	-0.5626754915678662
NR5A1	WNT4	-0.5595468019356827
WNT4	NR5A1	-0.5595468019356827
CTNNB1	SOX9	-0.5574163351900255
SOX9	CTNNB1	-0.5574163351900255
WNT4	FOXL2	0.5567041736732063
FOXL2	WNT4	0.5567041736732063
FGF9	RSPO1	-0.5513823776295596
RSPO1	FGF9	-0.5513823776295596
DKK1	CTNNB1	-0.5510438611229562
CTNNB1	DKK1	-0.5510438611229562
CTNNB1	DMRT1	-0.5478914005536398
DMRT1	CTNNB1	-0.5478914005536398
DKK1	PGD2	0.5455920834730973
PGD2	DKK1	0.5455920834730973
DHH	RSPO1	-0.5400313534632655
RSPO1	DHH	-0.5400313534632655
DMRT1	PGD2	0.5392236055626488
PGD2	DMRT1	0.5392236055626488
FGF9	DMRT1	0.5359508398187709
DMRT1	FGF9	0.5359508398187709
RSPO1	PGD2	-0.5340875668182954
PGD2	RSPO1	-0.5340875668182954
FGF9	DKK1	0.5248382812893176
DKK1	FGF9	0.5248382812893176
RSPO1	AMH	-0.5229254800254294
AMH	RSPO1	-0.5229254800254294
NR5A1	NR0B1	-0.521920633735195
NR0B1	NR5A1	-0.521920633735195
RSPO1	SRY	-0.5213901298219547
SRY	RSPO1	-0.5213901298219547
AMH	DKK1	0.5179970048356527
DKK1	AMH	0.5179970048356527
DHH	DKK1	0.5150857037302503
DKK1	DHH	0.5150857037302503
AMH	DMRT1	0.5128124979082085
DMRT1	AMH	0.5128124979082085
DHH	DMRT1	0.5102889276607967
DMRT1	DHH	0.5102889276607967
PGD2	CTNNB1	-0.5023486431460344
CTNNB1	PGD2	-0.5023486431460344
NR5A1	SRY	0.5008663234647488
SRY	NR5A1	0.5008663234647488
SOX9	FOXL2	-0.4930013313045523
FOXL2	SOX9	-0.4930013313045523
CTNNB1	FGF9	-0.4927081526936329
FGF9	CTNNB1	-0.4927081526936329
AMH	CTNNB1	-0.4926064016109069
CTNNB1	AMH	-0.4926064016109069
NR0B1	SOX9	-0.4900618294065994
SOX9	NR0B1	-0.4900618294065994
CTNNB1	DHH	-0.4886872106603427
DHH	CTNNB1	-0.4886872106603427
GATA4	FGF9	-0.4847196154308509
FGF9	GATA4	-0.4847196154308509
GATA4	SOX9	-0.4835273751159863
SOX9	GATA4	-0.4835273751159863
GATA4	PGD2	-0.483063945976714
PGD2	GATA4	-0.483063945976714
AMH	GATA4	-0.4777427490323204
GATA4	AMH	-0.4777427490323204
DHH	GATA4	-0.4775977103403835
GATA4	DHH	-0.4775977103403835
WT1mKTS	PGD2	-0.4725529847276545
PGD2	WT1mKTS	-0.4725529847276545
FGF9	WT1mKTS	-0.4718343682045878
WT1mKTS	FGF9	-0.4718343682045878
SOX9	WT1mKTS	-0.4626336521114129
WT1mKTS	SOX9	-0.4626336521114129
WT1mKTS	AMH	-0.4618500302657266
AMH	WT1mKTS	-0.4618500302657266
DHH	WT1mKTS	-0.4613495664696063
WT1mKTS	DHH	-0.4613495664696063
SRY	WNT4	-0.4592768968867162
WNT4	SRY	-0.4592768968867162
NR0B1	FOXL2	0.4576174859716176
FOXL2	NR0B1	0.4576174859716176
RSPO1	DKK1	-0.4515281447731244
DKK1	RSPO1	-0.4515281447731244
WNT4	WT1pKTS	-0.4510021083351799
WT1pKTS	WNT4	-0.4510021083351799
GATA4	DKK1	-0.4478677317436089
DKK1	GATA4	-0.4478677317436089
NR5A1	CBX2	0.4473991137002386
CBX2	NR5A1	0.4473991137002386
