	DMRT1	FGF9	RSPO1	DHH	CTNNB1	PGD2	WT1mKTS	SRY	DKK1	WNT4	CBX2	AMH	NR0B1	NR5A1	WT1pKTS	FOXL2	UGR	SOX9	GATA4
DMRT1	1.0	0.5354561490301204	-0.45141963331571866	0.5213674411742719	-0.5439592240819329	0.5514982592404358	-0.43302010146089526	0.7088990977918104	0.8407117786962206	-0.6020015736424521	-0.3054107610045916	0.513504109802397	-0.36693671346438705	0.2936871646373043	0.39793528455578137	-0.5518696415801129	-0.28560094058361724	0.7112354747967516	-0.4615994722580302
FGF9	0.5354561490301204	1.0	-0.5544685686621007	0.7597935165523476	-0.4957364353120719	0.7693736155705038	-0.4828786465233456	0.4196598728026821	0.5325029575890011	-0.6759714949424674	-0.2758733062608293	0.7475311853773695	-0.6085029232619297	0.3285806073709036	0.2115016733868453	-0.3592978059905724	-0.16427509987930286	0.6813309898344856	-0.4926624657159674
RSPO1	-0.45141963331571866	-0.5544685686621007	1.0	-0.5502335797979321	0.8592598232473602	-0.5511897238529503	0.2656243346497273	-0.5216640867284548	-0.4605604487546883	0.7650540290057105	-0.28479180243725477	-0.5366951441274176	0.6531424320398782	-0.7356110168841814	-0.6054815704157976	0.6921391762498242	-0.30702898964226405	-0.5783171648502465	0.25321307009216165
DHH	0.5213674411742719	0.7597935165523476	-0.5502335797979321	1.0	-0.4932180715630903	0.7627216268170812	-0.46960400930703483	0.4104344633014624	0.529060616408368	-0.6680067065290938	-0.2611314576232385	0.7525157317633641	-0.603728715489117	0.3305155272422736	0.21541601098165603	-0.35596813164356433	-0.16221678196579206	0.6770418262415551	-0.4917802372318343
CTNNB1	-0.5439592240819329	-0.4957364353120719	0.8592598232473602	-0.4932180715630903	1.0	-0.5117196216365518	0.25484181938360434	-0.5837584597486694	-0.5438078417684399	0.753729849318443	-0.28017655927038276	-0.4943093696795096	0.6166337439996203	-0.7175866872769556	-0.6595005917230041	0.7460909877190981	-0.30074343740702403	-0.5688869665237132	0.24816281458575887
PGD2	0.5514982592404358	0.7693736155705038	-0.5511897238529503	0.7627216268170812	-0.5117196216365518	1.0	-0.4894894057581124	0.4490061483927044	0.5549778061790476	-0.6857702917368865	-0.27812327119334296	0.7704685287364469	-0.6140859649730059	0.34189835964726006	0.2428417892160694	-0.3874045454060491	-0.18096540918489354	0.6934356800687946	-0.49352967614699733
WT1mKTS	-0.43302010146089526	-0.4828786465233456	0.2656243346497273	-0.46960400930703483	0.25484181938360434	-0.4894894057581124	1.0	-0.393246089831306	-0.4465156962296647	0.35893058705107855	0.20028873312827128	-0.47031373234858626	0.3020242683331762	-0.15475334758187229	-0.10197210260485777	0.2386996942707788	0.06222636940084371	-0.47710759794246876	0.7886543251754718
SRY	0.7088990977918104	0.4196598728026821	-0.5216640867284548	0.4104344633014624	-0.5837584597486694	0.4490061483927044	-0.393246089831306	1.0	0.7262892125861607	-0.4536347058862972	-0.06914288813151097	0.40862943410857966	-0.23634100163987729	0.488235166193377	0.5642636538485871	-0.6984293315397351	-0.20826684171529222	0.6016678663669784	-0.3802102077548646
DKK1	0.8407117786962206	0.5325029575890011	-0.4605604487546883	0.529060616408368	-0.5438078417684399	0.5549778061790476	-0.4465156962296647	0.7262892125861607	1.0	-0.5919970168010092	-0.30752469288013873	0.5234089059035801	-0.3671192319502368	0.3137683188231403	0.40074778620002005	-0.5668802803009177	-0.2795375691940154	0.7218623335124631	-0.457111561124681
WNT4	-0.6020015736424521	-0.6759714949424674	0.7650540290057105	-0.6680067065290938	0.753729849318443	-0.6857702917368865	0.35893058705107855	-0.4536347058862972	-0.5919970168010092	1.0	-0.007769685238594412	-0.6551631060034582	0.7630663433267192	-0.5505671727479482	-0.4528935676603144	0.5617194275842828	-0.13784504073050632	-0.6989113063185701	0.36663773817116563
