TF	target	importance
WT1pKTS	FOXL2	0.32219257864589684
DKK1	DMRT1	0.31591139861370876
DMRT1	DKK1	0.30882024614438397
FOXL2	WT1pKTS	0.29676860683701933
UGR	CBX2	0.28315045474900263
CTNNB1	RSPO1	0.2643583642215653
CBX2	UGR	0.26217651058976793
PGD2	FGF9	0.2566089849654761
PGD2	AMH	0.24212656666608515
DKK1	SRY	0.23876742724355038
RSPO1	CTNNB1	0.23259373415431017
FGF9	PGD2	0.23207091934116206
DHH	FGF9	0.22881320519705486
DMRT1	SRY	0.22402211560533758
RSPO1	WNT4	0.22330039951047964
FGF9	DHH	0.21918451940583533
PGD2	DHH	0.21882245434233213
DHH	PGD2	0.21749310593368668
DHH	AMH	0.213637781594166
AMH	DHH	0.20848578390940992
RSPO1	NR5A1	0.20816158882082286
FOXL2	CTNNB1	0.2031357346772039
FGF9	SOX9	0.2006730792310012
SRY	DMRT1	0.1995428282213563
SRY	DKK1	0.1920317720587356
FGF9	AMH	0.1893792559286851
CTNNB1	FOXL2	0.18865360180675472
AMH	PGD2	0.18595873525657888
WNT4	RSPO1	0.17418245566293478
GATA4	WT1mKTS	0.17369492708984216
WNT4	NR0B1	0.17314948291690552
PGD2	SOX9	0.17110845016718365
DHH	SOX9	0.1695861681288526
WT1mKTS	GATA4	0.1660081533612803
CTNNB1	WNT4	0.16600048679577228
AMH	FGF9	0.1630698522928604
NR0B1	WNT4	0.15765674583030928
NR5A1	FOXL2	0.14855522991254158
SRY	UGR	0.14803111278463077
RSPO1	NR0B1	0.14383221555535883
SOX9	DKK1	0.13961940189725572
CTNNB1	WT1pKTS	0.13700960521787267
NR5A1	RSPO1	0.13517532999125922
SOX9	DMRT1	0.13406445840722336
FOXL2	NR5A1	0.13044001739183655
FOXL2	RSPO1	0.1279429946737698
SOX9	DHH	0.12724041667713398
SOX9	PGD2	0.12199764013976076
NR5A1	WT1pKTS	0.12010433067747556
CTNNB1	NR5A1	0.11841178572671858
SOX9	FGF9	0.11661591695325546
AMH	SOX9	0.11542919163298027
SRY	WT1pKTS	0.1153772695536372
SOX9	AMH	0.10605633521560956
NR5A1	CTNNB1	0.10430849592323056
WT1pKTS	WT1mKTS	0.10235897845801167
SOX9	SRY	0.10234653049193845
WNT4	CTNNB1	0.10107486579100296
WT1pKTS	NR5A1	0.09972502680811651
RSPO1	FOXL2	0.09813468683277156
UGR	GATA4	0.09675969647865534
UGR	WT1mKTS	0.09597982949234826
WT1pKTS	CTNNB1	0.09400651235285579
NR0B1	UGR	0.09233933788596448
CTNNB1	NR0B1	0.09133902941724453
NR5A1	CBX2	0.08678303007315974
DKK1	SOX9	0.08573574641447206
DKK1	CBX2	0.08553993265180457
WT1pKTS	SRY	0.08397016607420654
WT1pKTS	GATA4	0.08072799793109331
NR5A1	GATA4	0.07973803949541279
UGR	NR0B1	0.07748309054147487
DMRT1	CBX2	0.07538866585369854
RSPO1	CBX2	0.07435121972883207
AMH	NR0B1	0.07369621005593294
NR0B1	GATA4	0.0734916659043848
CBX2	WT1mKTS	0.07326758151786433
NR5A1	WT1mKTS	0.07124210022180022
FGF9	DKK1	0.07076816058465486
WNT4	UGR	0.06998127433459359
NR0B1	RSPO1	0.06822368546582096
SOX9	WNT4	0.06768520441729411
RSPO1	WT1pKTS	0.0660458018209087
DMRT1	SOX9	0.06596140701749072
FOXL2	WNT4	0.06253327879220524
FGF9	DMRT1	0.06253089592017093
NR0B1	WT1mKTS	0.06251399663907106
DHH	DMRT1	0.06247041727421888
NR5A1	NR0B1	0.06238501503315548
CBX2	GATA4	0.062145577172132586
NR5A1	WNT4	0.060952277180277285
DKK1	FGF9	0.05989326260486711
NR0B1	AMH	0.05945177077958233
SOX9	NR5A1	0.05840364966398529
SRY	FOXL2	0.05716113223658754
SRY	NR0B1	0.05674015458340083
RSPO1	UGR	0.056543763573777654
PGD2	NR0B1	0.05536586001861959
DKK1	PGD2	0.05535474156634589
CTNNB1	CBX2	0.05431602277065246
DKK1	AMH	0.05353549562069404
DHH	DKK1	0.05324858941517629
DMRT1	PGD2	0.05315542808402388
WNT4	GATA4	0.053073604075656006
SRY	CTNNB1	0.05280383955889651
SRY	GATA4	0.052186967591083905
DMRT1	DHH	0.05201715138764585
PGD2	DKK1	0.051388540604384005
SRY	NR5A1	0.05058662234762418
WNT4	WT1mKTS	0.05035703639672058
DMRT1	AMH	0.049758866340455815
WT1pKTS	RSPO1	0.04961435438057647
PGD2	DMRT1	0.049410910364440855
WNT4	FOXL2	0.0488491025393256
DHH	NR0B1	0.04869387158747926
NR0B1	NR5A1	0.0485066282177986
DKK1	CTNNB1	0.04795962428079243
DMRT1	UGR	0.04756984374538851
CBX2	NR5A1	0.047262060849297884
DKK1	UGR	0.04662834915646512
DMRT1	FGF9	0.04634167741691717
SRY	SOX9	0.04574931813548718
FGF9	SRY	0.04523454223545551
SRY	WT1mKTS	0.04506838561950708
FGF9	NR0B1	0.044874284678114953
DKK1	DHH	0.04467952442853873
NR0B1	DHH	0.044561275139446306
NR5A1	SOX9	0.04416852962509952
NR0B1	PGD2	0.04415605892875917
SOX9	CBX2	0.04385909476038177
NR0B1	CTNNB1	0.043708437563143444
UGR	WNT4	0.04240323538153642
DMRT1	WT1pKTS	0.041652628634012985
DKK1	WT1pKTS	0.041640580511348745
DKK1	WNT4	0.04103795146101115
SRY	CBX2	0.04102722779625628
DMRT1	CTNNB1	0.04058547245690638
GATA4	UGR	0.04032237311712283
DMRT1	WT1mKTS	0.040253981594725916
NR0B1	FGF9	0.04010458807005651
WT1pKTS	CBX2	0.04007491500585289
DHH	SRY	0.04007110363562904
WNT4	NR5A1	0.0399501001403477
WT1mKTS	UGR	0.03899722679771011
CTNNB1	SRY	0.0389433128894486
RSPO1	GATA4	0.03893451490395126
CTNNB1	GATA4	0.03868852535832796
AMH	DMRT1	0.038264241102581455
AMH	DKK1	0.0380484294735496
SOX9	UGR	0.037201715258970036
CTNNB1	UGR	0.03699809545179997
DKK1	WT1mKTS	0.03695155513805915
DKK1	GATA4	0.03690582611463242
CTNNB1	WT1mKTS	0.03679013111613212
RSPO1	WT1mKTS	0.0365468889227014
DMRT1	GATA4	0.036529322280935646
PGD2	SRY	0.03626308194526609
WT1mKTS	WT1pKTS	0.036135294791249134
WNT4	SOX9	0.03529872723044742
SOX9	GATA4	0.03499541514406279
DMRT1	WNT4	0.03467592772473969
WT1mKTS	CBX2	0.03434307396906218
CBX2	NR0B1	0.032557272369011035
FOXL2	WT1mKTS	0.0319774222034116
PGD2	GATA4	0.031360293810907575
DMRT1	NR5A1	0.031111022601352074
SOX9	WT1mKTS	0.031065712209374593
DHH	GATA4	0.030251738438796104
DKK1	NR5A1	0.030143556842048117
FOXL2	GATA4	0.030108867161351978
UGR	SRY	0.029374124572964035
FGF9	GATA4	0.02911748828097579
DHH	WT1mKTS	0.029110730996437663
AMH	GATA4	0.028976306496359395
AMH	WT1mKTS	0.028856401370957827
FOXL2	CBX2	0.028664821827871174
CBX2	RSPO1	0.027947873250080055
WNT4	CBX2	0.027785074530801077
WNT4	DKK1	0.027501535445721436
SOX9	RSPO1	0.027442709873568644
PGD2	WT1mKTS	0.027393590987366892
