TF	target	importance
DKK1	DMRT1	236.3453161514355
FOXL2	WT1pKTS	187.31813350925256
UGR	CBX2	161.86304968422493
DMRT1	DKK1	156.85361923794565
WT1pKTS	FOXL2	154.07255906389392
SRY	DKK1	132.13223738144472
DMRT1	SRY	121.87130631212064
NR5A1	FOXL2	121.82407335363389
FOXL2	RSPO1	121.51849229205102
CTNNB1	FOXL2	111.75694859795946
SRY	DMRT1	108.1764617608739
AMH	DKK1	107.16268185536019
RSPO1	WNT4	105.59551246586153
AMH	PGD2	104.96749702597005
RSPO1	NR5A1	102.1829388950611
FGF9	PGD2	100.78341650632593
WNT4	NR0B1	98.71821746040197
RSPO1	FOXL2	97.77205762830299
DHH	PGD2	95.25552907860748
CBX2	UGR	95.10686856238392
CTNNB1	WT1pKTS	94.53072690297066
GATA4	WT1mKTS	93.38066140677009
DKK1	SRY	92.58643978744885
PGD2	FGF9	90.55605004666882
SRY	WT1pKTS	90.32724031900237
CTNNB1	RSPO1	89.29100554428406
PGD2	DHH	87.94977929958551
AMH	FGF9	85.96607722250393
RSPO1	CBX2	84.25472756313977
SOX9	DKK1	84.02617207701327
NR0B1	WNT4	82.83792196978497
WNT4	UGR	81.81875852001707
FOXL2	NR5A1	81.81422863387473
NR5A1	CBX2	81.35083741282757
NR5A1	WT1pKTS	80.9233728201273
SRY	FOXL2	80.32380355736211
WT1pKTS	NR5A1	79.96310765576459
AMH	DMRT1	79.181135678276
PGD2	AMH	79.05887812377502
WT1pKTS	SRY	78.92068709333823
SOX9	AMH	78.29335318819557
NR0B1	UGR	77.17506561437406
RSPO1	CTNNB1	75.49793248198422
FGF9	AMH	74.67319880201269
SRY	NR5A1	74.27620422254883
CTNNB1	WNT4	73.48383314153406
WT1mKTS	GATA4	73.43929087651108
WNT4	RSPO1	73.18893767162018
FGF9	DHH	72.4597344198258
RSPO1	NR0B1	72.4217071691148
NR5A1	RSPO1	72.31923371962628
SOX9	PGD2	71.81074404620293
AMH	DHH	71.60648995820272
FGF9	NR0B1	71.43146939373314
CTNNB1	CBX2	71.39691122941014
DKK1	WNT4	69.496767628478
SOX9	DMRT1	68.52884103710346
NR0B1	RSPO1	66.91073113143217
DHH	FGF9	66.41066351163623
SOX9	FGF9	66.09177014757829
CTNNB1	NR5A1	65.1538533678724
CTNNB1	SRY	64.93145502401234
RSPO1	WT1pKTS	63.75540470089953
DKK1	CBX2	62.944277959667865
NR5A1	CTNNB1	62.91998945054126
SRY	UGR	62.570224070124446
PGD2	SOX9	61.24139323050423
CTNNB1	UGR	60.3990299956401
SOX9	DHH	60.27592056724015
FOXL2	CTNNB1	59.36540561419258
NR0B1	CTNNB1	58.276519733454414
PGD2	SRY	57.846275840974805
UGR	RSPO1	56.03124395503599
UGR	NR0B1	56.0112575402682
RSPO1	UGR	55.8561046090835
WT1pKTS	CTNNB1	55.24527107617855
SOX9	NR5A1	54.84189241094171
DKK1	UGR	54.414691335137036
WT1pKTS	CBX2	54.08292644259664
FOXL2	SRY	54.020453599599456
UGR	WT1mKTS	53.79646686208138
AMH	SOX9	53.58372034573773
SRY	CBX2	53.517916915272444
UGR	SRY	53.47934916451376
FGF9	DMRT1	52.95615814347985
DHH	AMH	52.95412221199686
SOX9	SRY	52.897362460148614
CTNNB1	DKK1	51.822831939107985
DMRT1	CBX2	51.74859943433887
DMRT1	WNT4	51.367077536890996
UGR	GATA4	50.984793173595335
CBX2	RSPO1	50.73746314899797
SRY	CTNNB1	50.21544633659099
NR0B1	NR5A1	49.47352276834847
DKK1	SOX9	49.10587248661462
FOXL2	CBX2	48.99830519506295
WNT4	NR5A1	48.806346754379675
WNT4	DKK1	48.78354722953242
WNT4	CTNNB1	48.69388515788145
FGF9	WNT4	48.58176418808091
DMRT1	WT1pKTS	47.997097653713716
PGD2	DMRT1	47.73211747883901
CTNNB1	NR0B1	46.79382478947394
UGR	WNT4	46.74823615473235
NR0B1	DHH	46.553706186839996
WT1pKTS	DMRT1	45.694758012286016
DKK1	PGD2	45.25310099901971
WNT4	DMRT1	45.21808325541381
