Gene1	Gene2	EdgeWeight
DKK1	DMRT1	0.3315297825149109
FOXL2	WT1pKTS	0.3001941002668317
DMRT1	DKK1	0.2980924205149108
WT1pKTS	FOXL2	0.2659955503757811
RSPO1	CTNNB1	0.256555408541999
CBX2	UGR	0.2311647244086837
DHH	PGD2	0.2219981878277062
PGD2	DHH	0.2202426251759061
CTNNB1	RSPO1	0.2194747618224184
FGF9	PGD2	0.2051661293652292
PGD2	FGF9	0.2017205156768423
FGF9	DHH	0.1999885248264447
NR5A1	RSPO1	0.1989564730179054
RSPO1	NR5A1	0.1949346008690051
PGD2	AMH	0.1933917033439614
FGF9	AMH	0.1877967952846636
DKK1	SOX9	0.1877781759263695
CTNNB1	FOXL2	0.1869012522791825
DHH	FGF9	0.1859056922936255
SOX9	WNT4	0.1818968595723501
DHH	AMH	0.1779409474637312
WNT4	CTNNB1	0.1764653095715222
CTNNB1	WT1pKTS	0.1708406138690052
NR5A1	CBX2	0.1696259626186466
FOXL2	NR5A1	0.1686897009970537
DMRT1	SOX9	0.1686603908777356
AMH	FGF9	0.16796599929138
UGR	CBX2	0.1668819388026607
AMH	NR0B1	0.1614629198914484
NR0B1	WNT4	0.1576158327751915
SRY	DKK1	0.1477398054230055
WNT4	RSPO1	0.146361403110062
AMH	DHH	0.1438042028418506
PGD2	GATA4	0.1401237599011503
RSPO1	WNT4	0.1396827426253843
AMH	PGD2	0.139080996625193
SRY	DMRT1	0.1385525440898525
NR5A1	UGR	0.1367103302652909
PGD2	WT1mKTS	0.1353868560907769
DMRT1	SRY	0.1346689156813678
WNT4	NR0B1	0.1343395738703322
WT1pKTS	NR5A1	0.1328774578674629
DHH	GATA4	0.1318494435890065
RSPO1	FOXL2	0.1283925970731583
DHH	NR0B1	0.1271195896559477
FOXL2	SRY	0.1261471910884856
CTNNB1	NR5A1	0.1199081347529846
DKK1	SRY	0.1195420807546032
SOX9	DMRT1	0.1182908613313853
DHH	WT1mKTS	0.1170296727694762
FGF9	GATA4	0.1159011164889735
SOX9	DKK1	0.1152641047898689
SOX9	PGD2	0.1135197623843459
FGF9	WT1mKTS	0.1131240707849168
CTNNB1	SRY	0.1089487037656789
NR5A1	WT1pKTS	0.1076243540964362
FOXL2	CTNNB1	0.1073936767699706
RSPO1	WT1pKTS	0.1049971397400032
SOX9	DHH	0.1010088729911106
NR5A1	FOXL2	0.1002090691569175
SOX9	AMH	0.097059995953964
AMH	WT1mKTS	0.0962922943732235
SOX9	FGF9	0.0955756342019118
PGD2	NR0B1	0.0944096018020411
WT1pKTS	SRY	0.0917083127780663
UGR	NR0B1	0.0880645640498114
WT1pKTS	CBX2	0.0880128961542719
SOX9	GATA4	0.0871431216192385
SRY	WT1pKTS	0.0858384957773044
DHH	SOX9	0.0851618004583466
PGD2	SOX9	0.0844627655974789
UGR	SRY	0.0838118659071001
NR5A1	CTNNB1	0.0836742475402717
DKK1	CBX2	0.0815165364372
DMRT1	CBX2	0.0813862377417966
SRY	FOXL2	0.0787176841221331
PGD2	WNT4	0.0775696683296596
AMH	GATA4	0.0772164783823154
SOX9	WT1mKTS	0.0767680624871847
FGF9	SOX9	0.0766034581036377
FGF9	NR0B1	0.0752924979963638
NR0B1	UGR	0.0720996458058627
WT1pKTS	CTNNB1	0.0714029291651399
WT1pKTS	UGR	0.0681432833170182
NR0B1	RSPO1	0.0678894014554586
FOXL2	RSPO1	0.067517320873642
DHH	WNT4	0.0648880376175763
GATA4	AMH	0.0634568464942866
DMRT1	GATA4	0.0631188885895007
SRY	WT1mKTS	0.0626623227411319
GATA4	FGF9	0.0619746936790362
FGF9	WNT4	0.0617188045083193
CTNNB1	DKK1	0.0614553378942617
DKK1	GATA4	0.061312777891088
WNT4	SOX9	0.0612942220177996
DKK1	WT1mKTS	0.060892768278449
SOX9	RSPO1	0.0606113131544811
NR0B1	NR5A1	0.0596859098773973
NR0B1	DHH	0.0594981165667411
CTNNB1	CBX2	0.0592055089811466
NR0B1	AMH	0.0587316447565669
SRY	UGR	0.0584862641134753
RSPO1	CBX2	0.058260198746674
AMH	SOX9	0.0578255073111032
CBX2	DKK1	0.0565883100893965
NR5A1	SOX9	0.0565459475891319
CTNNB1	WNT4	0.0556886396743242
RSPO1	UGR	0.0555615273194615
DMRT1	UGR	0.0543482487627978
DMRT1	WT1mKTS	0.0535200387090546
CTNNB1	DMRT1	0.0522518515456125
SRY	GATA4	0.0516213405036972
CTNNB1	UGR	0.0516182476869793
WNT4	UGR	0.0514005041328872
DKK1	UGR	0.0502788935600965
WNT4	NR5A1	0.0490356093326492
GATA4	DKK1	0.0488090027667566
NR0B1	FGF9	0.0479907199870917
NR0B1	CTNNB1	0.0475662259434574
RSPO1	SRY	0.0474067146842616
NR5A1	NR0B1	0.047330193007984
WNT4	FOXL2	0.0467693267493712
CBX2	SRY	0.0463654423204298
CBX2	DMRT1	0.0463239188103968
GATA4	DHH	0.0461265640046326
WNT4	FGF9	0.0459135814371023
RSPO1	SOX9	0.0458779695528883
RSPO1	NR0B1	0.0450989354468343
WT1mKTS	FGF9	0.0447493286407003
WT1mKTS	PGD2	0.0446185381444671
WNT4	PGD2	0.0445226496553786
DKK1	CTNNB1	0.0444919072957641
SOX9	NR5A1	0.0444854701290692
GATA4	PGD2	0.0439302218950397
DMRT1	CTNNB1	0.0427753307169274
NR5A1	SRY	0.0424571018642581
UGR	WNT4	0.042438586883577
WNT4	WT1pKTS	0.0423256965617658
WT1pKTS	RSPO1	0.042171590578292
SRY	NR5A1	0.0415482724384811
SOX9	SRY	0.0413545504678133
CBX2	NR5A1	0.040781406119802
WT1mKTS	GATA4	0.0407003043098444
WNT4	SRY	0.0404972213351928
DKK1	WNT4	0.0403682949512978
SOX9	CBX2	0.0403502722230927
WT1mKTS	AMH	0.0393780001593825
NR0B1	PGD2	0.0391051903745207
SRY	SOX9	0.0390912931290182
GATA4	DMRT1	0.03892299868497
WNT4	DHH	0.0385828419162375
