	AMH	CBX2	CTNNB1	DHH	DKK1	DMRT1	FGF9	FOXL2	GATA4	NR0B1	NR5A1	PGD2	RSPO1	SOX9	SRY	UGR	WNT4	WT1mKTS	WT1pKTS
E801_438	7.4861704905	1.2808795328	2.8139932239	7.547117177	9.9269237319	9.6925874529	8.1886308158	2.7110190869	10.1163828243	9.935943508	10.3505902114	8.0386743507	5.0915801876	9.6231082635	10.1609106309	1.3193454373	3.2102734783	9.9492139198	9.8423117118
E1_769	9.4907283433	0.891170433	1.5833966754	9.9621852352	9.7524923199	9.751585028	9.3824089572	3.8871297447	9.7840519695	4.8447746361	9.7306618883	9.7386820168	3.1757013475	9.6478068971	9.6256332345	4.1506361206	2.3136305452	9.2288739065	10.0390949448
E1795_733	3.7420658994	2.8208482386	10.3902416128	2.9803208184	3.5417175042	1.2486231604	0.8816123775	10.7259024864	10.3366031525	10.5005364363	1.5965052831	4.9213514655	10.5147261762	0.3864403206	6.6170258725	0.7131453897	10.40784003	10.2732230042	1.9376924799
E645_767	9.5829990359	0.0519002786	2.6160303622	9.9849203963	9.5908528279	9.565200141	9.6237477963	2.219552559	9.6005285273	2.8418599233	9.3604005977	9.7598430528	5.4244895812	9.4342807193	10.0697730568	2.1444731673	2.287985139	9.9760592312	9.598988506
E487_58	4.8483033299	10.9146965028	0.4979131577	2.5099226318	3.376945821	4.309485637	1.6233685568	5.3021185931	10.7196876479	5.0894654917	10.5193773954	1.7390103509	4.3965940543	1.7384097109	0.9059316733	10.0600221186	8.8752826876	10.6580649713	10.6521616204
E284_5	4.1623897805	10.8549866751	3.8626585399	3.2254616451	5.5501361788	4.6121971355	5.063498314	3.647604949	10.2418363722	1.4683052651	10.6134008652	3.5652252221	3.0516375157	5.7132118793	5.5525680861	11.3893274103	0.3375862794	10.209379622	10.2765570046
E1797_596	0.4980507191	3.3929611661	10.8482331491	1.917671189	3.1667781209	3.2277292166	5.2583492879	10.3950261217	9.9831167964	10.4903970301	2.7200625682	1.1258297621	10.408852424	3.3849584655	2.0322027782	2.7344420428	10.2699313559	10.7118687615	2.2144256167
E1058_571	9.7214101043	3.2160676922	2.45933928	10.1607574315	9.412149808	9.6626257677	9.2347422002	2.2548602266	9.6346583736	5.3800251147	9.6050032229	9.6250521008	2.0324974481	9.815616643	9.6827084989	2.199446257	2.2608267533	9.5954837986	9.9676299927
E426_671	0.5490286618	3.9261176961	10.5614986886	0.6423741506	3.318777616	2.7654763964	3.8732456373	10.1291300656	10.4285137089	10.4933217606	5.0832198228	5.725536344	10.5314570987	4.6821965317	4.2029858009	4.2789581671	10.3643472819	10.5883454621	4.9275725945
E1421_298	0.7139959602	4.8265337364	4.6289474062	2.296800718	10.4849020586	10.636215208	0.6996431333	4.9677921958	10.0712242188	10.1357236193	9.3648046202	3.0230914733	2.5035448192	8.507557891	10.3096744206	4.9779337816	1.8334038897	9.9697006348	10.4061341805
E1342_303	4.5808000868	0.2281444182	2.3675415609	2.7946210277	10.5990695197	10.5602025649	4.6157372369	2.8513627926	10.171043613	10.1607655476	3.7536719292	3.4514735573	7.8832356896	3.7484979027	10.5059939433	4.2220859723	6.6555411719	10.5663584545	10.2615775631
E1838_217	4.5855319085	4.8481472167	5.5791564946	2.7484569968	10.049571472	10.0990241419	0.6532682095	2.1109165715	10.0442327168	9.9802298416	8.5500574834	3.7612827715	9.02324413	8.9686787302	10.0273881736	2.9445019838	9.6320878522	10.2602851075	10.2315653717
E1205_441	2.8218982547	6.0030550192	1.8884415928	1.8839107336	10.0660252515	9.9919376285	2.6614468673	3.8116845536	10.1147902344	10.111060822	9.6586890878	2.3371836792	3.6671979213	10.0496998154	9.8213203366	3.2199727313	2.8741267837	10.5286534169	10.3778110161
E243_17	1.8456284408	10.7626367583	1.5241893688	5.7019309948	3.6103380087	4.65569733	2.4870861577	5.088911282	10.4997474087	4.9635838206	10.81573118	2.5042694747	3.5964065892	0.2746989939	1.4331975546	10.605057977	4.5903064759	10.9346515712	10.3486783365
E1297_71	2.3060655616	10.7351925609	0.5188738834	0.5410892572	0.8151868355	1.1371109221	1.4196571435	3.5601229193	10.0449955978	9.4630137725	10.4378803659	5.435030861	2.9866431598	4.3735141253	3.3717379765	10.1132771545	10.0259167132	10.4997828222	10.5102145617
E955_615	9.2673340091	1.2899228074	3.4688290099	9.8824448152	9.8390065009	9.9825094347	9.0555317905	3.5158068169	9.6679672305	6.371455408	9.8033266911	9.7596410535	2.8560635239	9.8770405304	9.7720994523	1.3960708667	2.0455218556	9.5516546441	9.5284548419
E1249_687	9.6013654026	4.0093717228	2.4583963249	9.8263952214	9.4547253625	10.0097915424	9.6673382096	1.9561167177	9.8552279858	4.4795473273	9.748810098	9.5626005258	2.9817533354	9.732615478	9.4786787378	3.8825224744	2.7266247205	9.5595219829	9.7310951204
E911_206	4.9026438551	9.0935578268	4.5897011916	1.3326148181	9.896724971	9.5967320748	3.0228535429	0.3370919695	10.1199782777	9.5664430228	9.5974656939	5.1209096285	7.4904910192	8.9943484667	10.0643084171	4.3930721949	10.3136351567	9.7051555968	10.1161559323
E356_143	4.4240089066	10.6261132148	6.0516276053	3.0177438982	2.345908473	2.014280598	1.7416373765	3.7908698584	10.2437446765	10.0893355409	10.0848902871	2.4557033187	5.3080118562	1.4855934923	10.187205702	2.8954635547	10.108219147	10.4168707533	10.271855636
E585_315	1.7301812173	3.2751036164	5.2293895623	2.7558445975	10.369859948	10.3575822304	4.9007145026	5.2675236093	10.3502717148	10.2717821519	9.0006362152	2.9941962391	4.9168344204	8.336560688	10.3486891475	3.9912484962	6.8038637879	10.5598571724	9.8164081784
E1875_274	3.5587478601	5.7377255106	5.3866103935	3.4042815946	9.687326184	10.041888475	0.8812079459	2.3574527611	10.3541328894	9.9215274344	9.0728941732	2.578053174	9.7015644937	2.5556120046	10.138587951	1.6364123321	9.9619565658	9.9715162689	10.2555275976
E1395_781	1.0882096067	1.4245765082	10.6203271124	5.018430004	2.8125605461	2.8866241716	5.0074241707	10.7946640275	10.6812206364	10.1579742581	5.4267937108	4.5459698313	10.3697033809	2.7768905037	1.2488745375	3.327815332	10.2161808262	10.1988675354	4.737196129
E64_718	9.9512699207	3.321503734	0.5936232314	9.93560159	9.7413454698	9.8278763836	9.560770948	1.0100011902	9.2769167553	6.3231778274	9.6836563812	9.4150142306	2.9748691089	9.5338098628	9.9715356225	2.9200195372	2.4930838595	9.5282442945	9.6547502687
E1582_573	5.6473382025	2.3870519874	10.3779850028	0.8015238179	0.2018549496	3.8885097625	2.5014982831	10.4608481773	10.7172037389	10.0018057656	1.3559079142	1.7203884914	10.6607023481	1.1355193888	3.3972022858	1.5149561704	10.6045512437	10.3334447473	1.9853902854
E395_752	5.756884048	3.7297504767	10.7154368587	3.4054406074	6.4311815345	3.3506098444	3.7577626349	10.6397190454	10.4195020419	10.3826565976	5.2916265692	4.7510127255	10.3538964233	0.2090822088	0.4028109992	4.4887639946	10.1823867342	10.3216948028	3.0262633414
