Gene1	Gene2	EdgeWeight
WNT4	SRY	360
WT1mKTS	RSPO1	360
WT1pKTS	WT1pKTS	359
DHH	DHH	359
CBX2	UGR	358
SRY	FOXL2	358
UGR	DMRT1	357
WT1pKTS	RSPO1	357
GATA4	RSPO1	356
UGR	UGR	355
CBX2	CBX2	355
CTNNB1	UGR	354
CTNNB1	FOXL2	354
SRY	CTNNB1	353
FOXL2	WNT4	353
UGR	SRY	352
NR5A1	UGR	351
WT1mKTS	WNT4	351
AMH	NR0B1	350
CTNNB1	DMRT1	350
CBX2	FOXL2	349
AMH	AMH	349
RSPO1	RSPO1	348
NR5A1	CTNNB1	348
RSPO1	UGR	347
NR5A1	DHH	347
FGF9	FGF9	346
DKK1	AMH	346
PGD2	PGD2	345
WT1pKTS	DMRT1	345
GATA4	DKK1	344
SOX9	RSPO1	344
CTNNB1	RSPO1	343
NR0B1	WNT4	343
WT1mKTS	FOXL2	342
WT1mKTS	DKK1	342
CTNNB1	PGD2	341
GATA4	FOXL2	341
WT1mKTS	AMH	340
DHH	WNT4	340
FOXL2	DKK1	339
NR0B1	SRY	338
NR5A1	FOXL2	338
NR5A1	NR5A1	337
SOX9	SOX9	337
FGF9	NR0B1	336
PGD2	DHH	336
DKK1	CBX2	335
WT1pKTS	FOXL2	335
FGF9	WNT4	334
WT1mKTS	FGF9	334
CTNNB1	SRY	333
WT1mKTS	CTNNB1	333
WT1pKTS	WNT4	332
RSPO1	SRY	332
SOX9	DMRT1	331
RSPO1	WNT4	331
SRY	SRY	330
RSPO1	CTNNB1	329
WNT4	UGR	329
DKK1	FOXL2	328
GATA4	NR0B1	328
WT1mKTS	NR0B1	327
FOXL2	FOXL2	327
FGF9	DKK1	326
PGD2	NR0B1	326
PGD2	RSPO1	325
DHH	NR0B1	325
GATA4	WNT4	324
DMRT1	DKK1	324
DMRT1	CTNNB1	323
WT1pKTS	NR0B1	322
UGR	FGF9	322
DKK1	CTNNB1	321
PGD2	AMH	321
DHH	FGF9	320
UGR	NR5A1	319
DMRT1	SRY	319
DKK1	UGR	318
CBX2	WNT4	318
NR0B1	DKK1	317
CTNNB1	DKK1	317
WT1pKTS	PGD2	316
NR0B1	UGR	315
SOX9	NR0B1	314
FGF9	RSPO1	314
WNT4	CBX2	313
CTNNB1	DHH	312
FGF9	FOXL2	312
FGF9	SOX9	311
SOX9	PGD2	310
SOX9	DKK1	310
FOXL2	SRY	309
WNT4	NR0B1	309
SRY	AMH	308
NR5A1	RSPO1	307
NR0B1	CTNNB1	307
GATA4	PGD2	306
FOXL2	CTNNB1	306
WNT4	NR5A1	305
WT1pKTS	DKK1	305
WNT4	WNT4	304
NR0B1	FGF9	304
SRY	PGD2	303
NR5A1	WT1pKTS	302
WNT4	PGD2	302
GATA4	CTNNB1	301
SOX9	SRY	301
NR5A1	CBX2	300
DMRT1	CBX2	299
DMRT1	FOXL2	298
FGF9	CTNNB1	298
GATA4	CBX2	297
CBX2	CTNNB1	297
AMH	SOX9	296
NR5A1	WNT4	296
AMH	FGF9	295
CBX2	RSPO1	295
FOXL2	DHH	294
CBX2	SRY	293
RSPO1	NR5A1	292
UGR	CBX2	291
WT1pKTS	UGR	290
WT1mKTS	PGD2	290
AMH	FOXL2	289
DKK1	SRY	289
UGR	RSPO1	288
PGD2	FGF9	288
WNT4	WT1mKTS	287
RSPO1	NR0B1	286
UGR	DHH	285
SOX9	WNT4	285
DKK1	WNT4	284
DKK1	DKK1	284
NR0B1	FOXL2	283
AMH	CBX2	282
GATA4	UGR	281
CBX2	NR0B1	281
SRY	DMRT1	279
DHH	DMRT1	279
RSPO1	CBX2	278
NR0B1	CBX2	277
FOXL2	NR0B1	277
SOX9	FGF9	276
DMRT1	UGR	275
NR5A1	SOX9	274
DKK1	NR5A1	274
RSPO1	DMRT1	273
AMH	RSPO1	272
CTNNB1	WNT4	272
FOXL2	FGF9	271
WNT4	DKK1	269
WNT4	RSPO1	268
DMRT1	RSPO1	267
DHH	SRY	266
AMH	DHH	266
PGD2	WNT4	265
DHH	AMH	265
UGR	DKK1	264
DMRT1	WNT4	264
PGD2	DKK1	263
DKK1	DHH	263
NR5A1	AMH	262
UGR	WNT4	262
DKK1	NR0B1	261
NR0B1	WT1mKTS	260
FGF9	CBX2	259
SRY	WT1pKTS	259
SOX9	DHH	258
FGF9	UGR	257
FOXL2	RSPO1	256
CTNNB1	CTNNB1	256
DHH	UGR	255
WNT4	CTNNB1	254
DHH	FOXL2	254
AMH	WNT4	253
SRY	RSPO1	253
RSPO1	DKK1	251
FOXL2	WT1pKTS	251
WT1pKTS	NR5A1	250
DHH	CBX2	250
DHH	PGD2	249
FOXL2	UGR	249
WNT4	WT1pKTS	248
PGD2	DMRT1	248
NR0B1	NR0B1	246
DHH	RSPO1	245
WT1mKTS	DMRT1	245
AMH	SRY	244
WT1pKTS	GATA4	242
NR0B1	PGD2	242
GATA4	DHH	241
CBX2	DMRT1	240
DKK1	RSPO1	240
AMH	PGD2	238
DHH	NR5A1	236
SRY	NR0B1	236
CBX2	AMH	235
SOX9	UGR	234
SRY	UGR	234
FOXL2	PGD2	233
WT1pKTS	CBX2	232
UGR	FOXL2	231
AMH	DMRT1	229
PGD2	FOXL2	229
SRY	DHH	228
CBX2	FGF9	227
FOXL2	DMRT1	225
SOX9	AMH	225
RSPO1	AMH	224
FGF9	DHH	224
