Gene1	Gene2	EdgeWeight
WNT4	SRY	360
WT1pKTS	WT1pKTS	359
SRY	FOXL2	358
UGR	DMRT1	357
CBX2	UGR	356
UGR	UGR	355
CTNNB1	FOXL2	354
FOXL2	WNT4	353
UGR	SRY	352
NR5A1	UGR	351
CTNNB1	DMRT1	350
CBX2	FOXL2	349
RSPO1	RSPO1	348
NR5A1	DHH	347
DKK1	AMH	346
WT1pKTS	DMRT1	345
GATA4	DKK1	344
NR0B1	WNT4	343
WT1mKTS	DKK1	342
CTNNB1	PGD2	341
WT1mKTS	AMH	340
FOXL2	DKK1	339
NR5A1	FOXL2	338
NR5A1	NR5A1	337
PGD2	DHH	336
WT1pKTS	FOXL2	335
WT1mKTS	FGF9	334
WT1mKTS	CTNNB1	333
RSPO1	SRY	332
SOX9	DMRT1	331
NR0B1	SRY	330
WNT4	UGR	329
DKK1	FOXL2	328
FOXL2	FOXL2	327
FGF9	DKK1	326
PGD2	RSPO1	325
DMRT1	DKK1	324
FGF9	WNT4	323
UGR	FGF9	322
PGD2	AMH	321
DHH	FGF9	320
UGR	NR5A1	319
CBX2	WNT4	318
NR0B1	DKK1	317
CBX2	CBX2	316
NR0B1	UGR	315
SOX9	NR0B1	314
WNT4	CBX2	313
CTNNB1	DHH	312
FGF9	SOX9	311
SOX9	PGD2	310
WNT4	NR0B1	309
SRY	AMH	308
NR0B1	CTNNB1	307
FOXL2	CTNNB1	306
WNT4	NR5A1	305
NR0B1	FGF9	304
DMRT1	SRY	303
NR5A1	WT1pKTS	302
GATA4	CTNNB1	301
NR5A1	CBX2	300
DHH	DHH	299
FGF9	CTNNB1	298
GATA4	CBX2	297
AMH	SOX9	296
AMH	FGF9	295
FOXL2	DHH	294
CBX2	SRY	293
DHH	WNT4	292
UGR	CBX2	291
WT1pKTS	UGR	290
DKK1	SRY	289
UGR	RSPO1	288
WNT4	WT1mKTS	287
NR5A1	CTNNB1	286
UGR	DHH	285
DKK1	WNT4	284
AMH	NR0B1	283
AMH	CBX2	282
GATA4	UGR	281
PGD2	FGF9	280
DHH	DMRT1	279
RSPO1	CBX2	278
NR0B1	CBX2	277
FGF9	FGF9	276
DMRT1	UGR	275
DKK1	NR5A1	274
WT1mKTS	RSPO1	273
AMH	RSPO1	272
FOXL2	FGF9	271
CTNNB1	RSPO1	270
RSPO1	WNT4	269
AMH	AMH	268
GATA4	WNT4	267
DHH	SRY	266
DHH	AMH	265
DMRT1	WNT4	264
PGD2	DKK1	263
NR5A1	AMH	262
SRY	SRY	261
NR0B1	WT1mKTS	260
SRY	WT1pKTS	259
SOX9	DHH	258
PGD2	PGD2	257
CTNNB1	CTNNB1	256
CTNNB1	UGR	255
WNT4	CTNNB1	254
AMH	WNT4	253
DMRT1	RSPO1	252
FOXL2	WT1pKTS	251
WT1pKTS	NR5A1	250
DHH	PGD2	249
WNT4	WT1pKTS	248
WNT4	RSPO1	247
PGD2	WNT4	246
WT1mKTS	DMRT1	245
RSPO1	DMRT1	244
DKK1	NR0B1	243
WT1pKTS	GATA4	242
GATA4	DHH	241
CBX2	DMRT1	240
SOX9	WNT4	239
AMH	PGD2	238
RSPO1	NR5A1	237
