TF	target	importance
DKK1	DMRT1	145.68782410235343
FOXL2	WT1pKTS	144.71449161808508
CTNNB1	WT1pKTS	112.28800220394895
DMRT1	DKK1	109.27817102802682
CTNNB1	RSPO1	107.42387684861404
CBX2	UGR	106.47231390581244
SOX9	DMRT1	87.26679962985375
RSPO1	NR5A1	85.3598313974532
RSPO1	CTNNB1	82.45318417019692
WT1pKTS	FOXL2	82.34195357806936
NR5A1	CBX2	82.28195447669059
WT1pKTS	NR5A1	81.18683359731014
CTNNB1	NR5A1	79.89646709733418
UGR	CBX2	76.21491990088079
FOXL2	SRY	75.64792239842613
SRY	DMRT1	75.11620988660565
NR5A1	RSPO1	73.56283548955089
WT1pKTS	SRY	73.15238744707807
DKK1	SOX9	71.853524171545
FOXL2	NR5A1	70.07704323616089
SOX9	WNT4	69.64224756922647
RSPO1	WNT4	66.59102473884664
SRY	WT1pKTS	66.19075348297041
CTNNB1	SRY	65.65057409078422
NR5A1	FOXL2	64.37804191542976
DMRT1	SRY	62.820213215923154
DKK1	SRY	62.76289915013154
WNT4	NR0B1	62.22981269874626
SRY	DKK1	61.65436389479814
WNT4	SOX9	60.94624867849571
PGD2	WNT4	60.32906900139368
NR0B1	WNT4	59.047453544205986
SRY	SOX9	58.47610324339338
CTNNB1	FOXL2	58.28020433917787
AMH	NR0B1	57.95812734815372
DKK1	CBX2	55.996025770447744
DHH	AMH	55.265623480301656
RSPO1	WT1pKTS	54.728056391675146
WNT4	RSPO1	54.16746890672787
DMRT1	SOX9	53.95905654149573
WNT4	CTNNB1	53.95894066376732
AMH	WNT4	53.488348432140135
FGF9	PGD2	53.40119214903919
DHH	FGF9	53.10917932868617
GATA4	SOX9	52.856843298981055
FGF9	WT1mKTS	52.63091298051424
NR5A1	UGR	52.61078127780382
SRY	WT1mKTS	51.617447333529654
WT1pKTS	CTNNB1	51.605833518261974
DMRT1	CBX2	51.41714574794995
CTNNB1	WNT4	51.35660921994036
FGF9	DHH	50.742165092058194
CBX2	NR5A1	50.65105159672044
CTNNB1	DKK1	50.623120842480716
UGR	SRY	50.24407788597848
FGF9	SOX9	49.18592781348129
FGF9	WNT4	49.06422682629058
RSPO1	FOXL2	48.90022422555052
NR5A1	WT1pKTS	48.88609572064836
PGD2	NR0B1	48.677824748338644
AMH	FGF9	48.043858868085884
DHH	SOX9	47.98135768981407
DKK1	WT1mKTS	47.51290510289786
SOX9	DKK1	47.04248579570088
WNT4	FOXL2	46.95283141265252
FOXL2	DMRT1	46.88000499300335
NR5A1	SRY	46.839565621092916
NR5A1	NR0B1	46.536306595755676
FGF9	AMH	46.25863322894266
WNT4	SRY	46.18850523937817
DKK1	WNT4	45.568989927730705
WT1pKTS	RSPO1	45.41537336034677
NR0B1	NR5A1	44.18003768328082
CBX2	DKK1	44.14869671616906
AMH	PGD2	43.82249962570632
DHH	WT1mKTS	43.81378433057566
RSPO1	SRY	43.65221282912212
DHH	NR0B1	43.399126622073666
WNT4	WT1pKTS	42.43287286297605
WT1pKTS	UGR	42.40640808080203
CTNNB1	NR0B1	40.67970392220423
CBX2	DMRT1	40.61287095954198
NR5A1	SOX9	40.3253688690083
CTNNB1	SOX9	40.16798671008615
GATA4	PGD2	39.98474521553951
PGD2	AMH	39.938732571645765
WT1pKTS	CBX2	39.80353484863115
AMH	DHH	39.761847809300455
NR0B1	SRY	39.59657330496723
WNT4	DMRT1	39.51660527114314
WNT4	AMH	39.27267898510069
CBX2	WT1pKTS	39.20901276679635
UGR	NR0B1	39.140030148180614
PGD2	WT1mKTS	39.03302701622634
FGF9	NR0B1	38.40678537481952
SRY	FOXL2	38.172638480735664
WNT4	DKK1	38.09752028322598
WT1mKTS	SRY	38.052973003561256
DMRT1	WT1mKTS	37.567154205323305
PGD2	DHH	37.39002305444943
CTNNB1	DMRT1	37.30166414205528
SRY	NR5A1	37.03243512130546
SOX9	DHH	36.62700032348745
GATA4	DMRT1	36.317061189460446
NR0B1	CTNNB1	36.139497856757835
GATA4	SRY	35.76712014235949
DKK1	CTNNB1	35.53135984558217
PGD2	DKK1	35.440240062872945
RSPO1	SOX9	35.29081965717753
SOX9	WT1mKTS	34.91518165212318
FOXL2	CTNNB1	34.81303873237105
CTNNB1	CBX2	34.72285530153373
WNT4	PGD2	34.572724309625805
SOX9	GATA4	34.49744316122006
AMH	WT1mKTS	34.42908046748199
NR5A1	WNT4	34.11176676957696
NR0B1	UGR	34.00119846875212
FOXL2	CBX2	33.71625735917166
PGD2	FGF9	33.65401449082993
AMH	SOX9	33.55254929471203
SOX9	SRY	33.50413723742709
RSPO1	CBX2	33.47268331234785
AMH	GATA4	33.41953277564725
NR0B1	FOXL2	33.20913888692447
NR5A1	CTNNB1	32.70594502373727
WT1mKTS	GATA4	32.62700385831625
WT1pKTS	DMRT1	32.38607995015477
WT1mKTS	NR0B1	32.23431839081486
WT1pKTS	DKK1	32.20028931775053
NR0B1	WT1pKTS	32.048387773487434
NR0B1	CBX2	31.824223677008074
DHH	RSPO1	31.81124115635687
DHH	PGD2	31.772275783323433
SOX9	NR0B1	31.41713024928587
RSPO1	UGR	31.389225729942815
DKK1	FOXL2	31.357407818178963
SOX9	CBX2	31.22034647397655
DMRT1	FOXL2	30.78011625105021
PGD2	SOX9	30.65088612491263
NR5A1	DMRT1	30.328299320475477
PGD2	GATA4	30.178587026778594
SRY	WNT4	30.174217266523012
SRY	UGR	30.116799393066724
UGR	WNT4	30.111881015970617
WNT4	WT1mKTS	30.099039747557352
FOXL2	DKK1	29.854388737955066
DKK1	WT1pKTS	29.64616331641379
WT1mKTS	DHH	29.593195358416416
DMRT1	UGR	29.559114186313305
NR0B1	DHH	29.557693721456857
DMRT1	WNT4	29.38190134193019
NR0B1	RSPO1	29.269577275145696
SRY	CTNNB1	29.16325753045993
FGF9	DKK1	28.9579398455211
SOX9	FGF9	28.697604484957335
WT1pKTS	SOX9	28.54765795565319
GATA4	NR0B1	28.514611079814895
GATA4	WT1mKTS	28.25062607219024
WNT4	FGF9	28.131865016408838
GATA4	DKK1	28.07521909236071
WT1pKTS	WNT4	28.02809708774066
SOX9	PGD2	27.984473824399974
WT1mKTS	AMH	27.969051060325977
UGR	DKK1	27.887084289861463
NR0B1	GATA4	27.827971273731176
SOX9	CTNNB1	27.75043651621642
DHH	DKK1	27.7018106313614
WT1pKTS	NR0B1	27.565141669637086
WT1mKTS	FGF9	27.557690499993658
WT1mKTS	PGD2	27.19214270404256
PGD2	CTNNB1	27.185313224770933
DMRT1	GATA4	27.176117005579197
FGF9	RSPO1	27.127617893185494
AMH	RSPO1	27.103090460418855
UGR	DMRT1	27.09031602119308
DKK1	UGR	27.047459670480666
WNT4	DHH	26.885164520306642
DHH	DMRT1	26.71357908420545
FOXL2	SOX9	26.71247212618743
FOXL2	RSPO1	26.667231932736474
DMRT1	WT1pKTS	26.59396365386943
AMH	CTNNB1	26.53218372580655
DMRT1	CTNNB1	25.91369755461546
CBX2	RSPO1	25.785869376217683
NR0B1	PGD2	25.74192582374651
SRY	GATA4	25.740101482235815
WNT4	UGR	25.527358298735738
WNT4	NR5A1	25.48912580600993
GATA4	FGF9	25.46538946454821
FGF9	DMRT1	25.44965283341032
FOXL2	WNT4	25.425040953644064
WT1mKTS	WNT4	25.096930956682083
SOX9	AMH	24.970838255794966
CTNNB1	WT1mKTS	24.898924416562515
CBX2	SRY	24.880867466105258
DHH	GATA4	24.818333657614044
UGR	RSPO1	24.694871947611116
NR0B1	FGF9	24.619560997562033
