Gene1	Gene2	EdgeWeight
WT1pKTS	WT1pKTS	1.0
NR0B1	AMH	1.0
NR0B1	NR0B1	1.0
WT1pKTS	GATA4	1.0
WT1mKTS	GATA4	1.0
GATA4	GATA4	1.0
NR0B1	FGF9	1.0
NR5A1	DKK1	1.0
CBX2	DKK1	1.0
DMRT1	CBX2	1.0
WT1mKTS	WT1mKTS	1.0
CTNNB1	CTNNB1	1.0
GATA4	WT1mKTS	1.0
WT1mKTS	FOXL2	1.0
GATA4	GATA4	1.0
NR0B1	UGR	1.0
WT1mKTS	GATA4	1.0
NR0B1	NR0B1	1.0
WNT4	NR0B1	1.0
CTNNB1	RSPO1	1.0
WT1mKTS	DHH	1.0
DMRT1	DMRT1	1.0
WT1mKTS	WT1mKTS	1.0
CTNNB1	CBX2	1.0
WT1mKTS	WT1pKTS	1.0
GATA4	WT1pKTS	1.0
WT1pKTS	WT1mKTS	1.0
DMRT1	UGR	1.0
GATA4	WT1mKTS	1.0
SRY	UGR	1.0
GATA4	SOX9	0.999999
DKK1	CBX2	0.999999
GATA4	FOXL2	0.999996
WT1mKTS	SRY	0.999995
RSPO1	UGR	0.999991
GATA4	NR0B1	0.999969
RSPO1	RSPO1	0.999961
SOX9	UGR	0.999956
FOXL2	SRY	0.999931
GATA4	DHH	0.999902
SOX9	WNT4	0.999774
NR5A1	DMRT1	0.999624
GATA4	RSPO1	0.999481
FOXL2	NR5A1	0.999299
CTNNB1	UGR	0.999053
WNT4	FGF9	0.998822
WNT4	AMH	0.998344
WNT4	UGR	0.998267
DMRT1	WNT4	0.998196
WT1mKTS	WNT4	0.99759
RSPO1	CBX2	0.997396
NR0B1	DMRT1	0.995907
SRY	NR0B1	0.99567
WT1pKTS	DHH	0.995044
NR0B1	CBX2	0.993518
UGR	CTNNB1	0.993463
WT1pKTS	SOX9	0.992398
CBX2	DMRT1	0.992355
DKK1	WNT4	0.991166
DHH	CTNNB1	0.988208
FOXL2	CBX2	0.986712
DMRT1	RSPO1	0.986683
WNT4	PGD2	0.985335
UGR	DKK1	0.979975
DKK1	SRY	0.978239
NR0B1	NR5A1	0.974951
UGR	SRY	0.970105
WNT4	RSPO1	0.969632
SOX9	SOX9	0.960974
WNT4	SOX9	0.95572
SRY	CBX2	0.951955
DHH	WNT4	0.933227
RSPO1	NR5A1	0.926617
WNT4	DKK1	0.919468
SRY	PGD2	0.916357
CBX2	RSPO1	0.911589
FOXL2	FOXL2	0.901005
SRY	WT1mKTS	0.873493
NR0B1	FOXL2	0.862785
DKK1	PGD2	0.854729
CBX2	FGF9	0.851982
SRY	SOX9	0.850279
WT1pKTS	NR0B1	0.849788
DHH	DHH	0.849532
AMH	UGR	0.829027
WT1mKTS	NR0B1	0.828576
FGF9	CTNNB1	0.822829
NR5A1	FOXL2	0.817593
UGR	WNT4	0.776942
FOXL2	CTNNB1	0.764248
WT1pKTS	PGD2	0.719351
CBX2	FOXL2	0.709406
CBX2	CTNNB1	0.703367
WNT4	WT1mKTS	0.700514
CTNNB1	NR5A1	0.688066
SOX9	CBX2	0.679274
UGR	RSPO1	0.66481
DKK1	CTNNB1	0.642995
RSPO1	DKK1	0.637285
RSPO1	NR0B1	0.631359
WT1pKTS	RSPO1	0.586759
WNT4	DHH	0.583529
DHH	PGD2	0.58173
WT1pKTS	FOXL2	0.571916
CTNNB1	DMRT1	0.54984
AMH	FOXL2	0.539687
AMH	WNT4	0.525969
NR0B1	DHH	0.524434
CBX2	AMH	0.524047
WT1mKTS	SOX9	0.430541
DMRT1	SOX9	0.422282
RSPO1	FGF9	0.421484
CTNNB1	WT1mKTS	0.382652
DMRT1	SRY	0.376366
DMRT1	FOXL2	0.372614
WT1mKTS	RSPO1	0.361517
CBX2	PGD2	0.355515
DKK1	SOX9	0.35009
CBX2	WT1pKTS	0.344452
PGD2	CBX2	0.330346
PGD2	WNT4	0.32469
AMH	PGD2	0.31705
FGF9	WNT4	0.316682
AMH	DHH	0.297711
NR5A1	WT1pKTS	0.277067
WT1mKTS	PGD2	0.26571
SRY	FOXL2	0.253482
FGF9	SRY	0.248809
WNT4	FOXL2	0.238274
FOXL2	WT1pKTS	0.235459
CTNNB1	SRY	0.231324
SRY	GATA4	0.224853
FGF9	NR0B1	0.224562
FGF9	PGD2	0.220708
PGD2	PGD2	0.219424
NR5A1	RSPO1	0.217561
FGF9	NR5A1	0.212571
GATA4	PGD2	0.208953
AMH	DKK1	0.2009
DKK1	DMRT1	0.198778
WNT4	DMRT1	0.195155
NR0B1	PGD2	0.194672
AMH	CBX2	0.193496
NR5A1	CTNNB1	0.189054
DHH	CBX2	0.185338
SRY	DHH	0.184656
WT1pKTS	DKK1	0.181736
SOX9	GATA4	0.167144
AMH	NR0B1	0.166164
DHH	NR0B1	0.163485
FOXL2	PGD2	0.162267
DHH	SOX9	0.155622
CTNNB1	SOX9	0.155079
AMH	RSPO1	0.151885
AMH	DMRT1	0.147473
FGF9	SOX9	0.142738
CBX2	SRY	0.141658
SOX9	PGD2	0.140042
RSPO1	WT1pKTS	0.139568
UGR	DMRT1	0.138214
SRY	WT1pKTS	0.137989
UGR	NR0B1	0.137881
DHH	UGR	0.137426
CBX2	DHH	0.137138
AMH	SOX9	0.136266
FGF9	AMH	0.13345
RSPO1	FOXL2	0.132794
CTNNB1	DKK1	0.132293
FOXL2	DMRT1	0.130502
DHH	RSPO1	0.127794
RSPO1	DHH	0.12769
CTNNB1	GATA4	0.127387
SOX9	WT1pKTS	0.126574
PGD2	SOX9	0.124386
GATA4	DKK1	0.121981
DKK1	RSPO1	0.121705
CTNNB1	DHH	0.120408
PGD2	DHH	0.118934
NR0B1	SOX9	0.117107
NR5A1	FGF9	0.11552
DMRT1	NR0B1	0.114575
WT1mKTS	DKK1	0.114376
WNT4	CBX2	0.114188
FOXL2	DHH	0.112712
UGR	FOXL2	0.111415
DMRT1	NR5A1	0.110206
RSPO1	SOX9	0.109989
FGF9	WT1pKTS	0.109767
NR5A1	AMH	0.109429
NR0B1	DKK1	0.107496
DKK1	DKK1	0.107451
SOX9	DHH	0.106368
