Parent	Type	Child	Weight	Probability	Score
AMH	+	AMH	1.376359	0.000000	0.000000
CBX2	-	AMH	-0.086474	0.524047	-0.051453
CTNNB1	-	AMH	-0.017687	0.058013	-0.001165
DHH	+	AMH	2.070780	0.000000	0.000000
DKK1	-	AMH	-0.000378	0.094768	-0.000041
DMRT1	+	AMH	0.044183	0.001196	0.000060
FGF9	+	AMH	1.333194	0.000000	0.000000
FOXL2	+	AMH	0.028124	0.023295	0.000744
GATA4	+	AMH	0.026940	0.000502	0.000015
NR0B1	-	AMH	-0.208326	1.000000	-0.236538
NR5A1	+	AMH	1.524393	0.000000	0.000000
PGD2	+	AMH	1.464972	0.000000	0.000000
RSPO1	-	AMH	-0.018279	0.071981	-0.001494
SOX9	+	AMH	1.346086	0.000000	0.000000
SRY	+	AMH	2.505703	0.000000	0.000000
UGR	+	AMH	0.055464	0.018206	0.001147
WNT4	-	AMH	-0.145960	0.998344	-0.165453
WT1mKTS	+	AMH	0.568178	0.000000	0.000000
WT1pKTS	+	AMH	1.159681	0.000000	0.000000
AMH	-	CBX2	-0.091503	0.193496	-0.020103
CBX2	+	CBX2	0.449168	0.009031	0.004606
CTNNB1	+	CBX2	0.228496	0.048674	0.012628
DHH	-	CBX2	-0.004400	0.079906	-0.000399
DKK1	-	CBX2	-0.343900	0.999999	-0.390473
DMRT1	-	CBX2	-0.413981	1.000000	-0.470044
FGF9	+	CBX2	0.005806	0.075894	0.000500
FOXL2	+	CBX2	0.056388	0.056453	0.003614
GATA4	+	CBX2	0.303457	0.000002	0.000001
NR0B1	-	CBX2	-0.079046	0.175469	-0.015748
NR5A1	+	CBX2	0.699993	0.000000	0.000000
PGD2	-	CBX2	-0.124359	0.330346	-0.046645
RSPO1	+	CBX2	0.055375	0.068249	0.004291
SOX9	-	CBX2	-0.175881	0.679274	-0.135651
SRY	-	CBX2	-0.200686	0.951955	-0.216916
UGR	+	CBX2	0.121926	0.069946	0.009683
WNT4	+	CBX2	0.269308	0.005446	0.001665
WT1mKTS	+	CBX2	0.579763	0.000000	0.000000
WT1pKTS	+	CBX2	0.396456	0.000000	0.000000
AMH	+	CTNNB1	0.012883	0.040830	0.000597
CBX2	+	CTNNB1	1.198217	0.000000	0.000000
CTNNB1	+	CTNNB1	1.174199	0.000000	0.000000
DHH	-	CTNNB1	-0.109860	0.988208	-0.123267
DKK1	-	CTNNB1	-0.040144	0.642995	-0.029308
DMRT1	+	CTNNB1	0.966396	0.000000	0.000000
FGF9	-	CTNNB1	-0.075509	0.822829	-0.070545
FOXL2	-	CTNNB1	-0.130624	0.764248	-0.113348
GATA4	+	CTNNB1	0.770783	0.000000	0.000000
NR0B1	+	CTNNB1	0.245011	0.000000	0.000000
