Gene1	Gene2	EdgeWeight
RSPO1	CTNNB1	0.924568986229291
CTNNB1	RSPO1	0.924568986229291
DMRT1	DKK1	0.922022973954944
DKK1	DMRT1	0.922022973954944
WNT4	NR0B1	0.879647680550429
NR0B1	WNT4	0.878962148742543
SRY	DMRT1	0.875136948318993
SRY	DKK1	0.861405177884669
NR0B1	CTNNB1	0.857364503677448
DMRT1	CBX2	0.851836653877624
DKK1	CBX2	0.842512560686314
NR0B1	RSPO1	0.840985534002208
CBX2	DMRT1	0.83988325481964
WNT4	CTNNB1	0.838135394813346
CBX2	DKK1	0.835790063791324
WNT4	RSPO1	0.831480817850092
CBX2	WNT4	0.827851224078407
UGR	DMRT1	0.826686521128599
UGR	DKK1	0.815820982605572
DMRT1	AMH	0.806319796199298
UGR	RSPO1	0.803602416502158
DMRT1	WNT4	0.802276386232465
RSPO1	CBX2	0.801867616348623
UGR	CTNNB1	0.801566505447677
DMRT1	PGD2	0.799810274828912
CTNNB1	CBX2	0.797370795806168
CBX2	PGD2	0.797314880875189
DKK1	WNT4	0.795501544309249
DMRT1	RSPO1	0.794584286048999
FOXL2	WT1pKTS	0.793956719352593
WT1pKTS	FOXL2	0.793956719352593
CBX2	AMH	0.791685271309314
DKK1	AMH	0.790808202304331
DKK1	PGD2	0.789859997969887
DMRT1	DHH	0.789092954870302
DKK1	RSPO1	0.788316966882042
CBX2	DHH	0.787260541323308
DMRT1	FGF9	0.786854218462818
SRY	UGR	0.785364358780377
DKK1	FGF9	0.783822073020621
CBX2	FGF9	0.783468916838728
RSPO1	UGR	0.782841532575272
NR5A1	FOXL2	0.782673265882348
FOXL2	NR5A1	0.782673265882348
DKK1	DHH	0.780890188519553
CBX2	RSPO1	0.780152419387955
CBX2	CTNNB1	0.778861738245969
UGR	CBX2	0.778861613089913
FGF9	PGD2	0.776082640266445
PGD2	FGF9	0.776082640266445
RSPO1	FOXL2	0.775394989910891
CBX2	NR0B1	0.771738554285166
UGR	SRY	0.770524171020122
DHH	FGF9	0.768150732411228
FGF9	DHH	0.768150732411228
PGD2	DHH	0.76735744149173
DHH	PGD2	0.76735744149173
CTNNB1	UGR	0.767298551523423
CTNNB1	FOXL2	0.766279279634786
SRY	CBX2	0.756393816120121
CBX2	FOXL2	0.756205170359584
PGD2	AMH	0.753505873820067
AMH	PGD2	0.753505873820067
CBX2	NR5A1	0.753052999191236
NR0B1	UGR	0.752099052918316
DHH	AMH	0.751403214840593
AMH	DHH	0.751403214840593
DMRT1	UGR	0.746290961940206
RSPO1	NR5A1	0.744526534123758
CTNNB1	NR5A1	0.74313993277906
UGR	WNT4	0.740816673014882
SRY	RSPO1	0.739169900682877
DKK1	UGR	0.736748178375589
WNT4	UGR	0.736654900821514
SRY	SOX9	0.736033672452403
NR5A1	WT1pKTS	0.731740777890961
NR5A1	CBX2	0.729643691352426
DMRT1	SOX9	0.728905715995667
DMRT1	NR0B1	0.725227528487967
DKK1	SOX9	0.724453534370979
FGF9	AMH	0.722589521463109
AMH	FGF9	0.722589521463109
NR5A1	CTNNB1	0.721122287762005
DKK1	NR0B1	0.720975726227028
UGR	NR0B1	0.718012228020025
CBX2	SOX9	0.717621836885583
WT1pKTS	NR5A1	0.717609139116855
UGR	FOXL2	0.716055062086001
UGR	PGD2	0.715448466353524
NR5A1	RSPO1	0.715383153978189
CBX2	UGR	0.715207299282721
CTNNB1	SRY	0.712609060683555
CBX2	WT1pKTS	0.711714784382895
UGR	AMH	0.710100071543287
RSPO1	SRY	0.70340770935736
SRY	WNT4	0.702138286642807
SOX9	DHH	0.698341607579066
CTNNB1	WT1pKTS	0.698287894258596
UGR	DHH	0.697784984192818
SOX9	PGD2	0.697177139555934
SOX9	FGF9	0.696805886611402
FOXL2	CBX2	0.696135918989724
UGR	SOX9	0.695923748353104
CBX2	SRY	0.695725270820184
RSPO1	WT1pKTS	0.694382009499153
UGR	FGF9	0.693727042672647
FOXL2	CTNNB1	0.690218949703364
NR0B1	CBX2	0.688882849501782
UGR	NR5A1	0.688443152872076
WNT4	CBX2	0.679211015077063
SOX9	AMH	0.674407973110315
NR0B1	FOXL2	0.672869872737922
SOX9	WNT4	0.672050117200809
NR0B1	SRY	0.671034519003431
SOX9	NR0B1	0.667017799640201
FOXL2	RSPO1	0.66140656227303
SRY	NR5A1	0.656919506931225
NR5A1	SRY	0.656791747673429
WNT4	FOXL2	0.65085990883001
RSPO1	WNT4	0.650462200679921
DMRT1	GATA4	0.650021813698665
DMRT1	CTNNB1	0.649573372814548
DKK1	CTNNB1	0.647866638201836
CBX2	GATA4	0.644687405635572
DKK1	GATA4	0.641153066275485
UGR	WT1pKTS	0.640187645014083
RSPO1	NR0B1	0.639837667034535
NR0B1	DMRT1	0.639812887553924
PGD2	NR0B1	0.635580501892453
