Gene1	Gene2	Score
RSPO1	CTNNB1	0.924568986229291
CTNNB1	RSPO1	0.924568986229291
WNT4	NR0B1	0.879647680550429
NR0B1	WNT4	0.878962148742543
NR0B1	CTNNB1	0.857364503677448
NR0B1	RSPO1	0.840985534002208
WNT4	CTNNB1	0.838135394813346
WNT4	RSPO1	0.831480817850092
UGR	RSPO1	-0.803602416502158
RSPO1	CBX2	-0.801867616348623
UGR	CTNNB1	-0.801566505447677
CTNNB1	CBX2	-0.797370795806168
WT1pKTS	FOXL2	-0.793956719352593
FOXL2	WT1pKTS	-0.793956719352593
RSPO1	UGR	-0.782841532575272
NR5A1	FOXL2	-0.782673265882348
FOXL2	NR5A1	-0.782673265882348
CBX2	RSPO1	-0.780152419387955
CBX2	CTNNB1	-0.778861738245969
RSPO1	FOXL2	0.775394989910891
CTNNB1	UGR	-0.767298551523423
CTNNB1	FOXL2	0.766279279634786
CBX2	FOXL2	-0.756205170359584
CBX2	NR5A1	0.753052999191236
NR0B1	UGR	-0.752099052918316
RSPO1	NR5A1	-0.744526534123758
CTNNB1	NR5A1	-0.74313993277906
UGR	CBX2	0.743057941662711
WNT4	UGR	-0.736654900821514
NR5A1	WT1pKTS	0.731740777890961
NR5A1	CBX2	0.729643691352426
NR5A1	CTNNB1	-0.721122287762005
UGR	NR0B1	-0.718012228020025
WT1pKTS	NR5A1	0.717609139116855
UGR	FOXL2	-0.716055062086001
NR5A1	RSPO1	-0.715383153978189
CBX2	UGR	0.715207299282721
CTNNB1	SRY	-0.712609060683555
CBX2	WT1pKTS	0.711714784382895
UGR	WNT4	-0.705999977227378
RSPO1	SRY	-0.70340770935736
CTNNB1	WT1pKTS	-0.698287894258596
FOXL2	CBX2	-0.696135918989724
CBX2	SRY	0.695725270820184
RSPO1	WT1pKTS	-0.694382009499153
FOXL2	CTNNB1	0.690218949703364
NR0B1	CBX2	-0.688882849501782
UGR	NR5A1	0.688443152872076
WNT4	CBX2	-0.679211015077063
NR0B1	FOXL2	0.672869872737922
FOXL2	RSPO1	0.66140656227303
UGR	SRY	0.657588848163203
NR5A1	SRY	0.656791747673429
WNT4	FOXL2	0.65085990883001
RSPO1	WNT4	0.650462200679921
UGR	WT1pKTS	0.640187645014083
RSPO1	NR0B1	0.639837667034535
CTNNB1	NR0B1	0.634019940577313
NR0B1	NR5A1	-0.623900464913808
NR0B1	SRY	-0.619302236784317
CTNNB1	WNT4	0.615261893441445
WNT4	NR5A1	-0.613154774131901
FOXL2	SRY	-0.608672132389995
DMRT1	DKK1	0.598359768493941
DKK1	DMRT1	0.598359768493941
WNT4	SRY	-0.593745533737983
WT1pKTS	CBX2	0.590525063100183
NR5A1	UGR	0.585434129393339
CBX2	NR0B1	-0.574247821920755
NR0B1	WT1pKTS	-0.571094267995433
WT1pKTS	CTNNB1	-0.56498177445673
SRY	FOXL2	-0.563856897622063
WNT4	WT1pKTS	-0.555419054342177
WT1pKTS	RSPO1	-0.552134161937456
CBX2	WNT4	-0.547262139028315
WT1pKTS	SRY	0.546293599251263
SRY	WT1pKTS	0.530270985690823
FOXL2	UGR	-0.527572964262388
NR5A1	NR0B1	-0.480935744267428
NR5A1	WNT4	-0.467184295166701
SRY	NR5A1	0.458415971020942
WT1pKTS	UGR	0.450769700707834
FOXL2	NR0B1	0.437730630861332
FOXL2	WNT4	0.435002935449505
NR0B1	DMRT1	-0.409923221167412
WNT4	DKK1	-0.403137067125182
WNT4	DMRT1	-0.393850198469535
SRY	DKK1	0.386456471154873
DKK1	SRY	0.386456471154873
NR0B1	DKK1	-0.382016486828832
RSPO1	DKK1	-0.375567532005971
WT1pKTS	NR0B1	-0.37461206437272
WT1pKTS	WNT4	-0.372249505650955
UGR	DMRT1	0.370637434301753
CTNNB1	DKK1	-0.368746007725245
RSPO1	DMRT1	-0.367263444665204
CTNNB1	DMRT1	-0.365667939094172
UGR	DKK1	0.360642757059889
CBX2	DMRT1	0.355222458084157
CBX2	DKK1	0.346402032152447
SRY	CBX2	0.34367129246351
NR5A1	DMRT1	0.33086166216282
NR5A1	DKK1	0.32939854767456
FOXL2	DMRT1	-0.328638959510488
SRY	DMRT1	0.327042847765018
DMRT1	SRY	0.327042847765018
FOXL2	DKK1	-0.322720399767165
GATA4	RSPO1	-0.311332108886502
WNT4	GATA4	-0.30529143631266
GATA4	CTNNB1	-0.304312726988953
NR0B1	GATA4	-0.299719104232718
GATA4	NR0B1	-0.298033704533455
GATA4	UGR	0.293652611630793
WT1mKTS	SRY	-0.293202007553412
SRY	WT1mKTS	-0.293202007553412
NR0B1	WT1mKTS	-0.290805435208575
WT1pKTS	DMRT1	0.288592617954372
WNT4	WT1mKTS	-0.284051362955183
WT1mKTS	UGR	0.282751327833041
CBX2	WT1mKTS	-0.281350201066627
