Gene1	Gene2	EdgeWeight
DMRT1	DKK1	0.896540395564963
DKK1	DMRT1	0.896540395564963
RSPO1	CTNNB1	0.8478033699432216
CTNNB1	RSPO1	0.8478033699432216
FGF9	PGD2	0.827923531107523
PGD2	FGF9	0.827923531107523
FGF9	DHH	0.8209611302689741
DHH	FGF9	0.8209611302689741
PGD2	AMH	0.8185399998116666
AMH	PGD2	0.8185399998116666
FOXL2	WT1pKTS	-0.8173106804571592
WT1pKTS	FOXL2	-0.8173106804571592
PGD2	DHH	0.8162541313103446
DHH	PGD2	0.8162541313103446
AMH	DHH	0.8144804931117775
DHH	AMH	0.8144804931117775
FGF9	AMH	0.8094951280175665
AMH	FGF9	0.8094951280175665
RSPO1	WNT4	0.7744460485855279
WNT4	RSPO1	0.7744460485855279
NR0B1	WNT4	0.7602834823517158
WNT4	NR0B1	0.7602834823517158
FOXL2	NR5A1	-0.7595787027181465
NR5A1	FOXL2	-0.7595787027181465
CTNNB1	FOXL2	0.7492549312311083
FOXL2	CTNNB1	0.7492549312311083
RSPO1	NR5A1	-0.7485831517848115
NR5A1	RSPO1	-0.7485831517848115
NR5A1	WT1pKTS	0.7483086515349482
WT1pKTS	NR5A1	0.7483086515349482
SOX9	DKK1	0.7469040504596709
DKK1	SOX9	0.7469040504596709
DMRT1	SOX9	0.7440927677209276
SOX9	DMRT1	0.7440927677209276
CTNNB1	WNT4	0.7334752247401048
WNT4	CTNNB1	0.7334752247401048
DKK1	SRY	0.7320967531531913
SRY	DKK1	0.7320967531531913
DMRT1	SRY	0.7239182152876807
SRY	DMRT1	0.7239182152876807
WNT4	SOX9	-0.7205386449851607
SOX9	WNT4	-0.7205386449851607
NR5A1	CTNNB1	-0.7148895715272863
CTNNB1	NR5A1	-0.7148895715272863
WNT4	DHH	-0.7130098319361994
DHH	WNT4	-0.7130098319361994
PGD2	WNT4	-0.709020874662067
WNT4	PGD2	-0.709020874662067
SRY	FOXL2	-0.7053166094522665
FOXL2	SRY	-0.7053166094522665
WNT4	FGF9	-0.7039165451791077
FGF9	WNT4	-0.7039165451791077
PGD2	SOX9	0.6971996727715024
SOX9	PGD2	0.6971996727715024
AMH	WNT4	-0.6874880606211569
WNT4	AMH	-0.6874880606211569
SOX9	FGF9	0.6865174584344016
FGF9	SOX9	0.6865174584344016
PGD2	GATA4	-0.6821713473731896
GATA4	PGD2	-0.6821713473731896
SOX9	DHH	0.6803539855418455
DHH	SOX9	0.6803539855418455
RSPO1	FOXL2	0.6789263009116151
FOXL2	RSPO1	0.6789263009116151
AMH	GATA4	-0.6731172956131419
GATA4	AMH	-0.6731172956131419
SOX9	GATA4	-0.6726164167864038
GATA4	SOX9	-0.6726164167864038
PGD2	WT1mKTS	-0.6707586386091451
WT1mKTS	PGD2	-0.6707586386091451
NR0B1	AMH	-0.6706371393499875
AMH	NR0B1	-0.6706371393499875
FGF9	GATA4	-0.6669644814799492
GATA4	FGF9	-0.6669644814799492
SOX9	AMH	0.6663536984154651
AMH	SOX9	0.6663536984154651
CTNNB1	WT1pKTS	-0.6660695084822593
WT1pKTS	CTNNB1	-0.6660695084822593
GATA4	DHH	-0.6624364368572279
DHH	GATA4	-0.6624364368572279
NR0B1	DHH	-0.6608305553803644
DHH	NR0B1	-0.6608305553803644
CBX2	UGR	0.6599654570862237
UGR	CBX2	0.6599654570862237
NR0B1	PGD2	-0.6578455681275933
PGD2	NR0B1	-0.6578455681275933
FGF9	WT1mKTS	-0.657326340622744
WT1mKTS	FGF9	-0.657326340622744
WT1mKTS	AMH	-0.6547183448031696
AMH	WT1mKTS	-0.6547183448031696
WT1mKTS	SOX9	-0.6534737432165573
SOX9	WT1mKTS	-0.6534737432165573
DHH	WT1mKTS	-0.6528207821774726
WT1mKTS	DHH	-0.6528207821774726
FGF9	NR0B1	-0.6519971967354662
NR0B1	FGF9	-0.6519971967354662
SRY	WT1pKTS	0.6388566183931422
WT1pKTS	SRY	0.6388566183931422
RSPO1	NR0B1	0.637588622462715
NR0B1	RSPO1	0.637588622462715
GATA4	WT1mKTS	0.6355322693651418
WT1mKTS	GATA4	0.6355322693651418
DKK1	GATA4	-0.6211621235721843
GATA4	DKK1	-0.6211621235721843
DMRT1	GATA4	-0.6121335717037499
GATA4	DMRT1	-0.6121335717037499
RSPO1	SOX9	-0.6082181268474289
SOX9	RSPO1	-0.6082181268474289
CTNNB1	SOX9	-0.6065894668500333
SOX9	CTNNB1	-0.6065894668500333
DKK1	WT1mKTS	-0.6025084681428861
WT1mKTS	DKK1	-0.6025084681428861
SRY	SOX9	0.6009135775533925
SOX9	SRY	0.6009135775533925
DMRT1	WT1mKTS	-0.595713598791782
WT1mKTS	DMRT1	-0.595713598791782
RSPO1	WT1pKTS	-0.590871184035277
WT1pKTS	RSPO1	-0.590871184035277
NR0B1	CTNNB1	0.5837866837415847
CTNNB1	NR0B1	0.5837866837415847
WNT4	DKK1	-0.5808620743756753
DKK1	WNT4	-0.5808620743756753
FGF9	RSPO1	-0.5791838776398024
RSPO1	FGF9	-0.5791838776398024
CTNNB1	SRY	-0.5770164558972414
SRY	CTNNB1	-0.5770164558972414
RSPO1	PGD2	-0.5760979050973316
PGD2	RSPO1	-0.5760979050973316
WNT4	DMRT1	-0.5748937301079681
DMRT1	WNT4	-0.5748937301079681
DHH	RSPO1	-0.5737517064538386
RSPO1	DHH	-0.5737517064538386
DKK1	FOXL2	-0.5709281041769858
FOXL2	DKK1	-0.5709281041769858
FOXL2	WNT4	0.5560991887162734
WNT4	FOXL2	0.5560991887162734
DKK1	CTNNB1	-0.5552404208911625
CTNNB1	DKK1	-0.5552404208911625
WNT4	NR5A1	-0.555237510105147
NR5A1	WNT4	-0.555237510105147
FOXL2	DMRT1	-0.5534898040876817
DMRT1	FOXL2	-0.5534898040876817
DMRT1	CTNNB1	-0.5514423130164195
CTNNB1	DMRT1	-0.5514423130164195
WT1mKTS	SRY	-0.5505016944331771
SRY	WT1mKTS	-0.5505016944331771
AMH	RSPO1	-0.5492377672709899
RSPO1	AMH	-0.5492377672709899
PGD2	DKK1	0.5409206267602277
DKK1	PGD2	0.5409206267602277
FGF9	DMRT1	0.5398824448866769
DMRT1	FGF9	0.5398824448866769
DMRT1	PGD2	0.5388203279067402
PGD2	DMRT1	0.5388203279067402
FGF9	DKK1	0.5375777442576486
DKK1	FGF9	0.5375777442576486
GATA4	WNT4	0.5373588015648219
WNT4	GATA4	0.5373588015648219
GATA4	SRY	-0.5306996526715074
SRY	GATA4	-0.5306996526715074
CTNNB1	PGD2	-0.5275486956828412
PGD2	CTNNB1	-0.5275486956828412
SRY	NR5A1	0.5245478424586034
NR5A1	SRY	0.5245478424586034
DHH	DKK1	0.5239461674282812
DKK1	DHH	0.5239461674282812
CTNNB1	FGF9	-0.5221981236684229
FGF9	CTNNB1	-0.5221981236684229
CTNNB1	DHH	-0.5198494189040624
DHH	CTNNB1	-0.5198494189040624
DMRT1	DHH	0.5195676425681288
DHH	DMRT1	0.5195676425681288
FOXL2	SOX9	-0.5107594434592212
SOX9	FOXL2	-0.5107594434592212
AMH	DKK1	0.5065096367966928
DKK1	AMH	0.5065096367966928
DMRT1	AMH	0.5055371488147898
AMH	DMRT1	0.5055371488147898
WT1mKTS	WNT4	0.5050528176105908
WNT4	WT1mKTS	0.5050528176105908
NR5A1	NR0B1	-0.5002370518765983
NR0B1	NR5A1	-0.5002370518765983
CTNNB1	AMH	-0.4887081582946589
AMH	CTNNB1	-0.4887081582946589
NR0B1	SOX9	-0.4831184685265104
SOX9	NR0B1	-0.4831184685265104
SRY	RSPO1	-0.4752416802195335
RSPO1	SRY	-0.4752416802195335
WT1pKTS	DKK1	0.4644565678429704
DKK1	WT1pKTS	0.4644565678429704
NR5A1	SOX9	0.4550328190840568
SOX9	NR5A1	0.4550328190840568
NR0B1	GATA4	0.4547333624483435
GATA4	NR0B1	0.4547333624483435
NR0B1	FOXL2	0.4523714003535488
FOXL2	NR0B1	0.4523714003535488
WT1pKTS	DMRT1	0.4507766566850513
DMRT1	WT1pKTS	0.4507766566850513
WNT4	WT1pKTS	-0.4396355260253689
WT1pKTS	WNT4	-0.4396355260253689
RSPO1	DKK1	-0.4351855466127804
DKK1	RSPO1	-0.4351855466127804
WT1mKTS	NR0B1	0.4341692467945945
NR0B1	WT1mKTS	0.4341692467945945
DMRT1	RSPO1	-0.4255447866835756
RSPO1	DMRT1	-0.4255447866835756
CTNNB1	GATA4	0.4200016446305959
GATA4	CTNNB1	0.4200016446305959
CBX2	DMRT1	-0.4166348500160814
DMRT1	CBX2	-0.4166348500160814
DMRT1	UGR	-0.412949545277175
UGR	DMRT1	-0.412949545277175
CTNNB1	WT1mKTS	0.4100369935551851
WT1mKTS	CTNNB1	0.4100369935551851
DKK1	UGR	-0.4099760393988519
UGR	DKK1	-0.4099760393988519
SRY	PGD2	0.4089733294190347
PGD2	SRY	0.4089733294190347
RSPO1	GATA4	0.4050426755704253
GATA4	RSPO1	0.4050426755704253
UGR	GATA4	0.4036906437569784
GATA4	UGR	0.4036906437569784
SRY	WNT4	-0.3990635058955795
WNT4	SRY	-0.3990635058955795
SRY	FGF9	0.3975595360450747
FGF9	SRY	0.3975595360450747
CBX2	DKK1	-0.3944997367855149
DKK1	CBX2	-0.3944997367855149
WT1mKTS	RSPO1	0.3932426139552477
RSPO1	WT1mKTS	0.3932426139552477
FOXL2	GATA4	0.3916657824896689
GATA4	FOXL2	0.3916657824896689
SOX9	CBX2	-0.3914754175656038
CBX2	SOX9	-0.3914754175656038
FOXL2	PGD2	-0.3909013590536735
PGD2	FOXL2	-0.3909013590536735
WT1mKTS	UGR	0.390340480121317
UGR	WT1mKTS	0.390340480121317
FOXL2	WT1mKTS	0.389522953427488
WT1mKTS	FOXL2	0.389522953427488
FGF9	CBX2	-0.3801630873876218
CBX2	FGF9	-0.3801630873876218
SRY	AMH	0.3799650144336922
AMH	SRY	0.3799650144336922
FOXL2	DHH	-0.3795069580164149
DHH	FOXL2	-0.3795069580164149
CBX2	GATA4	0.3792766775225875
GATA4	CBX2	0.3792766775225875
FGF9	FOXL2	-0.3770609986115974
FOXL2	FGF9	-0.3770609986115974
DHH	SRY	0.3769935995125553
SRY	DHH	0.3769935995125553
FOXL2	AMH	-0.373494568435728
AMH	FOXL2	-0.373494568435728
CBX2	DHH	-0.371977217734679
DHH	CBX2	-0.371977217734679
CBX2	PGD2	-0.3712054432205171
PGD2	CBX2	-0.3712054432205171
CBX2	AMH	-0.3689000933966093
AMH	CBX2	-0.3689000933966093
NR5A1	PGD2	0.3670928462325858
PGD2	NR5A1	0.3670928462325858
NR5A1	CBX2	0.3635231011777133
CBX2	NR5A1	0.3635231011777133
SOX9	UGR	-0.3578952465323993
UGR	SOX9	-0.3578952465323993
WT1pKTS	SOX9	0.3565633480165375
SOX9	WT1pKTS	0.3565633480165375
NR5A1	DHH	0.3523342633414833
DHH	NR5A1	0.3523342633414833
WT1pKTS	NR0B1	-0.3489928984572975
NR0B1	WT1pKTS	-0.3489928984572975
WT1mKTS	CBX2	0.3487685819046232
CBX2	WT1mKTS	0.3487685819046232
AMH	NR5A1	0.3462738088054832
NR5A1	AMH	0.3462738088054832
FGF9	NR5A1	0.345187410808889
NR5A1	FGF9	0.345187410808889
NR5A1	DKK1	0.3356166612714039
DKK1	NR5A1	0.3356166612714039
DKK1	NR0B1	-0.3258533355988326
NR0B1	DKK1	-0.3258533355988326
WT1pKTS	CBX2	0.325531794227234
CBX2	WT1pKTS	0.325531794227234
NR5A1	DMRT1	0.3217171135752762
DMRT1	NR5A1	0.3217171135752762
GATA4	NR5A1	-0.3197271015522095
NR5A1	GATA4	-0.3197271015522095
NR0B1	DMRT1	-0.3142609921058826
DMRT1	NR0B1	-0.3142609921058826
NR5A1	WT1mKTS	-0.3020893265300433
WT1mKTS	NR5A1	-0.3020893265300433
SRY	UGR	-0.2881544543935477
UGR	SRY	-0.2881544543935477
UGR	PGD2	-0.2866143757309364
PGD2	UGR	-0.2866143757309364
UGR	NR5A1	0.286466847914655
NR5A1	UGR	0.286466847914655
FGF9	UGR	-0.2853664226075634
UGR	FGF9	-0.2853664226075634
UGR	DHH	-0.2782723071937088
DHH	UGR	-0.2782723071937088
AMH	UGR	-0.271149305853217
UGR	AMH	-0.271149305853217
GATA4	WT1pKTS	-0.2564863534111117
WT1pKTS	GATA4	-0.2564863534111117
WT1pKTS	WT1mKTS	-0.2445733429097863
WT1mKTS	WT1pKTS	-0.2445733429097863
WT1pKTS	UGR	0.2319241793253337
UGR	WT1pKTS	0.2319241793253337
PGD2	WT1pKTS	0.2253779940430701
WT1pKTS	PGD2	0.2253779940430701
WT1pKTS	DHH	0.2171514903571021
DHH	WT1pKTS	0.2171514903571021
WT1pKTS	AMH	0.2166556948487612
AMH	WT1pKTS	0.2166556948487612
