	AMH	CBX2	CTNNB1	DHH	DKK1	DMRT1	FGF9	FOXL2	GATA4	NR0B1	NR5A1	PGD2	RSPO1	SOX9	SRY	UGR	WNT4	WT1mKTS	WT1pKTS
AMH	1.0	-0.3689000933966093	-0.4887081582946589	0.8144804931117775	0.5065096367966928	0.5055371488147898	0.8094951280175665	-0.373494568435728	-0.6731172956131419	-0.6706371393499875	0.34627380880548325	0.8185399998116666	-0.5492377672709899	0.6663536984154651	0.3799650144336922	-0.27114930585321706	-0.6874880606211569	-0.6547183448031696	0.21665569484876124
CBX2	-0.3689000933966093	1.0	-0.106424780892862	-0.371977217734679	-0.3944997367855149	-0.4166348500160814	-0.3801630873876218	-0.21527737441990566	0.37927667752258754	0.01113489040898759	0.36352310117771336	-0.3712054432205171	-0.12214001501669938	-0.3914754175656038	-0.08481854816685236	0.6599654570862237	0.1781383227318412	0.3487685819046232	0.32553179422723405
CTNNB1	-0.4887081582946589	-0.106424780892862	1.0	-0.5198494189040624	-0.5552404208911625	-0.5514423130164195	-0.5221981236684229	0.7492549312311083	0.42000164463059597	0.5837866837415847	-0.7148895715272863	-0.5275486956828412	0.8478033699432216	-0.6065894668500333	-0.5770164558972414	-0.16885271764387927	0.7334752247401048	0.41003699355518514	-0.6660695084822593
DHH	0.8144804931117775	-0.371977217734679	-0.5198494189040624	1.0	0.5239461674282812	0.5195676425681288	0.8209611302689741	-0.3795069580164149	-0.6624364368572279	-0.6608305553803644	0.3523342633414833	0.8162541313103446	-0.5737517064538386	0.6803539855418455	0.37699359951255534	-0.2782723071937088	-0.7130098319361994	-0.6528207821774726	0.21715149035710218
DKK1	0.5065096367966928	-0.3944997367855149	-0.5552404208911625	0.5239461674282812	1.0	0.896540395564963	0.5375777442576486	-0.5709281041769858	-0.6211621235721843	-0.32585333559883267	0.3356166612714039	0.5409206267602277	-0.43518554661278047	0.7469040504596709	0.7320967531531913	-0.4099760393988519	-0.5808620743756753	-0.6025084681428861	0.46445656784297046
DMRT1	0.5055371488147898	-0.4166348500160814	-0.5514423130164195	0.5195676425681288	0.896540395564963	1.0	0.5398824448866769	-0.5534898040876817	-0.6121335717037499	-0.31426099210588265	0.32171711357527627	0.5388203279067402	-0.4255447866835756	0.7440927677209276	0.7239182152876807	-0.412949545277175	-0.5748937301079681	-0.595713598791782	0.4507766566850513
FGF9	0.8094951280175665	-0.3801630873876218	-0.5221981236684229	0.8209611302689741	0.5375777442576486	0.5398824448866769	1.0	-0.3770609986115974	-0.6669644814799492	-0.6519971967354662	0.34518741080888904	0.827923531107523	-0.5791838776398024	0.6865174584344016	0.39755953604507477	-0.2853664226075634	-0.7039165451791077	-0.657326340622744	0.20845473635346187
FOXL2	-0.373494568435728	-0.21527737441990566	0.7492549312311083	-0.3795069580164149	-0.5709281041769858	-0.5534898040876817	-0.3770609986115974	1.0	0.3916657824896689	0.45237140035354884	-0.7595787027181465	-0.39090135905367357	0.6789263009116151	-0.5107594434592212	-0.7053166094522665	-0.13490083375910222	0.5560991887162734	0.38952295342748805	-0.8173106804571592
GATA4	-0.6731172956131419	0.37927667752258754	0.42000164463059597	-0.6624364368572279	-0.6211621235721843	-0.6121335717037499	-0.6669644814799492	0.3916657824896689	1.0	0.45473336244834356	-0.31972710155220957	-0.6821713473731896	0.4050426755704253	-0.6726164167864038	-0.5306996526715074	0.40369064375697844	0.5373588015648219	0.6355322693651418	-0.25648635341111176
NR0B1	-0.6706371393499875	0.01113489040898759	0.5837866837415847	-0.6608305553803644	-0.32585333559883267	-0.31426099210588265	-0.6519971967354662	0.45237140035354884	0.45473336244834356	1.0	-0.5002370518765983	-0.6578455681275933	0.637588622462715	-0.4831184685265104	-0.19348138661295936	-0.14369126928309686	0.7602834823517158	0.43416924679459457	-0.34899289845729753
