Gene1	Gene2	EdgeWeight
DKK1	DMRT1	1.995171064473028
DMRT1	DKK1	1.995171064473028
CBX2	UGR	1.9883068482024768
UGR	CBX2	1.9883068482024768
FOXL2	WT1pKTS	1.9351945130663124
WT1pKTS	FOXL2	1.9351945130663124
CTNNB1	RSPO1	1.9079919966982648
RSPO1	CTNNB1	1.9079919966982648
DHH	FGF9	1.8851377719232008
FGF9	DHH	1.8851377719232008
DHH	PGD2	1.884079523127588
PGD2	DHH	1.884079523127588
FGF9	PGD2	1.8837456059277071
PGD2	FGF9	1.8837456059277071
AMH	FGF9	1.880242390860437
FGF9	AMH	1.880242390860437
AMH	PGD2	1.8783959213563897
PGD2	AMH	1.8783959213563897
CBX2	NR5A1	1.8755870309759737
NR5A1	CBX2	1.8755870309759737
AMH	DHH	1.8706517113473793
DHH	AMH	1.8706517113473793
RSPO1	WNT4	1.864276940964685
WNT4	RSPO1	1.864276940964685
DMRT1	SRY	1.8606300758523049
SRY	DMRT1	1.8606300758523049
CTNNB1	FOXL2	1.8583162622871332
FOXL2	CTNNB1	1.8583162622871332
NR5A1	UGR	1.848754256229101
UGR	NR5A1	1.848754256229101
DKK1	SRY	1.8473377206731287
SRY	DKK1	1.8473377206731287
NR5A1	RSPO1	1.8470715513023217
RSPO1	NR5A1	1.8470715513023217
CTNNB1	WNT4	1.842951905511816
WNT4	CTNNB1	1.842951905511816
FOXL2	RSPO1	1.8230009616811016
RSPO1	FOXL2	1.8230009616811016
CTNNB1	WT1pKTS	1.822821506044954
WT1pKTS	CTNNB1	1.822821506044954
DKK1	SOX9	1.8171760441226348
SOX9	DKK1	1.8171760441226348
SRY	WT1pKTS	1.7867027648682892
WT1pKTS	SRY	1.7867027648682892
DMRT1	SOX9	1.7692189877745954
SOX9	DMRT1	1.7692189877745954
FOXL2	NR5A1	1.7439462481902712
NR5A1	FOXL2	1.7439462481902712
NR0B1	WNT4	1.7378206174601851
WNT4	NR0B1	1.7378206174601851
RSPO1	WT1pKTS	1.710434385486255
WT1pKTS	RSPO1	1.710434385486255
NR5A1	WT1pKTS	1.6877851613981822
WT1pKTS	NR5A1	1.6877851613981822
FOXL2	SRY	1.6733237530772598
SRY	FOXL2	1.6733237530772598
AMH	GATA4	1.6625985359463975
GATA4	AMH	1.6625985359463975
AMH	NR0B1	1.6513032142404338
NR0B1	AMH	1.6513032142404338
GATA4	PGD2	1.6442344719885489
PGD2	GATA4	1.6442344719885489
PGD2	SOX9	1.6425046161381447
SOX9	PGD2	1.6425046161381447
NR0B1	RSPO1	1.6392327812094996
RSPO1	NR0B1	1.6392327812094996
FGF9	SOX9	1.636838884361455
SOX9	FGF9	1.636838884361455
DHH	GATA4	1.6263637770380424
GATA4	DHH	1.6263637770380424
UGR	WT1pKTS	1.6241448928140876
