Gene1	Gene2	EdgeWeight
AMH	AMH	1.0
NR5A1	NR5A1	1.0
WT1pKTS	WT1pKTS	1.0
WT1mKTS	WT1mKTS	1.0
WNT4	WNT4	1.0
UGR	UGR	1.0
SRY	SRY	1.0
SOX9	SOX9	1.0
RSPO1	RSPO1	1.0
CBX2	CBX2	1.0
PGD2	PGD2	1.0
NR0B1	NR0B1	1.0
GATA4	GATA4	1.0
FOXL2	FOXL2	1.0
FGF9	FGF9	1.0
DMRT1	DMRT1	1.0
DKK1	DKK1	1.0
DHH	DHH	1.0
CTNNB1	CTNNB1	1.0
DKK1	DMRT1	0.448611968959165
DMRT1	DKK1	0.448611968959165
NR5A1	RSPO1	-0.367655099657346
RSPO1	NR5A1	-0.367655099657346
NR5A1	WT1pKTS	0.294477224163281
WT1pKTS	NR5A1	0.294477224163281
WT1mKTS	SRY	-0.245299388771806
SRY	WT1mKTS	-0.245299388771806
FOXL2	WT1pKTS	-0.241464877855503
WT1pKTS	FOXL2	-0.241464877855503
NR0B1	WNT4	0.238539647752215
WNT4	NR0B1	0.238539647752215
DKK1	NR5A1	-0.219697964706349
NR5A1	DKK1	-0.219697964706349
DKK1	SRY	0.217489092369556
SRY	DKK1	0.217489092369556
SRY	DMRT1	0.215313418426963
DMRT1	SRY	0.215313418426963
DMRT1	NR5A1	-0.206907373882053
NR5A1	DMRT1	-0.206907373882053
RSPO1	CTNNB1	0.206826477766571
CTNNB1	RSPO1	0.206826477766571
FOXL2	SRY	-0.194030891533743
SRY	FOXL2	-0.194030891533743
SRY	NR0B1	0.187211054176362
NR0B1	SRY	0.187211054176362
WT1pKTS	SOX9	-0.186059618823082
SOX9	WT1pKTS	-0.186059618823082
CTNNB1	NR5A1	-0.185429006715423
NR5A1	CTNNB1	-0.185429006715423
SRY	WT1pKTS	0.169929388031018
WT1pKTS	SRY	0.169929388031017
DMRT1	WNT4	-0.165633159155593
WNT4	DMRT1	-0.165633159155593
CBX2	WT1pKTS	0.164848551943925
WT1pKTS	CBX2	0.164848551943925
WT1pKTS	FGF9	-0.164410675224893
FGF9	WT1pKTS	-0.164410675224892
RSPO1	WNT4	0.162860799978527
WNT4	RSPO1	0.162860799978527
CBX2	DMRT1	-0.160526307017562
DMRT1	CBX2	-0.160526307017562
CBX2	NR5A1	0.159573025112007
NR5A1	CBX2	0.159573025112007
DKK1	WNT4	-0.155574931404215
WNT4	DKK1	-0.155574931404215
AMH	NR0B1	-0.15395737484827
NR0B1	AMH	-0.15395737484827
GATA4	SRY	-0.153585292965728
SRY	GATA4	-0.153585292965728
PGD2	WT1mKTS	-0.151505184979922
WT1mKTS	PGD2	-0.151505184979922
NR0B1	NR5A1	-0.149000996525519
NR5A1	NR0B1	-0.149000996525518
GATA4	AMH	-0.148728750869687
AMH	GATA4	-0.148728750869687
FGF9	RSPO1	-0.140567164949239
RSPO1	FGF9	-0.140567164949239
WT1mKTS	DHH	-0.139712401933168
DHH	WT1mKTS	-0.139712401933168
CTNNB1	DMRT1	-0.138988768993794
DMRT1	CTNNB1	-0.138988768993794
DKK1	SOX9	0.138988624908923
SOX9	DKK1	0.138988624908923
GATA4	PGD2	-0.13625125635028
PGD2	GATA4	-0.13625125635028
WNT4	DHH	-0.13476021259837
DHH	WNT4	-0.13476021259837
SOX9	NR5A1	0.133133225893955
NR5A1	SOX9	0.133133225893955
WNT4	CTNNB1	0.132010543511955
CTNNB1	WNT4	0.132010543511955
NR5A1	FOXL2	-0.131528438530222
FOXL2	NR5A1	-0.131528438530221
GATA4	SOX9	-0.131480768067112
SOX9	GATA4	-0.131480768067112
WT1mKTS	WT1pKTS	0.131306679793134
WT1pKTS	WT1mKTS	0.131306679793134
SOX9	WNT4	-0.129724375615907
WNT4	SOX9	-0.129724375615907
WT1mKTS	AMH	-0.127528307140488
AMH	WT1mKTS	-0.127528307140488
PGD2	FGF9	0.125392036291234
FGF9	PGD2	0.125392036291234
RSPO1	SOX9	-0.123194792156955
SOX9	RSPO1	-0.123194792156955
DHH	AMH	0.122682698834593
AMH	DHH	0.122682698834593
PGD2	AMH	0.118964902283021
AMH	PGD2	0.118964902283021
FGF9	NR0B1	-0.118158704865036
NR0B1	FGF9	-0.118158704865036
PGD2	WT1pKTS	-0.117994098666808
