Gene1	Gene2	EdgeWeight
RSPO1	SRY	17.8490121656386
RSPO1	CTNNB1	15.6752039641432
RSPO1	WNT4	13.9866294208349
WT1pKTS	CBX2	12.9122468686924
WT1pKTS	DKK1	12.6956207467673
DMRT1	SRY	12.2286214515393
DKK1	SRY	11.8178170799182
DMRT1	DKK1	11.4486795143111
WT1pKTS	PGD2	10.890271322652
WT1pKTS	WT1pKTS	10.7051988177983
NR5A1	SRY	10.5122157269198
RSPO1	SOX9	10.2373140431001
RSPO1	NR0B1	10.1844650385394
DMRT1	CBX2	9.83726238569129
RSPO1	RSPO1	9.64897036867868
DKK1	CTNNB1	9.58726330419764
CBX2	SRY	9.56590892370535
DMRT1	CTNNB1	9.53386008296013
DMRT1	WNT4	9.52851466178808
AMH	SRY	9.38577631853151
DKK1	WNT4	9.26049834100957
WT1pKTS	SOX9	9.19634154120197
CTNNB1	CTNNB1	9.11340326237559
PGD2	SRY	8.82617179263997
WT1pKTS	DMRT1	8.72432110273425
DMRT1	DMRT1	8.24945182106721
DHH	SRY	8.18084823223754
WT1pKTS	FGF9	7.93115529122053
RSPO1	DMRT1	7.87096951641805
NR5A1	CTNNB1	7.86540101993751
FGF9	SRY	7.85778652380005
DMRT1	PGD2	7.68272820145128
DMRT1	SOX9	7.50714549528524
CTNNB1	DMRT1	7.41365861444277
DKK1	SOX9	7.40729368688234
DKK1	DKK1	7.39656951977601
NR5A1	WNT4	7.37249199958599
SRY	CBX2	7.36216516515326
SRY	PGD2	7.19894612048358
UGR	DKK1	6.85888146852628
RSPO1	FOXL2	6.80005815438289
WNT4	NR0B1	6.78620020984544
SRY	WT1pKTS	6.76584660839042
CTNNB1	SRY	6.71156022841894
FGF9	NR0B1	6.56845198282842
PGD2	NR0B1	6.53131030523283
CBX2	DMRT1	6.48838526767147
FOXL2	WT1pKTS	6.46928718195264
RSPO1	WT1pKTS	6.46075541698281
CBX2	WNT4	6.33372834782879
AMH	NR0B1	6.32253804651027
UGR	DMRT1	6.2729929405421
DHH	NR0B1	6.23788843470769
CTNNB1	DKK1	6.2328075953544
CBX2	CTNNB1	6.22635487004048
CTNNB1	WNT4	6.04372978237689
PGD2	CTNNB1	6.04122190247483
RSPO1	DKK1	5.97005408674787
PGD2	SOX9	5.96799521570794
SRY	DKK1	5.95888400672922
AMH	WNT4	5.85685704597621
PGD2	WNT4	5.8240579181751
DMRT1	FGF9	5.81460609079332
WT1pKTS	SRY	5.60889767790662
FGF9	WNT4	5.55580777428122
NR5A1	SOX9	5.53267815767903
DHH	WNT4	5.41044061190853
AMH	CTNNB1	5.37331970913923
RSPO1	DHH	5.35993474369014
UGR	CBX2	5.31526823058309
AMH	SOX9	5.31512799620595
CBX2	NR0B1	5.30314836437064
WNT4	WNT4	5.26979451458762
DHH	CTNNB1	5.18569544911503
CTNNB1	NR0B1	5.18271917948455
WT1pKTS	DHH	5.16676617870188
DMRT1	RSPO1	5.15690996585886
DMRT1	WT1pKTS	5.12380199132122
DHH	SOX9	5.08634380074342
CTNNB1	SOX9	5.0805516764827
DKK1	RSPO1	5.03783445475252
NR0B1	NR0B1	5.00407061242382
CBX2	SOX9	4.91486827333618
DKK1	UGR	4.88623226906107
NR5A1	WT1pKTS	4.80620901893507
FOXL2	PGD2	4.75323332733053
NR5A1	NR0B1	4.73345407551119
UGR	FGF9	4.62302371670789
UGR	CTNNB1	4.60594985513163
RSPO1	PGD2	4.6000878264972
DMRT1	FOXL2	4.52955257312485
DKK1	PGD2	4.51623644851071
FGF9	CTNNB1	4.50317686744472
DMRT1	UGR	4.46506368822159
