Gene1	Gene2	EdgeWeight
RSPO1	SRY	17.8490121656386
RSPO1	CTNNB1	15.6752039641432
RSPO1	WNT4	13.9866294208349
DMRT1	SRY	12.2286214515393
DKK1	SRY	11.8178170799182
NR5A1	SRY	10.5122157269198
RSPO1	SOX9	10.2373140431001
RSPO1	NR0B1	10.1844650385394
RSPO1	RSPO1	9.64897036867868
DKK1	CTNNB1	9.58726330419764
CBX2	SRY	9.56590892370535
DMRT1	CTNNB1	9.53386008296013
DMRT1	WNT4	9.52851466178808
AMH	SRY	9.38577631853151
DKK1	WNT4	9.26049834100957
CTNNB1	CTNNB1	9.11340326237559
PGD2	SRY	8.82617179263997
DHH	SRY	8.18084823223754
NR5A1	CTNNB1	7.86540101993751
FGF9	SRY	7.85778652380005
DMRT1	SOX9	7.50714549528524
DKK1	SOX9	7.40729368688234
NR5A1	WNT4	7.37249199958599
RSPO1	FOXL2	6.80005815438289
WNT4	NR0B1	6.78620020984544
CTNNB1	SRY	6.71156022841894
FGF9	NR0B1	6.56845198282842
PGD2	NR0B1	6.53131030523283
RSPO1	WT1pKTS	6.46075541698281
CBX2	WNT4	6.33372834782879
AMH	NR0B1	6.32253804651027
DHH	NR0B1	6.23788843470769
CBX2	CTNNB1	6.22635487004048
CTNNB1	WNT4	6.04372978237689
PGD2	CTNNB1	6.04122190247483
PGD2	SOX9	5.96799521570794
AMH	WNT4	5.85685704597621
PGD2	WNT4	5.8240579181751
FGF9	WNT4	5.55580777428122
NR5A1	SOX9	5.53267815767903
DHH	WNT4	5.41044061190853
AMH	CTNNB1	5.37331970913923
RSPO1	DHH	5.35993474369014
AMH	SOX9	5.31512799620595
DHH	CTNNB1	5.18569544911503
DMRT1	RSPO1	5.15690996585886
DHH	SOX9	5.08634380074342
CTNNB1	SOX9	5.0805516764827
DKK1	RSPO1	5.03783445475252
NR0B1	NR0B1	5.00407061242382
CBX2	SOX9	4.91486827333618
DKK1	UGR	4.88623226906107
CTNNB1	NR0B1	4.82693597215292
NR5A1	NR0B1	4.73345407551119
UGR	CTNNB1	4.60594985513163
RSPO1	PGD2	4.6000878264972
DMRT1	FOXL2	4.52955257312485
DKK1	PGD2	4.51623644851071
FGF9	CTNNB1	4.50317686744472
DMRT1	UGR	4.46506368822159
FGF9	SOX9	4.46204824353244
RSPO1	UGR	4.43586522932575
DKK1	DKK1	4.38067391500914
DMRT1	PGD2	4.29275040024808
DKK1	WT1pKTS	4.29134020268782
DKK1	FOXL2	4.27294240962705
RSPO1	DKK1	4.22533085206983
UGR	WNT4	4.22137946656119
UGR	SRY	4.20810300964544
RSPO1	WT1mKTS	4.19093118520029
NR5A1	RSPO1	4.16456333048235
SOX9	NR0B1	4.12070000733133
PGD2	PGD2	4.09267682797089
CBX2	UGR	4.03695337315158
DMRT1	WT1pKTS	3.82778095248541
RSPO1	GATA4	3.80098925098887
CBX2	RSPO1	3.77673154521667
DMRT1	DKK1	3.72042772362471
UGR	SOX9	3.61935290601232
DKK1	DHH	3.59754092176062
NR5A1	UGR	3.50395080964491
DMRT1	DHH	3.48679722528856
CTNNB1	WT1pKTS	3.47870680364992
RSPO1	NR5A1	3.43803840357812
CTNNB1	RSPO1	3.42099835452118
DHH	FOXL2	3.38117740019315
NR5A1	FOXL2	3.30663561016781
CBX2	PGD2	3.29462178849873
WNT4	CTNNB1	3.20184206593473
AMH	FOXL2	3.17469484331849
CTNNB1	FOXL2	3.11687197659701
NR5A1	PGD2	3.03460740000289
NR5A1	DHH	3.02002938044631
PGD2	RSPO1	2.97150099593725
DMRT1	NR0B1	2.94679702799181
