,Time
E1795_733,0.91729
E1797_596,0.74561
E426_671,0.8396
E1297_71,0.08772
E1395_781,0.97744
E1582_573,0.7167899999999999
E395_752,0.9411
E1343_759,0.94987
E84_794,0.99373
E140_372,0.46491
E106_563,0.70426
E1606_316,0.39474
E1102_404,0.5050100000000001
E1401_220,0.27444
E1097_282,0.35213
E1538_410,0.51253
E414_718,0.8985
E92_524,0.6553899999999999
E1416_382,0.47744
E1597_383,0.4787
E670_789,0.98747
E1830_130,0.16165
E960_401,0.50125
E722_718,0.8985
E30_71,0.08772
E1561_285,0.35589
E1647_587,0.73434
E566_374,0.46742
E1673_380,0.47494
E717_283,0.35338
E410_465,0.58145
E396_717,0.8972399999999999
E1287_584,0.73058
E1694_570,0.71303
E1534_250,0.31203
E1651_442,0.5526300000000001
E1500_157,0.19549
E1427_564,0.7055100000000001
E14_185,0.23058
E1134_316,0.39474
E1603_103,0.12782
E1745_261,0.32581
E1028_546,0.68296
E581_748,0.93609
E928_447,0.5589
E1354_463,0.57895
E1857_722,0.90351
E619_656,0.8208
E927_432,0.5401
E949_413,0.5162899999999999
E639_425,0.53133
E1682_535,0.6691699999999999
E785_147,0.1829599999999999
E925_539,0.67419
E111_653,0.81704
E1224_51,0.06266
E1173_513,0.6416
E896_532,0.6654100000000001
E188_127,0.15789
E1979_450,0.56266
E702_416,0.52005
E399_306,0.38221
E424_145,0.18045
E1907_370,0.46241
E721_426,0.53258
E1575_617,0.77193
E1221_300,0.37469
E596_61,0.0751899999999999
E583_19,0.02256
E1294_148,0.1842099999999999
E500_71,0.08772
E1248_501,0.62657
E1625_294,0.36717
E187_154,0.1917299999999999
E1358_586,0.7330800000000001
E169_347,0.43358
E859_551,0.6892199999999999
E689_86,0.10652
E1026_622,0.7782
E1860_226,0.28195
E1324_629,0.78697
E973_228,0.28446
E38_31,0.03759
E1636_784,0.9812
E37_593,0.74185
E1496_198,0.2468699999999999
E1619_714,0.8934799999999999
E7_697,0.87218
E1768_507,0.6340899999999999
E57_719,0.89975
E1681_291,0.36341
E338_92,0.11404
E885_369,0.46115
E730_39,0.0476199999999999
E1624_645,0.80702
E1355_693,0.8671700000000001
E1693_369,0.46115
E626_529,0.66165
E1585_248,0.3095199999999999
E747_657,0.82206
E1388_390,0.4874699999999999
E319_143,0.17794
E114_166,0.2067699999999999
E1955_328,0.4097699999999999
E1445_474,0.59273
E594_701,0.8771899999999999
E797_250,0.31203
E507_744,0.93108
E834_796,0.99624
E1132_625,0.78195
E1643_356,0.44486
E421_358,0.44737
E633_340,0.42481
E1345_742,0.92857
E1802_653,0.81704
E1363_490,0.61278
E1607_637,0.79699
E98_679,0.84962
E565_772,0.96617
E1366_648,0.8107800000000001
E1121_715,0.89474
E1640_453,0.56642
E789_541,0.67669
E549_767,0.9599
E397_704,0.88095
E767_756,0.94612
E441_330,0.41228
E1847_617,0.77193
E228_16,0.0188
E1570_80,0.099
E768_628,0.78571
E1203_197,0.24561
E171_71,0.08772
E775_631,0.78947
E1840_791,0.98997
E926_548,0.6854600000000001
E969_237,0.29574
E662_138,0.17168
E1474_234,0.29198
E288_559,0.69925
E1208_87,0.10777
E829_28,0.03383
E1521_409,0.5112800000000001
E1759_113,0.14035
E711_169,0.21053
E1556_278,0.34712
E910_596,0.74561
E200_237,0.29574
E780_72,0.08897
E903_704,0.88095
E1051_360,0.44987
E692_579,0.72431
E193_562,0.70301
E70_696,0.87093
E1485_756,0.94612
E837_484,0.60526
E1471_559,0.69925
E1391_350,0.4373399999999999
E108_534,0.66792
E1813_363,0.45363
E1999_549,0.68672
E851_615,0.76942
E1921_255,0.3183
E1321_151,0.18797
E54_327,0.40852
E1262_652,0.81579
E5_558,0.69799
E1848_433,0.54135
E898_296,0.36967
E1605_292,0.36466
E1841_521,0.65163
E818_587,0.73434
E499_752,0.9411
E1536_644,0.80576
E691_290,0.36216
E1147_319,0.3985
E479_599,0.74937
E1532_442,0.5526300000000001
E1983_34,0.04135
E1924_165,0.20551
E367_170,0.21178
E1950_103,0.12782
E1621_769,0.96241
E1308_540,0.6754399999999999
E687_426,0.53258
E772_71,0.08772
E257_10,0.01128
E1384_53,0.06516
E1980_729,0.91228
E1282_366,0.4573899999999999
E878_564,0.7055100000000001
E1816_531,0.6641600000000001
E1223_652,0.81579
E1720_675,0.8446100000000001
E1633_642,0.8032600000000001
E1230_769,0.96241
E931_188,0.23434
E1326_173,0.21554
E1542_316,0.39474
E718_431,0.53885
E966_438,0.54762
E1678_210,0.2619
E362_485,0.60652
E494_496,0.6203
E1812_358,0.44737
E1593_455,0.56892
E1959_251,0.31328
E1782_688,0.8609
E682_333,0.4160399999999999
E1529_621,0.77694
E265_376,0.46992
E116_781,0.97744
E936_311,0.38847
E77_61,0.0751899999999999
E1781_232,0.28947
E1985_377,0.47118
E1167_733,0.91729
E605_310,0.38722
E509_555,0.69424
E543_643,0.8045100000000001
E685_566,0.70802
E1158_89,0.1102799999999999
E891_247,0.30827
E974_681,0.8521299999999999
E121_303,0.37845
E1571_63,0.07769
E416_644,0.80576
E469_562,0.70301
E363_251,0.31328
E748_660,0.82581
E554_393,0.49123
E185_747,0.93484
E358_550,0.68797
E1314_734,0.91855
E749_365,0.45614
E1087_617,0.77193
E364_58,0.07143
E1271_671,0.8396
E1256_578,0.72306
E1657_758,0.94862
E273_697,0.87218
E1227_349,0.43609
E1943_80,0.099
E227_236,0.29449
E1660_205,0.25564
E292_248,0.3095199999999999
E1348_167,0.2080199999999999
E1461_456,0.57018
E1023_753,0.94236
E1906_689,0.86216
E714_140,0.17419
E527_368,0.4599
E959_548,0.6854600000000001
E290_408,0.51003
E1550_448,0.56015
E1079_731,0.91479
E781_565,0.70677
E529_246,0.3070199999999999
E271_499,0.6240600000000001
E621_274,0.3421099999999999
E196_7,0.00752
E1316_507,0.6340899999999999
E1779_494,0.61779
E1127_662,0.8283200000000001
E261_246,0.3070199999999999
E1770_509,0.63659
E1731_512,0.64035
E1431_172,0.21429
E375_262,0.3270699999999999
E385_351,0.4386
E1513_486,0.60777
E1096_157,0.19549
E435_204,0.25439
E1074_38,0.04637
E1069_676,0.8458600000000001
E1937_227,0.28321
E975_571,0.71429
E1803_32,0.03885
E1423_363,0.45363
E870_282,0.35213
E1984_745,0.93233
E1635_528,0.6604
E1482_350,0.4373399999999999
E1844_100,0.1240599999999999
E1793_701,0.8771899999999999
E1648_635,0.7944899999999999
E275_223,0.2782
E506_243,0.30326
E736_711,0.8897200000000001
E697_146,0.1817
E679_782,0.9787
E964_387,0.48371
E1810_166,0.2067699999999999
E802_333,0.4160399999999999
E1587_23,0.0275699999999999
E545_427,0.53383
E149_108,0.13409
E858_236,0.29449
E939_160,0.19925
E485_695,0.86967
E1747_68,0.08396
E217_616,0.77068
E705_616,0.77068
E412_507,0.6340899999999999
E1152_173,0.21554
E231_58,0.07143
E963_650,0.81328
E427_83,0.1027599999999999
E1563_187,0.23308
E1448_382,0.47744
E43_599,0.74937
E684_214,0.26692
E489_787,0.98496
E1334_674,0.84336
E1266_59,0.07268
E694_283,0.35338
E336_461,0.57644
E1281_188,0.23434
E1522_641,0.80201
E1237_611,0.76441
E1104_417,0.5213
E1138_378,0.47243
E1551_389,0.48622
E1095_651,0.8145399999999999
E774_527,0.65915
E1895_532,0.6654100000000001
E191_659,0.8245600000000001
E1066_273,0.34085
E1489_621,0.77694
E390_27,0.03258
E1988_780,0.97619
E205_320,0.39975
E1559_793,0.99248
E1232_48,0.0589
E1467_165,0.20551
E807_724,0.90602
E1018_646,0.8082699999999999
E90_198,0.2468699999999999
E1706_21,0.02506
E1718_625,0.78195
E879_277,0.34586
E1288_125,0.15539
E528_691,0.86466
E513_666,0.8333299999999999
E1863_767,0.9599
E1178_355,0.44361
E1610_202,0.25188
E657_93,0.11529
E221_697,0.87218
E1037_478,0.5977399999999999
E1360_233,0.29073
E825_476,0.59524
E23_75,0.0927299999999999
E298_185,0.23058
E468_450,0.56266
E406_503,0.62907
E1122_356,0.44486
E179_118,0.14662
E1968_276,0.3446099999999999
E377_719,0.89975
E574_298,0.37218
E1824_201,0.25063
E1537_369,0.46115
E405_385,0.4812
E341_11,0.01253
E1410_317,0.39599
E291_790,0.98872
E1939_722,0.90351
E308_684,0.8558899999999999
E556_489,0.61153
E73_367,0.45865
E366_621,0.77694
E434_151,0.18797
E126_398,0.49749
E1117_481,0.6015
E1235_24,0.02882
E301_676,0.8458600000000001
E886_788,0.98622
E383_417,0.5213
E1337_644,0.80576
E1659_250,0.31203
E1973_29,0.0350899999999999
E741_551,0.6892199999999999
E1449_69,0.08521
E512_204,0.25439
E360_377,0.47118
E698_223,0.2782
E204_660,0.82581
E1137_202,0.25188
E1216_532,0.6654100000000001
E710_123,0.15288
E1599_143,0.17794
E269_341,0.42607
E1045_298,0.37218
E1310_310,0.38722
E505_237,0.29574
E451_162,0.20175
E254_473,0.59148
E1472_32,0.03885
E504_731,0.91479
E1417_406,0.50752
E1511_621,0.77694
E250_601,0.75188
E1364_785,0.98246
E1260_350,0.4373399999999999
E987_127,0.15789
E1160_641,0.80201
E544_370,0.46241
E727_6,0.00627
E990_296,0.36967
E1188_101,0.12531
E4_342,0.42732
E1685_151,0.18797
E484_529,0.66165
E589_651,0.8145399999999999
E1969_172,0.21429
E1499_247,0.30827
E1279_619,0.77444
E591_486,0.60777
E127_482,0.6027600000000001
E853_123,0.15288
E868_439,0.54887
E1684_315,0.39348
E1164_558,0.69799
E268_73,0.0902299999999999
E530_71,0.08772
E1296_200,0.2493699999999999
E1065_311,0.38847
E1709_541,0.67669
E498_247,0.30827
E1804_149,0.1854599999999999
E1786_704,0.88095
E129_75,0.0927299999999999
E1100_18,0.0213
E280_403,0.50376
E1997_518,0.64787
E1149_250,0.31203
E1540_223,0.2782
E1891_707,0.88471
E1222_296,0.36967
E1835_165,0.20551
E36_371,0.46366
E1215_432,0.5401
E1940_95,0.11779
E115_430,0.53759
E1558_677,0.8471200000000001
E1383_571,0.71429
E260_673,0.84211
E61_615,0.76942
E900_739,0.92481
E1975_178,0.2218
E1650_191,0.2381
E1490_454,0.56767
E1744_469,0.5864699999999999
E1576_272,0.3396
E1170_323,0.40351
E655_732,0.91604
E919_627,0.78446
E1177_725,0.90727
E810_625,0.78195
E1258_430,0.53759
E423_553,0.6917300000000001
E940_64,0.07895
E1155_449,0.5614
E1876_163,0.20301
E1356_669,0.83709
E283_391,0.48872
E266_57,0.0701799999999999
E1998_258,0.32206
E1370_787,0.98496
E1700_369,0.46115
E482_250,0.31203
E1292_451,0.56391
E1101_254,0.31704
E163_11,0.01253
E62_551,0.6892199999999999
E1730_381,0.4761899999999999
E1394_554,0.69298
E548_571,0.71429
E1220_205,0.25564
E1769_617,0.77193
E1093_133,0.16541
E1211_174,0.21679
E1005_178,0.2218
E53_395,0.49373
E438_676,0.8458600000000001
E55_390,0.4874699999999999
E1059_371,0.46366
E1098_203,0.25313
E309_399,0.49875
E988_648,0.8107800000000001
E1083_57,0.0701799999999999
E1312_613,0.7669199999999999
E1302_573,0.7167899999999999
E844_3,0.00251
E671_283,0.35338
E800_449,0.5614
E88_256,0.31955
E1469_494,0.61779
E600_733,0.91729
E1912_141,0.17544
E1889_772,0.96617
E1686_218,0.27193
E1451_111,0.13784
E1927_277,0.34586
E1544_500,0.62531
E771_184,0.2293199999999999
E183_449,0.5614
E1965_404,0.5050100000000001
E510_640,0.80075
E1112_754,0.94361
E523_265,0.33083
E20_418,0.52256
E1661_786,0.98371
E1502_648,0.8107800000000001
E921_272,0.3396
E272_386,0.48246
E445_389,0.48622
E454_337,0.42105
E582_136,0.16917
E658_782,0.9787
E1304_229,0.2857099999999999
E1040_565,0.70677
E809_775,0.96992
E1261_593,0.74185
E1739_409,0.5112800000000001
E985_635,0.7944899999999999
E483_374,0.46742
E1327_537,0.67168
E1129_212,0.26441
E464_80,0.099
E906_216,0.26942
E1025_56,0.06892
E311_390,0.4874699999999999
E1176_235,0.29323
E1690_68,0.08396
E46_235,0.29323
E938_319,0.3985
E821_187,0.23308
E1858_145,0.18045
E729_24,0.02882
E1209_649,0.81203
E1268_516,0.64536
E1598_588,0.73559
E19_275,0.34336
E1378_111,0.13784
E1399_454,0.56767
E1488_315,0.39348
E1141_390,0.4874699999999999
E598_359,0.4486199999999999
E1151_600,0.75063
E635_103,0.12782
E1041_351,0.4386
E1923_197,0.24561
E882_570,0.71303
E495_592,0.7406
E675_650,0.81328
E792_341,0.42607
E1516_357,0.4461199999999999
E997_799,1.0
E867_285,0.35589
E1938_741,0.92732
E233_737,0.92231
E1740_121,0.1503799999999999
E1192_379,0.47368
E668_157,0.19549
E326_453,0.56642
E1992_221,0.27569
E1113_21,0.02506
E1055_225,0.2807
E760_651,0.8145399999999999
E1986_251,0.31328
E1369_708,0.8859600000000001
E1452_701,0.8771899999999999
E1612_621,0.77694
