Gene1	Gene2	EdgeWeight
WT1mKTS	DMRT1	1.09030423481879
AMH	NR5A1	1.05545316952242
WT1mKTS	DKK1	1.03332039634403
WT1pKTS	DMRT1	1.00386301970076
WNT4	RSPO1	1.0
DMRT1	WT1pKTS	1.0
WT1mKTS	CBX2	0.97335769557459
WT1pKTS	CBX2	0.970205315478037
CTNNB1	WNT4	0.941816414325677
DMRT1	FOXL2	0.929462500768023
UGR	DMRT1	0.927051233900728
WT1pKTS	DKK1	0.902355724746368
CTNNB1	RSPO1	0.898050066742224
UGR	CBX2	0.884793315344496
AMH	CBX2	0.8812153131218
CTNNB1	NR5A1	0.865946320348098
CTNNB1	CTNNB1	0.808247762817393
UGR	DKK1	0.806169958435479
DKK1	FOXL2	0.785701816268539
NR5A1	DMRT1	0.78154028012575
WT1mKTS	RSPO1	0.770309592858168
DKK1	WT1pKTS	0.770262764476808
WNT4	NR5A1	0.767560351750492
WT1mKTS	NR5A1	0.764825534710146
GATA4	RSPO1	0.762489487711944
AMH	RSPO1	0.752714922700187
SRY	DMRT1	0.751300960461826
AMH	CTNNB1	0.750843477285906
SRY	CBX2	0.744293577427772
CTNNB1	DMRT1	0.735091474099984
SRY	DKK1	0.703424548689086
CTNNB1	CBX2	0.688100089582701
DKK1	WNT4	0.684100868089318
AMH	FOXL2	0.673484852768226
PGD2	WT1pKTS	0.644192938226348
SRY	NR5A1	0.644064272446783
CBX2	WNT4	0.632097244698912
SRY	RSPO1	0.628281775659214
AMH	SRY	0.626314407460726
NR5A1	WNT4	0.620431514962992
GATA4	DMRT1	0.617399214002945
CBX2	CTNNB1	0.617120776369845
DMRT1	WNT4	0.614296251595917
NR5A1	CBX2	0.614010309156626
NR5A1	DKK1	0.611911672071953
GATA4	DKK1	0.60210206690212
CTNNB1	DKK1	0.600145633759586
CBX2	CBX2	0.59999711737466
GATA4	CTNNB1	0.597675382784333
WT1mKTS	CTNNB1	0.585817097040271
NR0B1	DMRT1	0.585328355293831
RSPO1	DMRT1	0.574328170660339
CBX2	NR5A1	0.567198398740206
NR0B1	CBX2	0.562492435059198
NR0B1	DKK1	0.552559207725111
UGR	NR5A1	0.552029322584176
NR0B1	RSPO1	0.546727119558302
CBX2	RSPO1	0.545162281828396
GATA4	NR5A1	0.527867168256594
NR0B1	NR5A1	0.522618233509074
NR5A1	CTNNB1	0.521498739868986
UGR	CTNNB1	0.511028032543014
WNT4	DMRT1	0.507814959435033
AMH	DKK1	0.501593806575574
GATA4	CBX2	0.495369405950058
NR5A1	NR5A1	0.48900369985478
CBX2	DMRT1	0.488063245742596
WT1pKTS	CTNNB1	0.480318297222222
WNT4	DKK1	0.464390772182311
WNT4	CTNNB1	0.460513962503019
SRY	CTNNB1	0.451050389006953
NR0B1	CTNNB1	0.436844031269135
WT1pKTS	NR5A1	0.436761730711056
UGR	RSPO1	0.435989650731862
CBX2	DKK1	0.433077161250524
