AMH,CBX2,CTNNB1,DHH,DKK1,DMRT1,FGF9,FOXL2,GATA4,NR0B1,NR5A1,PGD2,RSPO1,SOX9,SRY,UGR,WNT4,WT1mKTS,WT1pKTS,Time
7.4861704905,1.2808795328,2.8139932239,7.547117177,9.9269237319,9.6925874529,8.1886308158,2.7110190869,10.1163828243,9.935943508,10.3505902114,8.0386743507,5.0915801876,9.6231082635,10.1609106309,1.3193454373,3.2102734783,9.9492139198,9.8423117118,0.5449999999999999
9.4907283433,0.891170433,1.5833966754,9.9621852352,9.7524923199,9.751585028,9.3824089572,3.8871297447,9.7840519695,4.8447746361,9.7306618883,9.7386820168,3.1757013475,9.6478068971,9.6256332345,4.1506361206,2.3136305452,9.2288739065,10.0390949448,0.9545
9.5829990359,0.0519002786,2.6160303622,9.9849203963,9.5908528279,9.565200141,9.6237477963,2.219552559,9.6005285273,2.8418599233,9.3604005977,9.7598430528,5.4244895812,9.4342807193,10.0697730568,2.1444731673,2.287985139,9.9760592312,9.598988506,0.9545
4.8483033299,10.9146965028,0.4979131577,2.5099226318,3.376945821,4.309485637,1.6233685568,5.3021185931,10.7196876479,5.0894654917,10.5193773954,1.7390103509,4.3965940543,1.7384097109,0.9059316733,10.0600221186,8.8752826876,10.6580649713,10.6521616204,0.053
4.1623897805,10.8549866751,3.8626585399,3.2254616451,5.5501361788,4.6121971355,5.063498314,3.647604949,10.2418363722,1.4683052651,10.6134008652,3.5652252221,3.0516375157,5.7132118793,5.5525680861,11.3893274103,0.3375862794,10.209379622,10.2765570046,0.053
9.7214101043,3.2160676922,2.45933928,10.1607574315,9.412149808,9.6626257677,9.2347422002,2.2548602266,9.6346583736,5.3800251147,9.6050032229,9.6250521008,2.0324974481,9.815616643,9.6827084989,2.199446257,2.2608267533,9.5954837986,9.9676299927,0.744
0.7139959602,4.8265337364,4.6289474062,2.296800718,10.4849020586,10.636215208,0.6996431333,4.9677921958,10.0712242188,10.1357236193,9.3648046202,3.0230914733,2.5035448192,8.507557891,10.3096744206,4.9779337816,1.8334038897,9.9697006348,10.4061341805,0.35350000000000004
4.5808000868,0.2281444182,2.3675415609,2.7946210277,10.5990695197,10.5602025649,4.6157372369,2.8513627926,10.171043613,10.1607655476,3.7536719292,3.4514735573,7.8832356896,3.7484979027,10.5059939433,4.2220859723,6.6555411719,10.5663584545,10.2615775631,0.35350000000000004
4.5855319085,4.8481472167,5.5791564946,2.7484569968,10.049571472,10.0990241419,0.6532682095,2.1109165715,10.0442327168,9.9802298416,8.5500574834,3.7612827715,9.02324413,8.9686787302,10.0273881736,2.9445019838,9.6320878522,10.2602851075,10.2315653717,0.253
2.8218982547,6.0030550192,1.8884415928,1.8839107336,10.0660252515,9.9919376285,2.6614468673,3.8116845536,10.1147902344,10.111060822,9.6586890878,2.3371836792,3.6671979213,10.0496998154,9.8213203366,3.2199727313,2.8741267837,10.5286534169,10.3778110161,0.5449999999999999
1.8456284408,10.7626367583,1.5241893688,5.7019309948,3.6103380087,4.65569733,2.4870861577,5.088911282,10.4997474087,4.9635838206,10.81573118,2.5042694747,3.5964065892,0.2746989939,1.4331975546,10.605057977,4.5903064759,10.9346515712,10.3486783365,0.053
9.2673340091,1.2899228074,3.4688290099,9.8824448152,9.8390065009,9.9825094347,9.0555317905,3.5158068169,9.6679672305,6.371455408,9.8033266911,9.7596410535,2.8560635239,9.8770405304,9.7720994523,1.3960708667,2.0455218556,9.5516546441,9.5284548419,0.744
9.6013654026,4.0093717228,2.4583963249,9.8263952214,9.4547253625,10.0097915424,9.6673382096,1.9561167177,9.8552279858,4.4795473273,9.748810098,9.5626005258,2.9817533354,9.732615478,9.4786787378,3.8825224744,2.7266247205,9.5595219829,9.7310951204,0.8545
4.9026438551,9.0935578268,4.5897011916,1.3326148181,9.896724971,9.5967320748,3.0228535429,0.3370919695,10.1199782777,9.5664430228,9.5974656939,5.1209096285,7.4904910192,8.9943484667,10.0643084171,4.3930721949,10.3136351567,9.7051555968,10.1161559323,0.253
4.4240089066,10.6261132148,6.0516276053,3.0177438982,2.345908473,2.014280598,1.7416373765,3.7908698584,10.2437446765,10.0893355409,10.0848902871,2.4557033187,5.3080118562,1.4855934923,10.187205702,2.8954635547,10.108219147,10.4168707533,10.271855636,0.1555
1.7301812173,3.2751036164,5.2293895623,2.7558445975,10.369859948,10.3575822304,4.9007145026,5.2675236093,10.3502717148,10.2717821519,9.0006362152,2.9941962391,4.9168344204,8.336560688,10.3486891475,3.9912484962,6.8038637879,10.5598571724,9.8164081784,0.35350000000000004
3.5587478601,5.7377255106,5.3866103935,3.4042815946,9.687326184,10.041888475,0.8812079459,2.3574527611,10.3541328894,9.9215274344,9.0728941732,2.578053174,9.7015644937,2.5556120046,10.138587951,1.6364123321,9.9619565658,9.9715162689,10.2555275976,0.35350000000000004
9.9512699207,3.321503734,0.5936232314,9.93560159,9.7413454698,9.8278763836,9.560770948,1.0100011902,9.2769167553,6.3231778274,9.6836563812,9.4150142306,2.9748691089,9.5338098628,9.9715356225,2.9200195372,2.4930838595,9.5282442945,9.6547502687,0.8545
3.3065543149,1.6545366433,3.5570583413,6.1023543781,10.1987754242,10.2089942725,4.4456702976,5.3016787552,9.8774287224,9.7929553974,9.9128897981,2.312056347,4.7170769184,10.3077943824,9.8479696725,0.8261999376,3.7654725531,10.1200618962,10.4147400409,0.4525
0.6838406167,10.55182491,6.9790763285,5.4670498485,0.3898135228,1.8575004893,1.37283978,5.2465900746,10.3905118115,9.7101185794,10.2721311044,5.2962158128,7.0319080638,4.0378524772,9.9356238692,6.146107508,10.4006017316,9.6686599473,10.5329159954,0.1555
4.3148268029,10.567438645,6.4365384102,1.8027048139,2.6841845263,2.4850877783,3.815603813,4.384406389,10.7317980672,0.1629127119,10.5426681747,2.7006061081,5.3733713145,3.9065890026,4.5023725277,11.1047870326,2.9935437291,10.5389189529,10.417452981,0.053
1.1969091929,6.6698424815,0.3997528155,0.7221297014,9.8591885135,10.6396292523,1.3283837986,1.2758185246,10.1065507353,10.1422082387,8.5371315344,4.9172683921,7.3721286736,8.3979088899,10.2578804768,3.1341861555,8.3823576039,10.2899408035,10.4786074723,0.35350000000000004
2.2344067691,10.4499358977,1.6414738662,4.755009736,4.1186680442,1.9061310337,1.685877895,1.8181646213,10.5771484795,9.7369501868,10.7784306277,5.0537272251,1.0047622982,3.1071751192,8.5602709682,9.4716435304,9.4324580734,10.2453827195,10.4345920306,0.1555
9.6221416765,0.5622839363,2.7955287219,9.0991836882,9.9342202756,9.5158838168,9.5353157093,2.7738045097,9.86604058,3.460032856,9.8328899205,9.3520306855,3.9806384686,9.8396489849,9.8264656732,1.4643035088,3.8885528588,9.8687304503,9.8337702351,0.639
2.411538275,10.3482198629,7.4345384516,2.4561487721,2.3558985352,2.4996888698,2.9966640088,3.7286257536,10.5804093638,10.3841760945,10.803089385,1.184060782,1.3283374307,1.6437246636,9.0850570638,7.9799867716,8.57522256,10.406524293,10.3477890079,0.1555
9.3657127141,3.5351838697,1.3999006495,10.0641050476,9.9170771105,9.6890453271,9.6018618383,2.9909517643,9.6318585455,4.4469970544,9.5109778773,9.6392258074,4.1277930733,9.4281597967,9.7488184162,2.3361449992,2.5693843781,9.7252066429,9.8624561271,0.639
3.8864917502,4.5339655188,1.4103053544,3.6053626757,10.329312466,9.9365371297,2.7186661808,4.9994502222,10.4609538052,10.6088462566,9.1547455107,2.111311475,3.0412172877,8.7812922599,10.6516570571,5.2252589088,2.8726412653,10.1457594288,9.7833980298,0.5449999999999999
9.6937172016,4.6763125655,1.3138941815,9.2896751703,9.8435303691,9.4751525005,9.7133897777,6.5684916748,8.9092341006,1.7661731335,9.9935551842,10.0843481646,3.4193632186,9.5487924515,9.9647437926,2.8782984275,1.0134205272,9.7093369524,9.6023894983,0.8545
