SourceGENES,TargetGENES,Interaction,Edges
DMRT1,WT1mKTS,1.09030423481879,repression
DKK1,WT1mKTS,1.03332039634403,repression
DMRT1,WT1pKTS,1.00386301970076,repression
RSPO1,WNT4,1,activation
CBX2,WT1mKTS,0.97335769557459,repression
CBX2,WT1pKTS,0.970205315478037,activation
WNT4,CTNNB1,0.941816414325677,activation
DMRT1,UGR,0.927051233900728,repression
DKK1,WT1pKTS,0.902355724746368,repression
RSPO1,CTNNB1,0.898050066742224,activation
CBX2,UGR,0.884793315344496,activation
NR5A1,CTNNB1,0.865946320348098,repression
CTNNB1,CTNNB1,0.808247762817393,activation
DKK1,UGR,0.806169958435479,repression
DMRT1,NR5A1,0.78154028012575,repression
NR5A1,WNT4,0.767560351750492,repression
NR5A1,WT1mKTS,0.764825534710146,repression
DMRT1,SRY,0.751300960461826,activation
CBX2,SRY,0.744293577427772,repression
DMRT1,CTNNB1,0.735091474099984,repression
DKK1,SRY,0.703424548689086,activation
CBX2,CTNNB1,0.688100089582701,repression
WNT4,DKK1,0.684100868089318,repression
NR5A1,SRY,0.644064272446783,repression
WNT4,CBX2,0.632097244698912,repression
RSPO1,SRY,0.628281775659214,repression
WNT4,NR5A1,0.620431514962992,repression
DMRT1,GATA4,0.617399214002945,repression
CTNNB1,CBX2,0.617120776369845,repression
RSPO1,WT1mKTS,0.614890245295596,repression
WNT4,DMRT1,0.614296251595917,repression
CBX2,NR5A1,0.614010309156626,activation
DKK1,NR5A1,0.611911672071953,repression
DKK1,GATA4,0.60210206690212,repression
DKK1,CTNNB1,0.600145633759586,repression
CBX2,CBX2,0.59999711737466,activation
DMRT1,NR0B1,0.585328355293831,activation
DMRT1,RSPO1,0.574328170660339,repression
NR5A1,CBX2,0.567198398740206,activation
CBX2,NR0B1,0.562492435059198,repression
DKK1,NR0B1,0.552559207725111,activation
NR5A1,UGR,0.552029322584176,activation
RSPO1,NR0B1,0.546727119558302,repression
RSPO1,CBX2,0.545162281828396,repression
CTNNB1,WT1mKTS,0.542719280900632,repression
NR5A1,NR0B1,0.522618233509074,activation
CTNNB1,NR5A1,0.521498739868986,repression
CTNNB1,UGR,0.511028032543014,repression
DMRT1,WNT4,0.507814959435033,repression
NR5A1,NR5A1,0.48900369985478,activation
DMRT1,CBX2,0.488063245742596,repression
CTNNB1,WT1pKTS,0.480318297222222,repression
DKK1,WNT4,0.464390772182311,repression
CTNNB1,WNT4,0.460315663706846,activation
CBX2,GATA4,0.460272151894428,activation
CTNNB1,SRY,0.451050389006953,activation
NR5A1,WT1pKTS,0.436761730711056,activation
DKK1,CBX2,0.433077161250524,repression
DMRT1,SOX9,0.425863832463096,activation
WT1mKTS,SOX9,0.421836420540724,repression
CBX2,WNT4,0.414840072059408,repression
DKK1,RSPO1,0.411223943186962,repression
RSPO1,UGR,0.364304789882426,repression
WT1mKTS,RSPO1,0.322857140745717,repression
CBX2,RSPO1,0.30385924480668,repression
RSPO1,NR5A1,0.301886709370934,repression
WNT4,WT1pKTS,0.301239073164878,repression
WT1mKTS,WNT4,0.295625800162686,repression
WT1mKTS,WT1mKTS,0.285614926949671,activation
CTNNB1,DKK1,0.284986574150725,repression
WT1mKTS,NR5A1,0.279967737097345,repression
FOXL2,FGF9,0.279953659717482,repression
FOXL2,DHH,0.26539402099056,repression
CTNNB1,NR0B1,0.264568391313482,activation
FOXL2,GATA4,0.262685271227297,activation
FOXL2,PGD2,0.261519337449891,repression
WT1mKTS,DHH,0.259869626487231,repression
WT1mKTS,CTNNB1,0.256766302015379,repression
WNT4,RSPO1,0.255350262539668,activation
DKK1,SOX9,0.254482129237519,activation
WT1mKTS,FGF9,0.251379017027529,repression
CTNNB1,DMRT1,0.243748368140874,repression
WT1mKTS,GATA4,0.231948041195961,activation
WT1mKTS,PGD2,0.223152895815959,repression
