Gene1	Gene2	EdgeWeight
WT1mKTS	UGR	6.0
WT1mKTS	PGD2	6.0
WT1mKTS	CBX2	1.5
GATA4	WNT4	1.5
WT1mKTS	CTNNB1	0.66666
WT1mKTS	DHH	0.66666
WT1mKTS	FGF9	0.375
WT1mKTS	DKK1	0.375
WT1mKTS	DMRT1	0.24
WT1pKTS	SOX9	0.24
WT1mKTS	NR0B1	0.16666
WT1mKTS	AMH	0.12244
WT1pKTS	WNT4	0.12244
WT1pKTS	CBX2	0.09375
WT1mKTS	RSPO1	0.09375
NR0B1	DKK1	0.07407
GATA4	NR0B1	0.07407
CTNNB1	CBX2	0.06
GATA4	CBX2	0.04958
GATA4	AMH	0.04958
GATA4	NR5A1	0.04166
WT1mKTS	WNT4	0.0355
WT1pKTS	DKK1	0.0355
WT1pKTS	DMRT1	0.03061
WT1pKTS	FGF9	0.02666
CTNNB1	FOXL2	0.02666
CTNNB1	NR5A1	0.02343
NR0B1	DMRT1	0.02076
WT1pKTS	PGD2	0.02076
DKK1	CBX2	0.01851
GATA4	RSPO1	0.01851
GATA4	PGD2	0.01662
NR0B1	FOXL2	0.015
WT1mKTS	SOX9	0.015
WNT4	SRY	0.0136
DKK1	DMRT1	0.0136
CTNNB1	WT1pKTS	0.01239
NR5A1	DHH	0.01239
GATA4	DKK1	0.01041
NR0B1	DHH	0.0096
FOXL2	DHH	0.00887
GATA4	UGR	0.00887
WT1pKTS	AMH	0.00823
NR0B1	CBX2	0.00823
WT1mKTS	WT1pKTS	0.00765
CTNNB1	RSPO1	0.00713
GATA4	DMRT1	0.00713
GATA4	CTNNB1	0.00666
WNT4	FOXL2	0.00624
GATA4	SRY	0.00585
WT1pKTS	CTNNB1	0.00585
GATA4	SOX9	0.0055
WNT4	CTNNB1	0.0055
NR5A1	SOX9	0.00519
WNT4	RSPO1	0.00519
DKK1	UGR	0.00489
WNT4	NR5A1	0.00489
DKK1	AMH	0.00462
NR0B1	FGF9	0.00438
FOXL2	PGD2	0.00438
WT1mKTS	SRY	0.00415
NR5A1	DKK1	0.00415
WNT4	PGD2	0.00394
NR0B1	UGR	0.00394
DKK1	WT1pKTS	0.00375
NR0B1	SRY	0.00356
DKK1	SOX9	0.0034
WT1pKTS	UGR	0.00324
RSPO1	CBX2	0.00324
RSPO1	SOX9	0.00309
DMRT1	DHH	0.00309
GATA4	WT1pKTS	0.00296
SOX9	PGD2	0.00296
DKK1	PGD2	0.00283
NR0B1	CTNNB1	0.00283
PGD2	CBX2	0.00271
PGD2	CBX2	0.00271
PGD2	UGR	0.0026
WT1mKTS	NR5A1	0.0026
WNT4	WT1pKTS	0.00249
GATA4	FGF9	0.00249
FOXL2	WNT4	0.0024
DKK1	FOXL2	0.0024
DKK1	CTNNB1	0.0023
PGD2	SOX9	0.0023
GATA4	FOXL2	0.00221
WNT4	CBX2	0.00213
WNT4	AMH	0.00198
WT1pKTS	NR5A1	0.00191
WNT4	DHH	0.00191
FGF9	UGR	0.00184
NR5A1	WT1pKTS	0.00178
FOXL2	SOX9	0.00172
DMRT1	NR5A1	0.00172
DKK1	RSPO1	0.00166
DKK1	DHH	0.00166
PGD2	FGF9	0.00161
DKK1	NR5A1	0.00161
FOXL2	AMH	0.00156
DMRT1	FOXL2	0.00151
NR5A1	FGF9	0.00146
DMRT1	RSPO1	0.00146
DMRT1	CTNNB1	0.00142
PGD2	DHH	0.00142
CBX2	AMH	0.00137
WT1mKTS	FOXL2	0.00133
FOXL2	UGR	0.00133
NR5A1	NR0B1	0.00129
DMRT1	WT1pKTS	0.00129
NR5A1	FOXL2	0.00126
FGF9	RSPO1	0.00122
DKK1	FGF9	0.00122
WNT4	UGR	0.00119
AMH	UGR	0.00115
CBX2	DHH	0.00115
DHH	DMRT1	0.00112
RSPO1	NR0B1	0.00112
DMRT1	AMH	0.00109
FGF9	CBX2	0.00109
SOX9	DKK1	0.00106
DMRT1	CBX2	0.00103
DMRT1	SRY	0.00101
FOXL2	DMRT1	0.00101
CTNNB1	FGF9	0.00098
DMRT1	DKK1	0.00098
GATA4	DHH	0.00096
NR0B1	RSPO1	0.00093
NR5A1	AMH	0.00093
PGD2	DMRT1	0.00091
NR5A1	PGD2	0.00089
DHH	SRY	0.00089
DHH	NR5A1	0.00087
SOX9	WT1pKTS	0.00085
DMRT1	UGR	0.00085
FOXL2	CBX2	0.00083
FOXL2	FGF9	0.00081
CTNNB1	AMH	0.00081
NR0B1	AMH	0.00079
PGD2	WNT4	0.00077
FGF9	NR5A1	0.00077
DHH	CBX2	0.00075
SOX9	AMH	0.00074
NR0B1	WNT4	0.00072
WNT4	DKK1	0.0007
WNT4	FGF9	0.0007
RSPO1	WNT4	0.00069
DHH	DKK1	0.00069
FOXL2	RSPO1	0.00067
UGR	NR5A1	0.00067
CBX2	PGD2	0.00066
SRY	UGR	0.00066
NR0B1	PGD2	0.00065
PGD2	DKK1	0.00065
NR5A1	RSPO1	0.00063
CTNNB1	PGD2	0.00063
SOX9	FGF9	0.00062
FGF9	WNT4	0.00062
AMH	CTNNB1	0.00061
NR0B1	WT1pKTS	0.0006
DHH	AMH	0.00058
DKK1	SRY	0.00058
DKK1	NR0B1	0.00057
FGF9	CTNNB1	0.00056
NR0B1	SOX9	0.00056
FOXL2	NR0B1	0.00055
SRY	RSPO1	0.00054
NR5A1	CBX2	0.00053
DHH	PGD2	0.00053
FOXL2	DKK1	0.00052
DHH	NR0B1	0.00052
PGD2	RSPO1	0.00051
FGF9	NR0B1	0.0005
RSPO1	WT1pKTS	0.00049
FOXL2	CTNNB1	0.00048
DKK1	WNT4	0.00048
DMRT1	PGD2	0.00047
NR5A1	DMRT1	0.00046
PGD2	NR5A1	0.00046
CBX2	FGF9	0.00045
AMH	FGF9	0.00045
DMRT1	SOX9	0.00044
NR5A1	SRY	0.00043
CBX2	FOXL2	0.00043
