AMH,CBX2,CTNNB1,DHH,DKK1,DMRT1,FGF9,FOXL2,GATA4,NR0B1,NR5A1,PGD2,RSPO1,SOX9,SRY,UGR,WNT4,WT1mKTS,WT1pKTS,PseudoTime
3.7420658994,2.8208482386,10.3902416128,2.9803208184,3.5417175042,1.2486231604,0.8816123775,10.7259024864,10.3366031525,10.5005364363,1.5965052831,4.9213514655,10.5147261762,0.3864403206,6.6170258725,0.7131453897,10.40784003,10.2732230042,1.9376924799,0.91729
0.4980507191,3.3929611661,10.8482331491,1.917671189,3.1667781209,3.2277292166,5.2583492879,10.3950261217,9.9831167964,10.4903970301,2.7200625682,1.1258297621,10.408852424,3.3849584655,2.0322027782,2.7344420428,10.2699313559,10.7118687615,2.2144256167,0.74561
0.5490286618,3.9261176961,10.5614986886,0.6423741506,3.318777616,2.7654763964,3.8732456373,10.1291300656,10.4285137089,10.4933217606,5.0832198228,5.725536344,10.5314570987,4.6821965317,4.2029858009,4.2789581671,10.3643472819,10.5883454621,4.9275725945,0.8396
2.3060655616,10.7351925609,0.5188738834,0.5410892572,0.8151868355,1.1371109221,1.4196571435,3.5601229193,10.0449955978,9.4630137725,10.4378803659,5.435030861,2.9866431598,4.3735141253,3.3717379765,10.1132771545,10.0259167132,10.4997828222,10.5102145617,0.08772
1.0882096067,1.4245765082,10.6203271124,5.018430004,2.8125605461,2.8866241716,5.0074241707,10.7946640275,10.6812206364,10.1579742581,5.4267937108,4.5459698313,10.3697033809,2.7768905037,1.2488745375,3.327815332,10.2161808262,10.1988675354,4.737196129,0.97744
5.6473382025,2.3870519874,10.3779850028,0.8015238179,0.2018549496,3.8885097625,2.5014982831,10.4608481773,10.7172037389,10.0018057656,1.3559079142,1.7203884914,10.6607023481,1.1355193888,3.3972022858,1.5149561704,10.6045512437,10.3334447473,1.9853902854,0.7167899999999999
5.756884048,3.7297504767,10.7154368587,3.4054406074,6.4311815345,3.3506098444,3.7577626349,10.6397190454,10.4195020419,10.3826565976,5.2916265692,4.7510127255,10.3538964233,0.2090822088,0.4028109992,4.4887639946,10.1823867342,10.3216948028,3.0262633414,0.9411
3.7472110814,2.7592960983,10.7158089197,6.406405471,4.954158524,3.0091723198,3.1952452545,10.1214341578,10.0522380091,10.5711456021,8.336533841,0.5763348668,10.2817862864,2.9535413895,4.2342831434,2.5445397951,10.1026817076,10.2820105975,9.0775448201,0.94987
1.1480567441,5.3879508703,10.1365072572,1.113694655,2.7909844673,6.3984830917,4.5017614889,10.497552973,10.6341264831,10.6061809133,3.5827702196,4.3217243917,10.3218898054,3.0893346918,2.994031373,4.6226793853,10.498806555,10.3465621748,5.225932024,0.99373
5.8553949387,5.9573154169,10.6814283005,3.4760274754,3.3395481155,3.5220931575,1.5419869767,10.3328914975,10.3910106596,10.6145193405,5.7134998517,2.2503509658,10.317347513,3.4786623897,4.6063127109,0.6074961487,10.3044170917,10.2823475106,7.1358899955,0.46491
3.2782523832,2.0167518232,10.3351143134,1.0531120532,0.0355738985,1.234115024,3.9580916029,10.5940310852,10.7115140929,10.1744291156,5.0434309726,3.6912944362,10.1549879693,3.4516803938,0.6319941079,2.9211834031,10.6829650606,10.4979671704,4.1872130766,0.70426
3.5280152629,2.3042057609,8.1876865898,2.5395534968,10.0811392128,9.7455412578,0.7999943183,1.5590814385,10.5316446021,10.2620203477,7.3644640698,1.5532060025,8.4811553385,3.7948291518,9.8717258196,2.8120404128,9.1982576545,10.6470085897,10.4271195845,0.39474
4.9149872828,3.9509034962,10.3491974029,2.80884731,5.0012188455,3.315968892,2.319547195,10.5626798756,10.5428405406,10.5866647122,4.5732581747,1.8057935742,10.2883764519,0.5649681411,3.9344791396,2.6742737882,10.6702150831,10.1496083245,2.6917756303,0.5050100000000001
3.6057266167,7.2840978221,9.8459583028,3.7033522084,5.5771962868,6.638055581,1.5483787771,5.6972030276,9.7166160384,10.4259471183,8.5131211211,2.7689666985,10.3740267358,3.9466854158,9.8555092641,3.4416363229,10.3841889573,10.2566605999,10.3294099857,0.27444
2.3553570683,1.2700514132,10.3161635816,2.8170574322,3.1844128649,6.2499936819,2.6244228182,2.0712654405,10.1195783679,10.7238427482,7.7879235154,6.1022674069,10.4025347733,1.0147346861,2.9759638912,3.450201629,10.4522397085,10.4799797513,10.3847665146,0.35213
5.6564061679,5.5738188654,7.7091273738,3.2901947957,5.6640169521,5.6539602285,3.571150355,3.433767811,9.108632317,11.1376949602,10.9769815086,2.975488747,8.138622937,3.4565397283,5.9808189328,5.7884370179,10.1900998247,10.4606803489,10.7820928593,0.51253
