Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	149.2603969140537
DKK1	DMRT1	129.7750402133162
CTNNB1	RSPO1	126.70241336785836
DMRT1	DKK1	117.89834062850684
UGR	CBX2	110.44243700465832
WT1pKTS	NR5A1	104.00599822883323
CBX2	UGR	101.3532990756811
FOXL2	NR5A1	95.8294710766181
NR5A1	FOXL2	91.23118536819108
CTNNB1	NR5A1	90.66193917955891
SRY	DKK1	87.61242421547873
SOX9	WNT4	87.4188887576828
NR5A1	CBX2	84.59680888523873
RSPO1	WT1pKTS	83.81520061573723
CTNNB1	WT1pKTS	83.13921245349576
DKK1	SRY	80.9161331678275
RSPO1	FOXL2	80.2253866168697
RSPO1	NR5A1	80.17526650294525
RSPO1	CTNNB1	78.82596057631451
FOXL2	RSPO1	75.14112344677679
WNT4	NR0B1	74.67506189359207
NR5A1	WT1pKTS	74.13049284247391
CTNNB1	FOXL2	73.239284961747
DMRT1	SRY	71.65038182399756
GATA4	WT1mKTS	71.12030332033324
WT1pKTS	FOXL2	68.75780295388161
NR5A1	RSPO1	67.67238961232546
CBX2	NR5A1	66.73014300651914
NR5A1	UGR	66.04167089188874
NR0B1	WNT4	65.82395162749657
FOXL2	CTNNB1	65.768627373508
NR0B1	UGR	64.52455298140393
DHH	FGF9	64.32372100768706
SRY	DMRT1	63.39270672362276
CTNNB1	WNT4	62.98578212209325
CTNNB1	SRY	62.52331401438417
SOX9	DMRT1	61.30945794771195
UGR	WT1mKTS	60.14978384489885
NR0B1	NR5A1	58.81837114929377
WT1pKTS	SRY	58.250537004480265
FOXL2	SRY	57.723222124789615
WT1pKTS	RSPO1	56.76491318649031
DKK1	SOX9	55.80022010862064
WT1mKTS	GATA4	55.2602199531491
SOX9	DKK1	55.13912416850163
WNT4	CTNNB1	54.94249770537808
CTNNB1	CBX2	53.97133529525933
WT1pKTS	CBX2	53.78739806060131
PGD2	AMH	52.81264786047509
DMRT1	SOX9	52.39834880922928
NR0B1	CBX2	51.956177044203834
WNT4	RSPO1	51.81031928097312
DHH	AMH	51.44100885620404
WT1mKTS	DMRT1	51.10027783564087
WNT4	DMRT1	50.98180846800887
SRY	WT1mKTS	50.96432275308417
UGR	GATA4	50.52328142804298
GATA4	DMRT1	50.113488513181046
DKK1	WNT4	49.5370189042223
UGR	NR0B1	49.33574160117475
NR0B1	RSPO1	48.936436205154465
DKK1	WT1mKTS	48.59784075878659
RSPO1	WNT4	48.3249310813116
FGF9	WT1mKTS	47.972554484727986
PGD2	GATA4	47.75392846030755
CTNNB1	DMRT1	47.72930375146484
UGR	WNT4	47.506612366199185
FGF9	NR0B1	46.28909495037568
DHH	PGD2	46.26492360356803
DKK1	UGR	45.734212107464465
AMH	WNT4	45.72152242680841
DHH	NR0B1	45.55529834829155
SRY	FOXL2	45.34895913512908
PGD2	WT1mKTS	45.22483802275058
NR5A1	SRY	44.95052210842226
RSPO1	CBX2	43.519298455720346
WT1pKTS	CTNNB1	43.15992192818673
AMH	PGD2	42.217768419760354
WNT4	NR5A1	42.20951471867094
RSPO1	SRY	42.18861630063815
NR5A1	WNT4	42.01627986295309
SOX9	PGD2	41.61028517701591
NR5A1	CTNNB1	41.00040225880371
SOX9	DHH	40.984517288701774
WNT4	SOX9	40.70896669862682
FGF9	DKK1	40.50162995144481
DHH	WNT4	40.37348761949531
AMH	FGF9	40.33332174092087
AMH	NR0B1	40.01970927504686
AMH	SOX9	39.88989049098653
DHH	GATA4	39.83640384488594
NR0B1	CTNNB1	39.642666369806825
NR5A1	SOX9	39.38761477609605
DMRT1	CTNNB1	39.32184375699046
AMH	WT1mKTS	39.286369204605606
PGD2	SOX9	38.682977635111754
WNT4	WT1mKTS	38.2315252610689
SOX9	AMH	38.171703883943586
SRY	SOX9	37.889457689597705
CBX2	WT1pKTS	37.83443003424303
FGF9	DMRT1	37.82949751180542
WT1mKTS	AMH	37.720977449513086
DKK1	CBX2	37.661663357235696
DMRT1	WNT4	37.61350857819022
DKK1	FOXL2	37.488793705102665
WNT4	DKK1	37.2058945017555
AMH	DHH	36.95154410411658
SOX9	FGF9	36.00948832134828
WNT4	CBX2	35.81476025964271
FOXL2	DMRT1	35.79744894690511
